Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,73.058259834589676984251127578318119049072265625,68.156987212744525095331482589244842529296875,41.294595171971792524345801211893558502197265625,13.1443220313120008313489961437880992889404296875,8.8839381084627717655166634358465671539306640625,31.9376201666310635118861682713031768798828125,4.23291726432080395170487463474273681640625,94.824060792870881186900078319013118743896484375,2.7191991943113436036583152599632740020751953125,-77.3918881801812830190101522020995616912841796875,-3.6774803918576566275078221224248409271240234375,-67.3574022644734071718630730174481868743896484375,16.6356395153660656660576933063566684722900390625,28.403576769310575400595553219318389892578125,8.1453901791436464918660931289196014404296875,36.271248512222655335790477693080902099609375,-54.875331888790555012747063301503658294677734375,-2.13324381237219995455234311521053314208984375,10.06805627613147180454689078032970428466796875,-48.5152745139927361606169142760336399078369140625,51.8662068544572321115992963314056396484375,-19.754631183812989547732286155223846435546875,74.30951872310555472722626291215419769287109375,19.5654164250617981224422692321240901947021484375,34.47065645313881532274535857141017913818359375,50.968962675862911737567628733813762664794921875,-4.7639393292031542159747914411127567291259765625,-11.6061891537217292125205858610570430755615234375,-64.561906796472072755932458676397800445556640625,71.044038209173862696843571029603481292724609375,-57259718183.200775146484375,
0,900,-11.6611224707785225973566411994397640228271484375,-2.02948088015381244986201636493206024169921875,7.5350199896237199936877004802227020263671875,-0.1129184850611864021630026400089263916015625,-3.097628711813712243383633904159069061279296875,-0.4303109836115623920704820193350315093994140625,-0.1129184850611864021630026400089263916015625,-0.753807184057137646959745325148105621337890625,-0.4058961760307653321433463133871555328369140625,4.11084322641681865206919610500335693359375,-3.6774803918576566275078221224248409271240234375,-9.69573046052431664065807126462459564208984375,-0.918607135227517801467911340296268463134765625,3.189184240241701218110392801463603973388671875,-0.753807184057137646959745325148105621337890625,0.991851557969908981249318458139896392822265625,-1.4618366039002665957013959996402263641357421875,-2.2553178502761994650427368469536304473876953125,-3.073213904232915183456498198211193084716796875,-2.7497177037873399285672348923981189727783203125,3.231910153508096072982880286872386932373046875,-11.2521744438001718435771181248128414154052734375,-9.164708395641952165533439256250858306884765625,-1.077303384502698690994293428957462310791015625,0.2471999267555702317622490227222442626953125,-3.830072939237652462907135486602783203125,-3.4089175084688889683093293569982051849365234375,-3.238013855403295337964664213359355926513671875,-13.4556108279671633454199763946235179901123046875,-3.048799096652118123529362492263317108154296875,-682054126.43515980243682861328125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,-57.97601245155186688862158916890621185302734375,66.11224707785271448301500640809535980224609375,-60.6311227759636182099711732007563114166259765625,11.5756706442457328876116662286221981048583984375,51.158177434614088952002930454909801483154296875,-18.686483352153089754210668615996837615966796875,62.23029267250586826776270754635334014892578125,2.768028809472951934367301873862743377685546875,-82.885219885860777822017553262412548065185546875,-26.767784661397143963768030516803264617919921875,-3.097628711813712243383633904159069061279296875,24.655903805658141436651931144297122955322265625,-87.7437665944395348560647107660770416259765625,97.039704580828271218706504441797733306884765625,1.4862514114810636556285317055881023406982421875,-75.286111026337465546021121554076671600341796875,-26.05975524155400080417166464030742645263671875,-39.87243263039032825645335833542048931121826171875,-8.981597338785974216079921461641788482666015625,-48.85097811822870284004238783381879329681396484375,21.53080843531603250085026957094669342041015625,62.65755180516981681648758240044116973876953125,10.06805627613147180454689078032970428466796875,-18.863490707113868438682402484118938446044921875,-24.6803186132389242857243516482412815093994140625,47.6363414410840277923853136599063873291015625,21.140171514023251120306667871773242950439453125,48.905911435285503330305800773203372955322265625,-5.99078341013824910987750627100467681884765625,39.5123142185735787279554642736911773681640625,-62914337196.68155670166015625,
1,900,21.50639362773523544092313386499881744384765625,-1.5228736228522592455192352645099163055419921875,-1.80974761192663891051779501140117645263671875,-0.4486220892971601870158337987959384918212890625,-1.211584826197082520593539811670780181884765625,-2.07220679342020730473450385034084320068359375,4.7456282235175564210294396616518497467041015625,5.1484725486007363315366092137992382049560546875,0.692770165105144997141906060278415679931640625,-8.1026642658772516369936056435108184814453125,-3.097628711813712243383633904159069061279296875,1.5900143436994511603188584558665752410888671875,0.0457777642139944873633794486522674560546875,6.24713888973661823911243118345737457275390625,-0.753807184057137646959745325148105621337890625,-3.3783989989928926434004097245633602142333984375,-3.219702749717697543019312433898448944091796875,1.101718192083495750921429134905338287353515625,2.841273232215343114148708991706371307373046875,-0.900296029541920006522559560835361480712890625,6.735435041352587859364575706422328948974609375,7.205420087282931262961938045918941497802734375,-5.98467970824304984489572234451770782470703125,4.7456282235175564210294396616518497467041015625,-5.4719687490462973755711573176085948944091796875,-1.3763847773674768859564210288226604461669921875,-8.0660420545060560471029020845890045166015625,3.72020630512406569323502480983734130859375,-0.753807184057137646959745325148105621337890625,-2.4140140995513803545691189356148242950439453125,-483071796.67047560214996337890625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,90.942106387524034971647779457271099090576171875,38.40754417554245492283371277153491973876953125,-61.18655964842677263959558331407606601715087890625,32.822656941434985355954268015921115875244140625,55.497909482100880040889023803174495697021484375,-24.851222266304517916069016791880130767822265625,-70.873134556108283277353621087968349456787109375,94.158757286294161303885630331933498382568359375,15.7261879329813467620624578557908535003662109375,10.47700430310982255832641385495662689208984375,-50.5111850337229526530791190452873706817626953125,-43.89477217932675756628668750636279582977294921875,-77.96563615833002813815255649387836456298828125,17.343668935209194614799343980848789215087890625,77.312540055543678363392245955765247344970703125,35.441145054475526876558433286845684051513671875,19.2663350321970341383348568342626094818115234375,10.51973021637621741319890134036540985107421875,25.138096255378883370212861336767673492431640625,-39.5611438337351586369550204835832118988037109375,39.6343882564775640275911428034305572509765625,-13.2480849635303883360393228940665721893310546875,41.502121036408567533726454712450504302978515625,-18.05780205694753703937749378383159637451171875,-51.30466628009887841699310229159891605377197265625,-74.4010742515335579128077370114624500274658203125,-60.44190801721243389010851387865841388702392578125,-20.2307199316385464271661476232111454010009765625,-6.5767387920773927589834784157574176788330078125,-42.942594683675650912846322171390056610107421875,-62921987985.870147705078125,
2,900,7.6754051332133030882687307894229888916015625,-0.2594073305459829725805320776998996734619140625,0.442518387401975132888765074312686920166015625,-1.5655995361186541003917227499186992645263671875,4.3305764946440064022681326605379581451416015625,2.5482955412457641841683653183281421661376953125,-0.2533036286507837075987481512129306793212890625,0.1739555040131790519808419048786163330078125,-9.5309305093539222752951900474727153778076171875,0.479140598773170722779468633234500885009765625,-3.048799096652118123529362492263317108154296875,3.195287942136900483092176727950572967529296875,-0.0091555528427988974726758897304534912109375,-5.94805749687185425500501878559589385986328125,0.656147953733949407251202501356601715087890625,-3.872798852504047317779622972011566162109375,4.080324716940822327160276472568511962890625,4.5503097628711799416123540140688419342041015625,4.025391399884028942324221134185791015625,-4.953154087954345641264808364212512969970703125,2.2186956389050038751520332880318164825439453125,0.0152592547379981624544598162174224853515625,2.0783104953154207805710029788315296173095703125,0.637836848048351612305850721895694732666015625,-1.80974761192663891051779501140117645263671875,3.244117557298494602946448139846324920654296875,4.2451246681112024816684424877166748046875,-1.4801477095858643906467477791011333465576171875,3.93993957335123923257924616336822509765625,8.7496566667683879359174170531332492828369140625,-403270282.72473907470703125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,52.580339976195546114468015730381011962890625,-20.5298013245033104112735600210726261138916015625,-2.08441419721060583469807170331478118896484375,-68.5659352397228900599657208658754825592041015625,-53.67290261543626428419884177856147289276123046875,39.316995757927173826828948222100734710693359375,26.8227179784539231377493706531822681427001953125,-72.0938749351481646954198367893695831298828125,-40.7879879146702393200030201114714145660400390625,-49.05850398266549206027775653637945652008056640625,68.22412793359171701013110578060150146484375,56.6148869289223739542649127542972564697265625,53.85601367229224933907971717417240142822265625,-18.594927823725100779483909718692302703857421875,22.7454451124607004430799861438572406768798828125,-3.3845027008880919083821936510503292083740234375,-22.4707785271767335188997094519436359405517578125,38.31598864711446594810695387423038482666015625,-57.4510940885647158893334562890231609344482421875,-51.10934781945250193757601664401590824127197265625,41.434980315561375618926831521093845367431640625,60.14893032624286206555552780628204345703125,-20.5725272377697052661460475064814090728759765625,65.82537308877834902887116186320781707763671875,52.2568437757499850704334676265716552734375,-54.05133213293862581849680282175540924072265625,21.219519638660841565069858916103839874267578125,42.832728049562064143174211494624614715576171875,35.123752555925165097505669109523296356201171875,-27.3659474471266861428375705145299434661865234375,-59072537463.61911773681640625,
