Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,65.58122501297037842959980480372905731201171875,31.7361980040894877674872986972332000732421875,61.61992248298594176958431489765644073486328125,-47.47764519180883979743157397024333477020263671875,51.884517960142829906544648110866546630859375,72.1915341654713529351283796131610870361328125,0.784325693533133971868664957582950592041015625,17.307046723837999024908640421926975250244140625,-42.5641651661732822731210035271942615509033203125,14.822840052491841333903721533715724945068359375,30.912198248237558573237038217484951019287109375,-6.924649800103765073799877427518367767333984375,-82.5800347911008003620736417360603809356689453125,44.358653523361937232039053924381732940673828125,43.833735160374772021896205842494964599609375,-19.742423780022591017768718302249908447265625,-73.076570940275274779196479357779026031494140625,-64.690084536271257320549921132624149322509765625,82.610553300576810897837276570498943328857421875,85.106967375713367118805763311684131622314453125,79.5342875453962960818898864090442657470703125,50.889614551225321292804437689483165740966796875,-59.70946378978850788143972749821841716766357421875,-96.2401196325571390843833796679973602294921875,80.0408948026978350753779523074626922607421875,17.337565233313995349817560054361820220947265625,55.9556871242408533362322486937046051025390625,-19.071016571550643448063055984675884246826171875,54.478591265602602788931108079850673675537109375,-52.17749565111240173109763418324291706085205078125,-700,
0,900,62.33405560472425577245303429663181304931640625,-92.4863429670094916446032584644854068756103515625,79.7051911984618755013798363506793975830078125,-56.19373149815363177594917942769825458526611328125,14.03546250801110772954416461288928985595703125,-46.879482406079290512934676371514797210693359375,89.202551347392187608420499600470066070556640625,27.6589251380962508619631989859044551849365234375,-7.4922940763573109279604977928102016448974609375,-98.876918851283306821642327122390270233154296875,32.0719016083254473414854146540164947509765625,-32.3831904049806240664111101068556308746337890625,29.69145786919767715517082251608371734619140625,-55.4673909726248979268348193727433681488037109375,8.6703085421307974911542260088026523590087890625,-14.15753654591509302917984314262866973876953125,-0.3997924741355660671615623869001865386962890625,29.258095034638500919754733331501483917236328125,-21.4209418012024315203234436921775341033935546875,-32.5601977599414027508828439749777317047119140625,-88.2137516403698782596620731055736541748046875,85.80889309366131101342034526169300079345703125,-52.23853267006439438091547344811260700225830078125,-94.4883571886349074020472471602261066436767578125,79.3694875942259159273817203938961029052734375,25.80950346385083093991852365434169769287109375,69.85992004150517686866805888712406158447265625,-25.75457014679403755508246831595897674560546875,-26.999725333414716033075819723308086395263671875,30.30793176061280291833099909126758575439453125,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,-18.912320322275462558536673896014690399169921875,-86.822107608264417422105907462537288665771484375,-61.11941892757958072479596012271940708160400390625,62.63313699758901975656044669449329376220703125,-90.3256324961088949976328876800835132598876953125,-19.5532090212713995924787013791501522064208984375,43.339335306863603136662277393043041229248046875,88.940092165898619214203790761530399322509765625,30.15533921323282129378640092909336090087890625,-95.5137791070284123406963772140443325042724609375,28.244880520035394511069171130657196044921875,-55.67491683706168004164283047430217266082763671875,27.2865993224890956980743794701993465423583984375,-9.72014526810511370058520697057247161865234375,-5.3498947111423120759354787878692150115966796875,-11.3010040589617659634313895367085933685302734375,-55.5650502029480861665433621965348720550537109375,99.859614856410416905418969690799713134765625,-21.030304879909664350634557195007801055908203125,63.481551561021746010737842880189418792724609375,-9.5065157017731252153680543415248394012451171875,29.96002075258644481436931528151035308837890625,-31.5958128604998904620515531860291957855224609375,8.3651234473708342420650296844542026519775390625,14.493240150151081024887389503419399261474609375,-10.5441450239570286839807522483170032501220703125,-94.4639423810541103421201114542782306671142578125,-39.4634846034119703972464776597917079925537109375,86.687826166570033592506661079823970794677734375,-95.196386608478036350788897834718227386474609375,-700,
1,900,38.49909970397044389756047166883945465087890625,-37.235633411664167624621768482029438018798828125,0.2471999267555702317622490227222442626953125,14.676351207007058974340907298028469085693359375,-87.9879146702475054553360678255558013916015625,-45.20096438489944290495259338058531284332275390625,-6.17389446699422705933102406561374664306640625,-59.5812860499893162113949074409902095794677734375,-58.5558641315958112727457773871719837188720703125,-35.5082857753227330022127716802060604095458984375,67.900631733146155966096557676792144775390625,-50.6820886867885320725690689869225025177001953125,99.334696493423251695276121608912944793701171875,16.1717581713309215274421148933470249176025390625,27.7626880703146525775082409381866455078125,-1.333658864101067820229218341410160064697265625,-13.2541886654255876010211068205535411834716796875,55.027924436170536637291661463677883148193359375,-38.889736625263225278104073368012905120849609375,-22.940763573107091133351786993443965911865234375,-87.9696035645619076603907160460948944091796875,63.8050477614673354764818213880062103271484375,-66.960661641285440737192402593791484832763671875,9.6224860377819112500219489447772502899169921875,20.1574755088961552473847405053675174713134765625,13.1138035218360045064400765113532543182373046875,35.496078371532320261394488625228404998779296875,19.7485274819177760718957870267331600189208984375,-78.11822870571000976269715465605258941650390625,-61.12552262947477998977774404920637607574462890625,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,45.158238471633040944652748294174671173095703125,-97.6073488570818170728671248070895671844482421875,37.68730735190894165498320944607257843017578125,-74.6574297311319270420426619239151477813720703125,-11.7526779992065115720834000967442989349365234375,12.7658925138096179807689622975885868072509765625,-58.22016052735984459332030382938683032989501953125,38.00469985045930343403597362339496612548828125,37.38822595904417767087579704821109771728515625,17.142246772667618870400474406778812408447265625,-2.8656880397961259632211294956505298614501953125,5.93585009308145572504145093262195587158203125,-74.06537064729758412795490585267543792724609375,98.45576342051452911618980579078197479248046875,-75.76219977416303663630969822406768798828125,13.69975890377514815554604865610599517822265625,35.465559862056323936485568992793560028076171875,77.178258613849294533792999573051929473876953125,-7.6693014313181038232869468629360198974609375,9.5797601245155163951494614593684673309326171875,12.0273445844904784962636767886579036712646484375,48.924222540971101125251152552664279937744140625,43.6201055940427977475337684154510498046875,45.274208807641826979306642897427082061767578125,-1.82195501571703744048136286437511444091796875,-82.671590319528803547655115835368633270263671875,4.287850581377597336540929973125457763671875,-81.74382763145848684871452860534191131591796875,73.046052430799278454287559725344181060791015625,81.89642017883846847325912676751613616943359375,-700,
2,900,47.9049043244727954515838064253330230712890625,-35.312967314676342311940970830619335174560546875,-37.87652211066011886941851116716861724853515625,21.77495651112400310012162663042545318603515625,-16.751609851374865911566303111612796783447265625,-50.79805902279732521265032119117677211761474609375,82.799768059327988112272578291594982147216796875,64.4215216528824612396419979631900787353515625,-92.6755577257606688590385601855814456939697265625,75.768303476058235901291482150554656982421875,-29.7952208014160504490064340643584728240966796875,-92.4863429670094916446032584644854068756103515625,13.94390697958311875481740571558475494384765625,21.78716391491440163008519448339939117431640625,-49.12564470351268397507737972773611545562744140625,72.515030365916942400872358120977878570556640625,22.7454451124607004430799861438572406768798828125,-73.229163487655256403741077519953250885009765625,-53.4348582415234858444819110445678234100341796875,69.87212744529557539863162674009799957275390625,-23.3985412152470502178402966819703578948974609375,-45.25589770195623628978864871896803379058837890625,-52.72072511978515052533111884258687496185302734375,44.492934965056321061638300307095050811767578125,-88.1710257271034834047895856201648712158203125,-14.4199957274086756342512671835720539093017578125,69.69512009033479671415989287197589874267578125,-62.932218390453812162377289496362209320068359375,-45.62822351756340566453218343667685985565185546875,68.785668507950077810164657421410083770751953125,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,10.47700430310982255832641385495662689208984375,-97.2655415509506582338872249238193035125732421875,18.27753532517471057872171513736248016357421875,11.325418866542548812503810040652751922607421875,-85.3144932401501563390411320142447948455810546875,-35.038300729392375387760694138705730438232421875,92.114017151402322269859723746776580810546875,-50.19379253517258376859899726696312427520751953125,-22.3609118930631467492275987751781940460205078125,-53.91705069124424198889755643904209136962890625,82.39082003234960893678362481296062469482421875,-68.3523056733909157856032834388315677642822265625,83.904538102359083495684899389743804931640625,3.84228034302805099287070333957672119140625,76.976836451307718789394129998981952667236328125,49.82146671956542149928282015025615692138671875,-1.339762565996267085211002267897129058837890625,86.486404004028457848107791505753993988037109375,-20.072023682363351326785050332546234130859375,5.1057466353343414766641217283904552459716796875,-22.7271340067751026481346343643963336944580078125,-26.5175328836939598886601743288338184356689453125,28.891872920926545020847697742283344268798828125,7.229834894863728322889073751866817474365234375,77.404095583971667338119004853069782257080078125,-32.4320200201422181862653815187513828277587890625,28.775902584917758986193803139030933380126953125,-18.2042909024323336097950232215225696563720703125,-8.4444715720084246868282207287847995758056640625,98.62056337168490927069797180593013763427734375,-700,
