Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,3.396710104678476227491046302020549774169921875,-8.865627002777188181426026858389377593994140625,-0.747703482161938381977961398661136627197265625,47.6363414410840277923853136599063873291015625,11.6245002594073270074659376405179500579833984375,82.683797723319202077618683688342571258544921875,-45.36576433606982305946075939573347568511962890625,75.298318430127864075984689407050609588623046875,86.455885494552461523198871873319149017333984375,13.5471663563951523201467352919280529022216796875,85.277871028778946538295713253319263458251953125,49.73601489303263178953784517943859100341796875,-0.729392376476340587032609619200229644775390625,-15.5858027893917636674814275465905666351318359375,-53.032013916440320144829456694424152374267578125,-29.2397839289529173356640967540442943572998046875,-7.2786645100253366535980603657662868499755859375,-23.014007995849482313133194111287593841552734375,-12.08838160344248535693623125553131103515625,3.268532364879291662873583845794200897216796875,-51.08493301187170487764888093806803226470947265625,-36.08203375347147812135517597198486328125,0.0579851680043930173269473016262054443359375,-62.06549272133548811325454153120517730712890625,33.76873073519089984984020702540874481201171875,-65.129551072725604399238363839685916900634765625,32.2122867519150304360664449632167816162109375,62.65144810327461755150579847395420074462890625,33.60393078402051969533204101026058197021484375,-2.3224585711233913798423600383102893829345703125,-59163.7311511949155828915536403656005859375,
0,900,-1.120029297769093545866780914366245269775390625,4.9104281746879365755376056768000125885009765625,-5.087435529648729470864054746925830841064453125,2.945036164433730618839035741984844207763671875,-1.138340403454691340812132693827152252197265625,-6.07623523667103881962248124182224273681640625,2.816858424634546054221573285758495330810546875,3.244117557298494602946448139846324920654296875,-0.0579851680043930173269473016262054443359375,11.4719077120273453829213394783437252044677734375,-10.940885647144995118651422671973705291748046875,-1.99285866878261685997131280601024627685546875,-0.753807184057137646959745325148105621337890625,2.1881771294290075502431136555969715118408203125,5.2583391827143231012087198905646800994873046875,5.1606799523911348615001770667731761932373046875,3.097628711813712243383633904159069061279296875,1.4130069887386724758471245877444744110107421875,1.7487105929746320498452405445277690887451171875,-3.93993957335123923257924616336822509765625,-1.87688833277383082531741820275783538818359375,5.88091677602466234020539559423923492431640625,0.0579851680043930173269473016262054443359375,-2.4750511185033730043869582004845142364501953125,3.244117557298494602946448139846324920654296875,3.244117557298494602946448139846324920654296875,-3.750724814600062018143944442272186279296875,2.4323252052369781495144707150757312774658203125,-2.4201178014465796195509028621017932891845703125,-2.3224585711233913798423600383102893829345703125,-1275.8094040984242383274249732494354248046875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,72.521134067812141665854142047464847564697265625,-25.052644428846093660467886365950107574462890625,-47.57530442213202803714011679403483867645263671875,52.702414014099531414103694260120391845703125,-11.1972411267433784587410627864301204681396484375,-67.93115024262215229100547730922698974609375,-24.942777794732506890795775689184665679931640625,-12.4485000152592562017161981202661991119384765625,-48.70448927274392048047957359813153743743896484375,49.357585375530248938957811333239078521728515625,24.637592699972543641706579364836215972900390625,-23.3375041962950575680224574171006679534912109375,34.910122989593190823143231682479381561279296875,68.474379711294915296093677170574665069580078125,60.0390636921292752958834171295166015625,49.449140903958237913684570230543613433837890625,46.34235663930172677282826043665409088134765625,-89.91058076723533076801686547696590423583984375,30.61922055726796543240197934210300445556640625,-53.5386211737418733491722377948462963104248046875,-8.981597338785974216079921461641788482666015625,-11.8869594409008954016826464794576168060302734375,-47.62413403729362215699438820593059062957763671875,15.7994323557237379418438649736344814300537109375,5.4963835566270944354982930235564708709716796875,52.421643726920365224941633641719818115234375,58.311716055787854884329135529696941375732421875,44.743186742759490925891441293060779571533203125,97.076326792199466808597208000719547271728515625,15.7383953367717452920260257087647914886474609375,-69826.95886624770355410873889923095703125,
1,900,-7.8341013824884839777951128780841827392578125,-13.2969145786919824558935943059623241424560546875,0.424207281716377337943413294851779937744140625,1.7975402081362261696995119564235210418701171875,1.5350810266426577754828031174838542938232421875,-11.062959685048980418287101201713085174560546875,8.0355235450300597221939824521541595458984375,14.871669667653435453757992945611476898193359375,11.5085299233985409728120430372655391693115234375,-6.05792413098544102467712946236133575439453125,-2.9267250587481186130389687605202198028564453125,1.5594958342234548354099388234317302703857421875,2.786339915158549729312653653323650360107421875,4.165776543473612036905251443386077880859375,-8.1392864772484472268843092024326324462890625,9.76897488326670782043947838246822357177734375,-1.5106662190618607155556674115359783172607421875,-3.830072939237652462907135486602783203125,0.802636799218731766814016737043857574462890625,0.1373332926419834620901383459568023681640625,8.0355235450300597221939824521541595458984375,0.2471999267555702317622490227222442626953125,-3.78124332407605834305286407470703125,-2.3407696768089891747877118177711963653564453125,2.4689474166081737394051742739975452423095703125,-0.753807184057137646959745325148105621337890625,5.92364268929105719507788307964801788330078125,1.2787255470442886462478782050311565399169921875,-1.5228736228522592455192352645099163055419921875,3.006073183385723268656875006854534149169921875,-1940.853673028315597548498772084712982177734375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,13.3091219824823809858571621589362621307373046875,69.72563859981079303906881250441074371337890625,10.568559831537839954762603156268596649169921875,21.52470473342083323586848564445972442626953125,2.6947843867305465437311795540153980255126953125,-66.728720969267868667884613387286663055419921875,-83.6420789208655008906134753488004207611083984375,0.399792474135580278016277588903903961181640625,-10.788293099765013494106824509799480438232421875,22.9041413617358813326063682325184345245361328125,20.3466902676473324618200422264635562896728515625,-9.88494521927549385509337298572063446044921875,-12.045655690176090502063743770122528076171875,66.31366924039429022741387598216533660888671875,93.67046113467819168363348580896854400634765625,51.567125461592468127491883933544158935546875,-75.853755302591025611036457121372222900390625,21.390423291726420984559808857738971710205078125,67.406231879634987080862629227340221405029296875,39.329203161717572356792516075074672698974609375,14.670247505111859709359123371541500091552734375,-49.87640003662221488411887548863887786865234375,32.3770867030854105905746109783649444580078125,66.24652851954709831261425279080867767333984375,1.3214514603106835011203656904399394989013671875,-3.836176641132851727888919413089752197265625,-46.6475417340617042327721719630062580108642578125,55.650502029480861665433621965348720550537109375,13.6387218848231412948734941892325878143310546875,34.06781212805566383394761942327022552490234375,-62142.8442667079507373273372650146484375,
2,900,-1.80364391003143964553601108491420745849609375,-1.4923551133762629206103156320750713348388671875,-0.4730368968779572469429695047438144683837890625,-1.290932950834672965356730856001377105712890625,-0.0946073793755886072176508605480194091796875,-0.766014587847536176923313178122043609619140625,-4.3488876003296041972134844399988651275634765625,-1.91961424604022568018990568816661834716796875,-7.2542497024445395936709246598184108734130859375,-3.097628711813712243383633904159069061279296875,3.128147221289708568292553536593914031982421875,0.2471999267555702317622490227222442626953125,0.784325693533133971868664957582950592041015625,11.3559373760185593482674448750913143157958984375,-3.073213904232915183456498198211193084716796875,-6.13116855372783220445853658020496368408203125,6.24713888973661823911243118345737457275390625,-2.6093325601977568339862045831978321075439453125,1.4618366039002665957013959996402263641357421875,-10.818811609241009819015744142234325408935546875,-0.753807184057137646959745325148105621337890625,-5.117954039124725795772974379360675811767578125,-3.006073183385723268656875006854534149169921875,1.7487105929746320498452405445277690887451171875,-1.78533280434584185059065930545330047607421875,5.1606799523911348615001770667731761932373046875,0.2471999267555702317622490227222442626953125,-12.906277657399215286204707808792591094970703125,8.2186346018860518825022154487669467926025390625,-5.117954039124725795772974379360675811767578125,-1523.633119355586359233711846172809600830078125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,34.879604480117194498234312050044536590576171875,-35.264137699514748192086699418723583221435546875,-50.4318369090853622083159280009567737579345703125,-58.3849604785302318532558274455368518829345703125,80.1873836481826174349407665431499481201171875,-98.779259620960118581933784298598766326904296875,-22.5440229499191246986811165697872638702392578125,27.6650288399914501269449829123914241790771484375,-12.277596362193662571371532976627349853515625,25.144199957274082635194645263254642486572265625,16.4891506698812833064948790706694126129150390625,57.078768272957546514589921571314334869384765625,-73.4977263710440382737942854873836040496826171875,32.3892941068758091205381788313388824462890625,67.656483657338185366825200617313385009765625,2.0050660725730296007895958609879016876220703125,-2.10882900479140289462520740926265716552734375,41.715750602740541808088892139494419097900390625,0.595110934781956757433363236486911773681640625,-22.1350749229407739449015934951603412628173828125,8.6031678212836055763546028174459934234619140625,-26.21234778893398242871626280248165130615234375,6.49739066743978810336557216942310333251953125,-17.7648243659779581093971501104533672332763671875,3.054902798547317388511146418750286102294921875,-82.708212530899999137545819394290447235107421875,47.032074953459272137479274533689022064208984375,33.133945738090147870025248266756534576416015625,42.16132084109011657346854917705059051513671875,47.7767265846736108869663439691066741943359375,-59602.154570743557997047901153564453125,
