Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,-14.749595629749450154122314415872097015380859375,-0.839259010589927356704720295965671539306640625,-71.086764122440257551716058515012264251708984375,-94.18927579577012920708511956036090850830078125,35.465559862056323936485568992793560028076171875,31.052583391827141667818068526685237884521484375,34.34247871333963075812789611518383026123046875,-15.5491805780205680775907239876687526702880859375,47.251808221686445676823495887219905853271484375,-6.4912869655446030492385034449398517608642578125,42.17963194677571436841390095651149749755859375,98.61445966978971000571618787944316864013671875,-67.027802362132632651992025785148143768310546875,-49.39420758690145163427587249316275119781494140625,-45.54277169103061595478720846585929393768310546875,-13.4311960203863662854928406886756420135498046875,-38.41364787743766129324285429902374744415283203125,-0.2960295419171785624712356366217136383056640625,33.87859736930448661951231770217418670654296875,14.31623279519027391870622523128986358642578125,50.822473830378129378004814498126506805419921875,-4.3305764946440064022681326605379581451416015625,51.274147770622903408366255462169647216796875,52.3545030060731733101420104503631591796875,-53.41044343394268167912741773761808872222900390625,2.822962126529745319203357212245464324951171875,-42.30780968657490603845872101373970508575439453125,70.805993835261091362553997896611690521240234375,48.0513931699575778111466206610202789306640625,76.897488326670128344630938954651355743408203125,-30961358377.99362945556640625,
0,900,-0.1800592059083783169626258313655853271484375,0.1312295907467841971083544194698333740234375,4.7456282235175564210294396616518497467041015625,-1.004058961760307511212886311113834381103515625,-2.2553178502761994650427368469536304473876953125,-0.4303109836115623920704820193350315093994140625,-2.00506607257301538993488065898418426513671875,-1.022370067445905306158238090574741363525390625,-6.5034943693350015792020712979137897491455078125,3.7568285164952612831257283687591552734375,3.244117557298494602946448139846324920654296875,0.2471999267555702317622490227222442626953125,1.7487105929746320498452405445277690887451171875,-3.5187841425824757379814400337636470794677734375,-4.5869319742423755315030575729906558990478515625,9.89715262306589238505694083869457244873046875,-7.7547532578508935330319218337535858154296875,5.5757316812646848802614840678870677947998046875,-11.2521744438001718435771181248128414154052734375,-1.181066316721086195684620179235935211181640625,0.589007232886757492451579309999942779541015625,-4.3305764946440064022681326605379581451416015625,1.7487105929746320498452405445277690887451171875,0.521866512039565577651956118643283843994140625,-3.81786553544725393294356763362884521484375,-5.2766502883999208961540716700255870819091796875,-7.9317606128116722175036557018756866455078125,-5.4902798547318951705165090970695018768310546875,5.6062501907406812051704037003219127655029296875,47.9415265358439910414745099842548370361328125,-3778236.1130912541411817073822021484375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,13.67534409619435109561891295015811920166015625,71.8985564745017882160027511417865753173828125,-39.68932157353435030699984054081141948699951171875,50.16937772759177960324450396001338958740234375,-39.70763267921994810194519232027232646942138671875,-77.80693990905484724862617440521717071533203125,10.50752281258581888323533348739147186279296875,-73.064363536484876249232911504805088043212890625,-12.076174199652086826972663402557373046875,-69.157994323557232974053476937115192413330078125,-38.908047730948823073049425147473812103271484375,21.92754905850398472466622479259967803955078125,-15.8909878841517411274253390729427337646484375,30.11871700186162570389569737017154693603515625,-11.6306039613025262724477215670049190521240234375,-13.2053590502639934811668354086577892303466796875,-68.3706167790765135805486352182924747467041015625,57.249671926023125934079871512949466705322265625,-31.5347758415478978122337139211595058441162109375,43.845942564165170551859773695468902587890625,-24.7535630359813154655057587660849094390869140625,53.78276924954985815929831005632877349853515625,-67.864009521774960376205854117870330810546875,74.938200018311107442059437744319438934326171875,-33.6954863124484944592040847055613994598388671875,-14.3711661122470815143969957716763019561767578125,-41.61198767052217561968063819222152233123779296875,-45.88457899716177479376710834912955760955810546875,8.6214789269692033712999545969069004058837890625,70.24445326090273056252044625580310821533203125,-23487235269.242420196533203125,
1,900,-2.2919400616473950549334404058754444122314453125,2.4018066957609818246055510826408863067626953125,6.784264656514181979218847118318080902099609375,3.152562028870505628219689242541790008544921875,0.2471999267555702317622490227222442626953125,2.6398510696737531588951242156326770782470703125,6.24713888973661823911243118345737457275390625,2.1027253028962178404981386847794055938720703125,-0.0274666585283966924180276691913604736328125,4.7456282235175564210294396616518497467041015625,-0.790429395428333236850448884069919586181640625,-6.30207220679341162394848652184009552001953125,-1.94402905362102274011704139411449432373046875,-5.240028077028711095408652909100055694580078125,-0.753807184057137646959745325148105621337890625,5.7466353343302642997514340095221996307373046875,-3.927732169560840702615678310394287109375,-0.2533036286507837075987481512129306793212890625,1.4740440076906651256649638526141643524169921875,1.7487105929746320498452405445277690887451171875,1.5350810266426577754828031174838542938232421875,-7.071138645588547433362691663205623626708984375,-1.4862514114810636556285317055881023406982421875,-6.8147831659901640932730515487492084503173828125,2.6886806848353472787493956275284290313720703125,2.926725058748132823893683962523937225341796875,14.987640003662221488411887548863887786865234375,5.2766502883999208961540716700255870819091796875,8.6153752250740041063181706704199314117431640625,83.141575365459146951252478174865245819091796875,-7654253.525651291944086551666259765625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-53.95367290261543757878825999796390533447265625,-22.7576525162510989730435539968311786651611328125,58.690145573290209313199738971889019012451171875,23.1299783318582825586418039165437221527099609375,7.5228125858333214637241326272487640380859375,35.441145054475526876558433286845684051513671875,-7.4434644611957168081062263809144496917724609375,-79.5587023529770789309623069129884243011474609375,-99.9755851924192029400728642940521240234375,8.2552568132572474723929190076887607574462890625,16.1839655751213200574056827463209629058837890625,74.18134098330637016260880045592784881591796875,-42.783898434400470023319940082728862762451171875,20.932645649586476110926014371216297149658203125,41.178624835963006489691906608641147613525390625,-44.846949674977878430581768043339252471923828125,-10.09857478560746812945581041276454925537109375,-20.2185125278481478972025797702372074127197265625,-11.2094485305337769887046306394040584564208984375,31.504257332071887276470079086720943450927734375,48.5580004272591168046346865594387054443359375,57.371745963927111233715550042688846588134765625,32.486953337199025781956152059137821197509765625,-35.129856257820364362487453036010265350341796875,59.569078646198903470576624386012554168701171875,-63.59141819513535409669202635996043682098388671875,44.273201696829147522294078953564167022705078125,57.133701590014339899425976909697055816650390625,24.2713705862605593210901133716106414794921875,38.865321817682428218176937662065029144287109375,-26595400955.2610015869140625,
2,900,-0.0335703604235959573998115956783294677734375,5.1057466353343414766641217283904552459716796875,5.1484725486007363315366092137992382049560546875,2.3651844843897862347148475237190723419189453125,0.491348002563569252743036486208438873291015625,-1.87078463087863156033563427627086639404296875,-6.44245735038299471852951683104038238525390625,-0.753807184057137646959745325148105621337890625,-5.78325754570147410049685277044773101806640625,-10.27558214056824681392754428088665008544921875,-13.3152256843775802508389460854232311248779296875,-4.2512283700064159575049416162073612213134765625,-10.4464857936338404442722094245254993438720703125,11.7465742973113123071016161702573299407958984375,5.4536576433606995806258055381476879119873046875,-1.046784875026702366085373796522617340087890625,2.1088290047914171054799226112663745880126953125,2.4567400128177752094416064210236072540283203125,-9.103671376689959515715599991381168365478515625,1.6632587664418423401002655737102031707763671875,-3.6042359691152654477264150045812129974365234375,-2.6886806848353472787493956275284290313720703125,-4.8738059633167409856469021178781986236572265625,-2.8962065492721222881300491280853748321533203125,13.5044404431287574652742478065192699432373046875,-3.054902798547317388511146418750286102294921875,-1.6022217474898496902824263088405132293701171875,0.668355357524347937214770354330539703369140625,-7.144383068330938613144098781049251556396484375,40.824610126041449120748438872396945953369140625,-12055181.5611160956323146820068359375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,50.34028138065735902273445390164852142333984375,8.2857753227332437973018386401236057281494140625,26.04144413586840300922631286084651947021484375,-35.172582171086759217359940521419048309326171875,70.13458662678914379284833557903766632080078125,-30.942716757713554898145957849919795989990234375,-28.147221289712206271360628306865692138671875,-93.4446241645558046684527653269469738006591796875,-24.4117557298501424156711436808109283447265625,76.177251503036615076780435629189014434814453125,21.62236396374402147557702846825122833251953125,50.01068147831659871371812187135219573974609375,-65.160069582201600724147283472120761871337890625,57.87224951933347938393126241862773895263671875,60.1123081148716664756648242473602294921875,-66.814172795800658377629588358104228973388671875,-66.838587603381455437556724064052104949951171875,5.4536576433606995806258055381476879119873046875,-6.942960905789362868745229206979274749755859375,5.3071687978759172210629913024604320526123046875,72.716452528458518145271227695047855377197265625,57.011627552110354599790298379957675933837890625,29.251991332743301654772949405014514923095703125,-14.6153141880550521136683528311550617218017578125,-46.06769005401775984864798374474048614501953125,-7.7486495559556942680501379072666168212890625,73.668630024109603482429520227015018463134765625,-9.99481185338908062476548366248607635498046875,17.380291146580390204690047539770603179931640625,-37.205114902188171299712848849594593048095703125,-30932838917.089221954345703125,
