Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,-4.6662800988799659762662486173212528228759765625,25.351725821710857644575298763811588287353515625,-28.4646137882625822612681076861917972564697265625,-84.25244911038544159964658319950103759765625,34.958952604754784942997503094375133514404296875,-8.6519974364451996962088742293417453765869140625,-26.5846736045411518034597975201904773712158203125,-0.5340739158299498967608087696135044097900390625,27.7016510513626457168356864713132381439208984375,46.580401013214526528827263973653316497802734375,77.581102938932446022590738721191883087158203125,-32.4442274239326167162289493717253208160400390625,19.016083254493850063227000646293163299560546875,43.241676076540414896953734569251537322998046875,-56.3768425550096168308300548233091831207275390625,-47.9964598529007844263105653226375579833984375,34.45844904934841679278179071843624114990234375,-15.421002838221369302118546329438686370849609375,-12.25928525650806477642618119716644287109375,-0.1251258888515849321265704929828643798828125,20.3405865657521331968382582999765872955322265625,18.442335276345119154939311556518077850341796875,24.723044526505333351451554335653781890869140625,69.139683217871635179108125157654285430908203125,-19.5348979155858017975333495996892452239990234375,-22.1778008362071687997740809805691242218017578125,-26.6762291329691407781865564174950122833251953125,16.849269081698054151274845935404300689697265625,-69.70122379222999597914167679846286773681640625,57.060457167271948719644569791853427886962890625,-5796.05496669227795791812241077423095703125,
0,900,-4.5014801477095858217580826021730899810791015625,3.726310007019264958216808736324310302734375,-1.98065126499221833000774495303630828857421875,-7.9805902279732663373579271137714385986328125,0.0274666585283966924180276691913604736328125,1.6815698721274401350456173531711101531982421875,0.1861629078035775819444097578525543212890625,-0.5340739158299498967608087696135044097900390625,4.7456282235175564210294396616518497467041015625,-0.753807184057137646959745325148105621337890625,4.6662800988799659762662486173212528228759765625,3.146458326975306363237905316054821014404296875,7.7364421521652957380865700542926788330078125,-0.753807184057137646959745325148105621337890625,4.7456282235175564210294396616518497467041015625,1.7487105929746320498452405445277690887451171875,2.2675252540665979950063046999275684356689453125,-8.1698049867244435517932288348674774169921875,1.4252143925290710058106924407184123992919921875,-1.5778069399090526303552906028926372528076171875,3.616443372905678188544698059558868408203125,3.244117557298494602946448139846324920654296875,8.2125308999908526175204315222799777984619140625,1.7487105929746320498452405445277690887451171875,-0.5462813196203484267243766225874423980712890625,-4.4709616382335894968491629697382450103759765625,0.2471999267555702317622490227222442626953125,-2.07831049531540656971628777682781219482421875,1.4191106906338717408289085142314434051513671875,7.6570940275277052933233790099620819091796875,-1063.170216429311039973981678485870361328125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,3.445539719840070347345317713916301727294921875,8.3956419568468305669739493168890476226806640625,77.78252510147405018869903869926929473876953125,94.409009063997331168138771317899227142333984375,-55.32090212714010846184464753605425357818603515625,-7.8035828730124876528861932456493377685546875,-18.607135227515499309447477571666240692138671875,-53.4714804528946814343726146034896373748779296875,-25.83391827143162799984565936028957366943359375,-65.6300546281319583385993610136210918426513671875,-88.0794701986754944300628267228603363037109375,32.1024201178014436663943342864513397216796875,-49.4552446058534513895210693590342998504638671875,-36.936552018799403640514356084167957305908203125,11.5329447309793380327391787432134151458740234375,-10.22675252540665269407327286899089813232421875,41.721854304635741073070676065981388092041015625,36.429944761497864647026290185749530792236328125,91.540269173253562939862604252994060516357421875,-23.3680227057710538929313770495355129241943359375,25.60808130130925519551965408027172088623046875,-46.01275673696096646381192840635776519775390625,-22.8247932370982908878431771881878376007080078125,57.310708944975118583897710777819156646728515625,-18.741416669209883139046723954379558563232421875,90.04486220892971459761611185967922210693359375,2.6520584734641516888586920686066150665283203125,-5.66728720969268806584295816719532012939453125,78.624835963011577177894650958478450775146484375,11.154515213476969393013860099017620086669921875,-7156.2897199823955816100351512432098388671875,
1,900,3.244117557298494602946448139846324920654296875,-1.089510788293097220957861281931400299072265625,-10.5014191106906338291082647629082202911376953125,-5.4170354319895039907351019792258739471435546875,-0.1800592059083783169626258313655853271484375,-0.3326517532883741523619391955435276031494140625,3.89110995818964511272497475147247314453125,-9.134189886165955840624519623816013336181640625,4.7456282235175564210294396616518497467041015625,-3.98876918851283335243351757526397705078125,-3.921628467665641437633894383907318115234375,2.865688039796140174075844697654247283935546875,6.796472060304580509182414971292018890380859375,2.0599993896298229856256511993706226348876953125,-8.4871974852748195417007082141935825347900390625,0.1251258888515849321265704929828643798828125,-13.2541886654255876010211068205535411834716796875,1.7487105929746320498452405445277690887451171875,5.3376873073519135459719109348952770233154296875,-3.750724814600062018143944442272186279296875,-11.4719077120273453829213394783437252044677734375,10.983611560411389973523910157382488250732421875,-2.2553178502761994650427368469536304473876953125,1.7487105929746320498452405445277690887451171875,4.7456282235175564210294396616518497467041015625,1.1810663167211004065393353812396526336669921875,1.9684438612018340108988923020660877227783203125,-4.2512283700064159575049416162073612213134765625,-8.7313455610827901409720652736723423004150390625,3.152562028870505628219689242541790008544921875,-1131.388158733008822309784591197967529296875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,16.910306100650046801092685200273990631103515625,39.396343882564764271592139266431331634521484375,93.328653828547004422944155521690845489501953125,88.2869960631122694394434802234172821044921875,40.946684163945434420384117402136325836181640625,2.1027253028962178404981386847794055938720703125,-39.93346964934232090627119760029017925262451171875,-13.7974181340983221843998762778937816619873046875,15.3843806268501879230825579725205898284912109375,90.740684224982459227248909883201122283935546875,65.147862178411202194183715619146823883056640625,11.160618915372168657995644025504589080810546875,16.2633136997589105021688737906515598297119140625,35.80126346629231193219311535358428955078125,0.442518387401975132888765074312686920166015625,41.209143345439002814600826241075992584228515625,42.710654011658078843538532964885234832763671875,-48.3138523514511604162180447019636631011962890625,-10.989715262306589238505694083869457244873046875,-65.288247322000785288764745928347110748291015625,21.72002319406720971528557129204273223876953125,45.323038422803421099160914309322834014892578125,39.8052919095431434470810927450656890869140625,-54.29548020874660352319551748223602771759033203125,-38.76155888546403360805925331078469753265380859375,76.677755058442954805286717601120471954345703125,-13.96221808526871654976275749504566192626953125,41.593676564836556508453213609755039215087890625,-11.8991668446912939316462143324315547943115234375,97.247230445265046228087157942354679107666015625,-7001.6460758385583176277577877044677734375,
2,900,5.7405316324350650347696500830352306365966796875,-4.7700430310983534809565753675997257232666015625,-6.6743980224005809986920212395489215850830078125,2.865688039796140174075844697654247283935546875,-3.5004730368968779430360882543027400970458984375,-0.973540452284311186303966678678989410400390625,0.540177617725163372597307898104190826416015625,8.0050050355540633972850628197193145751953125,-10.27558214056824681392754428088665008544921875,1.7181920834986357249363209120929241180419921875,-2.5299844355601663892230135388672351837158203125,-3.750724814600062018143944442272186279296875,-2.8534806360057274332575616426765918731689453125,3.69579149754326863330788910388946533203125,1.016266365550706041176454164087772369384765625,-0.711081270790742792087257839739322662353515625,-1.358073671681864880156354047358036041259765625,-1.90740684224982715022633783519268035888671875,-3.9033173619800436426885426044464111328125,5.7344279305398657697878661565482616424560546875,3.6591692861720730434171855449676513671875,2.841273232215343114148708991706371307373046875,8.5482345042268121915185474790632724761962890625,2.4262215033417788845326867885887622833251953125,2.0172734763634281307531637139618396759033203125,3.78124332407605834305286407470703125,-1.260414441358676640447811223566532135009765625,-1.065095980712300161030725575983524322509765625,-5.92974639118625646005966700613498687744140625,0.741599780266739116996177472174167633056640625,-1069.116334140109756845049560070037841796875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,39.4573809015167853431194089353084564208984375,-89.7213660084841393427268485538661479949951171875,25.327311014130060584648163057863712310791015625,27.780999176000250372453592717647552490234375,44.608905301065107096292194910347461700439453125,18.430127872554720624975743703544139862060546875,16.1229285561693274075878434814512729644775390625,-9.82390820032350120527553372085094451904296875,38.901944029053623808067641220986843109130859375,68.266853846858111865003593266010284423828125,-50.4928739280373548581337672658264636993408203125,-84.4599749748222308198819519020617008209228515625,-30.4910428174687950786392320878803730010986328125,22.7637562181462982380253379233181476593017578125,-47.9354228339487917764927260577678680419921875,-57.91497543259987423880374990403652191162109375,-8.6886196478163952860995777882635593414306640625,-3.927732169560840702615678310394287109375,-34.4279305398724346787275862880051136016845703125,-4.2451246681112166925231576897203922271728515625,88.4334849085970517990062944591045379638671875,19.9804681539353765629130066372454166412353515625,85.308389538254942863204632885754108428955078125,-21.99468977935117663946584798395633697509765625,-33.6222418897061032794226775877177715301513671875,-7.034516434217351843471988104283809661865234375,-95.031586657307656196280731819570064544677734375,-22.1289712210455746799198095686733722686767578125,6.28986480300301309398491866886615753173828125,-42.930387279885252382882754318416118621826171875,-6938.650496878150079282931983470916748046875,
