Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,86.10187078463087573254597373306751251220703125,70.842616046632286952444701455533504486083984375,-62.840662862025823187650530599057674407958984375,54.606769005401787353548570536077022552490234375,-35.929441206091496496810577809810638427734375,32.554094058046217696755775250494480133056640625,69.96978667561876363834016956388950347900390625,66.05731376079592109817895106971263885498046875,-51.45115512558366077655591652728617191314697265625,65.44694357127599460000055842101573944091796875,79.009369182409130871747038327157497406005859375,8.1942197943052406117203645408153533935546875,-47.78283028656880304652077029459178447723388671875,-32.3282570879238306815750547684729099273681640625,69.090853602710041059253853745758533477783203125,-10.745567186498618639234337024390697479248046875,-98.16888943144016366204596124589443206787109375,33.79314554277169690976734273135662078857421875,76.354258857997393761252169497311115264892578125,5.5696279793694856152797001414000988006591796875,19.040498062074647123154136352241039276123046875,-66.6127506332590684223760035820305347442626953125,-35.264137699514748192086699418723583221435546875,-92.236091189306307569495402276515960693359375,70.54963835566269381160964258015155792236328125,-35.001678518021179797869990579783916473388671875,-49.6566667683950271339199389331042766571044921875,-61.4551225318155474042214336805045604705810546875,86.950285348063601986723369918763637542724609375,36.649678029725038186370511539280414581298828125,-1260300.91562923113815486431121826171875,
0,900,-27.3232215338602912879650830291211605072021484375,-28.922391430402541345756617374718189239501953125,8.7496566667683879359174170531332492828369140625,-6.11896114993743367449496872723102569580078125,-35.929441206091496496810577809810638427734375,32.554094058046217696755775250494480133056640625,-30.5459761345255884634752874262630939483642578125,-13.2541886654255876010211068205535411834716796875,-69.237342448194823418816667981445789337158203125,-12.5217444380016473814976052381098270416259765625,3.061006500442516653492930345237255096435546875,-12.021240882595293442136608064174652099609375,-45.87847529526657552878532442264258861541748046875,-10.953093050935393648614990524947643280029296875,-4.4953764458143865567762986756861209869384765625,27.4941251869258707074550329707562923431396484375,-2.8412732322153289032939937897026538848876953125,-10.4037598803674455893997219391167163848876953125,8.7496566667683879359174170531332492828369140625,-18.753624073000281669010291807353496551513671875,-1.82805871761223670546314679086208343505859375,27.4330881679738780576371937058866024017333984375,-16.2083803827021029064781032502651214599609375,16.989654225287637245855876244604587554931640625,54.661702322458580738384625874459743499755859375,-35.001678518021179797869990579783916473388671875,14.02935880611590846456238068640232086181640625,-6.8025757621997655633094836957752704620361328125,9.96429334391308429985656403005123138427734375,18.11273537400433042421354912221431732177734375,-20740.1988269165231031365692615509033203125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,63.426618243964952625901787541806697845458984375,-12.4668111209448539966615498997271060943603515625,67.900631733146155966096557676792144775390625,-68.120365001373329505440779030323028564453125,80.0775170140690306652686558663845062255859375,51.060518204290900712294387631118297576904296875,-42.03924680318613837926022824831306934356689453125,28.293710135196988630923442542552947998046875,-70.37873470259711439211969263851642608642578125,-60.905789361247599345006165094673633575439453125,75.402081362346280002384446561336517333984375,58.226264229255065174584160558879375457763671875,-90.24018066957609107703319750726222991943359375,-61.72368541520432216884728404693305492401123046875,-25.5714590899380453947742353193461894989013671875,-35.9111301004058987018652260303497314453125,-11.7587817011017108370651840232312679290771484375,77.336954863124475423319381661713123321533203125,-11.044648579363382623341749422252178192138671875,-40.7391582995086452001487486995756626129150390625,21.073030793176059205507044680416584014892578125,85.454878383739725222767447121441364288330078125,-51.77465132602923603144517983309924602508544921875,-78.2952360606708026580236037261784076690673828125,-15.6468398083437563172992668114602565765380859375,-80.0225836970122372804326005280017852783203125,23.3680227057710538929313770495355129241943359375,76.195562608722212871725787408649921417236328125,34.824671163060401113398256711661815643310546875,44.828638569292280635636416263878345489501953125,-177495.7129735015914775431156158447265625,
1,900,55.497909482100880040889023803174495697021484375,-12.4668111209448539966615498997271060943603515625,59.495834223456512290795217268168926239013671875,36.783959471419422015969757921993732452392578125,54.637287514877783678457490168511867523193359375,49.83977782525101929422817192971706390380859375,18.692587054048289019192452542483806610107421875,23.9417706839197990120737813413143157958984375,-50.3769035920285688234798726625740528106689453125,-0.845362712485126621686504222452640533447265625,-47.9903561510055851613287813961505889892578125,-89.4711142307809694784737075679004192352294921875,22.6416821802423129383896593935787677764892578125,-30.25910214545120879847672767937183380126953125,2.6764732810449487487858277745544910430908203125,-41.032135990478224130129092372953891754150390625,-70.4763939329203168426829506643116474151611328125,31.107516708883935052654123865067958831787109375,-18.3507797479171159693578374572098255157470703125,31.345561082796706386943696998059749603271484375,12.1372112186040936876452178694307804107666015625,-34.5316934720908221834179130382835865020751953125,46.958830530716880957697867415845394134521484375,-85.4731894894253372285675141029059886932373046875,-23.044526505325478638042113743722438812255859375,-7.4861903744621116629787138663232326507568359375,4.18408764915920983185060322284698486328125,79.5892208624530894667259417474269866943359375,15.3416547135837930682100704871118068695068359375,46.14093447676015102842939086258411407470703125,-58261.3282012466297601349651813507080078125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-65.73381756035036005414440296590328216552734375,10.831019013031408348979311995208263397216796875,2.2064882351146053451884654350578784942626953125,-10.6967375713370103085253504104912281036376953125,-2.01116977446821465491666458547115325927734375,92.632831812494288215020787902176380157470703125,45.481734672078601988687296397984027862548828125,11.7893002105777071619741036556661128997802734375,5.2644428846095223661905038170516490936279296875,-20.5725272377697052661460475064814090728759765625,-36.17358928189947420150929247029125690460205078125,92.645039216284686744984355755150318145751953125,-12.765892513809632191623677499592304229736328125,74.02264473403118927308241836726665496826171875,96.887112033448289594161906279623508453369140625,48.7838373973814896089606918394565582275390625,-19.077120273445842713044839911162853240966796875,-59.6240119632557110662673949263989925384521484375,-30.765709402752776213674223981797695159912109375,-45.92120120853297748908516950905323028564453125,-26.804406872768339553658734075725078582763671875,92.889187292092657344255712814629077911376953125,-42.06366161076693543918736395426094532012939453125,32.2794274727622223508660681545734405517578125,35.65477462080752957263030111789703369140625,-68.987090670491653554563526995480060577392578125,-66.3563951536606992931410786695778369903564453125,85.65019684438613012389396317303180694580078125,-49.4430372020630528595575015060603618621826171875,-47.41660817285683293675901950336992740631103515625,-165407791.1597496569156646728515625,
2,900,-1.81585131382183817549957893788814544677734375,10.831019013031408348979311995208263397216796875,-42.875453962828458998046698980033397674560546875,-2.4811548203985722693687421269714832305908203125,-63.62804040650654968658272991888225078582763671875,65.227210303048792638946906663477420806884765625,-45.28031250953703334971578442491590976715087890625,-38.29157383953367599360717576928436756134033203125,16.5257728812524788963855826295912265777587890625,21.88482314523758986979373730719089508056640625,31.9437238685262627768679521977901458740234375,17.246009704886006375090801157057285308837890625,-32.3343607898190299465568386949598789215087890625,-43.62620929593798990708819474093616008758544921875,12.1250038148136951576816500164568424224853515625,48.4969634083071241548168472945690155029296875,0.747703482161938381977961398661136627197265625,8.2430494094668489424293511547148227691650390625,-11.947996459852902262355200946331024169921875,41.496017334513368268744670785963535308837890625,6.24713888973661823911243118345737457275390625,-17.252113406781205640072585083544254302978515625,-18.753624073000281669010291807353496551513671875,22.6111636707663166134807397611439228057861328125,5.7466353343302642997514340095221996307373046875,3.69579149754326863330788910388946533203125,-28.3791619617297925515231327153742313385009765625,-14.755699331644649419104098342359066009521484375,-11.3986632892849542031399323605000972747802734375,15.4026917325357857180279097519814968109130859375,-26177.25649155312567017972469329833984375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,-82.6227607043671952169461292214691638946533203125,-64.5130771813104644252234720624983310699462890625,14.38947721793266509848763234913349151611328125,-92.7182836390270637139110476709902286529541015625,56.804101687673579590409644879400730133056640625,17.392498550370788734653615392744541168212890625,53.025910214545120879847672767937183380126953125,-22.3120822779015526293733273632824420928955078125,-24.881740775780514240977936424314975738525390625,-82.885219885860777822017553262412548065185546875,-4.8677022614215417206651181913912296295166015625,11.154515213476969393013860099017620086669921875,16.800439466536460031420574523508548736572265625,-85.3999450666829460487861069850623607635498046875,85.79668568987091248345677740871906280517578125,-59.22116763817255247204229817725718021392822265625,79.296243171483496325890882872045040130615234375,-17.349772637104393879781127907335758209228515625,36.747337260048226426079054363071918487548828125,-44.779808954130686515782144851982593536376953125,-18.15546128727072527908603660762310028076171875,68.08984649189733318053185939788818359375,-2.5299844355601663892230135388672351837158203125,1.8829920346690158794444869272410869598388671875,73.99212622455519294817349873483180999755859375,-7.4800866725669123979969299398362636566162109375,18.03949095126193924443214200437068939208984375,32.2855311746574216158478520810604095458984375,-83.95947141941587688052095472812652587890625,-37.3577074495681671351121622137725353240966796875,-21262503.1627223789691925048828125,
