Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,-68.962675862910856494636391289532184600830078125,28.354747154148981280741281807422637939453125,28.464613788262568050413392484188079833984375,50.474562822351771274043130688369274139404296875,16.812646870326858561384142376482486724853515625,90.728476821192060697285342030227184295654296875,84.185308389538249684846960008144378662109375,-45.66484572893460125442288699559867382049560546875,13.99273659474471287467167712748050689697265625,31.9193090609454657169408164918422698974609375,-26.33442182683796772835194133222103118896484375,61.33304849391157631544047035276889801025390625,79.8699911496322556558880023658275604248046875,-25.3089999084444770005575264804065227508544921875,-88.4762108218634608647334971465170383453369140625,39.6221808526871654976275749504566192626953125,8.4383678701132254218464368022978305816650390625,97.30216376232186803463264368474483489990234375,-23.3130893887142605080953217111527919769287109375,-37.5591296121097428795110317878425121307373046875,27.5368511001922655623275204561650753021240234375,-52.67799920651875567045863135717809200286865234375,75.975829340495010910672135651111602783203125,-50.5844294564653438328605261631309986114501953125,-8.7008270516067938160631456412374973297119140625,-35.245826593829150397141347639262676239013671875,58.983123264259774032325367443263530731201171875,72.954496902371289479560800828039646148681640625,4.8615985595263424556833342649042606353759765625,6.704916531876591534455656073987483978271484375,-73.4366893520920456239764462225139141082763671875,-91.4731284524063852359176962636411190032958984375,37.046418652912990410186466760933399200439453125,-3.921628467665641437633894383907318115234375,-54.850917081209757952819927595555782318115234375,79.6990874965666762363980524241924285888671875,47.8377636036256035367841832339763641357421875,-67.93115024262215229100547730922698974609375,-12.3203222754600716370987356640398502349853515625,20.2429273354289449571297154761850833892822265625,-32.6151310769981961357188993133604526519775390625,-80.3155613879818019995582289993762969970703125,-63.5486922818689521363921812735497951507568359375,-30.5948057496871825833295588381588459014892578125,-76.5923032319101508846870274282991886138916015625,22.3548081911679474842458148486912250518798828125,8.6092715231788048413363867439329624176025390625,-36.32618182927945582605389063246548175811767578125,-2.5055696279793693292958778329193592071533203125,-81.71330912198249052380560897290706634521484375,-38971.11054547014646232128143310546875,
0,1500,0.674459059419547202196554280817508697509765625,6.778160954618982714237063191831111907958984375,-11.5939817499313306825570180080831050872802734375,-4.4831690420239880268127308227121829986572265625,3.244117557298494602946448139846324920654296875,-7.107760856959743023253395222127437591552734375,2.2858363597521957899516564793884754180908203125,-16.5990173039948700761669897474348545074462890625,11.215552232428962042831699363887310028076171875,0.955229346598713391358614899218082427978515625,-3.140354625080107098256121389567852020263671875,4.104739524521619387087412178516387939453125,-8.1087679677724509019753895699977874755859375,1.3763847773674768859564210288226604461669921875,8.2369457075716496774475672282278537750244140625,-0.1617481002227805220172740519046783447265625,31.9742423780022591017768718302249908447265625,0.430310983611576602925197221338748931884765625,0.0152592547379981624544598162174224853515625,15.5735953856013651375178596936166286468505859375,4.129154332102416447014547884464263916015625,-1.028473769341104571140022017061710357666015625,-8.6703085421307974911542260088026523590087890625,-3.122043519394509303310769610106945037841796875,12.3752555925168650219347910024225711822509765625,7.7425458540604950030683539807796478271484375,7.248146000549326117834425531327724456787109375,-11.9052705465864931966279982589185237884521484375,-19.833979308450579992495477199554443359375,-3.8056581316568554029799997806549072265625,4.13525803399761571199633181095123291015625,3.958250679036837027524597942829132080078125,-4.904324472792751521410536952316761016845703125,0.906399731437119271504343487322330474853515625,5.88702047791986160518717952072620391845703125,11.7465742973113123071016161702573299407958984375,-16.751609851374865911566303111612796783447265625,8.7496566667683879359174170531332492828369140625,11.7465742973113123071016161702573299407958984375,0.0335703604235959573998115956783294677734375,0.625629444257953082342282868921756744384765625,7.5289162877285207287059165537357330322265625,2.786339915158549729312653653323650360107421875,1.120029297769093545866780914366245269775390625,-7.9622791222876685424125753343105316162109375,3.244117557298494602946448139846324920654296875,7.248146000549326117834425531327724456787109375,1.156651509140289135757484473288059234619140625,-2.5055696279793693292958778329193592071533203125,-14.755699331644649419104098342359066009521484375,-1441.8572300973837627680040895938873291015625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,7.6265755180517089684144593775272369384765625,7.7364421521652957380865700542926788330078125,-38.34040345469527011346144718118011951446533203125,59.459212012085316700904513709247112274169921875,-21.71391949217201045030378736555576324462890625,-5.71611682485428218569722957909107208251953125,-11.8076113162633049569194554351270198822021484375,-31.8582720419934730671229772269725799560546875,65.85589159825434535378008149564266204833984375,37.51029999694816297051147557795047760009765625,52.2568437757499850704334676265716552734375,-24.2225409710989652012358419597148895263671875,1.156651509140289135757484473288059234619140625,-44.6028015991698936204556957818567752838134765625,-48.65565965758232636062530218623578548431396484375,26.7433698538163326929861796088516712188720703125,58.458204901272637243891949765384197235107421875,54.869228186895355747765279375016689300537109375,-2.7741325113681369884943705983459949493408203125,-45.44511246070741350422395044006407260894775390625,-23.044526505325478638042113743722438812255859375,49.528489028595828358447761274874210357666015625,31.308938871425510797052993439137935638427734375,84.258552812280640864628367125988006591796875,83.007293923764763121653231792151927947998046875,71.5262306588946330521139316260814666748046875,32.3892941068758091205381788313388824462890625,36.973174230170599230405059643089771270751953125,-11.984618671224097852245904505252838134765625,7.6326792199469082333962433040142059326171875,72.350230414746562246364192105829715728759765625,-32.914212469862974330681026913225650787353515625,27.3476363414410883478922187350690364837646484375,-67.864009521774960376205854117870330810546875,11.3315225684377622883403091691434383392333984375,-39.65880306405835398209092090837657451629638671875,61.97393719290749913852778263390064239501953125,-58.4093752861110289131829631514847278594970703125,-89.2941068758201907940019736997783184051513671875,11.9663075655384858464458375237882137298583984375,24.680318613238938496579066850244998931884765625,-73.5648670918912301885939086787402629852294921875,-25.82171086764122946988209150731563568115234375,59.862056337168496611411683261394500732421875,-79.6014282662434737858347943983972072601318359375,-87.4813074129459522509932867251336574554443359375,-51.9150364696188262314535677433013916015625,-92.5901058992278791492935852147638797760009765625,-41.81340983306375136407950776629149913787841796875,97.051911984618669748670072294771671295166015625,-37789.4756227020334335975348949432373046875,
1,1500,7.6265755180517089684144593775272369384765625,2.1332438123722141654070583172142505645751953125,15.3904843287453871880643418990075588226318359375,1.6937772759178386650091852061450481414794921875,-4.4038209173863975820495397783815860748291015625,-4.2512283700064159575049416162073612213134765625,3.885006256294445847743190824985504150390625,1.3336588641010820310839335434138774871826171875,11.6977446821497181872473447583615779876708984375,3.238013855403295337964664213359355926513671875,-12.4973296304208503215704695321619510650634765625,-1.4191106906338717408289085142314434051513671875,1.156651509140289135757484473288059234619140625,6.44856105227819398351130075752735137939453125,-2.2675252540665979950063046999275684356689453125,2.0111697744682288657713797874748706817626953125,0.772118289742735441905097104609012603759765625,3.91552476577044217265211045742034912109375,3.244117557298494602946448139846324920654296875,-12.5827814569536400313154445029795169830322265625,1.4130069887386724758471245877444744110107421875,-3.750724814600062018143944442272186279296875,-9.006012146366771276007057167589664459228515625,7.199316385387731997980154119431972503662109375,-0.3448591570787726823255070485174655914306640625,-4.5442060609759806766305700875818729400634765625,23.6365855891598215521298698149621486663818359375,-12.3691518906216657569530070759356021881103515625,5.88091677602466234020539559423923492431640625,11.7465742973113123071016161702573299407958984375,-2.5788140507217605090772849507629871368408203125,1.046784875026702366085373796522617340087890625,0.2471999267555702317622490227222442626953125,-3.5370952482680735329267918132245540618896484375,0.778221991637934706886881031095981597900390625,-12.6804406872768282710239873267710208892822265625,-4.886013367107153726465185172855854034423828125,-19.94384594256416676216758787631988525390625,-3.927732169560840702615678310394287109375,11.7465742973113123071016161702573299407958984375,1.3946958830530746809017728082835674285888671875,3.244117557298494602946448139846324920654296875,7.5960570085757126435055397450923919677734375,-0.753807184057137646959745325148105621337890625,-0.2899258400219792974894517101347446441650390625,6.24713888973661823911243118345737457275390625,-20.4016235847041258466560975648462772369384765625,8.1148716696676501669571734964847564697265625,-5.4109317300943047257533180527389049530029296875,11.7465742973113123071016161702573299407958984375,-1294.26330200687380056479014456272125244140625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,38.700521866512048063668771646916866302490234375,-32.2122867519150304360664449632167816162109375,0.503555406353967782706604339182376861572265625,43.467513046662816122989170253276824951171875,-78.25251014740439359229640103876590728759765625,-8.4078493606372290969375171698629856109619140625,48.6617633594775043093250133097171783447265625,24.729148228400532616433338262140750885009765625,-83.037812433240759446562151424586772918701171875,-75.5607776116214466810561134479939937591552734375,58.995330668050172562288935296237468719482421875,-35.6303598132267183018484502099454402923583984375,7.5350199896237199936877004802227020263671875,79.9493392742698461006511934101581573486328125,-61.86407055879391236885567195713520050048828125,-23.6182744834742237571845180355012416839599609375,21.048615985595262145579908974468708038330078125,23.9661854915005960720009170472621917724609375,14.914395580919830308630480431020259857177734375,-34.14716025269325427871081046760082244873046875,28.366954557939379810704849660396575927734375,-47.65465254676961848190330783836543560028076171875,-55.009613330484938842346309684216976165771484375,-68.1630909146397243603132665157318115234375,-59.79491561632129759118470246903598308563232421875,20.5786309396649045311278314329683780670166015625,-88.854640339365829504458815790712833404541015625,-3.81786553544725393294356763362884521484375,47.5325785088656402876949869096279144287109375,8.8412121951963769106441759504377841949462890625,-14.725180822168653094195178709924221038818359375,60.191656239509256920428015291690826416015625,49.77263710440382737942854873836040496826171875,34.958952604754784942997503094375133514404296875,-76.122318185979793270234949886798858642578125,-7.7059236426892994131776504218578338623046875,-10.23895992919705122403684072196483612060546875,22.9285561693166783925335039384663105010986328125,-21.3110751670888447506513330154120922088623046875,20.4626606036561184964739368297159671783447265625,-84.3134861293374342494644224643707275390625,63.9942625202185126909171231091022491455078125,-23.8990447706534041572012938559055328369140625,3.823969237342453197925351560115814208984375,49.400311288796643793830298818647861480712890625,56.0838648640400379008497111499309539794921875,33.54289376506852704551420174539089202880859375,-73.253578295236053463668213225901126861572265625,-84.838404492324599459607270546257495880126953125,27.4391918698690773226189776323735713958740234375,-32446.8380583887337706983089447021484375,
2,1500,-0.1373332926419834620901383459568023681640625,6.42414624469739692358416505157947540283203125,0.973540452284311186303966678678989410400390625,1.083407086397897955976077355444431304931640625,-0.0823999755851900772540830075740814208984375,11.6183965575121277424841537140309810638427734375,-4.6906949064607630361933843232691287994384765625,7.8035828730124876528861932456493377685546875,-4.2512283700064159575049416162073612213134765625,-3.006073183385723268656875006854534149169921875,-12.5339518417920459114611730910837650299072265625,3.775139622180859078071080148220062255859375,-16.4586321604052869815859594382345676422119140625,-2.3346659749137899098059278912842273712158203125,31.8277535325174767422140575945377349853515625,-4.886013367107153726465185172855854034423828125,3.244117557298494602946448139846324920654296875,11.3437299722281608183038770221173763275146484375,0.759910885952336911941529251635074615478515625,-1.99896237067781612495309673249721527099609375,-0.753807184057137646959745325148105621337890625,1.7487105929746320498452405445277690887451171875,8.5665456099124099864638992585241794586181640625,2.5360881374553656542047974653542041778564453125,-3.799554429761656137998215854167938232421875,0.466933194982772192815900780260562896728515625,0.0457777642139944873633794486522674560546875,-2.9267250587481186130389687605202198028564453125,0.625629444257953082342282868921756744384765625,4.5808282723471762665212736465036869049072265625,2.822962126529745319203357212245464324951171875,2.5727103488265612440955010242760181427001953125,7.248146000549326117834425531327724456787109375,-0.753807184057137646959745325148105621337890625,3.653065584276873778435401618480682373046875,3.244117557298494602946448139846324920654296875,-0.753807184057137646959745325148105621337890625,1.2298959318826945263936067931354045867919921875,4.7456282235175564210294396616518497467041015625,11.154515213476969393013860099017620086669921875,-19.98046815393536235205829143524169921875,8.7496566667683879359174170531332492828369140625,15.3538621173741915981736383400857448577880859375,3.823969237342453197925351560115814208984375,19.7485274819177760718957870267331600189208984375,19.5165868099002040025879978202283382415771484375,2.780236213263350464330869726836681365966796875,-4.6357615894039696513573289848864078521728515625,1.2054811243018974664664710871875286102294921875,-4.4221320230719953769948915578424930572509765625,-1291.83968770872479581157676875591278076171875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,8.6764122440259967561360099352896213531494140625,65.47746208075199092490947805345058441162109375,-38.969084749900815722867264412343502044677734375,-80.2484206671346100847586058080196380615234375,-20.4687643055513177614557207562029361724853515625,-82.3175756096072319678569328971207141876220703125,15.7444990386669445570078096352517604827880859375,30.51545762504957792771165259182453155517578125,68.1142612994781302404589951038360595703125,17.111728263191622545491554774343967437744140625,39.158299508651992937302566133439540863037109375,57.57927182836391466480563394725322723388671875,-21.3171788689840440156331169418990612030029296875,-2.2980437635425943199152243323624134063720703125,83.452864162114337887032888829708099365234375,43.351542710654001666625845246016979217529296875,36.985381633960997760368627496063709259033203125,22.8919339579454828026428003795444965362548828125,-91.882076479384750200551934540271759033203125,48.2406079287087550255819223821163177490234375,68.303476058229307454894296824932098388671875,-99.90234076967681176029145717620849609375,3.158665730765704893201473169028759002685546875,-67.5954466383861785061526461504399776458740234375,13.3640552995391743706932174973189830780029296875,-47.67906735435041554183044354431331157684326171875,-9.4759971922971288904591347090899944305419921875,87.3165074617755863073398359119892120361328125,-7.9500717184972700124490074813365936279296875,12.6071962645344370912425802089273929595947265625,-16.0008545182653278970974497497081756591796875,75.145725882747882451440091244876384735107421875,42.19794305246131216335925273597240447998046875,28.476821192052966580376960337162017822265625,-22.4463637195959364589725737459957599639892578125,-91.74169133579516710597090423107147216796875,10.22675252540665269407327286899089813232421875,-7.4983977782525101929422817192971706390380859375,51.799066133610040196799673140048980712890625,35.355693227942737166813458316028118133544921875,48.7228003784294969591428525745868682861328125,-37.3271889400921708102032425813376903533935546875,79.9859614856410416905418969690799713134765625,59.056367687002165212106774561107158660888671875,3.067110202337715918474714271724224090576171875,-62.09601123081148443816346116364002227783203125,77.111117893002102618993376381695270538330078125,13.0588702047792111216040211729705333709716796875,-61.4612262337107466692032176069915294647216796875,58.702352977080607843163306824862957000732421875,-36280.1480707740047364495694637298583984375,
