Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,-74.767296365245528022569487802684307098388671875,59.184545426801349776724237017333507537841796875,3.085421308023313713420066051185131072998046875,-5.185094759971917710572597570717334747314453125,-69.212927640614026358889532275497913360595703125,-66.06341746269112036316073499619960784912109375,-70.885341959898681807317188940942287445068359375,26.5297402874843584186237421818077564239501953125,-28.3791619617297925515231327153742313385009765625,-63.127536851100188641794375143945217132568359375,7.9989013336588641323032788932323455810546875,93.70097964415418800854240544140338897705078125,66.33198034607988802235922776162624359130859375,92.406994842371886988985352218151092529296875,-7.065034943693348168380907736718654632568359375,23.7098300119022127319112769328057765960693359375,-43.17453535569323008758146897889673709869384765625,60.588396862697237565953400917351245880126953125,-56.73085726493118130520088016055524349212646484375,70.04913480025635408310336060822010040283203125,-38.71883297219763875318676582537591457366943359375,39.158299508651992937302566133439540863037109375,-80.6207464827417794595021405257284641265869140625,40.934476760155035890420549549162387847900390625,40.787987914670253530857735313475131988525390625,14.00494399853511140463524498045444488525390625,21.152378917813649650270235724747180938720703125,-33.384197515793317734278389252722263336181640625,-38.74935148167363507809568545781075954437255859375,51.121555223242893362112226895987987518310546875,37.30277413251138796113082207739353179931640625,-31.131931516464732112581259571015834808349609375,34.781945249794006258525769226253032684326171875,1.156651509140289135757484473288059234619140625,-4.8799096652119402506286860443651676177978515625,94.872890408032475306754349730908870697021484375,-10.867641224402603938870015554130077362060546875,-91.991943113498336970224045217037200927734375,-39.94567705313271943623476545326411724090576171875,28.751487777336961926266667433083057403564453125,42.08807641834772539368714205920696258544921875,-16.1778618732261065815691836178302764892578125,-45.59160130619221007464147987775504589080810546875,74.858851893673516997296246699988842010498046875,-24.2591631824701607911265455186367034912109375,31.7239906002990892375237308442592620849609375,-7.6143681142612962275961763225495815277099609375,26.4748069704275650337876868434250354766845703125,58.220160527359865909602376632392406463623046875,-28.135013885921807741397060453891754150390625,-124347.051360233235755003988742828369140625,
0,1500,-5.5696279793694856152797001414000988006591796875,-8.6642048402355982261724420823156833648681640625,5.2156132694479282463362324051558971405029296875,6.741538743247787124346359632909297943115234375,12.6377147740104334161514998413622379302978515625,3.244117557298494602946448139846324920654296875,0.2471999267555702317622490227222442626953125,1.2604144413586908513025264255702495574951171875,7.248146000549326117834425531327724456787109375,1.150547807245089870775700546801090240478515625,7.5594347972045170536148361861705780029296875,-0.3753776665547690072344266809523105621337890625,2.3957029938657825596237671561539173126220703125,-12.08838160344248535693623125553131103515625,-3.9521469771416377625428140163421630859375,3.054902798547317388511146418750286102294921875,0.0457777642139944873633794486522674560546875,7.9378643147068714824854396283626556396484375,14.23688467055268347394303418695926666259765625,-0.827051606799528826741152442991733551025390625,-9.97650074770348282982013188302516937255859375,-4.3916135135959990520859719254076480865478515625,0.1312295907467841971083544194698333740234375,1.3275551622058827661021496169269084930419921875,3.244117557298494602946448139846324920654296875,-2.8656880397961259632211294956505298614501953125,7.046723838007750373435555957257747650146484375,6.24713888973661823911243118345737457275390625,-2.2553178502761994650427368469536304473876953125,-13.2541886654255876010211068205535411834716796875,-0.3936887722403668021797784604132175445556640625,7.7364421521652957380865700542926788330078125,-2.06610309152500803975271992385387420654296875,11.209448530533762777849915437400341033935546875,-0.4119998779259645971251302398741245269775390625,-4.2329172643208181625595898367464542388916015625,0.991851557969908981249318458139896392822265625,-3.231910153508096072982880286872386932373046875,-4.2512283700064159575049416162073612213134765625,-3.4638508255256823531453846953809261322021484375,-11.3315225684377622883403091691434383392333984375,7.242042298654126852852641604840755462646484375,-0.5096591082491528368336730636656284332275390625,-1.77312540055544332062709145247936248779296875,0.485244300668369987761252559721469879150390625,7.4312570574053324889973737299442291259765625,-3.250221259193693867928232066333293914794921875,-4.4343394268623939069584594108164310455322265625,-3.6591692861720588325624703429639339447021484375,6.00909451582384690482285805046558380126953125,-2887.804325947074175928719341754913330078125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,9.4271675771355347706048632971942424774169921875,-9.054841761528365395861328579485416412353515625,-47.17246009704886233748766244389116764068603515625,16.7821283608508480256205075420439243316650390625,-61.009552293465986849696491844952106475830078125,-6.19830927457502411925815977156162261962890625,68.761253700369280750237521715462207794189453125,-32.0291756950590524866129271686077117919921875,43.53465376751000803778879344463348388671875,24.759666737876528941342257894575595855712890625,36.564226203192248476625536568462848663330078125,-88.5921811578722468993873917497694492340087890625,4.116946928312017917050980031490325927734375,-24.0699484237189835766912437975406646728515625,-16.2022766808069036414963193237781524658203125,-14.13922544022949523423449136316776275634765625,69.67070528275399965423275716602802276611328125,-19.82177190466018146253190934658050537109375,-28.025147251808220971724949777126312255859375,26.4809106723227642987694707699120044708251953125,-11.069063386944179683268885128200054168701171875,-4.5503097628711799416123540140688419342041015625,-86.956389049958801251705153845250606536865234375,-90.978728598895230561538483016192913055419921875,45.335245826593819629124482162296772003173828125,-51.39622180852686739171986118890345096588134765625,37.59575182348095268025645054876804351806640625,-34.965056306649984207979287020862102508544921875,-16.2999359111301060920595773495733737945556640625,68.663594470046092510528978891670703887939453125,96.4171269875179177688551135361194610595703125,20.0598162785729670076761976815760135650634765625,-3.3356730857264977885279222391545772552490234375,-60.19165623950926402585537289269268512725830078125,-16.830957976012456356329494155943393707275390625,62.07770012512588664321810938417911529541015625,-28.775902584917758986193803139030933380126953125,-3.799554429761656137998215854167938232421875,41.105380413220615309910499490797519683837890625,8.5116122928556166016278439201414585113525390625,-71.9473860896633823358570225536823272705078125,96.4232306894131170338368974626064300537109375,56.901760917996767830118187703192234039306640625,-35.306863612781143046959186904132366180419921875,-71.184423352763445791424601338803768157958984375,69.46928312021242390983388759195804595947265625,17.69768364513078040545224212110042572021484375,54.27106540116579935784102417528629302978515625,-1.278725547044274435393163003027439117431640625,41.636402478102951363325701095163822174072265625,-114862.261117828908027149736881256103515625,
1,1500,4.3488876003296041972134844399988651275634765625,2.1332438123722141654070583172142505645751953125,-5.026398510696736821046215482056140899658203125,-4.3549913022248034621952683664858341217041015625,-10.5319376201666301540171843953430652618408203125,-7.7547532578508935330319218337535858154296875,6.894131290627768748890957795083522796630859375,-10.4586931974242389742357772774994373321533203125,-15.9703360087893315721885301172733306884765625,2.829065828424944584185141138732433319091796875,0.2471999267555702317622490227222442626953125,-3.134250923184907833274337463080883026123046875,2.2553178502761994650427368469536304473876953125,0.0213629566331974274362437427043914794921875,-10.873744926297803203851799480617046356201171875,0.991851557969908981249318458139896392822265625,-2.9145176549577200830754009075462818145751953125,-5.89922788171026013515074737370014190673828125,16.867580187383651946220197714865207672119140625,-0.906399731437119271504343487322330474853515625,0.1312295907467841971083544194698333740234375,-5.80156865138707189544220454990863800048828125,5.0935392315439429467005538754165172576904296875,3.244117557298494602946448139846324920654296875,7.9805902279732663373579271137714385986328125,-1.5350810266426577754828031174838542938232421875,-11.2826929532761681684860377572476863861083984375,4.4404431287575931719402433373034000396728515625,0.515762810144366312670172192156314849853515625,-2.7619251075777384585308027453720569610595703125,-2.7985473189489340484215063042938709259033203125,-5.84429456465346675031469203531742095947265625,-0.1556443983275812570354901254177093505859375,-9.4454786828211325655502150766551494598388671875,8.8045899838251813207534723915159702301025390625,2.975554673909726943747955374419689178466796875,-13.2541886654255876010211068205535411834716796875,-5.88091677602466234020539559423923492431640625,5.7222205267494672398242983035743236541748046875,8.5116122928556166016278439201414585113525390625,6.704916531876591534455656073987483978271484375,-2.2553178502761994650427368469536304473876953125,3.244117557298494602946448139846324920654296875,7.6754051332133030882687307894229888916015625,2.908413953062535028948332183063030242919921875,-0.753807184057137646959745325148105621337890625,2.0355845820490259256985154934227466583251953125,2.5299844355601663892230135388672351837158203125,-4.983672597430341966173727996647357940673828125,-6.900234992522968013872741721570491790771484375,-3053.22352080503196702920831739902496337890625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,-76.879177220984530549685587175190448760986328125,1.6205328531754474852277780883014202117919921875,-20.950956755272073905871366150677204132080078125,88.830225531785032444531680084764957427978515625,40.1348918118839037560974247753620147705078125,44.03515732291634776629507541656494140625,23.4046449171422494828220806084573268890380859375,59.862056337168496611411683261394500732421875,-54.37482833338419396795870852656662464141845703125,-29.1787469100009246858462574891746044158935546875,-39.83581041901913266656265477649867534637451171875,-61.68706320383312657895658048801124095916748046875,-53.79497665334024958383452030830085277557373046875,-1.4801477095858643906467477791011333465576171875,71.294289986877032561096712015569210052490234375,-35.044404431287574652742478065192699432373046875,-81.176183355204926783699193038046360015869140625,-3.5065767387920772080178721807897090911865234375,4.6296578875087703863755450583994388580322265625,78.704184087649167622657842002809047698974609375,-62.30353709524826655297147226519882678985595703125,89.123203222754597163657308556139469146728515625,-6.8147831659901640932730515487492084503173828125,-49.82146671956542149928282015025615692138671875,-82.799768059327988112272578291594982147216796875,22.5867488631855195535536040551960468292236328125,18.491164891506713274793582968413829803466796875,28.28760643330178936594165861606597900390625,90.508743552964887157941120676696300506591796875,11.8198187200537034868830232881009578704833984375,13.6448255867183405598552781157195568084716796875,9.1341898861659700514792348258197307586669921875,-60.80813013092440399987026466988027095794677734375,10.11078218939786665941937826573848724365234375,-21.6101565599536087347587454132735729217529296875,10.550248725852242159817251376807689666748046875,-25.93157750175481623955420218408107757568359375,64.860988189336836740039871074259281158447265625,12.6865443891720275360057712532579898834228515625,26.3283181249427826742248726077377796173095703125,-29.2641987365337143955912324599921703338623046875,-42.905972472304455322955618612468242645263671875,19.7241126743369790119686513207852840423583984375,76.07959227271339841536246240139007568359375,36.906033509323407315605436451733112335205078125,-13.7668996246223258594909566454589366912841796875,80.4315317239905880342121236026287078857421875,-17.5206762901699875101257930509746074676513671875,20.2917569505905390769839868880808353424072265625,-84.5149082918790242047180072404444217681884765625,-120485.40188520282390527427196502685546875,
2,1500,-2.2614215521713987300245207734405994415283203125,7.9866939298684656023397110402584075927734375,-3.4028138065736897033275454305112361907958984375,-3.4028138065736897033275454305112361907958984375,3.244117557298494602946448139846324920654296875,2.1637623218482104903159779496490955352783203125,-5.5574205755790870853161322884261608123779296875,-4.2512283700064159575049416162073612213134765625,6.24713888973661823911243118345737457275390625,6.18610187078462558929459191858768463134765625,4.7456282235175564210294396616518497467041015625,12.6743369853816290060422034002840518951416015625,-12.753685110019233661660109646618366241455078125,-0.3570665608691712122890749014914035797119140625,-8.963286233100376421134569682180881500244140625,0.2471999267555702317622490227222442626953125,-2.8229621265297311083486420102417469024658203125,-3.5065767387920772080178721807897090911865234375,-4.2512283700064159575049416162073612213134765625,10.22675252540665269407327286899089813232421875,-7.9744865260780670723761431872844696044921875,-3.115939817499310038328985683619976043701171875,-6.8147831659901640932730515487492084503173828125,1.7487105929746320498452405445277690887451171875,-3.176976836451302688146824948489665985107421875,12.7231666005432231258964748121798038482666015625,-13.2541886654255876010211068205535411834716796875,17.80144657734916791014256887137889862060546875,-3.6652729880672580975442542694509029388427734375,-0.4181035798211638621069141663610935211181640625,9.1158787804803722565338830463588237762451171875,-2.4079103976561810895873350091278553009033203125,-5.6062501907406812051704037003219127655029296875,-8.0965605639820523720118217170238494873046875,1.6388439588610452801731298677623271942138671875,-9.4943082979827266854044864885509014129638671875,5.4780724509414966405529412440955638885498046875,1.6876735740226394000274012796580791473388671875,-4.3366801965392056672499165870249271392822265625,1.7487105929746320498452405445277690887451171875,-1.028473769341104571140022017061710357666015625,6.04571672719504249471356160938739776611328125,7.8096865749076869178679771721363067626953125,9.2623676259651546160966972820460796356201171875,4.123050630207217182032763957977294921875,4.2451246681112024816684424877166748046875,3.823969237342453197925351560115814208984375,-5.97857600634785057991393841803073883056640625,2.5421918393505649191865813918411731719970703125,2.5727103488265612440955010242760181427001953125,-3229.42163478782958918600343167781829833984375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,55.021820734275337372309877537190914154052734375,-9.95818964201788503487478010356426239013671875,-23.191015350810260997604927979409694671630859375,-0.5401776177251491617425926961004734039306640625,-10.7028412732322095735071343369781970977783203125,-61.09500411999878366486882441677153110504150390625,-30.19806512649921614865888841450214385986328125,64.0736106448561031356803141534328460693359375,37.62627033295694900516537018120288848876953125,-2.12103640858180142458877526223659515380859375,-72.3685415204321458304548286832869052886962890625,68.32178716391490524983964860439300537109375,46.818445387127297863116837106645107269287109375,1.4069032868434732108653406612575054168701171875,-97.6805932798242082526485319249331951141357421875,63.481551561021746010737842880189418792724609375,-23.4839930417798399275852716527879238128662109375,22.7881710257270952979524736292660236358642578125,-10.6723227637562132485982147045433521270751953125,-93.3408612323374171637624385766685009002685546875,-37.97418134098330710912705399096012115478515625,-50.950651570177313942622276954352855682373046875,-26.12079226050599345398950390517711639404296875,50.492873928037369068988482467830181121826171875,-90.6796472060304523665763554163277149200439453125,49.80315561387982370433746837079524993896484375,46.928312021240884632788947783410549163818359375,71.5262306588946330521139316260814666748046875,2.3957029938657825596237671561539173126220703125,-5.3498947111423120759354787878692150115966796875,-1.7365031891842335198816726915538311004638671875,-83.73973815118870334117673337459564208984375,-63.65855891598254601149164955131709575653076171875,54.844813379314558687838143669068813323974609375,37.72392956328013724487391300499439239501953125,-18.723105563524285344101372174918651580810546875,50.712607196264542608332703821361064910888671875,-46.18366039002654588330187834799289703369140625,3.518784142582489948836155235767364501953125,20.6823938718832920358181581832468509674072265625,-96.4598529007843268345823162235319614410400390625,69.49980162968842023474280722439289093017578125,12.4240852076784591417890624143183231353759765625,-6.6133610034485883488741819746792316436767578125,-48.4481337931455442458172910846769809722900390625,34.47065645313881532274535857141017913818359375,30.06988738670003158404142595827579498291015625,48.2467116306039542905637063086032867431640625,-29.3130283516953085154455038718879222869873046875,-5.5635242774742863502979162149131298065185546875,-118918.41360773073392920196056365966796875,
