Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,-7.9989013336588641323032788932323455810546875,-41.87444685201574401389734703116118907928466796875,66.01458784752952624330646358430385589599609375,-32.5174718466750078960103564895689487457275390625,26.3161107211523841442613047547638416290283203125,62.43171483504744401216157712042331695556640625,-30.03326517532883599415072239935398101806640625,52.348399304177974045160226523876190185546875,83.733634449293504076194949448108673095703125,42.10028382213812392365070991218090057373046875,14.10870693075349890932557173073291778564453125,-40.02502517777030988099795649759471416473388671875,61.021759697256385379660059697926044464111328125,-70.5801568651387043473732774145901203155517578125,14.37726981414226656852406449615955352783203125,10.892056031983400998797151260077953338623046875,33.59172338023012116536847315728664398193359375,97.173986022522655048305750824511051177978515625,-47.23349711600085498730550170876085758209228515625,-90.11810663167210577739751897752285003662109375,-12.717062898648038071769406087696552276611328125,-21.091341898861657000452396459877490997314453125,11.8442335276345005468101589940488338470458984375,-18.02117984557634144948679022490978240966796875,18.564409314249104454574990086257457733154296875,-72.3807489242225443604183965362608432769775390625,18.741416669209883139046723954379558563232421875,-68.2729575487533253408400923945009708404541015625,18.881801812799466233627754263579845428466796875,71.7215491195410095315310172736644744873046875,-34.4767601550340287985818576999008655548095703125,-34.4645527512436302686182898469269275665283203125,-11.026337473677784828396397642791271209716796875,-11.069063386944179683268885128200054168701171875,72.740867336039315205198363400995731353759765625,-9.4271675771355347706048632971942424774169921875,90.655232398449669517503934912383556365966796875,56.5660573137607798344106413424015045166015625,-16.837061677907655621311278082430362701416015625,71.5872676778466257019317708909511566162109375,9.3661305581835421207870240323245525360107421875,63.292336802270568796302541159093379974365234375,-26.6029847102267495984051492996513843536376953125,73.107089449751271104105398990213871002197265625,3.372295297097679167563910596072673797607421875,47.068697164830467727369978092610836029052734375,-36.27124851222266244121783529408276081085205078125,61.79082613605152118907426483929157257080078125,25.272377697073267199812107719480991363525390625,-65.3553880428479914144190843217074871063232421875,-59394793416.66411590576171875,
0,1500,-16.751609851374865911566303111612796783447265625,-1.7365031891842335198816726915538311004638671875,-3.6469618823816603025989024899899959564208984375,-1.91351054414502641520812176167964935302734375,6.857509079256573159000254236161708831787109375,-5.76494644001587630555150099098682403564453125,1.4862514114810636556285317055881023406982421875,-0.3082369457075770924348034895956516265869140625,-8.1759086886196428167750127613544464111328125,0.0701925717947915472905151546001434326171875,-5.91753898739585793009609915316104888916015625,1.6388439588610452801731298677623271942138671875,-8.810693685720394796589971520006656646728515625,-1.4740440076906651256649638526141643524169921875,-4.6967986083559623011751682497560977935791015625,8.1331827753532479619025252759456634521484375,-19.5410016174810010625151335261762142181396484375,3.244117557298494602946448139846324920654296875,-19.5165868099002040025879978202283382415771484375,17.246009704886006375090801157057285308837890625,12.2714926602984775172444642521440982818603515625,-12.826929532761624841441516764461994171142578125,-2.3468733787041884397694957442581653594970703125,-6.09454634235663661456783302128314971923828125,-6.44245735038299471852951683104038238525390625,15.2439954832606048285015276633203029632568359375,12.3325296792504701670623035170137882232666015625,-1.93792535172582347513525746762752532958984375,3.5615100558488848037086427211761474609375,-4.8310800500503461307744146324694156646728515625,-16.751609851374865911566303111612796783447265625,5.87481307412946307522361166775226593017578125,-2.02337717825861318488023243844509124755859375,-6.38142033143100206871167756617069244384765625,5.86260567033906454526004381477832794189453125,-9.4271675771355347706048632971942424774169921875,0.0396740623187952223815955221652984619140625,-1.7303994872890342548998887650668621063232421875,-5.92974639118625646005966700613498687744140625,-1.309244056520270760302082635462284088134765625,14.938810388500627368557616136968135833740234375,-0.1678518021179797869990579783916473388671875,-2.9084139530625208180936169810593128204345703125,1.2970366527298864411932299844920635223388671875,3.244117557298494602946448139846324920654296875,13.2847071749015839259300264529883861541748046875,-9.75066377758111002549412660300731658935546875,-5.3376873073519135459719109348952770233154296875,6.24713888973661823911243118345737457275390625,43.058565019684436947500216774642467498779296875,-74747910.65419791638851165771484375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,-73.5587633899960309236121247522532939910888671875,-46.12262337107455323348403908312320709228515625,65.86199530014954461876186542212963104248046875,50.01678518021179797869990579783916473388671875,-52.836695455793943665412371046841144561767578125,-70.4336680196539219878104631789028644561767578125,12.0029297769096814363365410827100276947021484375,-88.738670003357043469804921187460422515869140625,33.50627155369733145562349818646907806396484375,1.7242957853938349899181048385798931121826171875,-66.4357432782982897379042697139084339141845703125,-3.6713766899624573625260381959378719329833984375,-34.3974120303964383538186666555702686309814453125,-4.910428174687950786392320878803730010986328125,-9.109775078585158780697383917868137359619140625,48.0025635547959836912923492491245269775390625,28.2509842219305937760509550571441650390625,-66.3380840479751014981957268901169300079345703125,-14.3284401989806866595245082862675189971923828125,23.4351634266182458077310002408921718597412109375,-54.35651722769859617301335674710571765899658203125,-66.05121005890072183319716714322566986083984375,-80.938138981292155449409619905054569244384765625,87.6644184698019444113015197217464447021484375,-62.4195074312570596930527244694530963897705078125,-56.981109042634358274881378747522830963134765625,76.244392223883806991580058820545673370361328125,52.824488052003545135448803193867206573486328125,-12.02734458449049270711839199066162109375,30.72908719138155220207409001886844635009765625,-58.25678273873104018321100738830864429473876953125,30.58259834589676984251127578318119049072265625,32.547990356151018431773991324007511138916015625,16.2755211035493090321324416436254978179931640625,53.83159886471145227915258146822452545166015625,-1.78533280434584185059065930545330047607421875,-37.3638111514633664000939461402595043182373046875,-0.4913480025635550418883212842047214508056640625,62.63924069948421902154223062098026275634765625,-6.4912869655446030492385034449398517608642578125,-65.83147679067354829385294578969478607177734375,27.1645252845851103984387009404599666595458984375,24.0089114047669909268734045326709747314453125,-75.5851924192022437409832491539418697357177734375,-54.4114505447553966632767696864902973175048828125,26.3283181249427826742248726077377796173095703125,-27.9091769157994207262163399718701839447021484375,-51.6342661824396458314367919228971004486083984375,-6.44245735038299471852951683104038238525390625,36.844996490371414665787597186863422393798828125,-49840714452.2956390380859375,
1,1500,1.7487105929746320498452405445277690887451171875,6.765953550828584184273495338857173919677734375,-1.4130069887386724758471245877444744110107421875,-6.28376110110781382900313474237918853759765625,-6.894131290627768748890957795083522796630859375,2.4506363109225759444598224945366382598876953125,4.239020966216003216686658561229705810546875,-3.8544877468184495228342711925506591796875,-7.071138645588547433362691663205623626708984375,0.0946073793755886072176508605480194091796875,11.3864558854945556731763645075261592864990234375,3.9765617847224348224699497222900390625,7.016205328531754048526636324822902679443359375,5.7466353343302642997514340095221996307373046875,0.2471999267555702317622490227222442626953125,-1.046784875026702366085373796522617340087890625,-5.75273903622547777558793313801288604736328125,2.1210364085818156354434904642403125762939453125,-1.364177373577064145138137973845005035400390625,-22.910245063631094808442867361009120941162109375,3.042695394756918858547578565776348114013671875,-10.916470839564198058724286966025829315185546875,14.24909207434308200390660203993320465087890625,4.025391399884028942324221134185791015625,-16.2877285073397075620960094965994358062744140625,-6.20441297647022338423994369804859161376953125,3.616443372905678188544698059558868408203125,2.829065828424944584185141138732433319091796875,5.1789910580767326564455288462340831756591796875,-3.3722952970976933784186257980763912200927734375,3.018280587176121798620442859828472137451171875,22.7454451124607004430799861438572406768798828125,-10.07415997802667106952867470681667327880859375,14.24909207434308200390660203993320465087890625,9.5248268074587230103134061209857463836669921875,-3.86669515060884805279783904552459716796875,3.59813226722008039359934628009796142578125,-8.2979827265236281164106912910938262939453125,-3.201391644032099748073960654437541961669921875,-6.4912869655446030492385034449398517608642578125,2.829065828424944584185141138732433319091796875,-4.7212134159367593611023039557039737701416015625,-10.09247108371226886447402648627758026123046875,-1.96234015930662053506239317357540130615234375,-3.7568285164952612831257283687591552734375,10.01922666096987768469261936843395233154296875,5.5085909604174929654618608765304088592529296875,-2.07831049531540656971628777682781219482421875,-6.44245735038299471852951683104038238525390625,-13.2541886654255876010211068205535411834716796875,-80869192.8782942295074462890625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,28.080080568865014356561005115509033203125,78.960539567247536751892766915261745452880859375,-67.3024689474166137870270176790654659271240234375,20.780053102206494486381416209042072296142578125,-2.5727103488265612440955010242760181427001953125,-46.6719565416425012926993076689541339874267578125,70.781579027680294302626862190663814544677734375,-14.3955809198278785743241314776241779327392578125,17.288735618152401229963288642466068267822265625,45.591601306192188758359407074749469757080078125,54.27716910306099862282280810177326202392578125,-73.229163487655256403741077519953250885009765625,-30.912198248237558573237038217484951019287109375,-88.866847743156228034422383643686771392822265625,51.7197180089724497520364820957183837890625,65.83758049256874755883472971618175506591796875,-36.22852259895626758634534780867397785186767578125,39.6404919583727632925729267299175262451171875,35.612048707541134717757813632488250732421875,-11.3315225684377622883403091691434383392333984375,-35.75243385113071781233884394168853759765625,52.29346598712118066032417118549346923828125,3.299050874355287987782503478229045867919921875,73.216956083864857873777509666979312896728515625,-38.48078859828486741889719269238412380218505859375,-46.726889858699308888390078209340572357177734375,-55.59556871242408959687963942997157573699951171875,14.03546250801110772954416461288928985595703125,48.4969634083071241548168472945690155029296875,25.47990356151007063090219162404537200927734375,-4.6235541856135711213937611319124698638916015625,73.497726371044024062939570285379886627197265625,-73.74797814874722234890214167535305023193359375,16.916409802545246066074469126760959625244140625,-4.4282357249671946419766754843294620513916015625,-73.93719290749839956333744339644908905029296875,-46.22028260139774147319258190691471099853515625,-4.5808282723471762665212736465036869049072265625,-68.6025574510940856498564244247972965240478515625,54.795983764152964567983872257173061370849609375,-69.6279793694875905885055544786155223846435546875,-64.812158574175242620185599662363529205322265625,-39.81749931333353487161730299703776836395263671875,89.91668446913053003299864940345287322998046875,69.69512009033479671415989287197589874267578125,-63.28623310037537663674811483360826969146728515625,-41.4044618060853935048726270906627178192138671875,-47.52037110507523465230406145565211772918701171875,-49.96795556505020385884563438594341278076171875,-1.81585131382183817549957893788814544677734375,-57597704049.01673126220703125,
2,1500,-5.117954039124725795772974379360675811767578125,17.89300210577715688486932776868343353271484375,-10.6784264656514125135799986310303211212158203125,-5.142368846705522855700110085308551788330078125,-6.32648701437420868387562222778797149658203125,3.061006500442516653492930345237255096435546875,-5.124057741019925060754758305847644805908203125,-5.154576250495921385663677938282489776611328125,3.244117557298494602946448139846324920654296875,-10.34272286141543872872716747224330902099609375,-7.5350199896237057828329852782189846038818359375,-3.5248878444776750029632239602506160736083984375,-9.2623676259651546160966972820460796356201171875,7.003997924741355518563068471848964691162109375,0.686666463209945732160122133791446685791015625,-22.6660969878231099983167950995266437530517578125,5.98467970824304984489572234451770782470703125,15.3599658192693908631554222665727138519287109375,8.7496566667683879359174170531332492828369140625,-1.6144291512802482202459941618144512176513671875,-7.3946348460341226882519549690186977386474609375,-2.4079103976561810895873350091278553009033203125,1.6449476607562445451549137942492961883544921875,1.144444105349890605793916620314121246337890625,-1.223792229987481050557107664644718170166015625,-2.7436140018921406635854509659111499786376953125,11.6977446821497181872473447583615779876708984375,-3.5431989501632727979085757397115230560302734375,-2.4140140995513803545691189356148242950439453125,-4.6662800988799659762662486173212528228759765625,6.20441297647022338423994369804859161376953125,0.997955259865108246231102384626865386962890625,-11.081270790734578213232452981173992156982421875,-1.046784875026702366085373796522617340087890625,-4.4282357249671946419766754843294620513916015625,1.7487105929746320498452405445277690887451171875,1.2482070375682923213389585725963115692138671875,-5.050813318277533880973351188004016876220703125,0.833155308694728091722936369478702545166015625,3.86669515060884805279783904552459716796875,8.5421308023316129265367635525763034820556640625,-9.2501602221747560861331294290721416473388671875,1.7487105929746320498452405445277690887451171875,6.05182042909024175969534553587436676025390625,0.900296029541920006522559560835361480712890625,0.0091555528427988974726758897304534912109375,3.244117557298494602946448139846324920654296875,-6.906338694418167278854525648057460784912109375,0.2471999267555702317622490227222442626953125,38.37092196417125933294300921261310577392578125,-51879507.05729918181896209716796875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,31.9132053590502664519590325653553009033203125,-69.5486312448500001437423634342849254608154296875,41.752372814111737397979595698416233062744140625,22.4707785271767335188997094519436359405517578125,-51.8662068544572321115992963314056396484375,-17.98455763420514585959608666598796844482421875,31.8216498306222774772322736680507659912109375,-12.5461592455824444414247409440577030181884765625,52.677999206518734354176558554172515869140625,87.7071443830683392661740072071552276611328125,21.72002319406720971528557129204273223876953125,-59.5080416272469250316135003231465816497802734375,-79.9554429761650453656329773366451263427734375,18.02117984557634144948679022490978240966796875,-71.269875179296235501169576309621334075927734375,45.359660634174616689051617868244647979736328125,-5.233924375133511830426868982613086700439453125,-53.154087954344305444465135224163532257080078125,61.49174474318675720496685244143009185791015625,50.18158513138217813320807181298732757568359375,34.867397076326795968270744197070598602294921875,49.290444654683057024158188141882419586181640625,-43.98632770775476075186816160567104816436767578125,88.3724478896450591491884551942348480224609375,48.893704031495104800342232920229434967041015625,-64.5069734794152651602416881360113620758056640625,22.2937711722159548344279755838215351104736328125,57.64030884731590731462347321212291717529296875,-29.7402874843592570641703787259757518768310546875,72.777489547410510795089066959917545318603515625,42.869350260933259733064915053546428680419921875,-3.6957914975432544224531739018857479095458984375,-62.26691488387707096308076870627701282501220703125,-32.993560594500564775444217957556247711181640625,70.60457167271948719644569791853427886962890625,56.3341166417432077651028521358966827392578125,-60.66774498733482090528923436067998409271240234375,47.4837488937040461678407154977321624755859375,31.7911313211462811523233540356159210205078125,-80.3704947050386095952489995397627353668212890625,33.42692342905974101086030714213848114013671875,0.1434369945371827270719222724437713623046875,12.9734183782464214118590462021529674530029296875,-62.31574449903866508293504011817276477813720703125,-9.83001190221870047025731764733791351318359375,52.775658436841951015594531781971454620361328125,0.814844203009130296777584590017795562744140625,-49.4796594134342484494482050649821758270263671875,-8.5543382061220114565003314055502414703369140625,81.65837580492569713896955363452434539794921875,-49514469627.23554229736328125,
