Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,88.836329233680231709513464011251926422119140625,58.439893795587039448946597985923290252685546875,-23.6610003967406328229117207229137420654296875,-77.3125400555436925742469611577689647674560546875,77.391888180181268808155437000095844268798828125,-16.3243507187109031519867130555212497711181640625,36.350596636860274202263099141418933868408203125,6.814783165990178304127766750752925872802734375,65.73992126224555931912618689239025115966796875,-52.14697714163640540618871455080807209014892578125,-19.754631183812989547732286155223846435546875,69.103061006500439589217421598732471466064453125,14.963225196081424428484751842916011810302734375,64.598529007843268345823162235319614410400390625,-2.7558214056825391935490188188850879669189453125,45.670949430829779203122598119080066680908203125,-23.6487929929502342929481528699398040771484375,-49.89471114230781267906422726809978485107421875,10.00701925717947915472905151546001434326171875,-35.5510116885891278570852591656148433685302734375,51.841792046876435051672160625457763671875,42.44209112826928276263060979545116424560546875,-32.5235755485702071609921404160559177398681640625,-19.4006164738914179679341032169759273529052734375,-18.14325388348032674912246875464916229248046875,-77.282021546067682038483326323330402374267578125,66.42963957640307626206777058541774749755859375,-45.21927549058504069989794516004621982574462890625,-26.7250587481307348980408278293907642364501953125,-5.80767235328227116042398847639560699462890625,-60.893581957457200815042597241699695587158203125,33.030182805871760365334921516478061676025390625,65.49577318643758871985482983291149139404296875,5.88091677602466234020539559423923492431640625,-2.1637623218482104903159779496490955352783203125,-12.3264259773552709020805195905268192291259765625,-98.3092745750297609674817067570984363555908203125,-5.4475539414655003156440216116607189178466796875,-84.881130405590994314479758031666278839111328125,31.449324015015093891634023748338222503662109375,-33.188879055146941254861303605139255523681640625,-2.2492141483810002000609529204666614532470703125,19.5471053193762003274969174526631832122802734375,-49.91302224799341047400957904756069183349609375,45.530564287240196108541567809879779815673828125,3.476058229316066672254237346351146697998046875,-57.92718283639027276876731775701045989990234375,32.859279152806180945844971574842929840087890625,63.035981322672199667067616246640682220458984375,42.38105410931729011281277053058147430419921875,-11915.691856855168225592933595180511474609375,
0,1500,0.930814539017916331431479193270206451416015625,-8.987701040681173481061705388128757476806640625,-15.366069521164575917282490991055965423583984375,-8.5299233985412143965731956996023654937744140625,2.1881771294290075502431136555969715118408203125,-9.75066377758111002549412660300731658935546875,-4.068117313150423797196708619594573974609375,-1.6876735740226394000274012796580791473388671875,-0.3021332438123778274530195631086826324462890625,-1.5289773247474585105010191909968852996826171875,-3.268532364879291662873583845794200897216796875,-5.5452131717886885553525644354522228240966796875,1.2848292489394879112296621315181255340576171875,-5.6306649983214782650975394062697887420654296875,-0.3082369457075770924348034895956516265869140625,-2.4506363109225759444598224945366382598876953125,0.0335703604235959573998115956783294677734375,0.973540452284311186303966678678989410400390625,-2.3895992919705832946419832296669483184814453125,1.6083254493850489552642102353274822235107421875,7.7120273445844986781594343483448028564453125,3.91552476577044217265211045742034912109375,-1.3885921811578754159199888817965984344482421875,-1.077303384502698690994293428957462310791015625,2.0355845820490259256985154934227466583251953125,-10.782189397869814229125040583312511444091796875,-0.1251258888515849321265704929828643798828125,-2.975554673909726943747955374419689178466796875,-2.8290658284249303733304259367287158966064453125,-4.5869319742423755315030575729906558990478515625,-6.7781609546189685033823479898273944854736328125,7.058931241798148903399123810231685638427734375,-2.4445326090273766794780385680496692657470703125,-4.5625171666615784715759218670427799224853515625,-10.971404156620991443560342304408550262451171875,-7.046723838007750373435555957257747650146484375,-8.1820123905148420817567966878414154052734375,-5.4475539414655003156440216116607189178466796875,-2.963347270119328413784387521445751190185546875,0.759910885952336911941529251635074615478515625,8.6092715231788048413363867439329624176025390625,-2.2553178502761994650427368469536304473876953125,-4.8738059633167409856469021178781986236572265625,-0.5157628101443521018154569901525974273681640625,-1.120029297769093545866780914366245269775390625,1.6632587664418423401002655737102031707763671875,5.88702047791986160518717952072620391845703125,2.5299844355601663892230135388672351837158203125,-13.99273659474471287467167712748050689697265625,-4.3000579851680100773592130281031131744384765625,-1200.200565281207673251628875732421875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,-68.5415204321420930000385851599276065826416015625,-23.3619190038758546279495931230485439300537109375,3.219702749717697543019312433898448944091796875,44.669942320017099746110034175217151641845703125,50.16327402569658033826272003352642059326171875,-67.5283059175389865913530229590833187103271484375,-79.4000061037018980414359248243272304534912109375,3.378398998992878432545694522559642791748046875,-14.938810388500627368557616136968135833740234375,61.38187810907317043529474176466464996337890625,-63.23740348521378251689384342171251773834228515625,9.5614490188299186002041096799075603485107421875,37.60795922727135121022001840174198150634765625,88.0855739005706936950446106493473052978515625,-53.70342112491226060910776141099631786346435546875,-12.13721121860407947679050266742706298828125,-11.7404705954161130421198322437703609466552734375,-99.5178075502792438555843546055257320404052734375,-18.5216834009826953888477873988449573516845703125,10.928678243354596588687854818999767303466796875,-12.857448042237621166350436396896839141845703125,45.359660634174616689051617868244647979736328125,19.5165868099002040025879978202283382415771484375,36.979277932065798495386843569576740264892578125,-37.4858851893673516997296246699988842010498046875,81.206701864680923108608112670481204986572265625,-22.5135044404431283737721969373524188995361328125,98.08954130680257321728277020156383514404296875,82.34809411908321408191113732755184173583984375,38.706625568407247328650555573403835296630859375,21.115756706442454060379532165825366973876953125,-69.95757927182836510837660171091556549072265625,-57.87224951933347227850390481762588024139404296875,-60.32593768120364785545461927540600299835205078125,51.97607348857081888127140700817108154296875,27.7016510513626457168356864713132381439208984375,7.4861903744621258738334290683269500732421875,-37.4797814874721524347478407435119152069091796875,-3.073213904232915183456498198211193084716796875,-15.6163212988677599923903471790254116058349609375,24.863429670094916446032584644854068756103515625,-33.048493911557358160280273295938968658447265625,76.158940397350988860125653445720672607421875,-36.73512985625782079068812890909612178802490234375,36.271248512222655335790477693080902099609375,-33.103427228614151545116328634321689605712890625,-21.94586016418958251961157657206058502197265625,47.5692007202368358775856904685497283935546875,63.7745292519913391515729017555713653564453125,13.74858851893674227540032006800174713134765625,-11814.9583977242800756357610225677490234375,
1,1500,-2.2553178502761994650427368469536304473876953125,-6.894131290627768748890957795083522796630859375,-11.7343668935209137771380483172833919525146484375,-11.069063386944179683268885128200054168701171875,5.2400280770287253062633681111037731170654296875,-3.4516434217352838231818168424069881439208984375,1.028473769341104571140022017061710357666015625,-0.790429395428333236850448884069919586181640625,3.036591692861719593565794639289379119873046875,5.90533158360545940013253130018711090087890625,-3.5004730368968779430360882543027400970458984375,5.6428724021118767950611072592437267303466796875,2.780236213263350464330869726836681365966796875,-4.7029023102511615661569521762430667877197265625,-0.3814813684499682722162106074392795562744140625,6.753746147038185654309927485883235931396484375,2.3407696768089891747877118177711963653564453125,0.454725791192373662852332927286624908447265625,4.214606158635206156759522855281829833984375,5.7466353343302642997514340095221996307373046875,-1.95623645741142127008060924708843231201171875,-2.9267250587481186130389687605202198028564453125,-0.863673818170724416631856001913547515869140625,0.741599780266739116996177472174167633056640625,-7.3824274422437241582883871160447597503662109375,7.5655384990997163185966201126575469970703125,-3.4211249122592874982728972099721431732177734375,-0.2838221381267800325076677836477756500244140625,2.853480636005741644112276844680309295654296875,3.640858180486475248471833765506744384765625,-0.0885036774803893422358669340610504150390625,-7.4007385479293219532337388955056667327880859375,17.95403912472914953468716703355312347412109375,1.4557329020050673307196120731532573699951171875,-2.5543992431409634491501492448151111602783203125,9.6469008453627083099490846507251262664794921875,4.1962950529496083618141710758209228515625,5.6184575945310797351339715532958507537841796875,0.820947904904329561759368516504764556884765625,2.0722067934202215155892190523445606231689453125,2.0111697744682288657713797874748706817626953125,-2.5482955412457641841683653183281421661376953125,-2.3163548692281921148605761118233203887939453125,-5.84429456465346675031469203531742095947265625,4.3122653889584086073227808810770511627197265625,-2.2553178502761994650427368469536304473876953125,7.6693014313181038232869468629360198974609375,-0.1373332926419834620901383459568023681640625,1.2909329508346871762114460580050945281982421875,-3.018280587176121798620442859828472137451171875,-1176.9383684546410222537815570831298828125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,-6.8025757621997655633094836957752704620361328125,45.426801355021808603851241059601306915283203125,53.69731742301706844955333508551120758056640625,-8.1759086886196428167750127613544464111328125,39.7869808038575456521357409656047821044921875,-67.8701132236701596411876380443572998046875,12.8025147251808135706596658565104007720947265625,70.57405316324349087153677828609943389892578125,-16.3060396130253053570413612760603427886962890625,-76.110110782189394740271382033824920654296875,50.694296090578944813387352041900157928466796875,45.048371837519454174980637617409229278564453125,45.194860683004236534543451853096485137939453125,5.2034058656575297163726645521819591522216796875,-59.22116763817255247204229817725718021392822265625,89.55656605731377339907339774072170257568359375,-33.7565233314004871090219239704310894012451171875,-80.3949095126194066551761352457106113433837890625,6.36921292764060353874810971319675445556640625,10.678426465651426724434713833034038543701171875,20.944853053376874640889582224190235137939453125,20.3650013733329302567653940059244632720947265625,82.763145847956792522381874732673168182373046875,32.902005066072575800717459060251712799072265625,-92.3459578234199085500222281552851200103759765625,-34.5316934720908221834179130382835865020751953125,6.698812829981392269473872147500514984130859375,-26.5541550950651554785508778877556324005126953125,-21.268349253822435684924130327999591827392578125,74.24848170415356207740842364728450775146484375,-11.2216559343241755186681984923779964447021484375,90.997039704580828356483834795653820037841796875,-2.4933622241889707993323099799454212188720703125,5.7954649494918584196057054214179515838623046875,46.537675099948131673954776488244533538818359375,20.1391644032105574524393887259066104888916015625,13.75469222083194154038210399448871612548828125,86.657307657094037267597741447389125823974609375,-85.6624042481765144430028158240020275115966796875,4.7761467329935527459383592940866947174072265625,-34.2448194830164567292740684933960437774658203125,-39.90295113986632458136227796785533428192138671875,25.125888851588484840249293483793735504150390625,30.10650959807122717393212951719760894775390625,38.962981048005616457885480485856533050537109375,5.86870937223426381024182774126529693603515625,-4.5869319742423755315030575729906558990478515625,-37.6506851405377318542377906851470470428466796875,55.052339243751333697218797169625759124755859375,38.35261085848566153799765743315219879150390625,-11150.618419976375662372447550296783447265625,
2,1500,2.0599993896298229856256511993706226348876953125,-0.5829035309915440166150801815092563629150390625,-1.4557329020050673307196120731532573699951171875,-8.1759086886196428167750127613544464111328125,8.5177159947508158666096278466284275054931640625,-3.5370952482680735329267918132245540618896484375,-9.079256569109162455788464285433292388916015625,-2.2553178502761994650427368469536304473876953125,2.2675252540665979950063046999275684356689453125,-0.753807184057137646959745325148105621337890625,-7.4556718649861153380697942338883876800537109375,-2.2675252540665979950063046999275684356689453125,-2.6642658772545502188222599215805530548095703125,-0.5767998290963447516332962550222873687744140625,-3.7568285164952612831257283687591552734375,8.5177159947508158666096278466284275054931640625,-1.211584826197082520593539811670780181884765625,-1.5839106418042518953370745293796062469482421875,0.1495406964323819920537061989307403564453125,1.7487105929746320498452405445277690887451171875,-5.3376873073519135459719109348952770233154296875,6.24713888973661823911243118345737457275390625,6.16168706320382852936745621263980865478515625,-3.048799096652118123529362492263317108154296875,0.772118289742735441905097104609012603759765625,0.1007110812707878721994347870349884033203125,-2.12103640858180142458877526223659515380859375,2.999969481490524003675091080367565155029296875,-2.7253028962065428686400991864502429962158203125,-3.073213904232915183456498198211193084716796875,0.2410962248603709667804650962352752685546875,0.1800592059083783169626258313655853271484375,-0.0518814661091937523451633751392364501953125,2.5116733298745685942776617594063282012939453125,0.851466414380325886668288148939609527587890625,3.134250923184907833274337463080883026123046875,3.244117557298494602946448139846324920654296875,6.704916531876591534455656073987483978271484375,2.883999145481737969021196477115154266357421875,4.7456282235175564210294396616518497467041015625,7.058931241798148903399123810231685638427734375,2.4567400128177752094416064210236072540283203125,-4.940946684163947111301240511238574981689453125,0.1190221869563856671447865664958953857421875,-5.75273903622547777558793313801288604736328125,1.7487105929746320498452405445277690887451171875,-0.4608294930875587169794016517698764801025390625,1.4252143925290710058106924407184123992919921875,-2.7069917905209450736947474069893360137939453125,-0.936918240913115596413263119757175445556640625,-1099.4182081850085523910820484161376953125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,21.225623340556040830051642842590808868408203125,73.351237525559241703376756049692630767822265625,-10.23285622730185195905505679547786712646484375,69.55473494674521361957886256277561187744140625,7.8585161900692810377222485840320587158203125,27.0973845637379184836390777491033077239990234375,-7.9561754203924692774307914078235626220703125,-19.91943113498336970224045217037200927734375,-56.1204870754112334907404147088527679443359375,6.967375713370159928672364912927150726318359375,93.91460921048616228290484286844730377197265625,-79.7051911984618755013798363506793975830078125,-21.82378612628559721997589804232120513916015625,-23.160496841334264672696008346974849700927734375,-18.912320322275462558536673896014690399169921875,98.35810419019134087648126296699047088623046875,33.22550126651816526646143756806850433349609375,-61.24759666737876528941342257894575595855712890625,47.9903561510055851613287813961505889892578125,-93.4507278664510039334345492534339427947998046875,30.60090945158236763745662756264209747314453125,49.125644703512676869650022126734256744384765625,80.7550279244361490782466717064380645751953125,-4.3733024079104012571406201459467411041259765625,-1.5167699209570599805374513380229473114013671875,-86.962492751854000516686937771737575531005859375,39.378032776879166476646787486970424652099609375,-0.729392376476340587032609619200229644775390625,-32.2794274727622365617207833565771579742431640625,-36.16138187810907567154572461731731891632080078125,11.4963225196081424428484751842916011810302734375,-50.4440443128757607382794958539307117462158203125,-8.3773308511612185611738823354244232177734375,64.0552995391705053407349623739719390869140625,91.082491531113618066228809766471385955810546875,49.473555711539034973611705936491489410400390625,98.18109683523056219200952909886837005615234375,-63.30454420606097443169346661306917667388916015625,80.4193243202001895042485557496547698974609375,6.50959807123018663332914002239704132080078125,3.897213660084844377706758677959442138671875,46.27521591845453485802863724529743194580078125,50.657673879207749223496648482978343963623046875,7.9927976317636648673214949667453765869140625,44.492934965056321061638300307095050811767578125,11.8747520371104968717190786264836788177490234375,19.4128238776818164978976710699498653411865234375,9.85442670979949753018445335328578948974609375,83.3124790185247547924518585205078125,4.8188726462599476008108467794954776763916015625,-11845.172667880773587967269122600555419921875,
