Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,-67.864009521774960376205854117870330810546875,35.282448805200345987032051198184490203857421875,-96.5208899197363194844001554884016513824462890625,-6.6927091280861787936373730190098285675048828125,90.423291726432097448196145705878734588623046875,-70.00640888698995922823087312281131744384765625,-41.5570543534653751294172252528369426727294921875,54.393139439069813079186133109033107757568359375,39.396343882564764271592139266431331634521484375,72.2342600787377477900008670985698699951171875,12.5461592455824444414247409440577030181884765625,70.65950498977628058128175325691699981689453125,-32.1390423291726392562850378453731536865234375,74.34003723258155105213518254458904266357421875,-9.64690084536272252080379985272884368896484375,18.20429090243231939894030801951885223388671875,44.456312753685125471747596748173236846923828125,18.10052797021393189424998126924037933349609375,55.143894772179322671945556066930294036865234375,35.941648609881895026774145662784576416015625,-71.7398602252265931156216538511216640472412109375,-45.066682943205051969925989396870136260986328125,40.0616473891415125763160176575183868408203125,-72.814111758781706384979770518839359283447265625,50.810266426587730848041246645152568817138671875,73.467207861568027738030650652945041656494140625,-42.808313241981267083247075788676738739013671875,-26.5968810083315503334233653731644153594970703125,23.8563188573870093023288063704967498779296875,65.92303231910153726857970468699932098388671875,-53.007599108859523084902320988476276397705078125,-51.67088839381084852675485308282077312469482421875,70.775475325785095037645078264176845550537109375,39.7930845057527449171175248920917510986328125,-82.781456953642390317327226512134075164794921875,-52.5437177648243647354320273734629154205322265625,26.07806634723959859911701641976833343505859375,79.7112949003570747663616202771663665771484375,-34.3668935209204420289097470231354236602783203125,-88.4151738029114682149156578816473484039306640625,16.830957976012456356329494155943393707275390625,-58.4215826899014274431465310044586658477783203125,23.1666005432294781485325074754655361175537109375,3.341776787621682842654990963637828826904296875,-1.6083254493850489552642102353274822235107421875,-28.830835901974552371029858477413654327392578125,42.57637256996366659222985617816448211669921875,-51.6342661824396458314367919228971004486083984375,49.68718527787103766968357376754283905029296875,-15.298928800317384002482867799699306488037109375,-1045713.25565333664417266845703125,
0,1500,-11.8930631427960946666644304059445858001708984375,87.3531296731467818972305394709110260009765625,17.74040955839717526032472960650920867919921875,12.2837000640888760472080321051180362701416015625,5.6855983153782716499335947446525096893310546875,-1.5778069399090526303552906028926372528076171875,-12.875759147923218961295788176357746124267578125,9.93377483443708797494764439761638641357421875,7.7181310464796979431412182748317718505859375,12.6804406872768282710239873267710208892822265625,12.4179815057832598768072784878313541412353515625,0.997955259865108246231102384626865386962890625,-14.13922544022949523423449136316776275634765625,-32.5479903561510042209192761220037937164306640625,65.64836573381757034439942799508571624755859375,-27.939695425275431261979974806308746337890625,-9.024323252052369070952408947050571441650390625,97.86980803857539967793854884803295135498046875,36.088137455366677386336959898471832275390625,35.941648609881895026774145662784576416015625,20.6946012756736905657817260362207889556884765625,-60.81423383281960326485204859636723995208740234375,40.0616473891415125763160176575183868408203125,73.99212622455519294817349873483180999755859375,-40.22034363841670057126975734718143939971923828125,-9.170812097537151430515223182737827301025390625,14.24909207434308200390660203993320465087890625,3.732413708914464223198592662811279296875,-34.775841547898806993543985299766063690185546875,8.1575975829340450218296609818935394287109375,-26.08417004913479786409880034625530242919921875,-21.3232825708792432806149008683860301971435546875,43.4247871333964212681166827678680419921875,54.838709677419359422856359742581844329833984375,1.5350810266426577754828031174838542938232421875,-33.81756035035249396969447843730449676513671875,-38.20612201300088628386220079846680164337158203125,-18.2958464308603225845217821188271045684814453125,-55.79699087496566534127850900404155254364013671875,47.9293191320535925115109421312808990478515625,29.96002075258644481436931528151035308837890625,-8.1209753715628494319389574229717254638671875,-5.82598345896786895536934025585651397705078125,-1.6144291512802482202459941618144512176513671875,-1.6083254493850489552642102353274822235107421875,4.8554948576311431907015503384172916412353515625,-83.165990173039944011179613880813121795654296875,11.5024262215033417078302591107785701751708984375,8.3956419568468305669739493168890476226806640625,2.969450972014527678766171447932720184326171875,-64750.75143704438232816755771636962890625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,-13.96221808526871654976275749504566192626953125,-49.4857631153294477144299889914691448211669921875,82.451857051301630008310894481837749481201171875,23.4534745323038436026763520203530788421630859375,4.3427838984344049322317005135118961334228515625,-52.855006561479541460357722826302051544189453125,15.7750175481429408819167292676866054534912109375,-97.003082369457075628815800882875919342041015625,77.79473250526444871866260655224323272705078125,-88.1099887081514907549717463552951812744140625,57.89056062501907717887661419808864593505859375,-33.103427228614151545116328634321689605712890625,7.370220038453311417470104061067104339599609375,-87.7681814020203319159918464720249176025390625,-98.7243263039033109862430137582123279571533203125,36.423841059602665382044506259262561798095703125,-95.068208868678851786171435378491878509521484375,76.982940153202918054375913925468921661376953125,30.53987243263037498763878829777240753173828125,-30.759605700857576948692440055310726165771484375,51.97607348857081888127140700817108154296875,-34.04950102237006603900226764380931854248046875,-29.3313394573809063103908556513488292694091796875,70.897549363689080337280756793916225433349609375,89.190343943601789078456931747496128082275390625,-62.02276680806909325838205404579639434814453125,46.494949186681736819082289002835750579833984375,-26.24897000030517801860696636140346527099609375,5.1362651448103378015730413608253002166748046875,-61.40018921475874691395802074111998081207275390625,-30.04547257911923452411429025232791900634765625,33.188879055146941254861303605139255523681640625,-64.964751121555224244730197824537754058837890625,-12.3691518906216657569530070759356021881103515625,-16.4342173528244899216588237322866916656494140625,76.171147801141387390089221298694610595703125,64.763328959013648500331328250467777252197265625,84.368419446394227634300477802753448486328125,-73.5770744956816287185574765317142009735107421875,27.3964659566026824677464901469647884368896484375,-99.969481490524003675091080367565155029296875,-7.5777459028901006377054727636277675628662109375,-13.4006775109103699605839210562407970428466796875,95.501571703237999599878094159066677093505859375,-63.25571459089938031183919520117342472076416015625,-55.5406353953672891066162264905869960784912109375,5.8565019684438510694235446862876415252685546875,33.47575304422133513071457855403423309326171875,34.31196020386363443321897648274898529052734375,30.52766502883997645767522044479846954345703125,-521812220.86944711208343505859375,
1,1500,19.7485274819177760718957870267331600189208984375,-19.7180089724417797469868673942983150482177734375,-12.4851222266304517916069016791880130767822265625,-75.902584917752619730890728533267974853515625,-5.5818353831598841452432679943740367889404296875,14.11481063264869817430735565721988677978515625,-2.9267250587481186130389687605202198028564453125,-41.062654499954220455038012005388736724853515625,29.31913205359052199128200300037860870361328125,34.18988616595964913358329795300960540771484375,-18.948942533646658148427377454936504364013671875,29.270302438428899449718301184475421905517578125,-51.81127353740043162133588339202105998992919921875,-29.4167912839136960201358306221663951873779296875,0.759910885952336911941529251635074615478515625,-41.3800469985045964449454913847148418426513671875,50.36469618823815608266158960759639739990234375,-16.4159062471388921267134719528257846832275390625,79.180272835474710291236988268792629241943359375,-36.60084841456343696108888252638280391693115234375,-14.15753654591509302917984314262866973876953125,84.112063966795858505065552890300750732421875,-5.215613269447914035481517203152179718017578125,17.97845393230994659461430273950099945068359375,16.1839655751213200574056827463209629058837890625,-38.68221076082644316329606226645410060882568359375,67.015594958342234122028457932174205780029296875,35.984374523148289881646633148193359375,-17.89910580767235614985111169517040252685546875,-0.2533036286507837075987481512129306793212890625,-47.044282357249670667442842386662960052490234375,-28.769798883022559721212019212543964385986328125,-23.8135929441206144474563188850879669189453125,-35.221411786248353337214211933314800262451171875,19.4372386852626135578248067758977413177490234375,0.906399731437119271504343487322330474853515625,64.763328959013648500331328250467777252197265625,62.16925565355387561794486828148365020751953125,-46.04937894833216205370263196527957916259765625,-13.1382183294168015663672122173011302947998046875,8.7496566667683879359174170531332492828369140625,30.16754661702321982374996878206729888916015625,-17.4352244636371978003808180801570415496826171875,-6.35090182195500574380275793373584747314453125,-15.4820398571733761627911007963120937347412109375,-55.5406353953672891066162264905869960784912109375,-3.860591448713648787816055119037628173828125,48.936429944761499655214720405638217926025390625,-12.0029297769096956471912562847137451171875,-19.193090609454628747698734514415264129638671875,-66490.958782977773807942867279052734375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,54.06964323862422361344215460121631622314453125,-37.99249244666890490407240577042102813720703125,-34.2204046754356596693469327874481678009033203125,-84.893337809381392844443325884640216827392578125,-4.1657765434736262477599666453897953033447265625,-14.18195135349589008910697884857654571533203125,68.407238990447723381294053979218006134033203125,5.3193762016663157510265591554343700408935546875,22.4402600177007371939907898195087909698486328125,-32.810449537644586825990700162947177886962890625,-16.5379802850428774263491504825651645660400390625,-76.744895779290146720086340792477130889892578125,-95.6724753563035932302227593027055263519287109375,-97.4181340983306398584318230859935283660888671875,-83.336893826105523430669563822448253631591796875,-59.947508163701286321156658232212066650390625,58.769493697927799757962930016219615936279296875,-39.74425489059114369183589587919414043426513671875,-91.5219580675679793557719676755368709564208984375,55.436872463148887391071184538304805755615234375,71.361430707724224475896335206925868988037109375,23.0506302072206921138786128722131252288818359375,69.60356456190680773943313397467136383056640625,-71.4041566209906335416235378943383693695068359375,42.55195776238286953230272047221660614013671875,56.0838648640400379008497111499309539794921875,-0.839259010589927356704720295965671539306640625,-37.6934110538041267091102781705558300018310546875,59.105197302163759331961045973002910614013671875,-69.212927640614026358889532275497913360595703125,-62.999359111301004077176912687718868255615234375,-39.3230994598223873026654473505914211273193359375,-47.20297860652485866239658207632601261138916015625,73.583178197576813772684545256197452545166015625,38.01080355235450269901775754988193511962890625,-13.046662800988798380785738117992877960205078125,-3.93993957335123923257924616336822509765625,-78.16095461897640461756964214146137237548828125,41.788995025482932987870299257338047027587890625,-10.6540116580706154536528629250824451446533203125,54.16119876705221258816891349852085113525390625,46.629230628376120648681535385549068450927734375,38.29767754142886815316160209476947784423828125,3.274636066774490927855367772281169891357421875,98.956266975920897266405518166720867156982421875,-56.82851649525436954490942298434674739837646484375,-4.5808282723471762665212736465036869049072265625,67.149876400036617951627704314887523651123046875,7.162694174016536408089450560510158538818359375,-81.87810907315287067831377498805522918701171875,-433228576.34518539905548095703125,
2,1500,-46.26300851466413632806506939232349395751953125,14.487136448255881759905605576932430267333984375,61.113315225684374354386818595230579376220703125,15.7444990386669445570078096352517604827880859375,25.45548875392927357097505591809749603271484375,27.4575029755546751175643294118344783782958984375,-5.71611682485428218569722957909107208251953125,27.5673696096682618872364400885999202728271484375,22.4402600177007371939907898195087909698486328125,49.516281624805429828484193421900272369384765625,-16.5379802850428774263491504825651645660400390625,24.851222266304517916069016791880130767822265625,-31.7056794946134772317236638627946376800537109375,-0.3692739646595697422526427544653415679931640625,-13.4983367412335582002924638800323009490966796875,4.8738059633167409856469021178781986236572265625,23.5938596758934266972573823295533657073974609375,-53.172399060029903239410487003624439239501953125,-65.95965453047273285847040824592113494873046875,-2.3346659749137899098059278912842273712158203125,39.201025421918387792175053618848323822021484375,-59.990234076967681176029145717620849609375,22.18390453810235385390114970505237579345703125,-20.5114902188177126163282082416117191314697265625,-10.5807672353282242738714558072388172149658203125,-20.2002014221625501022572279907763004302978515625,-49.12564470351268397507737972773611545562744140625,55.497909482100880040889023803174495697021484375,44.401379436628332086911541409790515899658203125,-84.258552812280640864628367125988006591796875,-29.7830133976256519190428662113845348358154296875,12.4057741019928613468437106348574161529541015625,49.314859462263854084085323847830295562744140625,28.135013885921807741397060453891754150390625,37.81548509170812621960067190229892730712890625,-8.847315897091590386480675078928470611572265625,29.99664296395764040426001884043216705322265625,-22.2510452589495599795554880984127521514892578125,-33.4391308328501253299691597931087017059326171875,-1.242103335673078845502459444105625152587890625,-5.197302163762316240536165423691272735595703125,-21.5979491561632102047951775602996349334716796875,59.367656483657327726177754811942577362060546875,36.1796929837946663610637187957763671875,8.1148716696676501669571734964847564697265625,-0.3875850703451675371979945339262485504150390625,-39.5977660451063542268457240425050258636474609375,-19.284646137882617722425493411719799041748046875,0.411999877925978807979845441877841949462890625,11.5695669423505336226298823021352291107177734375,-58646.0981016586374607868492603302001953125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,-51.029999694814904387385467998683452606201171875,45.323038422803421099160914309322834014892578125,-48.5457930234687324855258339084684848785400390625,4.7273171178319586260840878821909427642822265625,50.34028138065735902273445390164852142333984375,3.170873134556103423165041022002696990966796875,17.508468886379574769307509995996952056884765625,5.2461317789239245712451520375907421112060546875,-29.89288003173925289956969209015369415283203125,-80.1019318216498277251957915723323822021484375,-14.02325510422070919958059675991535186767578125,-13.1992553483687942161850514821708202362060546875,-6.4546647541734074593477998860180377960205078125,84.0693380535294636501930654048919677734375,-59.78881191442609832620291854254901409149169921875,-7.187108981597333468016586266458034515380859375,-60.02685628833887676591984927654266357421875,-86.944181646168402721741585992276668548583984375,34.891811883907593028197879903018474578857421875,-53.4714804528946814343726146034896373748779296875,62.79183324686420064608682878315448760986328125,86.00421155430768749283743090927600860595703125,-70.891445661793881072298972867429256439208984375,-55.61387981810968739182499120943248271942138671875,60.887478255562001550060813315212726593017578125,-89.5992919705801540430911700241267681121826171875,-72.6798303170873083445258089341223239898681640625,10.11688589129306592440116219222545623779296875,79.149754325998713966328068636357784271240234375,-63.26181829279457957682097912766039371490478515625,24.2713705862605593210901133716106414794921875,-36.28345591601306097118140314705669879913330078125,-8.4749900814844210117371403612196445465087890625,5.3498947111423120759354787878692150115966796875,53.386028626361877513772924430668354034423828125,-72.6126895962401164297261857427656650543212890625,76.299325540940600376416114158928394317626953125,-25.4860072634052556850292603485286235809326171875,29.51445051423689847069908864796161651611328125,64.3055513168736752049881033599376678466796875,-76.5373699148533574998509720899164676666259765625,-9.091463972899560985752032138407230377197265625,-11.5207373271889395027756108902394771575927734375,74.687948240607937577806296758353710174560546875,-36.985381633960997760368627496063709259033203125,86.14459669789727058741846121847629547119140625,-21.3599047822504388705056044273078441619873046875,51.579332865382866657455451786518096923828125,-6.34479812005980647882097400724887847900390625,-25.3395184179204733254664461128413677215576171875,-136561.6242140533286146819591522216796875,
