Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,-36.27124851222266244121783529408276081085205078125,-82.01849421674245377289480529725551605224609375,-6.839197973570975364054902456700801849365234375,79.161961729789112496291636489331722259521484375,53.96588030640583610875182785093784332275390625,14.883877071443833983721560798585414886474609375,-74.15692617572557310268166474997997283935546875,-3.048799096652118123529362492263317108154296875,-21.82378612628559721997589804232120513916015625,1.6571550645466430751184816472232341766357421875,-48.1734672078615631107822991907596588134765625,-83.892330698568684965721331536769866943359375,-0.5218665120395513667972409166395664215087890625,-90.5636768700216663319224608130753040313720703125,-3.946043275246438497561030089855194091796875,-48.1917783135471609057276509702205657958984375,-88.1527146214178856098442338407039642333984375,40.873439741203043240602710284292697906494140625,44.431897946104328411820461042225360870361328125,55.9373760185552555412868969142436981201171875,93.43241676076542034934391267597675323486328125,94.701986754966895887264399789273738861083984375,66.20380260628070345774176530539989471435546875,97.180089724417854313287534750998020172119140625,69.87212744529557539863162674009799957275390625,2.5177770317697678592594456858932971954345703125,-36.0576189458906810614280402660369873046875,2.987762077700125473711523227393627166748046875,53.56913968321788388493587262928485870361328125,-42.27118747520371044856801745481789112091064453125,-700,
0,900,57.347331156346314173788414336740970611572265625,-57.81121250038147962868606555275619029998779296875,-38.13287759025849510408079368062317371368408203125,-26.883754997405929998421925120055675506591796875,9.6407971434675090449673007242381572723388671875,-79.3939024018066987764541408978402614593505859375,96.856593523972293269252986647188663482666015625,-94.08551286355174170239479281008243560791015625,96.954252754295481508961529470980167388916015625,-22.7210303048799033831528504379093647003173828125,-32.3221533860286314165932708419859409332275390625,-24.0211188085573894568369723856449127197265625,-66.06952116458631962814251892268657684326171875,-51.12155522324290046753958449698984622955322265625,63.6951811273537487068097107112407684326171875,-65.95965453047273285847040824592113494873046875,75.157933286538280981403659097850322723388671875,17.300943021942799759926856495440006256103515625,63.8721884823145273912814445793628692626953125,-72.7225562303537031993982964195311069488525390625,24.5277260658589284503250382840633392333984375,-57.96380504776146835865802131593227386474609375,-23.8196966460158137124381028115749359130859375,-69.4875942258980074939245241694152355194091796875,-73.076570940275274779196479357779026031494140625,-50.76143681142612962275961763225495815277099609375,1.1932737205114989365029032342135906219482421875,-61.28421887874996087930412613786756992340087890625,52.592547379985944644431583583354949951171875,25.55314798425246181068359874188899993896484375,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,37.29056672872098943116725422441959381103515625,-54.05133213293862581849680282175540924072265625,-42.12469862971892808900520321913063526153564453125,-22.6844080935087077932621468789875507354736328125,70.39704580828271218706504441797733306884765625,16.5074617755668811014402308501303195953369140625,39.042329172643206902648671530187129974365234375,5.5635242774742863502979162149131298065185546875,92.0712912381359274149872362613677978515625,91.039765617847223211356322281062602996826171875,97.62565996276742907866719178855419158935546875,-37.009796441541794820295763202011585235595703125,-0.955229346598713391358614899218082427978515625,-16.2755211035493090321324416436254978179931640625,-48.4481337931455442458172910846769809722900390625,57.231360820337528139134519733488559722900390625,-96.881008331553090329180122353136539459228515625,-51.22531815546128797222991124726831912994384765625,-37.6750999481185289141649263910949230194091796875,-84.282967619861437924555502831935882568359375,-69.89654225287637245855876244604587554931640625,69.56694235053561214954243041574954986572265625,-77.83745841853084357353509403765201568603515625,43.443098239082019063062034547328948974609375,-53.215124973296298094282974489033222198486328125,21.274452955717634949905914254486560821533203125,-84.22803430280464453971944749355316162109375,91.235084078493599690773407928645610809326171875,-9.5309305093539222752951900474727153778076171875,-93.3225501266518193688170867972075939178466796875,-700,
1,900,76.586199530014965830559958703815937042236328125,-2.4018066957609818246055510826408863067626953125,98.82808923612168428007862530648708343505859375,-73.4611041596728426839035819284617900848388671875,36.698507644886632306224782951176166534423828125,23.9051484725486034221830777823925018310546875,4.9714651936399292253554449416697025299072265625,-89.6176030762657518380365218035876750946044921875,95.403912472914811360169551335275173187255859375,99.658192693868841161020100116729736328125,65.73381756035036005414440296590328216552734375,-35.917233802301097966847009956836700439453125,-9.75676747947630929047591052949428558349609375,42.930387279885252382882754318416118621826171875,21.201208532975243770124507136642932891845703125,-92.3947874385815026698764995671808719635009765625,-54.28937650685140425821373355574905872344970703125,-82.06732383190404789274907670915126800537109375,-85.4365672780541416386768105439841747283935546875,-38.63338114566484904344179085455834865570068359375,62.72469252601700873128720559179782867431640625,-49.38200018311105310431230464018881320953369140625,32.0169682912686539566493593156337738037109375,-67.2902615436262152570634498260915279388427734375,-96.960356456190680773943313397467136383056640625,-15.5674916837061658725360757671296596527099609375,50.34028138065735902273445390164852142333984375,7.248146000549326117834425531327724456787109375,1.107821893978695015903213061392307281494140625,41.239661854914999139509745873510837554931640625,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-77.4468214972380764038462075404822826385498046875,-56.68813135166478645032839267514646053314208984375,51.469466231269279887783341109752655029296875,-4.928739280373548581337672658264636993408203125,-57.6281014435254945738051901571452617645263671875,-81.4264351329081108588070492260158061981201171875,-49.4308297982726543295939336530864238739013671875,-57.97601245155186688862158916890621185302734375,2.2125919370098046101702493615448474884033203125,47.9659413434247881014016456902027130126953125,-77.5322733237708661135911825112998485565185546875,9.1769157994323649063517223112285137176513671875,89.78850672933134546838118694722652435302734375,31.296731467635112267089425586163997650146484375,-75.225074007385472896203282289206981658935546875,-27.6039918210394574771271436475217342376708984375,0.875881221961122946595423854887485504150390625,54.722739341410573388202465139329433441162109375,53.84380626850185080911614932119846343994140625,49.449140903958237913684570230543613433837890625,-28.147221289712206271360628306865692138671875,2.890102847376937234002980403602123260498046875,-16.5623950926236744862762861885130405426025390625,-29.2886135441145114555183681659400463104248046875,59.776604510635706901666708290576934814453125,-50.968962675862911737567628733813762664794921875,-24.2774742881557585860718972980976104736328125,-29.7280800805688585342068108730018138885498046875,85.143589587084562708696466870605945587158203125,-0.1495406964323819920537061989307403564453125,-700,
2,900,46.513260292367334614027640782296657562255859375,1.071199682607499426012509502470493316650390625,41.257972960600596934455097652971744537353515625,50.608844264046155103642377071082592010498046875,12.2837000640888760472080321051180362701416015625,69.87823114719077466361341066658496856689453125,-72.3136082033753382347640581429004669189453125,-57.89666432691426933843104052357375621795654296875,-93.4873500778221995233252528123557567596435546875,90.905484176152839381757075898349285125732421875,56.846827600939974445282132364809513092041015625,-83.947264015625478350557386875152587890625,21.83599353007599574993946589529514312744140625,-69.5486312448500001437423634342849254608154296875,93.84136478774377110312343575060367584228515625,-27.6223029267250552720724954269826412200927734375,-81.5118869594409005685520241968333721160888671875,-6.5218054750205993741474230773746967315673828125,1.7670216986602298447905923239886760711669921875,-23.6243781853694230221663019619882106781005859375,-87.8963591418195164806093089282512664794921875,-91.943113498336742850369773805141448974609375,-88.995025482955412599039846099913120269775390625,29.70366527298807568513439036905765533447265625,-26.5236365855891591536419582553207874298095703125,-37.144077883236178649895009584724903106689453125,-13.8462477492599163042541476897895336151123046875,19.7424237800225768069140031002461910247802734375,42.03924680318613127383287064731121063232421875,99.981688894314402205054648220539093017578125,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,-7.095553453169344493289827369153499603271484375,-17.6305429242835742797979037277400493621826171875,30.30182805871760365334921516478061676025390625,-43.70555742057558035185138578526675701141357421875,86.895352031006808601887314580380916595458984375,94.311349833674142928430228494107723236083984375,98.02850428785058056746493093669414520263671875,40.745262001403858675985247828066349029541015625,41.86834315012055185434292070567607879638671875,-34.574419385357231249145115725696086883544921875,36.222418897061061215936206281185150146484375,31.461531418805492421597591601312160491943359375,48.844874416333510680487961508333683013916015625,92.016357921079134030151180922985076904296875,24.0150151066621901918551884591579437255859375,15.3355510116885938032282865606248378753662109375,-8.7740714743491849958445527590811252593994140625,-37.168492690816975709822145290672779083251953125,69.92706076235236878346768207848072052001953125,-21.4026306955168337253780919127166271209716796875,-4.3183690908536078723045648075640201568603515625,28.879665517136146490884129889309406280517578125,76.226081118198209196634707041084766387939453125,-64.848780785546438210076303221285343170166015625,73.784600360118389517083414830267429351806640625,-62.4561296426282552829434280283749103546142578125,40.714743491927862351076328195631504058837890625,-23.239844965971855117459199391305446624755859375,82.567827387310416042964789085090160369873046875,-31.4493240150151081024887389503419399261474609375,-700,
