Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,-7.9561754203924692774307914078235626220703125,-25.96819971312601182944490574300289154052734375,-63.151951658680985701721510849893093109130859375,58.952604754783777707416447810828685760498046875,-40.5499435407574679857134469784796237945556640625,-21.170690023499247445215587504208087921142578125,-29.92339854121524922447861172258853912353515625,-26.02313303018280521428096108138561248779296875,37.83379619739372401454602368175983428955078125,-71.166112247077847996479249559342861175537109375,94.799645985290084126972942613065242767333984375,2.0722067934202215155892190523445606231689453125,-83.3979308450575302913421182893216609954833984375,28.580584124271382506776717491447925567626953125,-43.57127597888119652225213940255343914031982421875,38.30378124332406741814338602125644683837890625,-4.1657765434736262477599666453897953033447265625,8.1392864772484472268843092024326324462890625,39.7442548905911507972632534801959991455078125,4.23291726432080395170487463474273681640625,-49.4613483077486506545028532855212688446044921875,-15.4820398571733761627911007963120937347412109375,-84.173100985747851154883392155170440673828125,65.63615833002717181443586014211177825927734375,-28.6416211432233609457398415543138980865478515625,-5.96636860255745204995037056505680084228515625,-18.820764793847473583809914998710155487060546875,-70.854823450422685482408269308507442474365234375,56.938383129367963420008891262114048004150390625,76.360362559892593026233953423798084259033203125,-70306.0286995097412727773189544677734375,
0,900,-24.1554002502517732864362187683582305908203125,22.7332377086703019131164182908833026885986328125,-24.5704519791253375160522409714758396148681640625,2.4384289071321774144962546415627002716064453125,-9.89104892117069312007515691220760345458984375,7.211523789178130527943721972405910491943359375,4.15967284157841277192346751689910888671875,-28.147221289712206271360628306865692138671875,10.33051545762504019876359961926937103271484375,-13.7058626056703332096731173805892467498779296875,-8.3162938322092259113560430705547332763671875,37.69951475569934018494677729904651641845703125,-26.5297402874843584186237421818077564239501953125,25.180822168645278225085348822176456451416015625,23.5206152531510355174759752117097377777099609375,-19.4006164738914179679341032169759273529052734375,-37.5957518234809384694017353467643260955810546875,16.6966765343180583158755325712263584136962890625,51.92724387340922476141713559627532958984375,40.519425031281485871659242548048496246337890625,39.5367290261543757878825999796390533447265625,26.7921994689779268128404510207474231719970703125,-25.4615924558244586251021246425807476043701171875,7.5838496047853141135419718921184539794921875,2.6642658772545502188222599215805530548095703125,1.052888576921901631067157723009586334228515625,-21.3843195898312359304327401332557201385498046875,48.5946226386303123945253901183605194091796875,-8.981597338785974216079921461641788482666015625,-19.4250312814722150278612389229238033294677734375,-19903.0030077998599153943359851837158203125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,40.299691763054312332315021194517612457275390625,13.2297738578447905410939711146056652069091796875,-44.816431165501882105672848410904407501220703125,18.03949095126193924443214200437068939208984375,61.320841090121149363767472095787525177001953125,-30.24079103976561100353137589991092681884765625,34.53169347209080797256319783627986907958984375,-94.3357646412549257775026489980518817901611328125,-16.647846919156478406875976361334323883056640625,-12.6071962645344370912425802089273929595947265625,54.826502273628960892892791889607906341552734375,-23.093356120487072757896385155618190765380859375,-74.962614825891904501986573450267314910888671875,-1.235999633777879580520675517618656158447265625,26.7006439405499378381136921234428882598876953125,-0.3265480513931748873801552690565586090087890625,2.1515549180578119603524100966751575469970703125,43.034150212103639887573081068694591522216796875,57.280190435499122258988791145384311676025390625,43.44920194097721832804381847381591796875,-56.21814630573442883587631513364613056182861328125,-75.780510879848634431255050003528594970703125,-8.5055085909604173366460599936544895172119140625,-6.7842646565141677683641319163143634796142578125,-38.61507003997925124849643907509744167327880859375,-46.958830530716880957697867415845394134521484375,80.6024353770561674537020735442638397216796875,34.68428601947078959710779599845409393310546875,87.060151982177188756395480595529079437255859375,-38.926358836634420867994776926934719085693359375,-66542.460225873510353267192840576171875,
1,900,4.4648579363383902318673790432512760162353515625,-27.030243842890712357984739355742931365966796875,37.41264076662497473080293275415897369384765625,0.1007110812707878721994347870349884033203125,-56.79799798577837322000050335191190242767333984375,25.168614764854879695121780969202518463134765625,-33.5306863612781143046959186904132366180419921875,-45.14603106784264952011653804220259189605712890625,8.9693899349955614752616384066641330718994140625,4.220709860530405421741306781768798828125,11.9479964598528880515004857443273067474365234375,17.78313547166357011519721709191799163818359375,7.083346049378945963326259516179561614990234375,-10.09857478560746812945581041276454925537109375,-1.7426068910794327848634566180408000946044921875,-23.093356120487072757896385155618190765380859375,29.56938383129369185553514398634433746337890625,47.8988006225775961866020224988460540771484375,-11.2094485305337769887046306394040584564208984375,-7.4007385479293219532337388955056667327880859375,3.86669515060884805279783904552459716796875,-31.5103610339671007523065782152116298675537109375,-1.96844386120181980004417710006237030029296875,55.351420636616097681326209567487239837646484375,-20.5053865169225133513464243151247501373291015625,-21.90923795281838692972087301313877105712890625,6.41193884090699839362059719860553741455078125,-4.5686208685567777365577057935297489166259765625,-68.877224036378066784891416318714618682861328125,-11.7099520859401167172109126113355159759521484375,-24455.18766912906357902102172374725341796875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-17.093417157506024750546202994883060455322265625,1.6876735740226394000274012796580791473388671875,-96.5086825159459209544365876354277133941650390625,-70.5740531632435050823914934881031513214111328125,95.9105197302163787753670476377010345458984375,31.8948942533646686570136807858943939208984375,-52.34229560228278188560580019839107990264892578125,17.020172734763633570764795877039432525634765625,7.205420087282931262961938045918941497802734375,-4.7822504348887520109201432205736637115478515625,-19.5959349345377944473511888645589351654052734375,0.1739555040131790519808419048786163330078125,-66.14276558732871080792392604053020477294921875,34.769737846003607728562201373279094696044921875,-32.2733237708670372967389994300901889801025390625,-44.17554246650593796630346332676708698272705078125,9.6835230567339038998397882096469402313232421875,-79.143650624103514701346284709870815277099609375,-20.4382457960753214365468011237680912017822265625,-2.7008880886257458087129634805023670196533203125,52.830591753898744400430587120354175567626953125,10.27558214056824681392754428088665008544921875,-66.26483962523269610755960457026958465576171875,50.450148014770974214115994982421398162841796875,40.757469405194257205948815681040287017822265625,-43.33933530686361024208963499404489994049072265625,-42.954802087466049442809890024363994598388671875,66.14276558732871080792392604053020477294921875,85.094759971922968588842195458710193634033203125,26.13299966429639198395307175815105438232421875,-71943.07559614881756715476512908935546875,
2,900,-58.10419019135105145323905162513256072998046875,-7.010101626636554783544852398335933685302734375,0.3265480513931606765254400670528411865234375,-6.34479812005980647882097400724887847900390625,1.071199682607499426012509502470493316650390625,19.8461867122409643116043298505246639251708984375,6.50349436933498736834735609591007232666015625,2.957243568224129148802603594958782196044921875,10.33051545762504019876359961926937103271484375,-4.7822504348887520109201432205736637115478515625,-19.5959349345377944473511888645589351654052734375,0.1739555040131790519808419048786163330078125,-18.2287057100131306697221589274704456329345703125,13.98663289284951360968989320099353790283203125,11.191137424848164982904563657939434051513671875,-42.942594683675650912846322171390056610107421875,13.1321146275216023013854282908141613006591796875,-21.72612689596240898026735521852970123291015625,-22.1961119418927665947194327600300312042236328125,-7.040620136112551108453772030770778656005859375,46.873378704184091247952892445027828216552734375,20.7007049775688898307635099627077579498291015625,-9.4210638752403355056230793707072734832763671875,14.706869716483055299249826930463314056396484375,-27.7748954741050368966170935891568660736083984375,-22.989593188268685253206058405339717864990234375,-22.928556169316692603388219140470027923583984375,12.9856257820368199418226140551269054412841796875,-25.2479628894924843507396872155368328094482421875,-16.672261726737275466803112067282199859619140625,-14673.146767943324448424391448497772216796875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,-16.4525284585100877166041755117475986480712890625,-68.4804834131901003502207458950579166412353515625,-73.82732627338481279366533271968364715576171875,2.4689474166081737394051742739975452423095703125,5.7466353343302642997514340095221996307373046875,-27.5734733115634611522182240150868892669677734375,-70.5557420575579072874461417086422443389892578125,16.7271950437940546407844522036612033843994140625,29.37406537064731537611805833876132965087890625,-75.8720664082766234059818089008331298828125,-50.08392590105898989349952898919582366943359375,-42.777794732505270758338156156241893768310546875,-19.101535081026639772971975617110729217529296875,-26.773888363292343228749814443290233612060546875,-32.4747459334086130411378690041601657867431640625,-44.7187719351786796551095903851091861724853515625,-36.69240394299142593581564142368733882904052734375,1.077303384502698690994293428957462310791015625,-45.24979400006103702480686479248106479644775390625,85.71733756523332203869358636438846588134765625,13.3091219824823809858571621589362621307373046875,32.4198126163518054454470984637737274169921875,79.253517258217101471018395386636257171630859375,-68.901638843958863844818552024662494659423828125,-51.28635517441328062204775051213800907135009765625,58.317819757683054149310919456183910369873046875,-61.5039521469771415240757050924003124237060546875,-50.85299233985411859748637652955949306488037109375,7.058931241798148903399123810231685638427734375,9.7262489700002987547122756950557231903076171875,-67945.90458557938109152019023895263671875,
