Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,-46.01886043885616572879371233284473419189453125,79.9554429761650453656329773366451263427734375,64.3665883358256678548059426248073577880859375,87.1517075106052061528316698968410491943359375,5.99688711203344837485929019749164581298828125,71.044038209173862696843571029603481292724609375,-78.3806878872035923677685786969959735870361328125,0.1800592059083783169626258313655853271484375,71.4896084475234374622232280671596527099609375,-41.5204321420941795395265216939151287078857421875,-7.8829309976500780976493842899799346923828125,63.609729300820930575355305336415767669677734375,91.448713644825573965135845355689525604248046875,17.136143070772419605418690480291843414306640625,-59.5690786461989176814313395880162715911865234375,58.690145573290209313199738971889019012451171875,-79.8699911496322556558880023658275604248046875,24.0150151066621901918551884591579437255859375,-45.60991241187780786958683165721595287322998046875,-80.6207464827417794595021405257284641265869140625,-91.900387585070347995497286319732666015625,22.8247932370982908878431771881878376007080078125,74.29120761741995693228091113269329071044921875,99.713126010925634545856155455112457275390625,46.06769005401775984864798374474048614501953125,-70.31769768364512174230185337364673614501953125,16.843165379802854886293062008917331695556640625,4.3977172154911983170677558518946170806884765625,-2.2553178502761994650427368469536304473876953125,-73.009430219428082864396856166422367095947265625,-24925507.082712508738040924072265625,
0,900,8.1575975829340450218296609818935394287109375,47.9415265358439910414745099842548370361328125,-24.5643482772301382510704570449888706207275390625,-18.4423352763451049440845963545143604278564453125,89.58708456678976972398231737315654754638671875,93.92681661427656081286841072142124176025390625,43.174535355693222982154111377894878387451171875,35.612048707541134717757813632488250732421875,-90.868861964781643791866372339427471160888671875,20.3039643543809376069475547410547733306884765625,27.3842585528122839377829222939908504486083984375,-79.3511764885403039215816534124314785003662109375,50.541703543198963188842753879725933074951171875,48.7105929746390984291792847216129302978515625,-82.5495162816248040371647221036255359649658203125,-44.4685201574755097908564493991434574127197265625,50.553910946989361718806321732699871063232421875,-70.940275276955475192153244279325008392333984375,22.8919339579454828026428003795444965362548828125,-43.101290932950831802372704260051250457763671875,28.794213690603356781139154918491840362548828125,-90.22797326578569254706962965428829193115234375,78.00836207159642299302504397928714752197265625,73.656422620319204952465952374041080474853515625,79.9310281685842483057058416306972503662109375,-74.3766594439527608528806013055145740509033203125,-37.96197393719290857916348613798618316650390625,-88.0489516891994981051539070904254913330078125,24.6009704886013196301064454019069671630859375,55.333109530930499886380857788026332855224609375,-222486.00981383933685719966888427734375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,83.263649403363160672597587108612060546875,11.197241126743364247886347584426403045654296875,-95.8677938169499839204945601522922515869140625,-67.015594958342234122028457932174205780029296875,-14.11481063264869817430735565721988677978515625,90.685750907925665842412854544818401336669921875,72.771385845515311530107283033430576324462890625,13.89507736442152463496313430368900299072265625,61.119418927579573619368602521717548370361328125,13.4922330393383589353106799535453319549560546875,-15.6163212988677599923903471790254116058349609375,-14.01104770043031066961702890694141387939453125,-98.767052217169720051970216445624828338623046875,-8.999908444471572011025273241102695465087890625,56.4989165929135879196110181510448455810546875,-0.949125644703514126376830972731113433837890625,-27.8542435987426273413802846334874629974365234375,-81.029694509720144424136378802359104156494140625,87.6094851527451510264654643833637237548828125,-77.043977172154910704193753190338611602783203125,25.70574053163244343522819690406322479248046875,72.1732230597857551401830278337001800537109375,88.5738700521866348935873247683048248291015625,-93.86577959532456816305057145655155181884765625,82.757042146061593257400090806186199188232421875,-42.24066896572771412365909782238304615020751953125,88.3175145725882657643523998558521270751953125,-38.73714407788323654813211760483682155609130859375,-98.754844813379321522006648592650890350341796875,3.445539719840070347345317713916301727294921875,-149195.2047551252762787044048309326171875,
1,900,-76.281014435254974159761331975460052490234375,-6.02740562150944469976820982992649078369140625,-9.176915799432350695497007109224796295166015625,41.215247047334202079582610167562961578369140625,-47.66075624866481774688509176485240459442138671875,1.2665181432538901162843103520572185516357421875,64.470351268044083781205699779093265533447265625,31.479842524491090216542943380773067474365234375,-99.981688894314402205054648220539093017578125,32.3892941068758091205381788313388824462890625,86.779381694998022567233419977128505706787109375,83.86181218909268864081241190433502197265625,-45.64653462324900345947753521613776683807373046875,-93.6216315195165833529244991950690746307373046875,-87.7315591906491363261011429131031036376953125,11.7954039124729064269558875821530818939208984375,38.712729270302446593632339499890804290771484375,-18.3568834498123152343396213836967945098876953125,76.702169866023751865213853307068347930908203125,-28.269295327616191570996306836605072021484375,31.241798150578318882253370247781276702880859375,17.435224463637183589526102878153324127197265625,-92.13232825708792006480507552623748779296875,-14.786217841120645744013017974793910980224609375,44.218268379772354137458023615181446075439453125,65.65446943571276960938121192157268524169921875,14.871669667653435453757992945611476898193359375,51.41453291421248650294728577136993408203125,-66.4052247688222934129953500814735889434814453125,-41.83172093874934915902485954575240612030029296875,-19853992.58007632195949554443359375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-35.3556932279427513776681735180318355560302734375,74.999237037263100091877277009189128875732421875,55.259865108188108706599450670182704925537109375,63.9393292031617193060810677707195281982421875,-11.9296853541673044674098491668701171875,31.8765831476790708620683290064334869384765625,-89.6725363933225452228725771419703960418701171875,-32.969145786919767715517082251608371734619140625,-93.145542771691026473490637727081775665283203125,-68.779564806054878545182873494923114776611328125,52.494888149662756404723040759563446044921875,-54.850917081209757952819927595555782318115234375,85.540330210272514932512422092258930206298828125,71.031830805383464166880003176629543304443359375,19.6020386364329937123329727910459041595458984375,-74.871059297463915527259814552962779998779296875,38.883632923368026013122289441525936126708984375,50.956755272072513207604060880839824676513671875,-11.9541001617481015273369848728179931640625,-77.037873470259711439211969263851642608642578125,34.36689352092042781805503182113170623779296875,67.912839136936554496060125529766082763671875,53.355510116885881188864004798233509063720703125,30.16144291512802055876818485558032989501953125,-44.938505203405867405308526940643787384033203125,5.4231391338847032557168859057128429412841796875,-85.93096713156529631305602379143238067626953125,8.1392864772484472268843092024326324462890625,56.743064668721586940591805614531040191650390625,-65.3614917447431906794008682481944561004638671875,-272048.1332763556274585425853729248046875,
2,900,44.633320108645904156219330616295337677001953125,-25.72405163731804123017354868352413177490234375,77.214880825220490123683703131973743438720703125,-81.4081240272225130638616974465548992156982421875,43.797112949003576432005502283573150634765625,19.6874904629657834220779477618634700775146484375,68.218024231696517745149321854114532470703125,-64.641254921109663200695649720728397369384765625,-49.91912594988860973899136297404766082763671875,37.30887783440658722611260600388050079345703125,96.0997344889675559898023493587970733642578125,-0.784325693533133971868664957582950592041015625,-30.704672383800783563856384716928005218505859375,-40.6659138767662540203673415817320346832275390625,57.396160771507908293642685748636722564697265625,84.539323099459807053790427744388580322265625,25.71794793542284196519176475703716278076171875,49.90081484420301194404601119458675384521484375,90.929898983733636441684211604297161102294921875,-85.045930356761374468987924046814441680908203125,4.055909909360025267233140766620635986328125,12.4423963133640569367344141937792301177978515625,-86.944181646168402721741585992276668548583984375,40.0494399853511140463524498045444488525390625,-61.90069277016510795874637551605701446533203125,-12.839136936552023371405084617435932159423828125,43.7665944395275801070965826511383056640625,-42.21015045625171779875017818994820117950439453125,15.9825434125797158912973827682435512542724609375,-51.945554979094822556362487375736236572265625,-12817532.29265311174094676971435546875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,-30.784020508438374008619575761258602142333984375,28.885769219031345755865913815796375274658203125,98.25434125797295337179093621671199798583984375,9.6957304605243024298033560626208782196044921875,27.3781548509170846728011383675038814544677734375,-29.97833185827204260931466706097126007080078125,-98.5900448622089271566437673754990100860595703125,-81.249427777947317963480600155889987945556640625,44.853053376873077695563551969826221466064453125,9.1280861842707707864974508993327617645263671875,-22.959074678792688928297138772904872894287109375,-19.77294228949858734267763793468475341796875,35.58153019806513839284889400005340576171875,-93.072298348948635293709230609238147735595703125,4.3427838984344049322317005135118961334228515625,88.1893368327890811997349373996257781982421875,72.338023010956163716400624252855777740478515625,-23.9783928952909946019644849002361297607421875,51.567125461592468127491883933544158935546875,19.003875850703451533263432793319225311279296875,-42.7411725211340609575927373953163623809814453125,-74.4621112704855505626255762763321399688720703125,-49.5468001342814403642478282563388347625732421875,40.2264473403118927308241836726665496826171875,-93.4263130588702068735074135474860668182373046875,73.241370891445654933704645372927188873291015625,-63.26792199468977884180276305414736270904541015625,-13.99884029663991213965346105396747589111328125,21.89703054902798839975730516016483306884765625,91.930906094546344320406205952167510986328125,-1802070.120544739998877048492431640625,
