Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,-60.36866359447004271032710676081478595733642578125,96.4232306894131170338368974626064300537109375,-30.3262428662984149241310660727322101593017578125,33.95184179204687779929372482001781463623046875,-48.81435590685750725015168427489697933197021484375,-56.79189428388317395501871942542493343353271484375,51.19479964598531296360306441783905029296875,9.7323526718954980196940596215426921844482421875,52.446058534501162284868769347667694091796875,73.430585650196832148139947094023227691650390625,-53.068636127811515734720160253345966339111328125,-58.84884182256538309729876345954835414886474609375,81.395916623432100323043414391577243804931640625,-11.5024262215033417078302591107785701751708984375,45.072786645100251234907773323357105255126953125,55.9923093356120489261229522526264190673828125,39.7198400830103537373361177742481231689453125,-34.794152653584404788489337079226970672607421875,30.01495406964323819920537061989307403564453125,-10.916470839564198058724286966025829315185546875,85.302285836359743598222848959267139434814453125,-39.170506912442391467266133986413478851318359375,-23.7586596270638210626202635467052459716796875,-47.8560747093112013317295350134372711181640625,6.20441297647022338423994369804859161376953125,8.1453901791436464918660931289196014404296875,85.082552568132570058878627605736255645751953125,37.009796441541794820295763202011585235595703125,-76.958525345622120994448778219521045684814453125,6.44245735038299471852951683104038238525390625,-70.824304940946689157499349676072597503662109375,-54.875331888790555012747063301503658294677734375,68.718527787102885895365034230053424835205078125,28.21436201055939818616025149822235107421875,19.6020386364329937123329727910459041595458984375,-79.7235023041474732963251881301403045654296875,-52.23242896816919511593368952162563800811767578125,-37.95587023529770931418170221149921417236328125,-19.309060945463414782352629117667675018310546875,23.0445265053254644271873985417187213897705078125,34.922330393383589353106799535453319549560546875,4.8127689443647483358290628530085086822509765625,-34.2204046754356596693469327874481678009033203125,3.152562028870505628219689242541790008544921875,40.672017578661467496203840710222721099853515625,-22.6050599688711173484989558346569538116455078125,91.540269173253562939862604252994060516357421875,19.7058015686513812170232995413243770599365234375,-9.2562639240699553511149133555591106414794921875,-57.28019043549912936441614874638617038726806640625,-118273678920.972442626953125,
0,1500,75.670644245735047661582939326763153076171875,-17.80144657734916791014256887137889862060546875,-15.9337137974181359822978265583515167236328125,37.022003845332193350259331054985523223876953125,8.7679677724539857308627688325941562652587890625,-21.97027497177037957953871227800846099853515625,14.609210486159867059541284106671810150146484375,2.761925107577752669385517947375774383544921875,-4.6906949064607630361933843232691287994384765625,21.73833429975280751023092307150363922119140625,32.1146275215918421963579021394252777099609375,24.1492965483565740214544348418712615966796875,10.641804254280231134544010274112224578857421875,-2.3285622730185906448241439647972583770751953125,34.70870082705158665703493170440196990966796875,20.4443494979705207015285850502550601959228515625,42.814416943876466348228859715163707733154296875,6.906338694418167278854525648057460784912109375,-24.1187780388805776965455152094364166259765625,-36.0576189458906810614280402660369873046875,-53.94146549882503904882469214498996734619140625,-2.938932462538531353857251815497875213623046875,-45.19486068300424363997080945409834384918212890625,-19.132053590502636097880895249545574188232421875,-12.3752555925168650219347910024225711822509765625,-5.270546586504707420317572541534900665283203125,8.4261604663228268918828689493238925933837890625,-22.6722006897183092632985790260136127471923828125,-13.5227515488143552602195995859801769256591796875,2.5482955412457641841683653183281421661376953125,-31.028168584246344607890932820737361907958984375,-0.888088625751521476558991707861423492431640625,37.31498153630178649109438993036746978759765625,16.5318765831476781613673665560781955718994140625,-40.00061037018951282107082079164683818817138671875,5.7466353343302642997514340095221996307373046875,-30.851161229285565923419198952615261077880859375,-18.2653279213843262596128624863922595977783203125,12.1127964110232966277180821634829044342041015625,-10.34272286141543872872716747224330902099609375,-15.347758415478978122337139211595058441162109375,-40.873439741203043240602710284292697906494140625,-0.3204443494979756223983713425695896148681640625,24.0882595294045813716365955770015716552734375,17.63664662617878775563440285623073577880859375,21.57963805047762662070454098284244537353515625,-17.4901577806939911852168734185397624969482421875,24.5704519791253233051975257694721221923828125,-31.8765831476790708620683290064334869384765625,19.8644978179265621065496816299855709075927734375,-28002375998.5332794189453125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,35.038300729392375387760694138705730438232421875,13.4678182317575618753835442475974559783935546875,97.58293404950103422379470430314540863037109375,-60.5761894589068248251351178623735904693603515625,-30.875576036866362983346334658563137054443359375,19.9316385387737824430587352253496646881103515625,87.1211890011292098279227502644062042236328125,10.44038209173862696843571029603481292724609375,-28.7087618640705528605394647456705570220947265625,-41.5387432477797773344718734733760356903076171875,34.995574816125980532888206653296947479248046875,-34.5377971739860214483996969647705554962158203125,55.491805780205680775907239876687526702880859375,-35.7219153416547072765752091072499752044677734375,16.4036988433484935967499040998518466949462890625,7.9744865260780670723761431872844696044921875,12.1921445356608870724812732078135013580322265625,69.48149052400282243979745544493198394775390625,-27.7687917722098376316353096626698970794677734375,-47.77672658467360378153898636810481548309326171875,-75.4570146794030591763657866977155208587646484375,2.3712881862849854996966314502060413360595703125,22.7698599200414975030071218498051166534423828125,81.225012970366520903553464449942111968994140625,-52.946562089907530435084481723606586456298828125,-83.269753105258331515869940631091594696044921875,-5.77105014191107557053328491747379302978515625,4.8493911557359439257197664119303226470947265625,9.4210638752403355056230793707072734832763671875,6.912442396313366543836309574544429779052734375,10.15350810266426151429186575114727020263671875,-28.183843501083401861251331865787506103515625,52.970976897488327495011617429554462432861328125,42.759483626819672963392804376780986785888671875,-8.798486281929996266626403667032718658447265625,40.360728782006304982132860459387302398681640625,30.79622791222874411687371321022510528564453125,28.763695181127360456230235286056995391845703125,78.22199163792839726738748140633106231689453125,57.371745963927111233715550042688846588134765625,-19.205298013245027277662302367389202117919921875,13.4495071260719640804381924681365489959716796875,-48.4115115817743486559265875257551670074462890625,-26.4503921628467679738605511374771595001220703125,37.32108523819698575607617385685443878173828125,-14.17584765160069082412519492208957672119140625,87.047944578386790226431912742555141448974609375,19.2663350321970341383348568342626094818115234375,14.731284524063852359176962636411190032958984375,25.59587389751885666555608622729778289794921875,-95285813651.3260040283203125,
1,1500,-32.4442274239326167162289493717253208160400390625,2.4689474166081737394051742739975452423095703125,-27.8359324930570295464349328540265560150146484375,7.5716422009949155835784040391445159912109375,-2.01116977446821465491666458547115325927734375,19.9316385387737824430587352253496646881103515625,87.1211890011292098279227502644062042236328125,10.44038209173862696843571029603481292724609375,-28.7087618640705528605394647456705570220947265625,-41.5387432477797773344718734733760356903076171875,34.995574816125980532888206653296947479248046875,-34.5377971739860214483996969647705554962158203125,55.491805780205680775907239876687526702880859375,-35.7219153416547072765752091072499752044677734375,16.4036988433484935967499040998518466949462890625,8.5848567155980077814092510379850864410400390625,4.007080294198431147378869354724884033203125,-33.83587145603809176463983021676540374755859375,7.9866939298684656023397110402584075927734375,-49.6749778740806249288652907125651836395263671875,-25.4554887539292593601203407160937786102294921875,2.3712881862849854996966314502060413360595703125,22.7698599200414975030071218498051166534423828125,16.4403210547196891866406076587736606597900390625,36.31397442548905019066296517848968505859375,-83.269753105258331515869940631091594696044921875,-5.77105014191107557053328491747379302978515625,4.8493911557359439257197664119303226470947265625,9.4210638752403355056230793707072734832763671875,6.912442396313366543836309574544429779052734375,10.15350810266426151429186575114727020263671875,-28.183843501083401861251331865787506103515625,13.1076998199408052414582925848662853240966796875,-8.4627826776940224817735725082457065582275390625,-8.798486281929996266626403667032718658447265625,40.360728782006304982132860459387302398681640625,30.79622791222874411687371321022510528564453125,28.690450758384969276448828168213367462158203125,-32.718894009216597851263941265642642974853515625,57.371745963927111233715550042688846588134765625,-19.205298013245027277662302367389202117919921875,13.4495071260719640804381924681365489959716796875,-48.4115115817743486559265875257551670074462890625,-26.4503921628467679738605511374771595001220703125,37.32108523819698575607617385685443878173828125,-14.15753654591509302917984314262866973876953125,6.45466475417339324849308468401432037353515625,-32.4930570390942108360832207836210727691650390625,14.731284524063852359176962636411190032958984375,25.58977019562365740057430230081081390380859375,-48321142395.6007843017578125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,-11.7099520859401167172109126113355159759521484375,32.480849635303826516974368132650852203369140625,25.089266640217289250358589924871921539306640625,-13.6997589037751339446913334541022777557373046875,7.8585161900692810377222485840320587158203125,-9.2318491164891582911877776496112346649169921875,24.2408520767845629961811937391757965087890625,8.2796716208380445323200547136366367340087890625,-5.111850337229526530791190452873706817626953125,-26.6090884121219488633869332261383533477783203125,-87.4752037110507529860115027986466884613037109375,31.223487044892721087308018468320369720458984375,21.158482619708848915252019651234149932861328125,-1.071199682607499426012509502470493316650390625,-16.2511062959685119722053059376776218414306640625,59.477523117770914495849865488708019256591796875,-64.5191808832056636902052559889853000640869140625,4.5686208685567777365577057935297489166259765625,-12.25928525650806477642618119716644287109375,6.08844264046143734958604909479618072509765625,12.7109591967528245959329069592058658599853515625,39.042329172643206902648671530187129974365234375,-48.5702078310495295454529696144163608551025390625,-87.7315591906491363261011429131031036376953125,84.00830103457747100037522614002227783203125,-38.33429975280007084847966325469315052032470703125,-11.3559373760185593482674448750913143157958984375,-39.95788445692311796619833330623805522918701171875,-89.3368327890865856488744611851871013641357421875,64.995269631031220569639117456972599029541015625,-36.075930051576278856373392045497894287109375,46.20807519760734294322901405394077301025390625,-36.68630024109622667083385749720036983489990234375,21.55522324289682956077740527689456939697265625,-48.1185338908047697259462438523769378662109375,21.420941801202417309468728490173816680908203125,-31.174657429731126967453747056424617767333984375,43.9619129001739565865136682987213134765625,37.20511490218819972142227925360202789306640625,-57.98821985534226541858515702188014984130859375,-50.932340464491716147676925174891948699951171875,30.936613055818355633164173923432826995849609375,1.9806512649922325408624601550400257110595703125,-61.5955076754051304988024639897048473358154296875,15.7078768272957489671171060763299465179443359375,-64.1834772789696899053524248301982879638671875,-62.31574449903866508293504011817276477813720703125,-43.25388348033082053234466002322733402252197265625,-10.6662190618610139836164307780563831329345703125,33.70159001434370793504058383405208587646484375,-89249351714.605438232421875,
2,1500,-11.7099520859401167172109126113355159759521484375,32.480849635303826516974368132650852203369140625,25.089266640217289250358589924871921539306640625,-13.6997589037751339446913334541022777557373046875,7.8585161900692810377222485840320587158203125,-9.2318491164891582911877776496112346649169921875,24.2408520767845629961811937391757965087890625,8.2796716208380445323200547136366367340087890625,-5.111850337229526530791190452873706817626953125,-26.6090884121219488633869332261383533477783203125,-87.4752037110507529860115027986466884613037109375,31.223487044892721087308018468320369720458984375,21.158482619708848915252019651234149932861328125,-1.071199682607499426012509502470493316650390625,-16.2511062959685119722053059376776218414306640625,59.477523117770914495849865488708019256591796875,-64.5191808832056636902052559889853000640869140625,4.5686208685567777365577057935297489166259765625,-12.25928525650806477642618119716644287109375,6.08844264046143734958604909479618072509765625,8.8106936857203805857352563180029392242431640625,4.226813562425604686723090708255767822265625,4.8188726462599476008108467794954776763916015625,-70.983001190221870047025731764733791351318359375,60.34424878688923854497261345386505126953125,-19.254127628406621397516573779284954071044921875,-45.072786645100251234907773323357105255126953125,-26.841029084139535143549437634646892547607421875,-33.317056794946125819478766061365604400634765625,54.832605975524160157874575816094875335693359375,13.92559587389752095987205393612384796142578125,46.20807519760734294322901405394077301025390625,-36.68630024109622667083385749720036983489990234375,21.83599353007599574993946589529514312744140625,-21.024201178014465085652773268520832061767578125,28.281502731406590100959874689579010009765625,-61.29642628254035940926769399084150791168212890625,-15.384380626850173712227842770516872406005859375,14.44441053498945848332368768751621246337890625,-31.199072237311924027380882762372493743896484375,-3.286843470564889457818935625255107879638671875,12.2959074678792745771715999580919742584228515625,-2.5788140507217605090772849507629871368408203125,31.168553727835927702471963129937648773193359375,45.524460585344996843559783883392810821533203125,44.480727561265922531674732454121112823486328125,3.115939817499310038328985683619976043701171875,16.843165379802854886293062008917331695556640625,-39.017914365062409842721535824239253997802734375,-28.26319162572099230601452291011810302734375,-55071215477.4923248291015625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,20.0903347880489633325851173140108585357666015625,27.7626880703146525775082409381866455078125,-19.742423780022591017768718302249908447265625,-6.5523239844965956990563427098095417022705078125,71.465193639942611980586661957204341888427734375,26.5114291817987606236783904023468494415283203125,85.68681905575732571378466673195362091064453125,32.444227423932630927083664573729038238525390625,-5.4658650471510981105893733911216259002685546875,32.578508865627014756682910956442356109619140625,-83.660390026551112896413542330265045166015625,73.96160771507919662326457910239696502685546875,67.326883754997396636099438183009624481201171875,-0.668355357524347937214770354330539703369140625,42.21625415814690995830460451543331146240234375,85.62578203680533306396682746708393096923828125,-10.4831080050050360341629129834473133087158203125,-19.730216376232192487805150449275970458984375,42.22846156193730848826817236840724945068359375,-42.4481948301644962384671089239418506622314453125,33.127842036194948605043464340269565582275390625,59.599597155674899795485544018447399139404296875,-34.5683156834620177733086165972054004669189453125,86.24835963011565809210878796875476837158203125,-19.5043794061098054726244299672544002532958984375,-78.3379619739371975128960912115871906280517578125,-75.6462294381542363908010884188115596771240234375,12.1311075167088944226634339429438114166259765625,-7.8585161900692810377222485840320587158203125,-80.870998260444963534609996713697910308837890625,58.970915860469375502361799590289592742919921875,69.38383129367963420008891262114048004150390625,18.27143162327951131373993121087551116943359375,33.40861232337414321591495536267757415771484375,24.2957853938413563810172490775585174560546875,20.3955198828089265816743136383593082427978515625,40.1959288308358964059152640402317047119140625,-14.20026245918148788405233062803745269775390625,31.6446424756614987927605397999286651611328125,-4.5319986571855821466670022346079349517822265625,85.180211798455758298587170429527759552001953125,49.89471114230781267906422726809978485107421875,8.6153752250740041063181706704199314117431640625,46.31183812982573044791934080421924591064453125,-27.6467177343058523319996311329305171966552734375,-43.99853511154515928183172945864498615264892578125,17.184972685934013725272961892187595367431640625,-47.23349711600085498730550170876085758209228515625,42.692342905972481048593181185424327850341796875,23.2947782830286627131499699316918849945068359375,-112115834413.035552978515625,
3,1500,-67.937253944517351555987261235713958740234375,13.92559587389752095987205393612384796142578125,-39.65269936216315471710913698188960552215576171875,30.83285012359993970676441676914691925048828125,2.951139866328929883820819668471813201904296875,-10.10467848750266739443759433925151824951171875,35.9111301004058987018652260303497314453125,-16.4098025452436928617316880263388156890869140625,-18.912320322275462558536673896014690399169921875,30.82064271980954117680084891617298126220703125,2.5360881374553656542047974653542041778564453125,-6.4851832636494037842567195184528827667236328125,15.4515213476973798378821811638772487640380859375,42.00262459181493568394216708838939666748046875,16.995757927182836510837660171091556549072265625,30.38117618335519409811240620911121368408203125,-66.12445448164311301297857426106929779052734375,-46.934415723136083897770731709897518157958984375,10.19623401593065636916435323655605316162109375,-62.962736899929808487286209128797054290771484375,-31.4493240150151081024887389503419399261474609375,8.3162938322092401222107582725584506988525390625,-21.3110751670888447506513330154120922088623046875,0.1800592059083783169626258313655853271484375,2.2919400616473950549334404058754444122314453125,-27.4880214850306714424732490442693233489990234375,-1.96234015930662053506239317357540130615234375,-37.5225074007385472896203282289206981658935546875,-33.7443159276100885790583561174571514129638671875,18.649861140781894164319965057075023651123046875,6.57673879207737854812876321375370025634765625,-50.6393627735221372176965815015137195587158203125,18.27143162327951131373993121087551116943359375,33.40861232337414321591495536267757415771484375,24.2957853938413563810172490775585174560546875,20.3955198828089265816743136383593082427978515625,40.1959288308358964059152640402317047119140625,-14.20026245918148788405233062803745269775390625,31.6446424756614987927605397999286651611328125,-3.9521469771416377625428140163421630859375,-11.3925595873897549381581484340131282806396484375,38.54182561723683875243295915424823760986328125,38.50520340586564316254225559532642364501953125,12.5034333323160495865522534586489200592041015625,7.260353404339724647797993384301662445068359375,-43.99853511154515928183172945864498615264892578125,17.007965330973235040801228024065494537353515625,12.3569444868312672269894392229616641998291015625,24.820703756828521591160097159445285797119140625,-4.7517319254127556860112235881388187408447265625,-38994297761.6494903564453125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
4,0,-83.3552049317911354364696308039128780364990234375,-38.27936643574327746364360791631042957305908203125,34.971160008545183472961070947349071502685546875,-55.29648731955931140191751183010637760162353515625,34.61714529862359768230817280709743499755859375,-39.3719290749839814225197187624871730804443359375,-17.7220984527115632545246626250445842742919921875,30.77791680654314632192836143076419830322265625,94.940031128879667221553972922265529632568359375,-22.910245063631094808442867361009120941162109375,-2.2309030426954024051156011410057544708251953125,31.9620349742118605718133039772510528564453125,7.156590472121337143107666634023189544677734375,-89.6664326914273459578907932154834270477294921875,68.10205389568773171049542725086212158203125,34.50117496261481164765427820384502410888671875,-27.2682882168034979031290276907384395599365234375,-43.34543900875880950707141892053186893463134765625,7.4251533555101332240155898034572601318359375,65.080721457564010279384092427790164947509765625,53.62407300027467726977192796766757965087890625,21.066927091280859940525260753929615020751953125,-62.5476851710562442576701869256794452667236328125,-66.4906765953550831227403250522911548614501953125,-10.24506363109225048901862464845180511474609375,-29.97833185827204260931466706097126007080078125,-25.1991332743308902308854158036410808563232421875,79.7906430249946652111248113214969635009765625,73.284096804712049788577132858335971832275390625,-17.88079470198675835490575991570949554443359375,-61.88848536637470942878280766308307647705078125,15.146336252937402377938269637525081634521484375,21.121860408337653325361316092312335968017578125,-16.0924100466933168718242086470127105712890625,11.3803521835993564081945805810391902923583984375,70.07965330973235040801228024065494537353515625,39.5489364299447743178461678326129913330078125,24.2103335673085666712722741067409515380859375,93.023468733787041173854959197342395782470703125,23.7098300119022127319112769328057765960693359375,5.0935392315439429467005538754165172576904296875,13.6631366924039383548006298951804637908935546875,99.328592791528052430294337682425975799560546875,44.456312753685125471747596748173236846923828125,26.04754783776360227420809678733348846435546875,-22.879726554155098483533947728574275970458984375,73.021637623218481394360424019396305084228515625,1.101718192083495750921429134905338287353515625,15.097506637775808258083998225629329681396484375,15.4332102420117820429368293844163417816162109375,-106729231623.524566650390625,
4,1500,42.924283577990053117900970391929149627685546875,9.0182195501571840168253402225673198699951171875,-52.36671040986357894553293590433895587921142578125,6.14947965941342999940388835966587066650390625,-36.17969298379467346649107639677822589874267578125,-12.265388958403264041407965123653411865234375,13.75469222083194154038210399448871612548828125,12.2409741508224811923355446197092533111572265625,-19.87060151982177558238618075847625732421875,3.653065584276873778435401618480682373046875,40.452284310434293956859619356691837310791015625,-27.121799371318701332711498253047466278076171875,5.3010650959807179560812073759734630584716796875,0.643940549943550877287634648382663726806640625,3.390606402783276962509262375533580780029296875,-20.2063051240577493672390119172632694244384765625,-13.3396404919583773107660817913711071014404296875,-9.5370342112491215402769739739596843719482421875,-28.769798883022559721212019212543964385986328125,28.824732200079353106048074550926685333251953125,-27.3964659566026824677464901469647884368896484375,6.704916531876591534455656073987483978271484375,5.4414502395703010506622376851737499237060546875,9.6224860377819112500219489447772502899169921875,-32.1573534348582370512303896248340606689453125,-28.4829248939481800562134594656527042388916015625,-10.03143406476027621465618722140789031982421875,3.463850825525668142290669493377208709716796875,-36.41773735770744480078064952977001667022705078125,-13.7180700094607317396366852335631847381591796875,-22.5379192480239254336993326433002948760986328125,36.771752067629023486006190069019794464111328125,16.5929136020996708111852058209478855133056640625,5.7954649494918584196057054214179515838623046875,7.6693014313181038232869468629360198974609375,-24.2896816919461571160354651510715484619140625,-18.576616718039502984538557939231395721435546875,-48.5518967253639317505076178349554538726806640625,0.485244300668369987761252559721469879150390625,-6.08844264046143734958604909479618072509765625,16.6783654286324605209301807917654514312744140625,15.6346324045533577873356989584863185882568359375,26.2916959135715870843341690488159656524658203125,3.128147221289708568292553536593914031982421875,6.55842768639178075318341143429279327392578125,-16.721091341898869586657383479177951812744140625,32.523575548570221371846855618059635162353515625,-7.6570940275277052933233790099620819091796875,-3.219702749717697543019312433898448944091796875,-3.6957914975432544224531739018857479095458984375,-22450178347.572582244873046875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
