Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,92.675557725760683069893275387585163116455078125,0.955229346598713391358614899218082427978515625,94.872890408032475306754349730908870697021484375,-87.9696035645619076603907160460948944091796875,-54.881435590685754277728847227990627288818359375,1.058992278817100896048941649496555328369140625,59.996337778862880441010929644107818603515625,-29.3618579668569026352997752837836742401123046875,66.21601001007110198770533315837383270263671875,4.3549913022248034621952683664858341217041015625,95.7823419904171942107495851814746856689453125,62.53547776726583151685190387070178985595703125,15.8604693746757305916617042385041713714599609375,54.875331888790555012747063301503658294677734375,-37.5530259102145436145292478613555431365966796875,55.601672414319267545579350553452968597412109375,-47.8804895168919983916566707193851470947265625,15.7017731254005497021353221498429775238037109375,55.9617908261360526012140326201915740966796875,8.1575975829340450218296609818935394287109375,-18.625446333201097104392829351127147674560546875,42.881557664723658263028482906520366668701171875,-29.90508743552965142953325994312763214111328125,2.774132511368151199349085800349712371826171875,92.309335612048698749276809394359588623046875,-97.82708212530900482306606136262416839599609375,-0.3021332438123778274530195631086826324462890625,51.451155125583682092837989330291748046875,34.30585650196843516823719255626201629638671875,39.9945066682943206615163944661617279052734375,15.6773583178197526422081864438951015472412109375,57.59147923215431319476920180022716522216796875,80.3521835993529975894489325582981109619140625,-5.4048280281991054607715341262519359588623046875,-34.5500045777764199783632648177444934844970703125,14.13312173833429596925270743668079376220703125,-96.6124454481643084591269143857061862945556640625,32.572405163731815491701127029955387115478515625,-9.3417157506027450608598883263766765594482421875,-91.772209845271163430879823863506317138671875,-92.2849208044679159002043888904154300689697265625,4.025391399884028942324221134185791015625,-21.76885280922880383513984270393848419189453125,2.4567400128177752094416064210236072540283203125,-68.883327738273266049873200245201587677001953125,-61.29642628254035940926769399084150791168212890625,62.46223334452344033707049675285816192626953125,-5.67339091158788733082474209368228912353515625,55.034028138065735902273445390164852142333984375,-98.3153782769249602324634906835854053497314453125,-41035.156763590654009021818637847900390625,
0,1500,3.482161931211265937236021272838115692138671875,30.35676137577439703818527050316333770751953125,32.1329386272774399913032539188861846923828125,1.4435254982146688007560442201793193817138671875,-18.753624073000281669010291807353496551513671875,-52.6169621875667559152134344913065433502197265625,60.783715323343614045370486564934253692626953125,-84.246345408490242334664799273014068603515625,11.9968260750144821713547571562230587005615234375,13.0954924161504067114947247318923473358154296875,32.456434827723029457047232426702976226806640625,-0.0518814661091937523451633751392364501953125,-72.4539933469649355401998036541044712066650390625,-26.3771477401043767940791440196335315704345703125,-37.5530259102145436145292478613555431365966796875,55.601672414319267545579350553452968597412109375,-47.8804895168919983916566707193851470947265625,15.7017731254005497021353221498429775238037109375,55.9617908261360526012140326201915740966796875,8.1575975829340450218296609818935394287109375,-18.02117984557634144948679022490978240966796875,43.7665944395275801070965826511383056640625,2.951139866328929883820819668471813201904296875,-7.8341013824884839777951128780841827392578125,-7.6937162388989008832140825688838958740234375,-35.4045228431043454975224449299275875091552734375,-18.2897427289651233195399981923401355743408203125,46.31183812982573044791934080421924591064453125,27.4452955717642765876007615588605403900146484375,-16.1107211523789146667695604264736175537109375,21.225623340556040830051642842590808868408203125,5.2644428846095223661905038170516490936279296875,60.478530228583622374571859836578369140625,-9.86663411358989606014802120625972747802734375,-2.9023102511673215531118330545723438262939453125,31.9437238685262627768679521977901458740234375,-88.5128330332346564546242007054388523101806640625,32.1939756462294326411210931837558746337890625,-8.7069307535019930810449295677244663238525390625,-88.6898403881954351390959345735609531402587890625,-17.282631916257201964981504715979099273681640625,4.025391399884028942324221134185791015625,-21.76885280922880383513984270393848419189453125,2.4567400128177752094416064210236072540283203125,-10.33661915952023946374538354575634002685546875,4.4099246192815968470313237048685550689697265625,56.3035981322672114401939325034618377685546875,46.31183812982573044791934080421924591064453125,-1.6937772759178386650091852061450481414794921875,-13.1015961180456059764765086583793163299560546875,-14427.08943644424653030000627040863037109375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,99.810785241248822785564698278903961181640625,-68.840601825006871195000712759792804718017578125,-95.6846827600939917601863271556794643402099609375,-13.4372997222815655504746246151626110076904296875,2.4323252052369781495144707150757312774658203125,-72.4173711355937399503091000951826572418212890625,-46.739097262489707418353646062314510345458984375,60.020752586443677500938065350055694580078125,21.457564012573612899359432049095630645751953125,-71.178319650868246526442817412316799163818359375,47.196874904629652291987440548837184906005859375,59.367656483657327726177754811942577362060546875,-9.90325632496109165003872476518154144287109375,-7.6021607104708976976326084695756435394287109375,-10.25116733298744975400040857493877410888671875,-28.922391430402541345756617374718189239501953125,62.16925565355387561794486828148365020751953125,-16.629535813470880611930624581873416900634765625,32.975249488814966980498866178095340728759765625,-28.6172063356425638858127058483660221099853515625,-88.0489516891994981051539070904254913330078125,-92.7365947447126615088563994504511356353759765625,-84.5942564165166146494811982847750186920166015625,-79.180272835474710291236988268792629241943359375,-26.920377208777125588312628678977489471435546875,20.2612384411145427520750672556459903717041015625,-60.893581957457200815042597241699695587158203125,-51.92724387340922476141713559627532958984375,-73.5404522843104331286667729727923870086669921875,-68.3889278847621113754939869977533817291259765625,88.927884762108220684240222908556461334228515625,50.03509628589739577364525757730007171630859375,-44.4685201574755097908564493991434574127197265625,87.7925962096011289759189821779727935791015625,30.00885036774803893422358669340610504150390625,-55.90685750907925211095061968080699443817138671875,74.913785210730310382132302038371562957763671875,-34.836878566850799643361824564635753631591796875,46.726889858699308888390078209340572357177734375,-81.70110171819209199384204111993312835693359375,-12.03955198828089123708195984363555908203125,21.225623340556040830051642842590808868408203125,67.113254188665422361737000755965709686279296875,51.725821710867649017018266022205352783203125,-34.3424787133396449689826113171875476837158203125,-53.013702810754722349884104914963245391845703125,-33.7870418408764834339308436028659343719482421875,-25.119785149693285575267509557306766510009765625,-9.94598223822748650491121225059032440185546875,-81.92083498641926553318626247346401214599609375,-41330.55908761310274712741374969482421875,
1,1500,24.4605853450117365355254150927066802978515625,8.6214789269692033712999545969069004058837890625,47.3860896633808579281321726739406585693359375,-2.5421918393505649191865813918411731719970703125,71.4896084475234374622232280671596527099609375,-29.7524948881496555941339465789496898651123046875,-19.241920224616222867553005926311016082763671875,-45.57939390240181154467791202478110790252685546875,-0.692770165105144997141906060278415679931640625,52.885525070955537785266642458736896514892578125,-19.223609118930625072607654146850109100341796875,-1.5717032380138533653735066764056682586669921875,87.6522110660115458813379518687725067138671875,9.3417157506027450608598883263766765594482421875,-40.17151402325510645141548593528568744659423828125,-10.6051820429090213337985915131866931915283203125,10.01922666096987768469261936843395233154296875,-29.6914578691976629443161073140799999237060546875,-12.271492660298463306389749050140380859375,40.971098971526231480311253108084201812744140625,-27.4269844660786787926554097793996334075927734375,1.5106662190618607155556674115359783172607421875,-28.23877681814019524608738720417022705078125,-13.8157292397839199793452280573546886444091796875,17.014069032868434305783011950552463531494140625,-22.2266304513687629196283523924648761749267578125,-4.03759880367442747228778898715972900390625,83.5810419019135224516503512859344482421875,-17.361980040894792409744695760309696197509765625,79.4732505264443034320720471441745758056640625,-23.4473708304086443376945680938661098480224609375,-0.3021332438123778274530195631086826324462890625,-13.4311960203863662854928406886756420135498046875,-42.5214392529068874182485160417854785919189453125,-4.5381023590807814116487861610949039459228515625,-14.4810327463606682840691064484417438507080078125,54.24665059358500229791388846933841705322265625,-7.4678792687765138680333620868623256683349609375,19.6447645496993885672054602764546871185302734375,27.951902829065829791943542659282684326171875,87.9451887569811106004635803401470184326171875,-0.3875850703451675371979945339262485504150390625,-28.727072969756164866339531727135181427001953125,14.05987731559190478947130031883716583251953125,-11.117893002105773803123156540095806121826171875,26.9142735068819121124761295504868030548095703125,34.952848902859585678015719167888164520263671875,-1.76091799676504479066352359950542449951171875,27.7077547532578449818174703978002071380615234375,25.107577745902887045303941704332828521728515625,-14097.30971717954162159003317356109619140625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,10.49531540879542035327176563441753387451171875,47.227393414105648616896360181272029876708984375,-21.005890072328867290707421489059925079345703125,56.3524277474288055600482039153575897216796875,5.93585009308145572504145093262195587158203125,-1.351969969786665615174570120871067047119140625,-32.4198126163518196563018136657774448394775390625,36.320078127384249455644749104976654052734375,52.446058534501162284868769347667694091796875,-44.10229804376354678652205620892345905303955078125,94.824060792870881186900078319013118743896484375,72.1549119541001573452376760542392730712890625,81.475264748069690767806605435907840728759765625,4.9165318765831358405193896032869815826416015625,-1.278725547044274435393163003027439117431640625,45.469527268288203458723728545010089874267578125,-4.2695394756920137524502933956682682037353515625,-81.5240943632312990985155920498073101043701171875,43.723868526261185252224095165729522705078125,-2.3285622730185906448241439647972583770751953125,-14.658040101321461179395555518567562103271484375,-59.70336008789330861645794357173144817352294921875,33.84197515793329102962161414325237274169921875,-51.042207098605302917349035851657390594482421875,92.681661427655882334875059314072132110595703125,-68.10205389568773171049542725086212158203125,-77.95342875453962960818898864090442657470703125,-71.5567491683706151661681360565125942230224609375,-75.768303476058235901291482150554656982421875,-92.2910245063631151651861728169023990631103515625,20.896023438215280521035310812294483184814453125,-92.4924466689046909095850423909723758697509765625,-12.033448286385691972100175917148590087890625,56.2425611133152187903760932385921478271484375,84.148686178167054094956256449222564697265625,-50.4379406109805614732977119274437427520751953125,83.91064180425428276066668331623077392578125,-7.7669606616412920629954896867275238037109375,17.044587542344430630691931582987308502197265625,95.7518234809411978858406655490398406982421875,-28.800317392498556046120938844978809356689453125,-18.1859797967467358148496714420616626739501953125,95.361186559648416505297063849866390228271484375,-67.6198614459669755660797818563878536224365234375,30.14923551133762202880461700260639190673828125,-25.022125919370097335558966733515262603759765625,13.4434034241767648154564085416495800018310546875,55.400250251777691801180480979382991790771484375,-19.89501632740257264231331646442413330078125,3.5859248634296818636357784271240234375,-37607.070080029894597828388214111328125,
2,1500,8.0599383526108567821211181581020355224609375,-29.1665395062105261558826896362006664276123046875,-20.04150517288735500187613070011138916015625,-9.2745750297555531460602651350200176239013671875,5.93585009308145572504145093262195587158203125,-1.351969969786665615174570120871067047119140625,-32.4198126163518196563018136657774448394775390625,36.28955961790825313073582947254180908203125,-17.81975768303476570508792065083980560302734375,-42.985320596942045767718809656798839569091796875,71.5811639759514264369499869644641876220703125,-0.2533036286507837075987481512129306793212890625,29.63652455214088377033476717770099639892578125,12.9734183782464214118590462021529674530029296875,-23.5511337626270318423848948441445827484130859375,3.402813806573675492472830228507518768310546875,-4.2695394756920137524502933956682682037353515625,-6.5218054750205993741474230773746967315673828125,43.723868526261185252224095165729522705078125,-2.3285622730185906448241439647972583770751953125,-14.658040101321461179395555518567562103271484375,-59.6606341746269066561580984853208065032958984375,-15.323343607898181062410003505647182464599609375,-11.91747795037690593744628131389617919921875,9.1402935880611693164610187523066997528076171875,-14.908291879024631043648696504533290863037109375,43.595690786462000687606632709503173828125,-18.796349986266676523882779292762279510498046875,-8.2613605151524325265199877321720123291015625,62.57209997863702710674260742962360382080078125,67.973876155888547145877964794635772705078125,-11.130100405896172333086724393069744110107421875,7.010101626636554783544852398335933685302734375,-30.01495406964323819920537061989307403564453125,9.77507858516190708542126230895519256591796875,42.741172521134075168447452597320079803466796875,-29.89898373363445216455147601664066314697265625,5.2705465865047216311722877435386180877685546875,-0.674459059419547202196554280817508697509765625,-8.6886196478163952860995777882635593414306640625,-40.7452620014038444651305326260626316070556640625,10.20233771782585563414613716304302215576171875,-2.6642658772545502188222599215805530548095703125,87.5118259224219627867569215595722198486328125,-92.4192022461622997298036352731287479400634765625,-25.3334147160252740604846621863543987274169921875,-83.73973815118870334117673337459564208984375,51.432844019898084297892637550830841064453125,19.9194311349833554913857369683682918548583984375,59.465315713980515965886297635734081268310546875,-13322.227040814768770360387861728668212890625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,83.208716086306367287761531770229339599609375,-32.920316171758173595662810839712619781494140625,-46.09210486159855690857511945068836212158203125,21.335489974669627599723753519356250762939453125,1.6754661702322408700638334266841411590576171875,32.3221533860286172057385556399822235107421875,52.818384350108345870467019267380237579345703125,-48.2467116306039685014184215106070041656494140625,26.15131076998198977889842353761196136474609375,-5.81987975707266969038755632936954498291015625,33.23160496841336453144322149455547332763671875,-79.5281838435010826060533872805535793304443359375,-16.751609851374865911566303111612796783447265625,62.16925565355387561794486828148365020751953125,53.91094698934904272391577251255512237548828125,-43.46751304666279480670709745027124881744384765625,83.42234565263834156212396919727325439453125,17.569505905331567419125349260866641998291015625,42.37495040742209084783098660409450531005859375,-83.5077974791711170610142289660871028900146484375,48.4603411969359285649261437356472015380859375,-91.3144322031312043463913141749799251556396484375,-23.8868373668630056272377260029315948486328125,99.328592791528052430294337682425975799560546875,52.830591753898744400430587120354175567626953125,18.515579699087510334720718674361705780029296875,-84.044923245948666590265929698944091796875,-39.79918820764793707667195121757686138153076171875,-20.1940977202673508372754440642893314361572265625,-4.0986358226264201221056282520294189453125,-40.20203253273110277632440556772053241729736328125,59.312723166600534341341699473559856414794921875,79.9981688894314402205054648220539093017578125,26.7860957670827275478586670942604541778564453125,-64.1773735770744906403706409037113189697265625,48.6434522537919065143796615302562713623046875,-53.62407300027467016434457036666572093963623046875,-11.038544877468183358359965495765209197998046875,22.16559343241675605895579792559146881103515625,-81.6217535935544873382241348735988140106201171875,3.750724814600062018143944442272186279296875,-16.1229285561693131967331282794475555419921875,50.32807397686696049277088604867458343505859375,-30.3445539719840127190764178521931171417236328125,-84.3867305520798396401005447842180728912353515625,-32.5601977599414027508828439749777317047119140625,95.9654530472731721602031029760837554931640625,-27.4697103793450736475278972648084163665771484375,68.993194372386852819545310921967029571533203125,-96.996978667561876363834016956388950347900390625,-38116.22496637256699614226818084716796875,
