Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,46.11651966917935396850225515663623809814453125,30.78402050843834558691014535725116729736328125,60.930204168828396404933300800621509552001953125,29.96002075258644481436931528151035308837890625,8.0416272469252589871757663786411285400390625,-69.2617572557756346895985188893973827362060546875,-38.975188451796014987849048338830471038818359375,98.18720053712576145699131302535533905029296875,11.9357890560624895215369178913533687591552734375,34.53169347209080797256319783627986907958984375,-18.936735129856259618463809601962566375732421875,42.905972472304455322955618612468242645263671875,12.4912259285256510565886856056749820709228515625,-28.232673116244995981105603277683258056640625,98.58394116031371368080726824700832366943359375,8.5482345042268121915185474790632724761962890625,9.81170079653310267531196586787700653076171875,-65.330973235267180143637233413755893707275390625,40.464491714224692486823187209665775299072265625,-88.995025482955412599039846099913120269775390625,-95.5809198278756042554960004054009914398193359375,12.7964110232856143056778819300234317779541015625,59.508041627246910820758785121142864227294921875,8.2552568132572474723929190076887607574462890625,-56.4683980834376058055568137206137180328369140625,-38.895840327158424543085857294499874114990234375,16.971343119602039450910524465143680572509765625,11.6550187688833233323748572729527950286865234375,0.704977568895543527105473913252353668212890625,0.393688772240381013034493662416934967041015625,-28.208258308664198921178467571735382080078125,56.3402203436384070300846360623836517333984375,61.320841090121149363767472095787525177001953125,18.27143162327951131373993121087551116943359375,-15.7689138462477416169349453411996364593505859375,-70.897549363689080337280756793916225433349609375,45.359660634174616689051617868244647979736328125,60.4297006134220282547175884246826171875,-26.06585894344920006915344856679439544677734375,-3.292947172460088722800719551742076873779296875,7.040620136112551108453772030770778656005859375,-21.4148380993072322553416597656905651092529296875,7.9622791222876685424125753343105316162109375,-15.384380626850173712227842770516872406005859375,-88.6104922635578446943327435292303562164306640625,-69.3350016785180258693799260072410106658935546875,-76.4213995788445714651970774866640567779541015625,40.916165654469438095475197769701480865478515625,15.2806176946318004183922312222421169281005859375,-24.7535630359813154655057587660849094390869140625,-61840038952.220458984375,
0,1500,-0.833155308694728091722936369478702545166015625,20.743430890835298896490712650120258331298828125,8.6703085421307974911542260088026523590087890625,0.436414685506775867906981147825717926025390625,-40.830713827936648385730222798883914947509765625,12.7292703024384223908782587386667728424072265625,-0.1068147831659871371812187135219573974609375,0.601214636677156022415147162973880767822265625,35.660878322702728837612085044384002685546875,28.09228797265541288652457296848297119140625,-55.69322794274727783658818225376307964324951171875,-54.14288766136661479322356171905994415283203125,8.0599383526108567821211181581020355224609375,-22.0740379039887812950837542302906513214111328125,24.710837122714934821487986482679843902587890625,16.6661580248420619909666129387915134429931640625,-33.7260048219244907841130043379962444305419921875,19.1747795037690451636080979369580745697021484375,57.46940519425032789513352327048778533935546875,26.7189550462355356330590439029037952423095703125,25.174718466750078960103564895689487457275390625,-17.4535355693227955953261698596179485321044921875,5.6611835077974745900064590387046337127685546875,36.24073000274665901088155806064605712890625,-22.5867488631855195535536040551960468292236328125,2.1393475142674134303888422437012195587158203125,9.3783379619739406507505918852984905242919921875,3.463850825525668142290669493377208709716796875,56.1815240943632261405582539737224578857421875,37.28446302682579016618547029793262481689453125,41.026032288583024865147308446466922760009765625,33.63444929349651602024096064269542694091796875,14.780114139225446479031234048306941986083984375,-27.9580065309610290569253265857696533203125,-45.48173467207860909411465399898588657379150390625,8.1087679677724509019753895699977874755859375,-35.258033997619548927104915492236614227294921875,17.392498550370788734653615392744541168212890625,-37.4004333628345619899846496991813182830810546875,-24.4361705374309536864529945887625217437744140625,-17.78923917355876938017900101840496063232421875,15.7811212500381401468985131941735744476318359375,34.29364909817803663827362470328807830810546875,-61.5344706564531378489846247248351573944091796875,-21.81157872249519869001233018934726715087890625,-39.6160771507919520217910758219659328460693359375,-19.754631183812989547732286155223846435546875,-20.8044679097872773354538367129862308502197265625,13.0222479934080155317133176140487194061279296875,24.3018890957365556459990330040454864501953125,-8251265544.1864566802978515625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,36.680196539201034511279431171715259552001953125,-35.856196783349105317029170691967010498046875,0.0518814661091937523451633751392364501953125,61.60161137730034397463896311819553375244140625,50.926236762596516882695141248404979705810546875,-37.84600360118412254450959153473377227783203125,-66.30146183660389169745030812919139862060546875,-55.4185613574633038069805479608476161956787109375,-20.108645893734546916675753891468048095703125,17.477950376903578444398590363562107086181640625,-4.3244727927488071372863487340509891510009765625,50.01678518021179797869990579783916473388671875,2.6703695791497494838040438480675220489501953125,72.325815607165765186437056399881839752197265625,15.042573320719014873247942887246608734130859375,88.6715292825098231332958675920963287353515625,-68.797875911740476340128225274384021759033203125,72.295297097689768861528136767446994781494140625,12.6865443891720275360057712532579898834228515625,-65.7032990508743495183807681314647197723388671875,22.2815637684255563044644077308475971221923828125,10.855433820612205408906447701156139373779296875,-51.4755699331644649419104098342359066009521484375,-19.4372386852626135578248067758977413177490234375,-73.021637623218481394360424019396305084228515625,-13.6753440961943368847641977481544017791748046875,31.6507461775566980577423237264156341552734375,-22.5867488631855195535536040551960468292236328125,0.3265480513931606765254400670528411865234375,-33.4513382366405238599327276460826396942138671875,20.5542161320841074712006957270205020904541015625,-49.20499282815027441984057077206671237945556640625,4.8432874538407446607379824854433536529541015625,19.5593127231665988574604853056371212005615234375,19.2052980132450414885170175693929195404052734375,-86.11407818842127426250954158604145050048828125,-3.87890255439924658276140689849853515625,-57.79290139469588183374071377329528331756591796875,95.7152012695700022959499619901180267333984375,70.921964171269877397207892499864101409912109375,31.254005554368717412216938100755214691162109375,56.3035981322672114401939325034618377685546875,-52.42164372692037233036899124272167682647705078125,7.119968260750141553216963075101375579833984375,23.2032227546006737384232110343873500823974609375,-35.6242561113315190368666662834584712982177734375,43.406476027710823473171330988407135009765625,17.221594897305209315163665451109409332275390625,69.81109042634358274881378747522830963134765625,-24.0638447218237843117094598710536956787109375,-49120765095.3785858154296875,
1,1500,-36.29566331980345950114497100003063678741455078125,-27.030243842890712357984739355742931365966796875,-31.113620410779134317635907791554927825927734375,-11.5451521347697365627027465961873531341552734375,-55.5040131839960935167255229316651821136474609375,-5.78325754570147410049685277044773101806640625,-55.58946501052889033189785550348460674285888671875,38.926358836634420867994776926934719085693359375,15.2439954832606048285015276633203029632568359375,49.559007538071824683356680907309055328369140625,-8.3468123416852222362649627029895782470703125,-1.80364391003143964553601108491420745849609375,-56.66371654408398939040125696919858455657958984375,-27.1523178807947118684751330874860286712646484375,-63.62804040650654968658272991888225078582763671875,-34.665974913785220223871874623000621795654296875,-39.182714316232789997229701839387416839599609375,10.562456129642640689780819229781627655029296875,32.0596942045350488115218468010425567626953125,-15.4515213476973798378821811638772487640380859375,29.75249488814966980498866178095340728759765625,26.4320810571611701789151993580162525177001953125,-10.5624561296426264789261040277779102325439453125,-23.2459486678670685932956985197961330413818359375,70.36042359691151659717434085905551910400390625,-36.49098178044983598056205664761364459991455078125,-15.5186620685445717526818043552339076995849609375,22.06183050019836855426547117531299591064453125,31.8460646382030745371594093739986419677734375,45.219275490585033594470587559044361114501953125,-12.1982482375560721266083419322967529296875,-24.4422742393261529514347785152494907379150390625,43.455305642872417593025602400302886962890625,-62.76741843928342490244176588021218776702880859375,19.1991943113498422235352336429059505462646484375,-18.2287057100131306697221589274704456329345703125,-47.77672658467360378153898636810481548309326171875,56.1021759697256356957950629293918609619140625,-17.7037873470259654595793108455836772918701171875,-19.6203497421185915072783245705068111419677734375,-36.936552018799403640514356084167957305908203125,34.36689352092042781805503182113170623779296875,-28.714865565965766336375963874161243438720703125,-0.2899258400219792974894517101347446441650390625,24.796288949247724531232961453497409820556640625,-37.5102999969481487596567603759467601776123046875,-32.883693960386978005772107280790805816650390625,31.7728202154606833573780022561550140380859375,-4.8799096652119402506286860443651676177978515625,80.0775170140690306652686558663845062255859375,-13874413354.7155857086181640625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,-13.96832178716391581474454142153263092041015625,-8.4933011871700188066824921406805515289306640625,-53.39213232825708388418206595815718173980712890625,-8.2064271980956391416839323937892913818359375,60.924100466933197139951516874134540557861328125,10.37324137089143505363608710467815399169921875,-31.6690572832422816418329603038728237152099609375,-58.22016052735984459332030382938683032989501953125,-53.92925809503464051886112429201602935791015625,49.546800134281426153393113054335117340087890625,18.869594409009067703664186410605907440185546875,-41.184728537858205754673690535128116607666015625,40.787987914670253530857735313475131988525390625,49.577318643757422478302032686769962310791015625,7.016205328531754048526636324822902679443359375,-43.94360179448835168614095891825854778289794921875,-56.3524277474288197709029191173613071441650390625,-49.4857631153294477144299889914691448211669921875,-23.6121707815790244922027341090142726898193359375,-60.69215979491561796521637006662786006927490234375,-19.827875606555380727513693273067474365234375,68.523209326456509415947948582470417022705078125,21.57353434858242735572275705635547637939453125,-16.776024658955662971493438817560672760009765625,27.5978881191442582121453597210347652435302734375,48.869289223914307740415097214281558990478515625,29.221472823267305329864029772579669952392578125,13.2358775597399898060757550410926342010498046875,-0.0457777642139944873633794486522674560546875,-23.2947782830286627131499699316918849945068359375,-42.6557206946012712478477624244987964630126953125,-45.85406048768577846885818871669471263885498046875,65.33707693716240783032844774425029754638671875,47.8316599017304042718023993074893951416015625,5.91143528550065866511431522667407989501953125,-53.5081026642658770242633181624114513397216796875,-31.6446424756614845819058245979249477386474609375,11.3498336741233600832856609486043453216552734375,-80.4010132145146059201579191721975803375244140625,21.384319589831221719578024931252002716064453125,-8.7679677724539857308627688325941562652587890625,-53.82549516281625301417079754173755645751953125,19.040498062074647123154136352241039276123046875,36.533707693716252151716616936028003692626953125,-4.8493911557359439257197664119303226470947265625,11.8198187200537034868830232881009578704833984375,-41.2823877681814082052369485609233379364013671875,30.54597613452557425262057222425937652587890625,-95.9349345377971758352941833436489105224609375,84.7041230506301872082985937595367431640625,-29700560290.582271575927734375,
2,1500,11.8137150181585042219012393616139888763427734375,-8.4933011871700188066824921406805515289306640625,-53.5996581926938659989900770597159862518310546875,-21.140171514023251120306667871773242950439453125,-39.078951384014402492539375089108943939208984375,10.37324137089143505363608710467815399169921875,-31.6507461775566838468876085244119167327880859375,-14.798425244911044273976585827767848968505859375,-50.04730368968779430360882543027400970458984375,-27.2682882168034979031290276907384395599365234375,-22.4890896328623313138450612314045429229736328125,18.692587054048289019192452542483806610107421875,-40.7696768089846415250576683320105075836181640625,-26.28559221167637360849766992032527923583984375,8.8045899838251813207534723915159702301025390625,1.126132999664292810848564840853214263916015625,-29.2336802270577180706823128275573253631591796875,-19.6874904629657834220779477618634700775146484375,14.12091433454389743928913958370685577392578125,-29.2703024384289136605730163864791393280029296875,-17.123935666982021075455122627317905426025390625,-47.23960081789605425228728563524782657623291015625,-52.11035493026520981629801099188625812530517578125,-14.2735068819238932746884529478847980499267578125,-64.0186773277993097508442588150501251220703125,-48.2467116306039685014184215106070041656494140625,8.7435529648731886709356331266462802886962890625,-28.995635853144932525538024492561817169189453125,34.40351573229162340794573538005352020263671875,26.5419476912747569485873100347816944122314453125,-49.35148167363505677940338500775396823883056640625,8.2552568132572474723929190076887607574462890625,-15.018158513138217813320807181298732757568359375,-44.822534867397081370654632337391376495361328125,88.4212775048066532690427266061305999755859375,4.4160283211767961120131076313555240631103515625,32.694479201635800791336805559694766998291015625,31.7667165135654840923962183296680450439453125,-31.7239906002990750266690156422555446624755859375,29.88067262794885436960612423717975616455078125,-45.85406048768577846885818871669471263885498046875,-8.969389934995575686116353608667850494384765625,13.91949217200232169489027000963687896728515625,22.8247932370982908878431771881878376007080078125,9.4210638752403355056230793707072734832763671875,46.653645435956917708608671091496944427490234375,-41.83782464064454842400664347223937511444091796875,-20.5847346415601037961096153594553470611572265625,-38.62727744376964977846000692807137966156005859375,56.0777611621448386358679272234439849853515625,-14962765813.6897106170654296875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,-37.5957518234809384694017353467643260955810546875,68.913846247749262374782119877636432647705078125,-56.17542039246803398100382764823734760284423828125,61.41239661854916676020366139709949493408203125,2.5421918393505649191865813918411731719970703125,-26.798303170873140288676950149238109588623046875,-55.93127231666004917087775538675487041473388671875,-21.5002899258400219650866347365081310272216796875,-1.99285866878261685997131280601024627685546875,68.279061250648510394967161118984222412109375,-2.04168828394421097982558421790599822998046875,3.012176885280922533638658933341503143310546875,30.11871700186162570389569737017154693603515625,-3.4150212103640882332911132834851741790771484375,95.336771752067619445369928143918514251708984375,-21.70171208838161192034021951258182525634765625,-95.233008819849231940679601393640041351318359375,-49.35758537553025604438516893424093723297119140625,7.187108981597333468016586266458034515380859375,39.9273659474471287467167712748050689697265625,-45.32914212469862746957005583681166172027587890625,70.40314951017791145204682834446430206298828125,20.889919736320081256053526885807514190673828125,63.585314493240133515428169630467891693115234375,58.867152928250987997671472840011119842529296875,-10.800500503555412024070392362773418426513671875,-89.81902523880734179329010657966136932373046875,-64.604632709738467610804946161806583404541015625,-22.879726554155098483533947728574275970458984375,-33.4818567461165201848416472785174846649169921875,3.073213904232915183456498198211193084716796875,-13.91949217200232169489027000963687896728515625,-19.74852748191779028275050222873687744140625,62.78572954496900138110504485666751861572265625,43.53465376751000803778879344463348388671875,90.697958311716064372376422397792339324951171875,-63.170262764366583496666862629354000091552734375,-61.17435224463637410963201546110212802886962890625,-36.40552995391704627081708167679607868194580078125,-82.763145847956792522381874732673168182373046875,30.10040589617602790895034559071063995361328125,82.909634693441574881944688968360424041748046875,-21.79937131870480016004876233637332916259765625,-13.022247993408001320858602412045001983642578125,18.662068544572292694283532910048961639404296875,-15.8970915860469403924071229994297027587890625,-39.078951384014402492539375089108943939208984375,-40.34852137821588513588721980340778827667236328125,42.741172521134075168447452597320079803466796875,99.230933561204864190585794858634471893310546875,-62477521751.11159515380859375,
