Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,3.256324961088893132910015992820262908935546875,26.06585894344920006915344856679439544677734375,42.832728049562064143174211494624614715576171875,31.6690572832422958526876755058765411376953125,80.4498428296761858291574753820896148681640625,14.15753654591509302917984314262866973876953125,32.0780053102206466064671985805034637451171875,-13.3640552995391743706932174973189830780029296875,-92.3398541215247092850404442287981510162353515625,78.618732261116377912912867031991481781005859375,42.16132084109011657346854917705059051513671875,0.3387554551835592064890079200267791748046875,-62.73079622791222931255106232129037380218505859375,43.906979583117163201677612960338592529296875,44.376964629047535026984405703842639923095703125,0.0823999755851900772540830075740814208984375,61.79692983794672045405604876577854156494140625,-40.4766991180150768059320398606359958648681640625,17.551194799645969624179997481405735015869140625,-40.6353953672902576954584219492971897125244140625,-27.3354289376506898179286508820950984954833984375,83.117160557878349891325342468917369842529296875,21.268349253822435684924130327999591827392578125,56.0106204412976467210683040320873260498046875,17.105624561296423280509770847856998443603515625,46.31794183172092971290112473070621490478515625,19.8522904141361635765861137770116329193115234375,26.10248115482039565904415212571620941162109375,48.979155858027894510087207891047000885009765625,-4.8799096652119402506286860443651676177978515625,-60312655380.57579803466796875,
0,900,-62.76741843928342490244176588021218776702880859375,-25.2784813989684806756486068479716777801513671875,15.3416547135837930682100704871118068695068359375,19.5715201269569973874240531586110591888427734375,71.7459639271218065914581529796123504638671875,6.55232398449658148820162750780582427978515625,-0.4486220892971601870158337987959384918212890625,-33.359782708212520674351253546774387359619140625,-33.310953093050926554496982134878635406494140625,-17.001861629078035775819444097578525543212890625,12.5827814569536400313154445029795169830322265625,-2.8107547227393325783850741572678089141845703125,3.823969237342453197925351560115814208984375,-37.4187444685201597849300014786422252655029296875,13.87676625873592684001778252422809600830078125,-12.5278481398968466464793891645967960357666015625,3.5615100558488848037086427211761474609375,-8.908352916043583036298514343798160552978515625,-28.971221045564135465610888786613941192626953125,-8.5848567155980077814092510379850864410400390625,-19.077120273445842713044839911162853240966796875,-12.741477706228835131696541793644428253173828125,-44.6821497238074840652188868261873722076416015625,-34.3668935209204420289097470231354236602783203125,10.727256080813020844288985244929790496826171875,26.6579180272835429832412046380341053009033203125,19.6630756553849863621508120559155941009521484375,-3.7018951994384536874349578283727169036865234375,-13.4189886165959677555292728357017040252685546875,31.7667165135654840923962183296680450439453125,-18014302397.789581298828125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,45.030060731833856380035285837948322296142578125,17.227698599200408580145449377596378326416015625,81.95745719779046112307696603238582611083984375,-47.37388225959043808188653201796114444732666015625,19.6508682515945878321872442029416561126708984375,-53.74004333628345619899846496991813182830810546875,-69.3838312936796199892341974191367626190185546875,-64.555803094576873490950674749910831451416015625,-46.3240455336161431887376238591969013214111328125,-61.5039521469771415240757050924003124237060546875,-46.940519425031283162752515636384487152099609375,62.16925565355387561794486828148365020751953125,-8.877834406567586711389594711363315582275390625,-78.16095461897640461756964214146137237548828125,7.5777459028901148485601879656314849853515625,-94.02447584459974905257695354521274566650390625,27.0912808618427192186572938226163387298583984375,-12.4607074190496547316797659732401371002197265625,-6.08844264046143734958604909479618072509765625,-19.4982757042146062076426460407674312591552734375,46.21417889950254220821079798042774200439453125,-10.5624561296426264789261040277779102325439453125,35.062715536973172447687829844653606414794921875,-21.207312234870443035106291063129901885986328125,36.649678029725038186370511539280414581298828125,-44.5478682821131002356196404434740543365478515625,6.17999816888942632431280799210071563720703125,2.1698660237434097552977618761360645294189453125,-26.4076662495803731189880636520683765411376953125,-11.2765892513809689035042538307607173919677734375,-58024935981.86173248291015625,
1,900,-99.5483260597552401804932742379605770111083984375,-13.90728476821192316492670215666294097900390625,-4.886013367107153726465185172855854034423828125,-29.2092654194769210107551771216094493865966796875,12.1066927091280689410268678329885005950927734375,3.909421063875242907670326530933380126953125,-27.2743919186986971681108116172254085540771484375,-8.804589983825195531608187593519687652587890625,36.399426252021868322117370553314685821533203125,13.0039368877224177367679658345878124237060546875,36.381115146336270527172018773853778839111328125,-19.071016571550643448063055984675884246826171875,-10.818811609241009819015744142234325408935546875,2.3163548692281921148605761118233203887939453125,-21.4026306955168337253780919127166271209716796875,-12.790307321390429251550813205540180206298828125,27.0912808618427192186572938226163387298583984375,-12.4607074190496547316797659732401371002197265625,-6.08844264046143734958604909479618072509765625,-21.6162602618488079997405293397605419158935546875,8.7130344553971923460267134942114353179931640625,-10.5624561296426264789261040277779102325439453125,35.062715536973172447687829844653606414794921875,-21.207312234870443035106291063129901885986328125,36.649678029725038186370511539280414581298828125,-44.5478682821131002356196404434740543365478515625,6.17999816888942632431280799210071563720703125,2.1210364085818156354434904642403125762939453125,0.0579851680043930173269473016262054443359375,-11.1667226172673821338321431539952754974365234375,-12734399127.034503936767578125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,37.076937162388986735095386393368244171142578125,-59.77050080874050053125756676308810710906982421875,17.007965330973235040801228024065494537353515625,47.3494674520096623382414691150188446044921875,-11.2155522324289762536864145658910274505615234375,-95.3245643482772351262610754929482936859130859375,7.7425458540604950030683539807796478271484375,2.6703695791497494838040438480675220489501953125,36.344492934965074937281315214931964874267578125,61.009552293465986849696491844952106475830078125,-26.25507370220037728358875028789043426513671875,-10.21454512161625416410970501601696014404296875,-50.3646961882381702935163048096001148223876953125,-73.5160374767296360687396372668445110321044921875,-14.5725882747886572587958653457462787628173828125,6.765953550828584184273495338857173919677734375,-27.072969756157107212857226841151714324951171875,-14.4260994293038748992330511100590229034423828125,68.840601825006871195000712759792804718017578125,62.72469252601700873128720559179782867431640625,-49.7848445081942116985374013893306255340576171875,-10.5319376201666301540171843953430652618408203125,-67.949461348307750085950829088687896728515625,1.5717032380138533653735066764056682586669921875,-30.704672383800783563856384716928005218505859375,30.16754661702321982374996878206729888916015625,68.584246345408502065765787847340106964111328125,30.23468733787041173854959197342395782470703125,-23.3191930906094597730771056376397609710693359375,-48.5213782158879354255986982025206089019775390625,-56611925974.41223907470703125,
2,900,25.74236274300363902511890046298503875732421875,-4.3610950041200027271770522929728031158447265625,27.903073213904235672089271247386932373046875,-1.7120883816034364599545369856059551239013671875,0.1434369945371827270719222724437713623046875,7.162694174016536408089450560510158538818359375,18.509475997192311069738934747874736785888671875,8.9877010406811876919164205901324748992919921875,13.85845515305032904507243074476718902587890625,-3.4455397198400845582000329159200191497802734375,-1.168858912930687665721052326261997222900390625,-5.178991058076718445590813644230365753173828125,-39.93957335123752017125298152677714824676513671875,-11.978514969328898587264120578765869140625,2.3957029938657825596237671561539173126220703125,12.3508407849360679620076552964746952056884765625,3.353984191412081372618558816611766815185546875,31.180761131626326232435530982911586761474609375,-18.4789574877163005339752999134361743927001953125,7.254249702444525382816209457814693450927734375,-23.4412671285134450727127841673791408538818359375,-8.2918790246284288514289073646068572998046875,2.0172734763634281307531637139618396759033203125,-16.4281136509292906566770398057997226715087890625,16.6905728324228590508937486447393894195556640625,-5.87481307412946307522361166775226593017578125,6.02740562150944469976820982992649078369140625,-0.1617481002227805220172740519046783447265625,-2.2919400616473950549334404058754444122314453125,1.7731254005554291097723762504756450653076171875,-6031917641.48186588287353515625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,-82.793664357432788847290794365108013153076171875,-22.7576525162510989730435539968311786651611328125,-23.178807947019862467641360126435756683349609375,19.6203497421185915072783245705068111419677734375,-37.6201666310617355293288710527122020721435546875,-24.0882595294045813716365955770015716552734375,65.135654774620803664220147766172885894775390625,-99.188207647938469335713307373225688934326171875,1.7365031891842335198816726915538311004638671875,2.7191991943113436036583152599632740020751953125,-35.990478225043489146628417074680328369140625,-75.280007324442266281039337627589702606201171875,24.2225409710989652012358419597148895263671875,51.518295846430874007637612521648406982421875,1.1871700186162996715211193077266216278076171875,11.8320261238441020168465911410748958587646484375,37.32718894009218502105795778334140777587890625,-40.4583880123294790109866880811750888824462890625,-60.28931546983245226556391571648418903350830078125,-29.8806726279488401587514090351760387420654296875,84.0205084383678695303387939929962158203125,-20.938749351481675375907798297703266143798828125,-2.5605029450361627141319331713020801544189453125,27.3842585528122839377829222939908504486083984375,-40.03112887966550914597974042408168315887451171875,-67.6625873592333704209522693417966365814208984375,80.1934873500778166999225504696369171142578125,17.63664662617878775563440285623073577880859375,25.217444380016473814976052381098270416259765625,42.11249122592852245361427776515483856201171875,-59016016583.7415008544921875,
