Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,24.906155583361311300905072130262851715087890625,8.6642048402355982261724420823156833648681640625,12.6499221778008319461150676943361759185791015625,-41.5387432477797773344718734733760356903076171875,44.962920010986664465235662646591663360595703125,-6.7049165318765773236009408719837665557861328125,-16.5196691793572796314037987031042575836181640625,-43.009735404522842827645945362746715545654296875,-41.2884914700766074702187324874103069305419921875,26.2977996154667863493159529753029346466064453125,84.319589831232633514446206390857696533203125,23.3375041962950575680224574171006679534912109375,-70.4763939329203168426829506643116474151611328125,4.6418652912991689163391129113733768463134765625,14.682454908902258239322691224515438079833984375,76.677755058442954805286717601120471954345703125,58.793908505508596817890065722167491912841796875,4.5991393780327740614666254259645938873291015625,-32.4930570390942108360832207836210727691650390625,-44.6821497238074840652188868261873722076416015625,32.944730979338970655589946545660495758056640625,-38.65169225135044683838714263401925563812255859375,-65.141758476516002929201931692659854888916015625,78.11822870571000976269715465605258941650390625,-30.3140354625080163941674982197582721710205078125,87.3287148655659848373034037649631500244140625,2.957243568224129148802603594958782196044921875,63.7806329538865384165546856820583343505859375,-23.9051484725486034221830777823925018310546875,-87.157811212500376996104023419320583343505859375,-22560.92741011870020884089171886444091796875,
0,900,-13.3579515976439751057114335708320140838623046875,-36.75954466383861785061526461504399776458740234375,47.9537339396343895714380778372287750244140625,84.099856563005459975101985037326812744140625,3.085421308023313713420066051185131072998046875,59.88036744285409440635703504085540771484375,11.130100405896172333086724393069744110107421875,8.1331827753532479619025252759456634521484375,-2.7253028962065428686400991864502429962158203125,-18.570513016144303719556774012744426727294921875,11.5451521347697365627027465961873531341552734375,51.042207098605302917349035851657390594482421875,-15.384380626850173712227842770516872406005859375,-0.5035554063539535718518891371786594390869140625,11.6489150669881240673930733464658260345458984375,27.2011474959563059883294044993817806243896484375,-21.207312234870443035106291063129901885986328125,-52.5864436780907595903045148588716983795166015625,2.5238807336649671242412296123802661895751953125,-0.1617481002227805220172740519046783447265625,-32.0474868007446502815582789480686187744140625,46.20807519760734294322901405394077301025390625,-8.926664021729180831243866123259067535400390625,-12.173833429975275066681206226348876953125,-26.950895718253121913221548311412334442138671875,-15.6285287026581585223539150319993495941162109375,-2.993865779595324738693307153880596160888671875,27.6955473494674464518539025448262691497802734375,1.8707846308786173494809190742671489715576171875,-33.86638996551408808954874984920024871826171875,-5967.800282233278267085552215576171875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,20.3222754600665354018929065205156803131103515625,15.4393139439069813079186133109033107757568359375,-88.2076479384746789946802891790866851806640625,40.983306375316630010274820961058139801025390625,-65.056306649983213219456956721842288970947265625,38.01080355235450269901775754988193511962890625,-20.2612384411145427520750672556459903717041015625,-20.6640827661976942408728064037859439849853515625,70.59846797082428793146391399204730987548828125,27.878658406323438612162135541439056396484375,1.077303384502698690994293428957462310791015625,-83.770256660664699666085653007030487060546875,-79.8150578325754622710519470274448394775390625,5.88091677602466234020539559423923492431640625,-47.8743858149967991266748867928981781005859375,77.642139957884438672408577986061573028564453125,64.525284585100877166041755117475986480712890625,59.471419415875715230868081562221050262451171875,-42.7045503097628653677020338363945484161376953125,77.82525101474044504357152618467807769775390625,48.3443708609271425302722491323947906494140625,-0.607318338572355287396931089460849761962890625,-18.3324686422315181744124856777489185333251953125,-36.46656697286903892063492094166576862335205078125,-25.2662739951780821456850389949977397918701171875,32.3221533860286172057385556399822235107421875,-21.79937131870480016004876233637332916259765625,67.351298562578193696026573888957500457763671875,71.6544083986938176167313940823078155517578125,87.090670491653185081304400227963924407958984375,-22494.8730469995280145667493343353271484375,
1,900,43.595690786462000687606632709503173828125,9.6957304605243024298033560626208782196044921875,10.27558214056824681392754428088665008544921875,-4.7517319254127556860112235881388187408447265625,-1.199377422406683990629971958696842193603515625,18.30195013275550763864885084331035614013671875,-13.5593737601855508501103031449019908905029296875,35.75243385113071781233884394168853759765625,-15.134128849147003847974701784551143646240234375,-6.14947965941342999940388835966587066650390625,8.4322641682180261568646528758108615875244140625,27.8603473006378408172167837619781494140625,-1.034577471236303836121805943548679351806640625,-9.085360271004361720770248211920261383056640625,-20.7068086794640890957452938891947269439697265625,5.7344279305398657697878661565482616424560546875,-27.8176213873714317514895810745656490325927734375,2.2980437635425943199152243323624134063720703125,-27.8603473006378266063620685599744319915771484375,15.4393139439069813079186133109033107757568359375,1.1932737205114989365029032342135906219482421875,56.0533463545640415759407915174961090087890625,55.9923093356120489261229522526264190673828125,11.9602038636432865814640535973012447357177734375,1.9562364574114354809353244490921497344970703125,-3.6835840937528558924896060489118099212646484375,-23.3497116000854560979860252700746059417724609375,4.068117313150423797196708619594573974609375,14.975432599871822958448319695889949798583984375,0.3692739646595555313979275524616241455078125,-2897.745087729623264749534428119659423828125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-6.906338694418167278854525648057460784912109375,61.57109286782434764973004348576068878173828125,-12.6804406872768282710239873267710208892822265625,35.67918942838832663255743682384490966796875,-71.7154454176457960556945181451737880706787109375,-56.4806054872280043355203815735876560211181640625,-8.5421308023316129265367635525763034820556640625,-12.5339518417920459114611730910837650299072265625,59.520249031037309350722352974116802215576171875,50.688192388683745548405568115413188934326171875,57.042146061586350924699218012392520904541015625,13.0527665028840118566222372464835643768310546875,-18.655964842677093429301748983561992645263671875,33.87249366740928735453053377568721771240234375,51.847895748771634316653944551944732666015625,91.930906094546344320406205952167510986328125,-46.06769005401775984864798374474048614501953125,-9.79949339274270414534839801490306854248046875,34.01287881099887044911156408488750457763671875,19.8583941160313628415678977034986019134521484375,-36.43604846339304259572600130923092365264892578125,-8.1087679677724509019753895699977874755859375,-64.0003662221137119558989070355892181396484375,-90.09979552598650798245216719806194305419921875,-56.77968688009277542505515157245099544525146484375,-81.139561143833731193808489479124546051025390625,-16.776024658955662971493438817560672760009765625,39.8724326303903353618807159364223480224609375,21.83599353007599574993946589529514312744140625,77.074495681630907029102672822773456573486328125,-21329.32605322770177735947072505950927734375,
2,900,7.4861903744621258738334290683269500732421875,19.046601763969846388135920278728008270263671875,39.231543931394384117083973251283168792724609375,39.8968474379711324218078516423702239990234375,7.8585161900692810377222485840320587158203125,-14.07818842127750258441665209829807281494140625,-21.75664540543840530517627485096454620361328125,16.916409802545246066074469126760959625244140625,-16.1595507675405087866238318383693695068359375,-24.4056520279549431506893597543239593505859375,6.29596850489821235896670259535312652587890625,2.6947843867305465437311795540153980255126953125,20.6152531510361001210185349918901920318603515625,35.306863612781143046959186904132366180419921875,32.2122867519150304360664449632167816162109375,16.3060396130253053570413612760603427886962890625,-4.4831690420239880268127308227121829986572265625,-29.3191320535905077804272877983748912811279296875,-43.76659443952757300166922505013644695281982421875,24.4300668355357402106164954602718353271484375,27.2621845149082986381472437642514705657958984375,55.656605731376060930415405891835689544677734375,-7.7730643635364913279772736132144927978515625,-2.999969481490524003675091080367565155029296875,-20.7861568041016795405084849335253238677978515625,31.504257332071887276470079086720943450927734375,-27.5490585039826640922910883091390132904052734375,1.2298959318826945263936067931354045867919921875,8.4017456587420298319557332433760166168212890625,-27.4208807641834795276736258529126644134521484375,-3987.1802294547678684466518461704254150390625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,-24.6009704886013338409611606039106845855712890625,51.054414502395701447312603704631328582763671875,-44.4624164555803105258746654726564884185791015625,-84.3562120426038433151916251517832279205322265625,92.211676381725510509568266570568084716796875,38.04132206183049902392667718231678009033203125,-3.3234656819360992585643543861806392669677734375,-32.6151310769981961357188993133604526519775390625,24.5704519791253233051975257694721221923828125,-99.4994964445936460606390028260648250579833984375,-33.298745689260528024533414281904697418212890625,70.64729758598588205131818540394306182861328125,48.1490524002807660508551634848117828369140625,39.243751335184782647047541104257106781005859375,-34.604937894833227574054035358130931854248046875,85.174108096560559033605386503040790557861328125,-32.816553239539786090972484089434146881103515625,13.1565294351023993613125639967620372772216796875,75.646229438154250601655803620815277099609375,82.830286568803984437181497924029827117919921875,44.828638569292280635636416263878345489501953125,-15.207373271889395027756108902394771575927734375,28.354747154148981280741281807422637939453125,55.9617908261360526012140326201915740966796875,88.3053071687978672343888320028781890869140625,-63.85387737662892249090873519890010356903076171875,-16.4830469679860840415130951441824436187744140625,-19.87060151982177558238618075847625732421875,-2.7741325113681369884943705983459949493408203125,2.5543992431409634491501492448151111602783203125,-21299.11379147903426201082766056060791015625,
