Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,-52.08594012268441275637087528593838214874267578125,-79.314554277169094120836234651505947113037109375,-11.8869594409008954016826464794576168060302734375,-74.03485213782158780304598622024059295654296875,-0.4303109836115623920704820193350315093994140625,-32.5968199713125983407735475338995456695556640625,-1.4191106906338717408289085142314434051513671875,20.2795495468001405470204190351068973541259765625,1.7242957853938349899181048385798931121826171875,0.0335703604235959573998115956783294677734375,52.916043580431534110175562091171741485595703125,97.033600878933071953724720515310764312744140625,-44.12060914944914458146740798838436603546142578125,-50.3646961882381702935163048096001148223876953125,-34.904019287697991558161447755992412567138671875,-53.99639881588183243366074748337268829345703125,22.19611194189275238386471755802631378173828125,76.476332895901379060887848027050495147705078125,38.34650715659046227301587350666522979736328125,-4.947050386059146376283024437725543975830078125,69.45707571642202537987031973898410797119140625,4.4831690420239880268127308227121829986572265625,46.15314188055054955839295871555805206298828125,4.190191351054409096832387149333953857421875,-49.7909482100894109635191853158175945281982421875,-0.735496078371539852014393545687198638916015625,-39.92736594744712164128941367380321025848388671875,54.948576311532946192528470419347286224365234375,10.10467848750266739443759433925151824951171875,33.45744193853573733576922677457332611083984375,-27993385135.67220306396484375,
0,900,-22.6783043916135085282803629525005817413330078125,-12.18604083376567359664477407932281494140625,-19.199194311349828012680518440902233123779296875,-48.4786523026215405707262107171118259429931640625,2.5666066469313619791137170977890491485595703125,28.293710135196988630923442542552947998046875,27.0058290353099295089123188517987728118896484375,48.4054078798791351800900883972644805908203125,2.7008880886257458087129634805023670196533203125,23.7464522232734083218019804917275905609130859375,5.6794946134830723849518108181655406951904296875,-0.3936887722403668021797784604132175445556640625,10.51973021637621741319890134036540985107421875,-27.7443769646290405717081739567220211029052734375,34.39130832850122487798216752707958221435546875,-19.119846186712237567917327396571636199951171875,-25.72405163731804123017354868352413177490234375,3.604235969115279658581130206584930419921875,-13.046662800988798380785738117992877960205078125,-2.6093325601977568339862045831978321075439453125,-40.01892147587511061601617257110774517059326171875,-36.34449293496505362099924241192638874053955078125,41.135898922696611634819419123232364654541015625,-23.9417706839197990120737813413143157958984375,25.119785149693285575267509557306766510009765625,16.916409802545246066074469126760959625244140625,-2.951139866328929883820819668471813201904296875,7.8768272957548788326676003634929656982421875,14.493240150151081024887389503419399261474609375,-26.6457106234931444532776367850601673126220703125,-2360732310.13182926177978515625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,-83.4467604602191244111963897012174129486083984375,20.0903347880489633325851173140108585357666015625,-14.4993438520462660790144582279026508331298828125,81.524094363231284887660876847803592681884765625,-24.3812372203741460907622240483760833740234375,44.450209051789926206765812821686267852783203125,-22.940763573107091133351786993443965911865234375,-18.997772148808252268281648866832256317138671875,4.8371837519455453957561985589563846588134765625,81.377605517746502528098062612116336822509765625,34.64766380809959400721709243953227996826171875,28.171636097293003331287764012813568115234375,28.427991576891372460522688925266265869140625,-0.3997924741355660671615623869001865386962890625,-19.986571855830561617040075361728668212890625,-31.5347758415478978122337139211595058441162109375,20.0598162785729670076761976815760135650634765625,85.96148564104129263796494342386722564697265625,-26.35273293252356552329729311168193817138671875,-9.158604693746752900551655329763889312744140625,-76.05517746513260135543532669544219970703125,-37.205114902188171299712848849594593048095703125,33.133945738090147870025248266756534576416015625,74.08368175298318192290025763213634490966796875,50.773644215216535258150543086230754852294921875,2.5727103488265612440955010242760181427001953125,6.24713888973661823911243118345737457275390625,66.37470625934628287723171524703502655029296875,-3.054902798547317388511146418750286102294921875,9.4576860866115310955137829296290874481201171875,-29941406969.320346832275390625,
1,900,-18.918424024170661823518457822501659393310546875,20.859401226844084931144607253372669219970703125,-34.3363750114444457040008273907005786895751953125,-13.064973906674396175731089897453784942626953125,47.190771202734453027005656622350215911865234375,50.26703695791496784295304678380489349365234375,7.364116336558112152488320134580135345458984375,-25.003814813684499540613614954054355621337890625,47.013763847773674342533922754228115081787109375,30.36286507766959630316705442965030670166015625,3.98876918851283335243351757526397705078125,20.0537125766777677426944137550890445709228515625,10.38544877468183358359965495765209197998046875,10.32441175572984093378181569278240203857421875,6.32648701437420868387562222778797149658203125,-24.912259285256510565886856056749820709228515625,39.7015289773247559423907659947872161865234375,6.57063509018217928314697928726673126220703125,-13.5471663563951523201467352919280529022216796875,-31.327249977111108591998345218598842620849609375,-9.76897488326670782043947838246822357177734375,9.5614490188299186002041096799075603485107421875,26.7616809595019304879315313883125782012939453125,-3.5126804406872764729996561072766780853271484375,50.773644215216535258150543086230754852294921875,2.5727103488265612440955010242760181427001953125,23.7708670308542053817291161976754665374755859375,18.07611316263313483432284556329250335693359375,13.87676625873592684001778252422809600830078125,54.20392468031860744304140098392963409423828125,-3246603213.349606990814208984375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,16.3853877376628958018045523203909397125244140625,-68.1630909146397243603132665157318115234375,82.04290902432325083282194100320339202880859375,-23.6426892910550350279663689434528350830078125,-47.9964598529007844263105653226375579833984375,-27.8054139835810332215260132215917110443115234375,32.755516220587793441154644824564456939697265625,-61.75420392468031849375620367936789989471435546875,59.569078646198903470576624386012554168701171875,23.2764671773430649182046181522309780120849609375,-16.800439466536460031420574523508548736572265625,-13.4800256355479604053471121005713939666748046875,-67.6137577440717763010979979299008846282958984375,8.3162938322092401222107582725584506988525390625,31.510361033967086541451863013207912445068359375,-76.4824365977965641150149167515337467193603515625,-36.50929288613543377550740842707455158233642578125,-54.979094821008942517437390051782131195068359375,-57.21304971465193744961652555502951145172119140625,23.9173558763390019521466456353664398193359375,-33.341471602526922879405901767313480377197265625,-10.09857478560746812945581041276454925537109375,80.3399761955625990594853647053241729736328125,-5.4963835566270944354982930235564708709716796875,-52.4643696401867742906688363291323184967041015625,-37.77275917844173136472818441689014434814453125,26.9814142277291324489851831458508968353271484375,-48.5885189367351273403983213938772678375244140625,43.406476027710823473171330988407135009765625,-82.03070162053285230285837315022945404052734375,-24009497793.552379608154296875,
2,900,11.282692953276153957631322555243968963623046875,14.13922544022949523423449136316776275634765625,-1.98065126499221833000774495303630828857421875,-19.022186956389049328208784572780132293701171875,-6.881923886837370218927389942109584808349609375,-27.8481398968474280763985007070004940032958984375,26.4748069704275650337876868434250354766845703125,34.31806390575883369820076040923595428466796875,-26.4564958647419672388423350639641284942626953125,-59.025849177526168887197854928672313690185546875,10.43427838984342770345392636954784393310546875,-31.028168584246344607890932820737361907958984375,50.822473830378129378004814498126506805419921875,-42.7228614154484631626473856158554553985595703125,36.1064485610522751812823116779327392578125,36.136967070528271506191231310367584228515625,-5.5574205755790870853161322884261608123779296875,31.638538773766271106069325469434261322021484375,2.5360881374553656542047974653542041778564453125,-20.7617419965208824805813492275774478912353515625,27.5978881191442582121453597210347652435302734375,-9.65300454725792178578558377921581268310546875,-6.30817590868861088893027044832706451416015625,16.946928312021242390983388759195804595947265625,-10.4342783898434419143086415715515613555908203125,-37.5652333140049421444928157143294811248779296875,25.79729606006043240995495580136775970458984375,-12.790307321390429251550813205540180206298828125,1.9684438612018340108988923020660877227783203125,-20.3283791619617346668746904470026493072509765625,-3370385677.16110897064208984375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,54.661702322458580738384625874459743499755859375,69.49980162968842023474280722439289093017578125,0.2838221381267658216529525816440582275390625,-3.305154576250487252764287404716014862060546875,13.3213293862727795158207300119102001190185546875,-8.822901089510793326553539372980594635009765625,-35.5021820734275337372309877537190914154052734375,-77.97784356212042666811612434685230255126953125,80.2606280709250086147221736609935760498046875,-15.274513992736586942555732093751430511474609375,-27.7382732627338413067263900302350521087646484375,-32.2000793481246319061028771102428436279296875,-6.7720572527237692384005640633404254913330078125,59.178441724906150511742453090846538543701171875,-45.17654957731864584502545767463743686676025390625,-55.18051698355052536726361722685396671295166015625,-37.174596392712174974803929217159748077392578125,70.891445661793881072298972867429256439208984375,50.956755272072513207604060880839824676513671875,-22.1472823267311724748651613481342792510986328125,-81.5179906613360998335338081233203411102294921875,-27.939695425275431261979974806308746337890625,-14.00494399853511140463524498045444488525390625,-15.9886471144749293671338818967342376708984375,-56.1326944792016320207039825618267059326171875,67.162083803827016481591272167861461639404296875,-41.184728537858205754673690535128116607666015625,-85.229041413617352418441441841423511505126953125,38.65779595324562478708685375750064849853515625,-70.964690084536272252080379985272884368896484375,-30590138784.08844757080078125,
