Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
0,0,5.0935392315439429467005538754165172576904296875,-90.14862514114810210230643860995769500732421875,51.90282906582842770148999989032745361328125,5.6245612964262790001157554797828197479248046875,27.6528214362010515969814150594174861907958984375,-38.61507003997925124849643907509744167327880859375,-8.2003234962004398767021484673023223876953125,-9.2745750297555531460602651350200176239013671875,-40.27527695547349395610581268556416034698486328125,-60.893581957457200815042597241699695587158203125,-52.4521622363963757607052684761583805084228515625,-91.906491286965547260479070246219635009765625,50.03509628589739577364525757730007171630859375,23.6854152043214156719841412268579006195068359375,25.095370342112488515340373851358890533447265625,-32.914212469862974330681026913225650787353515625,15.7689138462477416169349453411996364593505859375,0.906399731437119271504343487322330474853515625,53.91094698934904272391577251255512237548828125,82.02459791863765303787658922374248504638671875,-68.138676107058927300386130809783935546875,-0.5706961272011454866515123285353183746337890625,-18.2653279213843262596128624863922595977783203125,-28.4646137882625822612681076861917972564697265625,-96.3927121799371349197826930321753025054931640625,12.9062776573992294970594230107963085174560546875,52.397228919339568165014497935771942138671875,-57.17032380138554259474403806962072849273681640625,-21.98248237556077810950228013098239898681640625,35.697500534073924427502788603305816650390625,-7306.5362547538397848256863653659820556640625,
0,900,-27.1950437940611067233476205728948116302490234375,-31.418805505539097566725104115903377532958984375,28.373058259834579075686633586883544921875,-8.7374492629779894059538492001593112945556640625,-3.097628711813712243383633904159069061279296875,-13.4067812128055692255657049827277660369873046875,-7.6143681142612962275961763225495815277099609375,-9.2013306070131619662788580171763896942138671875,-25.2967925046540784705939586274325847625732421875,-2.5605029450361627141319331713020801544189453125,-1.199377422406683990629971958696842193603515625,15.213476973784594292737892828881740570068359375,-1.4313180944242702707924763672053813934326171875,10.971404156620991443560342304408550262451171875,-12.4057741019928613468437106348574161529541015625,-27.5246436964018670323639526031911373138427734375,-21.78106021301920236510341055691242218017578125,1.126132999664292810848564840853214263916015625,-7.9378643147068714824854396283626556396484375,17.276528214362002699999720789492130279541015625,8.4200567644276276269010850228369235992431640625,-2.945036164433730618839035741984844207763671875,1.4191106906338717408289085142314434051513671875,-8.2064271980956391416839323937892913818359375,-15.8970915860469403924071229994297027587890625,14.09039582506790111438021995127201080322265625,7.6143681142613104384508915245532989501953125,-8.2918790246284288514289073646068572998046875,5.0325022125919218751732842065393924713134765625,-15.9520249031037337772431783378124237060546875,-1817.3747322554190759547054767608642578125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
1,0,12.4851222266304517916069016791880130767822265625,-6.08233893856623808460426516830921173095703125,-38.45637379070405614811534178443253040313720703125,24.2408520767845629961811937391757965087890625,69.91485335856197025350411422550678253173828125,79.4854579302347019620356149971485137939453125,-8.4749900814844210117371403612196445465087890625,22.5562303537095232286446844227612018585205078125,-18.14935758537552601410425268113613128662109375,-80.4925687429425948948846780695021152496337890625,85.88824121829890145818353630602359771728515625,-35.343485824152338636849890463054180145263671875,-25.75457014679403755508246831595897674560546875,-2.6764732810449487487858277745544910430908203125,11.154515213476969393013860099017620086669921875,1.5045625171666614505738834850490093231201171875,22.8736228522598850076974486000835895538330078125,23.9783928952909946019644849002361297607421875,51.286355174413301938329823315143585205078125,-67.6198614459669755660797818563878536224365234375,-1.4801477095858643906467477791011333465576171875,-18.2592242194891269946310785599052906036376953125,24.893948179570912770941504277288913726806640625,-39.024018066957609107703319750726222991943359375,75.84765160069582634605467319488525390625,1.5472884304330563054463709704577922821044921875,-18.4301278725547064141210285015404224395751953125,-35.87450788903470311197452247142791748046875,-62.26691488387707096308076870627701282501220703125,-40.6231879634998591654948540963232517242431640625,-6287.1708183859809651039540767669677734375,
1,900,-35.081026642658770242633181624114513397216796875,-2.8351695303201296383122098632156848907470703125,10.45258949552902549839927814900875091552734375,20.877712332529682726089959032833576202392578125,-28.3364360484633976966506452299654483795166015625,-15.4454176458021805729003972373902797698974609375,11.7770928067873086320105358026921749114990234375,37.85821100497452107447315938770771026611328125,-8.1820123905148420817567966878414154052734375,-38.70662556840724022322319797240197658538818359375,3.036591692861719593565794639289379119873046875,-3.933835871456039967597462236881256103515625,7.6570940275277052933233790099620819091796875,13.78521073030793786529102362692356109619140625,-27.5002288888210699724368168972432613372802734375,-45.78081606494338728907678159885108470916748046875,-36.002685628833887676591984927654266357421875,-5.89312417981506087016896344721317291259765625,-11.2216559343241755186681984923779964447021484375,-23.9112521744438026871648617088794708251953125,44.914090395825070345381391234695911407470703125,-51.44505142368846151157413260079920291900634765625,-18.796349986266676523882779292762279510498046875,3.122043519394509303310769610106945037841796875,21.463667714468812164341215975582599639892578125,-24.875637073885314975996152497828006744384765625,8.3834345530564320370103814639151096343994140625,-12.6194036683248356212061480619013309478759765625,15.9215063936277232414795435033738613128662109375,49.302652058473455554121755994856357574462890625,-3339.0664037850729073397815227508544921875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
2,0,-63.31064790795617369667525053955614566802978515625,25.260170293282868669848539866507053375244140625,-36.100344859157075916300527751445770263671875,-0.827051606799528826741152442991733551025390625,-4.1108432264168328629239113070070743560791015625,-28.946806237983338405683753080666065216064453125,5.6428724021118767950611072592437267303466796875,-4.1779839472640247777235344983637332916259765625,16.4891506698812833064948790706694126129150390625,-25.2967925046540784705939586274325847625732421875,-35.4655598620563381473402841947972774505615234375,6.851405377361373894018470309674739837646484375,92.724387340922277189747546799480915069580078125,-89.85564745017853738318081013858318328857421875,20.957060457167273170853150077164173126220703125,39.4878994109927816680283285677433013916015625,-49.5101779229102447743571246974170207977294921875,27.4025696584978817327282740734517574310302734375,97.125156407361060928451479412615299224853515625,95.233008819849231940679601393640041351318359375,71.7398602252266073264763690531253814697265625,-48.76552629169591313029741286300122737884521484375,30.35676137577439703818527050316333770751953125,35.196996978667556277287076227366924285888671875,56.3707388531144033549935556948184967041015625,-18.3263649403363189094307017512619495391845703125,69.078646198919642529290285892784595489501953125,45.670949430829779203122598119080066680908203125,-12.167729728080075801699422299861907958984375,7.040620136112551108453772030770778656005859375,-6677.7016364522305593709461390972137451171875,
2,900,-0.918607135227517801467911340296268463134765625,-13.6265144810327427649099263362586498260498046875,25.82781456953642873486387543380260467529296875,-17.7220984527115632545246626250445842742919921875,-3.5981322672200661827446310780942440032958984375,-5.063020722067932410936919040977954864501953125,12.4668111209448539966615498997271060943603515625,-22.2937711722159548344279755838215351104736328125,1.3824884792626761509382049553096294403076171875,-3.5309915463728742679450078867375850677490234375,3.76903592028565981308929622173309326171875,10.708944975127423049343633465468883514404296875,8.6642048402355982261724420823156833648681640625,1.1810663167211004065393353812396526336669921875,-29.4351023895992938150811824016273021697998046875,-4.6418652912991689163391129113733768463134765625,-0.2471999267555844426169642247259616851806640625,8.2125308999908526175204315222799777984619140625,-5.4475539414655003156440216116607189178466796875,-9.085360271004361720770248211920261383056640625,-18.778038880581078728937427513301372528076171875,-5.5207983642078914954254287295043468475341796875,-26.841029084139535143549437634646892547607421875,33.176671651356542724897735752165317535400390625,8.6764122440259967561360099352896213531494140625,7.242042298654126852852641604840755462646484375,22.9102450636310805975881521590054035186767578125,12.1982482375560863374630571343004703521728515625,8.5604419080172107214821153320372104644775390625,-13.8401440473647170392723637633025646209716796875,-1785.675230556082169641740620136260986328125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,F(x)
3,0,28.934598834192939875720185227692127227783203125,60.765404217658016250425134785473346710205078125,-20.7312234870448861556724295951426029205322265625,9.2257454145939590262059937231242656707763671875,23.3191930906094597730771056376397609710693359375,-93.5239722891933951132159563712775707244873046875,51.371807000946091648074798285961151123046875,-21.3904232917264351954145240597426891326904296875,48.6800744651631021042703650891780853271484375,11.5390484328745372977209626697003841400146484375,-88.2320627460554760546074248850345611572265625,-23.6365855891598357629845850169658660888671875,-24.869533371990115711014368571341037750244140625,-87.2737815485091772416126332245767116546630859375,1.034577471236303836121805943548679351806640625,14.700766014587856034268043003976345062255859375,-19.3517868587298238480798318050801753997802734375,-12.3325296792504701670623035170137882232666015625,-8.3223975341044251763378269970417022705078125,60.374767296365234869881533086299896240234375,10.34882656331063799370895139873027801513671875,31.028168584246344607890932820737361907958984375,3.787347025971257608034648001194000244140625,14.29792168950467612376087345182895660400390625,3.9033173619800436426885426044464111328125,79.8516800439466578609426505863666534423828125,-10.6051820429090213337985915131866931915283203125,91.760002441480736479206825606524944305419921875,-92.791528061769469104547169990837574005126953125,-21.042512283700062880598125047981739044189453125,-6684.2213508248023572377860546112060546875,
