Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,71.239356669820239176260656677186489105224609375,-23.8990447706534041572012938559055328369140625,-32.2550126651814395017936476506292819976806640625,31.7361980040894877674872986972332000732421875,32.560197759941416961737559176981449127197265625,-77.111117893002102618993376381695270538330078125,-19.6508682515945878321872442029416561126708984375,40.501113925595888076713890768587589263916015625,-85.93096713156529631305602379143238067626953125,35.166478469191559952378156594932079315185546875,-65.306558427686383083710097707808017730712890625,-74.7062593462935211618969333358108997344970703125,-23.6732078005310313528752885758876800537109375,-88.756981109042641264750272966921329498291015625,12.7231666005432231258964748121798038482666015625,-43.47972045045319333667066530324518680572509765625,53.60576189458907947482657618820667266845703125,1.8951994384594144094080547802150249481201171875,6.52180547502058516329270787537097930908203125,-66.789757988219861317702452652156352996826171875,-27.4758140812402729125096811912953853607177734375,9.5980712302011141900948132388293743133544921875,73.485518967253625532976002432405948638916015625,-67.003387554551835592064890079200267791748046875,26.9020661030915135825125616975128650665283203125,-17.4657429731131941252897377125918865203857421875,23.3069856868190612431135377846658229827880859375,-24.0272225104525887218187563121318817138671875,62.13263344218268002805416472256183624267578125,-71.9840083010345779257477261126041412353515625,-2.6398510696737531588951242156326770782470703125,-14.865565965758236188776209019124507904052734375,47.3738822595904593981686048209667205810546875,-74.840540787987919202350894920527935028076171875,-78.25861384929959285727818496525287628173828125,-90.2829065828425001427604001946747303009033203125,1.9196142460402114693351904861629009246826171875,-47.58751182592242656710368464700877666473388671875,41.97820978423413862401503138244152069091796875,-5.6367687002166775300793233327567577362060546875,71.5018158513138359921867959201335906982421875,49.003570665608691570014343596994876861572265625,7.8646198919644803027040325105190277099609375,81.102938932462535603917785920202732086181640625,15.103610339671007523065782152116298675537109375,27.4452955717642765876007615588605403900146484375,45.542771691030594638505135662853717803955078125,-4.898220770897552256428753025829792022705078125,54.319895016327421899404725991189479827880859375,4.287850581377597336540929973125457763671875,-700,
0,1500,-74.925992614520708912095869891345500946044921875,7.7059236426892994131776504218578338623046875,-4.1840876491592240427053184248507022857666015625,28.476821192052966580376960337162017822265625,75.499740592669468242092989385128021240234375,38.62727744376962846217793412506580352783203125,-56.71864986114078277523731230758130550384521484375,36.466566972869060236916993744671344757080078125,32.1146275215918421963579021394252777099609375,-49.6688741721854256638835067860782146453857421875,2.926725058748132823893683962523937225341796875,68.352305673390901574748568236827850341796875,95.568712424085191514677717350423336029052734375,-93.6277352214117826179062831215560436248779296875,-58.4765160069582208279825863428413867950439453125,-3.4394360179448852932182489894330501556396484375,-70.5862605670339036123550613410770893096923828125,-81.084627826776937808972434140741825103759765625,-23.9722891933957953369827009737491607666015625,59.269997253334139486469211988151073455810546875,12.5034333323160495865522534586489200592041015625,97.32047486800746582957799546420574188232421875,-40.00061037018951282107082079164683818817138671875,-18.619342631305897839411045424640178680419921875,86.26667073580125588705413974821567535400390625,-41.172521134067807224710122682154178619384765625,-68.968779564806055759618175216019153594970703125,-63.91491439558091514072657446376979351043701171875,47.215186010315250086932792328298091888427734375,2.5727103488265612440955010242760181427001953125,55.101168858912927817073068581521511077880859375,-23.4534745323038436026763520203530788421630859375,-1.107821893978695015903213061392307281494140625,25.50431836909086769082932732999324798583984375,-95.5381939146092094006235129199922084808349609375,-60.72267830439161429012528969906270503997802734375,-92.004150517288735500187613070011138916015625,-66.783654286324662052720668725669384002685546875,33.57341227454452337042312137782573699951171875,65.001373332926419834620901383459568023681640625,93.43241676076542034934391267597675323486328125,-88.927884762108220684240222908556461334228515625,-89.031647694326608188930549658834934234619140625,-86.5291299172948384921255637891590595245361328125,-52.5437177648243647354320273734629154205322265625,51.48777733695487768272869288921356201171875,-93.255409405804613243162748403847217559814453125,51.4999847407452762126922607421875,90.533158360545684217868256382644176483154296875,-18.668172246467491959265316836535930633544921875,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,76.396984771263788616124656982719898223876953125,-54.838709677419359422856359742581844329833984375,-36.54591509750664357625282718800008296966552734375,-42.6129947813348763929752749390900135040283203125,-13.1687368388927978912761318497359752655029296875,-20.3161717581713361369111225940287113189697265625,-18.979461043122654473336297087371349334716796875,-68.5171056245612959401114494539797306060791015625,87.7498702963347341210464946925640106201171875,-64.1834772789696899053524248301982879638671875,-76.879177220984530549685587175190448760986328125,77.111117893002102618993376381695270538330078125,70.06134220404675261306692846119403839111328125,49.83367412335582002924638800323009490966796875,72.746971037934514470180147327482700347900390625,-71.6605121005890026708584628067910671234130859375,-36.57032990508744063617996289394795894622802734375,99.578844569231222294547478668391704559326171875,33.98846400341807338918442837893962860107421875,62.03497421185949178834562189877033233642578125,-52.00048829615161594119854271411895751953125,80.0714133121738314002868719398975372314453125,79.4122135074923107822542078793048858642578125,64.0552995391705053407349623739719390869140625,12.1005890072328696760450839065015316009521484375,86.30329294717245147694484330713748931884765625,-52.4826807458723720856141881085932254791259765625,62.58430738242742563670617528259754180908203125,-39.3414105655079850976107991300523281097412109375,-91.3388470107120014063184498809278011322021484375,84.881130405590994314479758031666278839111328125,-91.027558214056824681392754428088665008544921875,77.574999237037246757608954794704914093017578125,47.8804895168919983916566707193851470947265625,-91.5585802789391749456626712344586849212646484375,-50.3219702749717754386438173241913318634033203125,78.25861384929959285727818496525287628173828125,-98.2604449598681668476274353452026844024658203125,-83.794671468245496726012788712978363037109375,8.2186346018860518825022154487669467926025390625,35.97216711935789135168306529521942138671875,-25.59587389751885666555608622729778289794921875,-88.1710257271034834047895856201648712158203125,-33.6588641010772988693133811466395854949951171875,6.894131290627768748890957795083522796630859375,-19.107638782921839037953759543597698211669921875,73.509933774834422592903138138353824615478515625,-22.0923490096743790900291060097515583038330078125,63.090914639728993051903671585023403167724609375,-78.00836207159642299302504397928714752197265625,-700,
1,1500,-64.4093142490920769205331453122198581695556640625,32.792138431958989031045348383486270904541015625,-64.860988189336836740039871074259281158447265625,-89.99603259376812047776184044778347015380859375,-44.7126682332834803901278064586222171783447265625,50.07171849726859136353596113622188568115234375,66.48457289345986964690382592380046844482421875,-68.17529831843012289027683436870574951171875,-69.6218756675923913235237705521285533905029296875,-78.08160649433881417280645109713077545166015625,-10.5136265144810323590718326158821582794189453125,61.33915219580677558042225427925586700439453125,20.4626606036561184964739368297159671783447265625,-10.6845301675466117785617825575172901153564453125,-13.3762627033295729006567853502929210662841796875,-87.237159337137967440867214463651180267333984375,-69.084749900814841794272069819271564483642578125,41.276284066286194729400449432432651519775390625,-6.42414624469739692358416505157947540283203125,36.472670674764259501898777671158313751220703125,-5.2949613940855186910994234494864940643310546875,-3.76903592028565981308929622173309326171875,-68.242439039277314805076457560062408447265625,17.85637989440596129497862420976161956787109375,-24.1187780388805776965455152094364166259765625,-71.147801141392250201533897779881954193115234375,54.368724631489016019258997403085231781005859375,-8.1026642658772516369936056435108184814453125,-75.4020813623462657915297313593327999114990234375,1.2970366527298864411932299844920635223388671875,-66.4418469801934890028860536403954029083251953125,-62.852870265816221717614098452031612396240234375,75.212866603595074366239714436233043670654296875,4.7151097140415600961205200292170047760009765625,-0.1068147831659871371812187135219573974609375,22.5257118442335269037357647903263568878173828125,18.30805383465070690363063476979732513427734375,-26.35273293252356552329729311168193817138671875,-20.0537125766777535318396985530853271484375,26.4076662495803731189880636520683765411376953125,34.824671163060401113398256711661815643310546875,-22.0984527115695783550108899362385272979736328125,-91.003143406476027621465618722140789031982421875,-98.864711447492908291678759269416332244873046875,24.4239631336405409456347115337848663330078125,62.53547776726583151685190387070178985595703125,6.14947965941342999940388835966587066650390625,-93.157750175481425003454205580055713653564453125,33.93963438825647926933015696704387664794921875,-17.215491195410010050181881524622440338134765625,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,12.4118778038880606118254945613443851470947265625,15.2562028870510033584650955162942409515380859375,35.7646412549211163423024117946624755859375,-85.247352519302950213386793620884418487548828125,25.41886654255807798108435235917568206787109375,-24.881740775780514240977936424314975738525390625,64.0369884334849075457896105945110321044921875,95.458845789971604745005606673657894134521484375,15.6041138950773614624267793260514736175537109375,20.5664235358745060011642635799944400787353515625,-6.4607684560686067243295838125050067901611328125,-32.4564348277230152461925172246992588043212890625,-59.16013061922055982222445891238749027252197265625,-55.80919827875606387124207685701549053192138671875,55.174413281655318996854475699365139007568359375,-65.5873287148655634837268735282123088836669921875,19.6569719534897870971690281294286251068115234375,-52.970976897488327495011617429554462432861328125,-83.263649403363132250888156704604625701904296875,-93.017365031891841908873175270855426788330078125,-6.18610187078462558929459191858768463134765625,36.667989135410635981315863318741321563720703125,34.916226691488390088125015608966350555419921875,-83.300271614734327840778860263526439666748046875,22.5196081423383276387539808638393878936767578125,-67.4794763023773924714987515471875667572021484375,63.664662617877723960191360674798488616943359375,41.80120242927335993954329751431941986083984375,73.119296853541669634068966843187808990478515625,17.459639271217980649453238584101200103759765625,7.6021607104709119084873236715793609619140625,-53.013702810754722349884104914963245391845703125,82.31757560960721775700221769511699676513671875,-87.3043000579851735665215528570115566253662109375,-44.5356608783227017056560725905001163482666015625,85.61967833491013379898504354059696197509765625,91.082491531113618066228809766471385955810546875,76.183355204931814341762219555675983428955078125,14.822840052491841333903721533715724945068359375,66.930143131809444412283482961356639862060546875,26.5785699026459525384780135937035083770751953125,85.399945066682931837931391783058643341064453125,55.8702352977080636264872737228870391845703125,-7.7364421521652957380865700542926788330078125,75.9208960234382175258360803127288818359375,-30.881679738761562248328118585050106048583984375,8.2064271980956533525386475957930088043212890625,92.01025421918393476516939699649810791015625,-61.14993743705557704970487975515425205230712890625,-89.068269905697803778821253217756748199462890625,-700,
2,1500,56.0289315469832445160136558115482330322265625,23.1910153508102752084596431814134120941162109375,71.037934507278663431861787103116512298583984375,76.146732993560590330162085592746734619140625,-16.5196691793572796314037987031042575836181640625,73.247474593340854198686429299414157867431640625,-61.87017426068911163383745588362216949462890625,-19.82177190466018146253190934658050537109375,-0.1739555040131790519808419048786163330078125,41.721854304635741073070676065981388092041015625,-60.33204138309884712043640320189297199249267578125,1.120029297769093545866780914366245269775390625,19.2052980132450414885170175693929195404052734375,13.0893887142552074465129408054053783416748046875,-25.2784813989684806756486068479716777801513671875,-89.062166203802604513839469291269779205322265625,-3.79345072786645687301643192768096923828125,-21.81157872249519869001233018934726715087890625,16.1229285561693274075878434814512729644775390625,87.3836481826227782221394591033458709716796875,-51.5793328653828524466007365845143795013427734375,-61.5588854640339349089117604307830333709716796875,-36.02099673451948547153733670711517333984375,90.728476821192060697285342030227184295654296875,32.761619922482992706136428751051425933837890625,91.979735709707938440260477364063262939453125,-53.75225074007385472896203282289206981658935546875,57.94549394207587056371266953647136688232421875,-45.25589770195623628978864871896803379058837890625,12.4912259285256510565886856056749820709228515625,-15.8543656727805455375346355140209197998046875,-6.39973143711659986365702934563159942626953125,-30.887783440656761513309902511537075042724609375,-80.0531022064882336053415201604366302490234375,77.153843806268497473865863867104053497314453125,-79.4915616321298870161626837216317653656005859375,-15.6407361064485570523174828849732875823974609375,-66.6188543351542676873577875085175037384033203125,-7.6448866237373067633598111569881439208984375,27.2927030243842949630561633966863155364990234375,36.863307596057012460732948966324329376220703125,33.78704184087649764478555880486965179443359375,-37.88872951445051739938207902014255523681640625,-63.82946256904812543098159949295222759246826171875,21.274452955717634949905914254486560821533203125,-80.6939909054841706392835476435720920562744140625,98.864711447492908291678759269416332244873046875,94.10382396923733949734014458954334259033203125,86.657307657094037267597741447389125823974609375,-2.7619251075777384585308027453720569610595703125,-700,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,74.29120761741995693228091113269329071044921875,-37.3393963438825693401668104343116283416748046875,-35.6303598132267183018484502099454402923583984375,69.139683217871635179108125157654285430908203125,-0.1190221869563856671447865664958953857421875,-3.6042359691152654477264150045812129974365234375,-58.21405682546464532833851990289986133575439453125,79.7540208136234696212341077625751495361328125,36.515396588030654356771265156567096710205078125,56.913968321787166360081755556166172027587890625,-19.998779259620960147003643214702606201171875,23.7159337137974119968930608592927455902099609375,91.131321146275212186083081178367137908935546875,-91.796624652851960490806959569454193115234375,-45.96392712179937234395765699446201324462890625,-62.5720999786370413175973226316273212432861328125,56.4195684682759974748478271067142486572265625,79.4366283150731078421813435852527618408203125,80.8343760490737395230098627507686614990234375,-33.213293862727738314788439311087131500244140625,-57.6647236548966901636958937160670757293701171875,-99.93896298104800735018216073513031005859375,-10.7333597827082058984160539694130420684814453125,-71.6605121005890026708584628067910671234130859375,-18.637653736991495634356397204101085662841796875,-62.32795190282906361289860797114670276641845703125,12.9001739555040302320776390843093395233154296875,57.109286782433542839498841203749179840087890625,67.448957792901381935735116712749004364013671875,47.5692007202368358775856904685497283935546875,-24.5094149601733448662344017066061496734619140625,33.21939756462296600147965364158153533935546875,-60.07568590350047799120147828944027423858642578125,-3.238013855403295337964664213359355926513671875,71.074556718649859021752490662038326263427734375,21.127964110232852590343100018799304962158203125,-15.8848841822565418624435551464557647705078125,28.012939848017822441761381924152374267578125,57.99432355723746468356694094836711883544921875,75.115207373271886126531171612441539764404296875,-72.3380230109561352946911938488483428955078125,-34.17767876216925060361973010003566741943359375,-12.3813592944120642869165749289095401763916015625,-65.75823236793115711407153867185115814208984375,47.5386822107608395526767708361148834228515625,-40.4461806085390804810231202282011508941650390625,17.99676503799554438955965451896190643310546875,59.080782494582962272033910267055034637451171875,91.216772972808001895828056149184703826904296875,15.8177434614093357367892167530953884124755859375,-700,
