Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,22.6416821802423129383896593935787677764892578125,89.97772148808252268281648866832256317138671875,24.4666890469069358005071990191936492919921875,31.7484054078798862974508665502071380615234375,-49.5895260475478352191203157417476177215576171875,26.5480513931699562135690939612686634063720703125,-6.4729758598590052542931516654789447784423828125,66.61885433515425347650307230651378631591796875,50.17548142948697886822628788650035858154296875,-30.3018280587176178642039303667843341827392578125,-40.12878810998871159654299844987690448760986328125,0.1800592059083783169626258313655853271484375,30.875576036866362983346334658563137054443359375,-17.4596392712179948603079537861049175262451171875,-39.98229926450391502612546901218593120574951171875,76.683858760338154070268501527607440948486328125,41.776787621692534457906731404364109039306640625,-8.4444715720084246868282207287847995758056640625,-1.107821893978695015903213061392307281494140625,-76.146732993560590330162085592746734619140625,40.0189214758751177214435301721096038818359375,-33.6832789086580959292405168525874614715576171875,63.9454329050569185710628516972064971923828125,-70.06744590594195187804871238768100738525390625,-51.921140171514025496435351669788360595703125,49.217200231940665844376781024038791656494140625,42.34443189794609452292206697165966033935546875,-22.5623340556047224936264683492481708526611328125,-44.20606097598193429121238295920193195343017578125,-25.69353312784204490526462905108928680419921875,29.93560594500564775444217957556247711181640625,38.61507003997922993221436627209186553955078125,-42.33222449415570309838585671968758106231689453125,15.4454176458021805729003972373902797698974609375,16.800439466536460031420574523508548736572265625,-13.083285012359993970676441676914691925048828125,-56.78579058198797469003693549893796443939208984375,25.73015533921324049515533261001110076904296875,-80.7061983092745691692471154965460300445556640625,-68.236335337382115540094673633575439453125,18.12494277779472895417711697518825531005859375,-55.31479842524490919686286360956728458404541015625,-92.3825800347911041399129317142069339752197265625,82.35419782097841334689292125403881072998046875,-25.2967925046540784705939586274325847625732421875,61.52836695455795279485755600035190582275390625,15.6407361064485570523174828849732875823974609375,-38.71272927030243948820498189888894557952880859375,-44.24878688924832914608487044461071491241455078125,-20.1269569994201589224758208729326725006103515625,-109218.701767290811403654515743255615234375,
0,1500,-17.136143070772419605418690480291843414306640625,-68.205816827906119215185754001140594482421875,-23.215430158391058057532063685357570648193359375,52.4521622363963615498505532741546630859375,-27.127903073213900597693282179534435272216796875,-24.5765556810205367810340248979628086090087890625,-16.788232062746061501457006670534610748291015625,40.421765800958297631950699724256992340087890625,-65.166173284096799989129067398607730865478515625,40.946684163945434420384117402136325836181640625,32.541886654255819166792207397520542144775390625,-10.769981994079415699161472730338573455810546875,-75.6157109286782400658921687863767147064208984375,35.172582171086759217359940521419048309326171875,-12.881862849818418226277572102844715118408203125,-19.6508682515945878321872442029416561126708984375,7.4251533555101332240155898034572601318359375,2.0477919858394244556620833463966846466064453125,-18.5460982085634924487749231047928333282470703125,5.5635242774742863502979162149131298065185546875,8.1881160924100413467385806143283843994140625,-17.6610614337595706047068233601748943328857421875,0.589007232886757492451579309999942779541015625,11.9907223731192829063729732297360897064208984375,-8.7069307535019930810449295677244663238525390625,25.78508865627003387999138794839382171630859375,-17.294839320047600494945072568953037261962890625,-56.85293130283516660483655869029462337493896484375,-21.89092684713278913477552123367786407470703125,-30.06988738670003158404142595827579498291015625,-17.3863948484756036805265466682612895965576171875,1.6693624683370416050820495001971721649169921875,9.93377483443708797494764439761638641357421875,-3.87890255439924658276140689849853515625,10.580767235328238484726171009242534637451171875,-10.08636738181706959949224255979061126708984375,49.064607684560684219832182861864566802978515625,-27.6100955229346567421089275740087032318115234375,-0.863673818170724416631856001913547515869140625,34.11053804132205868882010690867900848388671875,14.13312173833429596925270743668079376220703125,-45.68926053651539831435002270154654979705810546875,-2.03558458204901171484380029141902923583984375,-19.6508682515945878321872442029416561126708984375,-0.2838221381267800325076677836477756500244140625,1.6022217474898496902824263088405132293701171875,29.221472823267305329864029772579669952392578125,-1.6266365550706467502095620147883892059326171875,-13.6814477980895361497459816746413707733154296875,34.879604480117194498234312050044536590576171875,-43602.519762454889132641255855560302734375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,89.336832789086571438019745983183383941650390625,46.507156590472135349045856855809688568115234375,-19.3639942625202223780433996580541133880615234375,-36.24073000274666611630891566164791584014892578125,13.1260109256264030364036443643271923065185546875,80.1568651387066211100318469107151031494140625,-11.1484115115817843388867913745343685150146484375,0.698873867000344262123689986765384674072265625,86.968596453749199781668721698224544525146484375,-34.739219336527611403653281740844249725341796875,26.2306588946195944345163297839462757110595703125,-66.899624622333448087374563328921794891357421875,-29.8074282052064489789700019173324108123779296875,64.635151219214463935713865794241428375244140625,62.50495925778983519194298423826694488525390625,6.55232398449658148820162750780582427978515625,-30.4544206060975994887485285289585590362548828125,10.739463484603419374252553097903728485107421875,36.936552018799403640514356084167957305908203125,9.4637897885067303604955668561160564422607421875,8.7130344553971923460267134942114353179931640625,-52.15308084353160467117049847729504108428955078125,-82.744834742271194727436522953212261199951171875,86.16290780358286838236381299793720245361328125,13.4372997222815655504746246151626110076904296875,46.891689809869689042898244224488735198974609375,47.135837885677659642169601283967494964599609375,6.52790917691578442827449180185794830322265625,-54.77767265846735966761116287671029567718505859375,53.178502761925102504392270930111408233642578125,76.305429242835799641397898085415363311767578125,3.76903592028565981308929622173309326171875,-31.254005554368717412216938100755214691162109375,-34.842982268745998908343608491122722625732421875,30.33845027008879924323991872370243072509765625,15.7811212500381401468985131941735744476318359375,7.315286721396518032634048722684383392333984375,29.233680227057703859827597625553607940673828125,70.45197912533950557190109975636005401611328125,25.278481398968466464793891645967960357666015625,73.235267189550455668722861446440219879150390625,43.772698141422779372078366577625274658203125,51.40232551042208797298371791839599609375,6.56453138828698001816519536077976226806640625,-76.952421643726921729466994293034076690673828125,-92.895290993987856609237496741116046905517578125,80.6329538865321637786109931766986846923828125,-48.4725486007263413057444267906248569488525390625,22.23273415326394797375542111694812774658203125,48.2772301400799506154726259410381317138671875,-124480.339824282898916862905025482177734375,
1,1500,-18.13715018158512748414068482816219329833984375,66.49678029725026817686739377677440643310546875,-11.8320261238441020168465911410748958587646484375,-3.012176885280922533638658933341503143310546875,22.3364970854823496893004630692303180694580078125,28.623310037537777361649204976856708526611328125,84.893337809381392844443325884640216827392578125,41.95379497665334156408789567649364471435546875,48.5396893215735190096893347799777984619140625,-29.001739555040131790519808419048786163330078125,16.4708395641956855115495272912085056304931640625,27.0119327372051287738941027782857418060302734375,-32.792138431958989031045348383486270904541015625,10.03143406476027621465618722140789031982421875,1.7792291024506283747541601769626140594482421875,32.1695608386486355811939574778079986572265625,22.3670155949583460142093827016651630401611328125,-14.13922544022949523423449136316776275634765625,31.406598101748699036761536262929439544677734375,4.239020966216003216686658561229705810546875,-14.22467726676228494397946633398532867431640625,5.6123538926358804701521876268088817596435546875,8.7374492629779894059538492001593112945556640625,-18.3996093630787100892121088691055774688720703125,5.5696279793694856152797001414000988006591796875,8.3285012359996386521743261255323886871337890625,16.5074617755668811014402308501303195953369140625,25.186925870540477490067132748663425445556640625,-13.1199072237312037714218604378402233123779296875,-7.6876125370037016182322986423969268798828125,-3.305154576250487252764287404716014862060546875,-1.181066316721086195684620179235935211181640625,31.8582720419934730671229772269725799560546875,-43.43089083529159921681639389134943485260009765625,55.650502029480861665433621965348720550537109375,-5.227820673238312565445085056126117706298828125,39.316995757927173826828948222100734710693359375,3.640858180486475248471833765506744384765625,44.926297799615468875344959087669849395751953125,-33.87859736930448661951231770217418670654296875,-19.3639942625202223780433996580541133880615234375,-10.19623401593065636916435323655605316162109375,38.12067018646808946868986822664737701416015625,17.246009704886006375090801157057285308837890625,7.8096865749076869178679771721363067626953125,-12.057863093966489032027311623096466064453125,-0.1068147831659871371812187135219573974609375,-35.117648854029965832523885183036327362060546875,19.9072237311929569614221691153943538665771484375,-12.4790185247352525266251177527010440826416015625,-41146.1812527929432690143585205078125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,25.223548081911673079957836307585239410400390625,44.889675588244273285454255528748035430908203125,-69.4875942258980074939245241694152355194091796875,-13.3396404919583773107660817913711071014404296875,65.36149174474320489025558345019817352294921875,72.588274788659333580653765238821506500244140625,-7.3397015289773293034158996306359767913818359375,25.44938505203407430599327199161052703857421875,-29.8196356089968475089335697703063488006591796875,-35.6120487075411205069030984304845333099365234375,10.562456129642640689780819229781627655029296875,-57.4999237037263100091877277009189128875732421875,-29.1787469100009246858462574891746044158935546875,-17.361980040894792409744695760309696197509765625,7.9866939298684656023397110402584075927734375,-59.16013061922055982222445891238749027252197265625,-44.07177953428755046161313657648861408233642578125,17.70378734702597967043402604758739471435546875,16.4708395641956855115495272912085056304931640625,61.72368541520432927427464164793491363525390625,1.6632587664418423401002655737102031707763671875,-87.8658406323435201557003892958164215087890625,-88.818018127994633914568112231791019439697265625,13.94390697958311875481740571558475494384765625,-10.3610339671010507345272344537079334259033203125,-75.939207129123815320781432092189788818359375,-32.792138431958989031045348383486270904541015625,27.1523178807947118684751330874860286712646484375,68.541520432142107210893300361931324005126953125,-31.4920499282815029573612264357507228851318359375,10.15350810266426151429186575114727020263671875,-23.062837611011076432987465523183345794677734375,38.63338114566482772715971805155277252197265625,-76.073488570818199150380678474903106689453125,43.180639057588422247135895304381847381591796875,40.470595416119891751804971136152744293212890625,19.9133274330881562264039530418813228607177734375,97.43644520401625186423189006745815277099609375,-11.8686483352152976067372946999967098236083984375,-87.7010406811731257903375080786645412445068359375,-52.21411786248359732098833774216473102569580078125,14.27350688192387906383373774588108062744140625,57.63420514542070804964168928563594818115234375,3.408917508468874757454614154994487762451171875,8.1637012848292442868114449083805084228515625,-11.8991668446912939316462143324315547943115234375,61.80913724173711898401961661875247955322265625,-49.88250373851741414910065941512584686279296875,8.9205603198339673554073669947683811187744140625,-93.4202093569750076085256296209990978240966796875,-115458.102419515911606140434741973876953125,
2,1500,-23.026215399639880843096761964261531829833984375,56.4745017853327908596838824450969696044921875,22.00079348124637590444763191044330596923828125,-41.032135990478224130129092372953891754150390625,-23.9722891933957953369827009737491607666015625,10.690633869441825254398281686007976531982421875,19.2724387340922334033166407607495784759521484375,-32.0719016083254473414854146540164947509765625,-8.853419598986789651462459005415439605712890625,1.8890957365642151444262708537280559539794921875,10.562456129642640689780819229781627655029296875,-26.5785699026459525384780135937035083770751953125,29.98443556016724187429645098745822906494140625,-12.826929532761624841441516764461994171142578125,16.5318765831476781613673665560781955718994140625,7.248146000549326117834425531327724456787109375,-44.07177953428755046161313657648861408233642578125,8.9022492141483695604620152153074741363525390625,-54.25275429548020866832302999682724475860595703125,5.0874355296487436817187699489295482635498046875,-28.775902584917758986193803139030933380126953125,4.7395245216223571560476557351648807525634765625,8.8778344065675725005348795093595981597900390625,-17.032380138554032100728363730013370513916015625,34.11664174321725795380189083516597747802734375,-4.2634357737968144874685094691812992095947265625,52.092043824579604915925301611423492431640625,3.280739768669690192837151698768138885498046875,-2.8595843379009266982393455691635608673095703125,-22.01300088503677443441119976341724395751953125,-42.5275429548020866832302999682724475860595703125,66.58223212378305788661236874759197235107421875,-38.938566240424819397958344779908657073974609375,17.63054292428358849065261892974376678466796875,-11.1911374248481791937592788599431514739990234375,25.62639240699485299046500585973262786865234375,18.930631427961060353482025675475597381591796875,16.5074617755668811014402308501303195953369140625,0.662251655629148672232986427843570709228515625,20.725119785149701101545360870659351348876953125,43.168431653798023717172327451407909393310546875,-1.4984588152714621855920995585620403289794921875,-16.904202398754847536110901273787021636962890625,-1.99285866878261685997131280601024627685546875,-18.662068544572292694283532910048961639404296875,-13.6082033753471449699645745567977428436279296875,-13.8645588549455140991994994692504405975341796875,22.20831934568315091382828541100025177001953125,5.92364268929105719507788307964801788330078125,-29.5022431104464857298808055929839611053466796875,-35978.575428186959470622241497039794921875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,36.027100436414684736519120633602142333984375,-84.5027008880886256747544393874704837799072265625,-7.7120273445844986781594343483448028564453125,-30.4971465193639943436210160143673419952392578125,41.398358104190180029036127962172031402587890625,13.3579515976439751057114335708320140838623046875,-33.286538285470129494569846428930759429931640625,-72.7469710379345002593254321254789829254150390625,-32.1451460310678385212668217718601226806640625,65.068514053773611749420524574816226959228515625,-7.3030793176061337135251960717141628265380859375,82.665486617633604282673331908881664276123046875,18.485061189611514009811799041926860809326171875,5.2644428846095223661905038170516490936279296875,4.01318399609363041236065328121185302734375,4.116946928312017917050980031490325927734375,-31.186864833521525497417314909398555755615234375,0.735496078371539852014393545687198638916015625,41.85003204443495405939756892621517181396484375,-24.6253852961821309008882963098585605621337890625,-39.011810663167210577739751897752285003662109375,34.879604480117194498234312050044536590576171875,-45.50614947965940615404178970493376255035400390625,-20.4016235847041258466560975648462772369384765625,-46.928312021240884632788947783410549163818359375,-79.4427320169682928963084123097360134124755859375,-45.69536423841059757933180662803351879119873046875,69.44486831263162684990675188601016998291015625,-44.846949674977878430581768043339252471923828125,37.90093691824091592934564687311649322509765625,-50.77974791711172741770496941171586513519287109375,-72.1060823389385632253834046423435211181640625,17.423017059846785059562535025179386138916015625,10.953093050935393648614990524947643280029296875,26.6518143253883437182594207115471363067626953125,-33.79924924466689617474912665784358978271484375,-17.91741691335795394479646347463130950927734375,98.03460798974577983244671486318111419677734375,-49.6383556627094293389745871536433696746826171875,-10.953093050935393648614990524947643280029296875,-82.842493972594382967145065777003765106201171875,6.48518326364938957340200431644916534423828125,82.31147190771201849202043376863002777099609375,-9.4882045960875274204227025620639324188232421875,29.98443556016724187429645098745822906494140625,-69.98199407940916216830373741686344146728515625,47.050386059144869932424626313149929046630859375,50.23651844843897151804412715137004852294921875,51.921140171514025496435351669788360595703125,-46.14703817865535029341117478907108306884765625,-110363.049753114129998721182346343994140625,
