Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,64.616840113528866140768514014780521392822265625,90.00213629566331974274362437427043914794921875,32.578508865627014756682910956442356109619140625,-9.2989898373363502059874008409678936004638671875,1.162755211035488400739268399775028228759765625,21.61626026184882221059524454176425933837890625,84.08154545731986218015663325786590576171875,46.732993560594508153371862135827541351318359375,-32.5785088656270005458281957544386386871337890625,-40.11047700430311380159764667041599750518798828125,96.1790826136051464345655404031276702880859375,-33.96404919583727632925729267299175262451171875,12.7353740043336216558600426651537418365478515625,11.178930021057766452940995804965496063232421875,-71.172215948973047261461033485829830169677734375,-46.696371349223312563481158576905727386474609375,20.780053102206494486381416209042072296142578125,41.154210028382209429764770902693271636962890625,8.2918790246284430622836225666105747222900390625,4.8677022614215417206651181913912296295166015625,-38.19391460921048775389863294549286365509033203125,-52.23242896816919511593368952162563800811767578125,-0.589007232886757492451579309999942779541015625,-53.92315439313944125387934036552906036376953125,7.5167088839381221987423487007617950439453125,10.24506363109225048901862464845180511474609375,-26.01092562639240668431739322841167449951171875,-82.3603015228736268227294203825294971466064453125,-16.916409802545246066074469126760959625244140625,-63.66466261787774527647343347780406475067138671875,-77.4407177953428771388644236139953136444091796875,19.4189275795770157628794549964368343353271484375,-60.16724143192846696592823718674480915069580078125,33.188879055146941254861303605139255523681640625,-45.066682943205051969925989396870136260986328125,-13.5898922696615471750192227773368358612060546875,10.22064882351145342909148894250392913818359375,-22.02520828882717296437476761639118194580078125,-2.5910214545121590390408528037369251251220703125,-84.887234107486193579461541958153247833251953125,-48.86928922391430063498773961327970027923583984375,-22.4402600177007371939907898195087909698486328125,-98.3947264015625506772266817279160022735595703125,-67.5160985137485880613894551061093807220458984375,54.405346842860211609149700962007045745849609375,-3.152562028870505628219689242541790008544921875,83.7275307473983048112131655216217041015625,40.849024933622246180675574578344821929931640625,-41.3312173833430023250912199728190898895263671875,31.638538773766271106069325469434261322021484375,-11451.14130347425452782772481441497802734375,
0,1500,-1.107821893978695015903213061392307281494140625,-11.6367076631977255374295054934918880462646484375,28.708761864070567071394179947674274444580078125,1.4984588152714621855920995585620403289794921875,6.747642445142986389328143559396266937255859375,-20.7556382946256832155995653010904788970947265625,-37.6812036500137281791467103175818920135498046875,-8.3712271492660192961920984089374542236328125,61.74199652088992706921999342739582061767578125,26.7555772576067312229497474618256092071533203125,-29.7891170995208511840246501378715038299560546875,-1.052888576921901631067157723009586334228515625,12.7353740043336216558600426651537418365478515625,9.4882045960875274204227025620639324188232421875,14.926602984710228838594048283994197845458984375,96.661275063325916789835900999605655670166015625,-4.2207098605304196325960219837725162506103515625,-12.4607074190496547316797659732401371002197265625,8.1942197943052406117203645408153533935546875,4.8371837519455453957561985589563846588134765625,-18.2470168156987284646675107069313526153564453125,28.910184026612142815793049521744251251220703125,-0.4913480025635550418883212842047214508056640625,-12.23487044892726771649904549121856689453125,12.5278481398968466464793891645967960357666015625,-21.5613269447920146149044740013778209686279296875,3.59813226722008039359934628009796142578125,-53.080843531601914264683728106319904327392578125,-24.0089114047669909268734045326709747314453125,14.645832697531062649431987665593624114990234375,14.761803033539848684085882268846035003662109375,4.1474654377880142419598996639251708984375,36.405529953917067587099154479801654815673828125,-34.03729361857966750903869979083538055419921875,-51.8662068544572321115992963314056396484375,-16.4281136509292906566770398057997226715087890625,-17.313150425733198289890424348413944244384765625,-20.4016235847041258466560975648462772369384765625,18.808557390057075053846347145736217498779296875,45.469527268288203458723728545010089874267578125,-2.6642658772545502188222599215805530548095703125,-1.217688528092281785575323738157749176025390625,-31.8582720419934730671229772269725799560546875,11.9663075655384858464458375237882137298583984375,29.36185796685691684615449048578739166259765625,53.154087954344305444465135224163532257080078125,-9.74456007568591076051234267652034759521484375,35.636463515121931777684949338436126708984375,20.2795495468001405470204190351068973541259765625,-15.146336252937402377938269637525081634521484375,-4910.78283682980327284894883632659912109375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,-14.816736350596642068921937607228755950927734375,-6.7476424451429721784734283573925495147705078125,-23.6732078005310313528752885758876800537109375,29.093295083468120765246567316353321075439453125,-36.72902615436262152570634498260915279388427734375,1.2726218451490893812660942785441875457763671875,9.4027527695547377106777275912463665008544921875,-29.038361766411327380410511977970600128173828125,65.97186193426313138843397609889507293701171875,3.811761833552054667961783707141876220703125,-47.13583788567766674759695888496935367584228515625,41.434980315561375618926831521093845367431640625,-43.32102420117801244714428321458399295806884765625,-87.2859889522995757715762010775506496429443359375,8.0782494582964545770664699375629425048828125,49.69939268166143619964714162051677703857421875,28.305917538987387160887010395526885986328125,33.95794549394207706427550874650478363037109375,15.8421582689901327967163524590432643890380859375,40.934476760155035890420549549162387847900390625,6.790368358409381244200631044805049896240234375,-18.1981872005371343448132392950356006622314453125,84.380626850184626164264045655727386474609375,52.262947477645184335415251553058624267578125,-13.7730033265175251244727405719459056854248046875,34.68428601947078959710779599845409393310546875,-36.66188543351542961090672179125249385833740234375,-2.3957029938657825596237671561539173126220703125,39.005706961272011312757967971265316009521484375,36.710715048677030836188350804150104522705078125,25.107577745902887045303941704332828521728515625,86.846522415845214482033043168485164642333984375,-37.93145542771691225425456650555133819580078125,89.153721732230593488566228188574314117431640625,-32.871486556596579475808539427816867828369140625,2.6825769829401480137676117010414600372314453125,17.465742973113179914435022510588169097900390625,48.6434522537919065143796615302562713623046875,1.2665181432538901162843103520572185516357421875,16.3609729300820987418774166144430637359619140625,-86.999114963225196106577641330659389495849609375,95.361186559648416505297063849866390228271484375,-6.930753501998964338781661354005336761474609375,46.45222327341531354250037111341953277587890625,94.506668294320519407847314141690731048583984375,-96.5453047273171165443272911943495273590087890625,-28.16553239539780406630598008632659912109375,-22.977385784478286723242490552365779876708984375,-31.040375988036743137854500673711299896240234375,91.91259498886074652546085417270660400390625,-10323.8073776525197899900376796722412109375,
1,1500,-14.816736350596642068921937607228755950927734375,-6.7476424451429721784734283573925495147705078125,-23.6732078005310313528752885758876800537109375,29.093295083468120765246567316353321075439453125,-36.72902615436262152570634498260915279388427734375,1.2726218451490893812660942785441875457763671875,3.134250923184907833274337463080883026123046875,-51.054414502395701447312603704631328582763671875,-47.66685995056001701186687569133937358856201171875,4.5991393780327740614666254259645938873291015625,-28.940702536088139140701969154179096221923828125,-0.985747856074709716267534531652927398681640625,5.1301614429151385365912574343383312225341796875,-37.284463026825761744476039893925189971923828125,8.0111087374492626622668467462062835693359375,-3.274636066774490927855367772281169891357421875,11.6611224707785225973566411994397640228271484375,-18.1920834986419350798314553685486316680908203125,41.605883968626955038416781462728977203369140625,4.7029023102511615661569521762430667877197265625,6.44245735038299471852951683104038238525390625,-3.201391644032099748073960654437541961669921875,30.45442060609758527789381332695484161376953125,27.2621845149082986381472437642514705657958984375,-13.7730033265175251244727405719459056854248046875,34.68428601947078959710779599845409393310546875,-36.62526322214423402101601823233067989349365234375,-2.3957029938657825596237671561539173126220703125,39.005706961272011312757967971265316009521484375,36.710715048677030836188350804150104522705078125,25.68742942594684564028284512460231781005859375,26.7067476424451371030954760499298572540283203125,27.4147770622882802626918419264256954193115234375,9.2867824335459516760238329879939556121826171875,7.8768272957548788326676003634929656982421875,2.6825769829401480137676117010414600372314453125,17.465742973113179914435022510588169097900390625,48.6434522537919065143796615302562713623046875,-11.087374492629777478214236907660961151123046875,-3.158665730765704893201473169028759002685546875,-52.65358439893795861053149565123021602630615234375,99.139378032776875215859035961329936981201171875,25.058748130741292925449670292437076568603515625,-16.3853877376628958018045523203909397125244140625,5.3132724997711164860447752289474010467529296875,-3.787347025971257608034648001194000244140625,34.04950102237006603900226764380931854248046875,-17.209387493514810785200097598135471343994140625,-8.5604419080172107214821153320372104644775390625,13.4678182317575618753835442475974559783935546875,-4916.97490776099220965988934040069580078125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,-30.10650959807122717393212951719760894775390625,-73.4244819483016470940128783695399761199951171875,49.528489028595828358447761274874210357666015625,92.455824457533481108839623630046844482421875,-28.2509842219305937760509550571441650390625,86.32770775475324853687197901308536529541015625,-15.5796990874965644024996436201035976409912109375,44.431897946104328411820461042225360870361328125,-18.771935178685879463955643586814403533935546875,-36.76564836573381711559704854153096675872802734375,-19.058809167760244918099488131701946258544921875,98.51680043946652176600764505565166473388671875,27.854243598742641552234999835491180419921875,29.50224311044649994073552079498767852783203125,43.55906857509080509771592915058135986328125,52.079836420789206385961733758449554443359375,-77.98394726401562593309790827333927154541015625,43.760490737632380842114798724651336669921875,-12.936796166875211611113627441227436065673828125,-52.922147282326733375157346017658710479736328125,9.92767113254188870996586047112941741943359375,-40.5255287331766709257863112725317478179931640625,76.848658711508534224776667542755603790283203125,16.5684987945188737512580701150000095367431640625,-63.64635151219214748152808169834315776824951171875,5.0325022125919218751732842065393924713134765625,-46.971037934507279487661435268819332122802734375,97.61955626087222981368540786206722259521484375,94.183172093874958363812766037881374359130859375,-91.772209845271163430879823863506317138671875,33.194982757042140519843087531626224517822265625,3.262428662984092397891799919307231903076171875,-4.4465468306527924369220272637903690338134765625,-54.28327280495620499323194962926208972930908203125,2.4140140995513803545691189356148242950439453125,-40.7269508957182466701851808466017246246337890625,-23.142185735648666877750656567513942718505859375,-65.3920102542191870043097878806293010711669921875,-23.2459486678670685932956985197961330413818359375,40.769676808984655735912383534014225006103515625,-64.0980254524369001956074498593807220458984375,13.69365520187994889056426472961902618408203125,14.877773369548634718739776872098445892333984375,11.185033722952965717922779731452465057373046875,1.6083254493850489552642102353274822235107421875,-15.9764397106845308371703140437602996826171875,8.4322641682180261568646528758108615875244140625,78.905606250190743367056711576879024505615234375,58.922086245307781382507528178393840789794921875,28.641621143223375156594556756317615509033203125,-11523.58994348930355045013129711151123046875,
2,1500,-11.093478194524976743196020834147930145263671875,13.3152256843775802508389460854232311248779296875,33.56730857264932410544133745133876800537109375,-26.6640217291787422482229885645210742950439453125,-1.93792535172582347513525746762752532958984375,17.92962431714835247476003132760524749755859375,-2.14545121616259848451591096818447113037109375,33.48185674611653439569636248052120208740234375,-18.771935178685879463955643586814403533935546875,-8.6397900326548011662453063763678073883056640625,-24.3202002014221534409443847835063934326171875,-18.741416669209883139046723954379558563232421875,23.6426892910550208171116537414491176605224609375,7.394634846034108477397239767014980316162109375,-8.993804742576372746043489314615726470947265625,23.4656819360942421326399198733270168304443359375,17.075106051820426955600851215422153472900390625,26.5724662007507532734962296672165393829345703125,-3.4394360179448852932182489894330501556396484375,10.599078341013836279671522788703441619873046875,4.7639393292031542159747914411127567291259765625,-34.641560106204423163944738917052745819091796875,-19.78514969328898587264120578765869140625,16.5501876888332759563127183355391025543212890625,-8.2430494094668347315746359527111053466796875,16.940824610126043126001604832708835601806640625,-57.26798303170873083445258089341223239898681640625,-6.5584276863917949640381266362965106964111328125,-3.3845027008880919083821936510503292083740234375,13.3640552995391743706932174973189830780029296875,-0.2044740134891895877444767393171787261962890625,4.08642841883602159214206039905548095703125,-0.601214636677156022415147162973880767822265625,-35.142063661610762892451020888984203338623046875,7.028412732322152578490204177796840667724609375,12.0822779015472718810997321270406246185302734375,1.4435254982146688007560442201793193817138671875,11.9479964598528880515004857443273067474365234375,25.46769615771967210093862377107143402099609375,4.7456282235175564210294396616518497467041015625,-18.875698110904266968645970337092876434326171875,-16.5807061983092722812216379679739475250244140625,14.877773369548634718739776872098445892333984375,-1.7059846797082371949727530591189861297607421875,-2.4445326090273766794780385680496692657470703125,27.77489547410505110747180879116058349609375,6.20441297647022338423994369804859161376953125,-8.2491531113620339965564198791980743408203125,11.270485549485755427667754702270030975341796875,-14.5176549577318638739598100073635578155517578125,-3064.9637742923005134798586368560791015625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,-3.274636066774490927855367772281169891357421875,47.5875118259224336725310422480106353759765625,-4.904324472792751521410536952316761016845703125,-38.82259590441602625787709257565438747406005859375,63.560899685659336455501033924520015716552734375,14.609210486159867059541284106671810150146484375,11.4169743949705519980852841399610042572021484375,-79.9920651875362409555236808955669403076171875,97.070223090304267543615424074232578277587890625,2.975554673909726943747955374419689178466796875,54.783776360362566038020304404199123382568359375,-11.014130069887386298432829789817333221435546875,-42.4970244453260903583213803358376026153564453125,-87.3775444807275647463029599748551845550537109375,-6.918546098208565808818093501031398773193359375,-1.199377422406683990629971958696842193603515625,-20.2978606524857383419657708145678043365478515625,2.4323252052369781495144707150757312774658203125,76.091799676503796945326030254364013671875,47.5264748069704410227132029831409454345703125,-50.82857753227332153755924082361161708831787109375,-10.4892117069002352991446969099342823028564453125,9.6469008453627083099490846507251262664794921875,-47.22128971221045645734193385578691959381103515625,87.8353221228675238307914696633815765380859375,-1.315347758415470025283866561949253082275390625,9.6835230567339038998397882096469402313232421875,-42.15521713919492441391412285156548023223876953125,61.74199652088992706921999342739582061767578125,42.24677266762290628321352414786815643310546875,50.895718253120520557786221615970134735107421875,92.42530594805748478393070399761199951171875,39.054536576433605432612239383161067962646484375,93.94512771996215860781376250088214874267578125,-35.7280190435499065415569930337369441986083984375,24.5521408734397255102521739900112152099609375,14.957121494186225163502967916429042816162109375,23.5145115512558362524941912852227687835693359375,-99.194311349833668600695091299712657928466796875,44.322031311990741642148350365459918975830078125,-53.4958952604754784942997503094375133514404296875,-3.4455397198400845582000329159200191497802734375,38.27936643574327035821625031530857086181640625,-50.4440443128757607382794958539307117462158203125,-56.24256111331522589580345083959400653839111328125,-37.5286111026337465546021121554076671600341796875,-67.5222022156437873263712390325963497161865234375,32.1390423291726392562850378453731536865234375,33.41471602526934248089673928916454315185546875,6.698812829981392269473872147500514984130859375,-11317.65114312268633511848747730255126953125,
