Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
0,0,65.27603991821041518051060847938060760498046875,-25.58977019562365740057430230081081390380859375,92.3642689291054921341128647327423095703125,2.981658375804926208729739300906658172607421875,-81.078524124881738543990650214254856109619140625,92.37647633289589066407643258571624755859375,-71.6849269081697997307855985127389430999755859375,-95.251319925534829735624953173100948333740234375,50.32197027497176122778910212218761444091796875,99.182103946043270070731523446738719940185546875,-73.3451338236640566492496873252093791961669921875,98.980681783501694326332653872668743133544921875,-78.5149693288979761973678250797092914581298828125,-50.5294961394085504480244708247482776641845703125,-10.5136265144810323590718326158821582794189453125,38.10846278267769093872630037367343902587890625,14.13922544022949523423449136316776275634765625,-58.25678273873104018321100738830864429473876953125,41.90496536149174744423362426459789276123046875,29.77690969573046686491579748690128326416015625,-9.042634357737966865897760726511478424072265625,32.0657979064302480765036307275295257568359375,28.745384075441762661284883506596088409423828125,9.5614490188299186002041096799075603485107421875,-10.4342783898434419143086415715515613555908203125,42.08197271645252612870535813271999359130859375,66.35029145176548581730457954108715057373046875,-1.3885921811578754159199888817965984344482421875,-30.6131168553727803782749106176197528839111328125,-43.60789819025239211214284296147525310516357421875,-39.6099734488967527568092918954789638519287109375,-54.66170232245857363295726827345788478851318359375,-10.7211523789178073684524861164391040802001953125,2.3651844843897862347148475237190723419189453125,-97.6683858760338097226849640719592571258544921875,24.991607409894101010650047101080417633056640625,76.818140202032537899867747910320758819580078125,34.928434095278788618088583461940288543701171875,46.971037934507279487661435268819332122802734375,-90.948210089419234236629563383758068084716796875,-37.6628925443281303842013585381209850311279296875,14.35895870845666877357871271669864654541015625,-87.6155888546403360805925331078469753265380859375,67.192602313303012806500191800296306610107421875,-16.4403210547196891866406076587736606597900390625,26.9814142277291324489851831458508968353271484375,56.3097018341624107051757164299488067626953125,68.785668507950077810164657421410083770751953125,0.570696127201159697506227530539035797119140625,-71.214941862239442116333520971238613128662109375,-14784967.09854675270617008209228515625,
0,1500,-15.9459212012085345122613944113254547119140625,74.742881557664730962642352096736431121826171875,-14.6397289956358491735954885371029376983642578125,-79.222998748741105146109475754201412200927734375,-14.3589587084566829844334279187023639678955078125,23.3680227057710538929313770495355129241943359375,3.299050874355287987782503478229045867919921875,-36.075930051576278856373392045497894287109375,12.8696554460280054854592890478670597076416015625,58.891567735831785057598608545958995819091796875,-11.5817743461409321525934501551091670989990234375,45.353556932279417424069833941757678985595703125,42.759483626819672963392804376780986785888671875,39.194921720023188527193269692361354827880859375,-22.4341563158055379290090058930218219757080078125,-94.01226844080935052261338569223880767822265625,-44.01684621723075707677708123810589313507080078125,90.264595477156916558669763617217540740966796875,-7.9927976317636648673214949667453765869140625,48.3565782647175410602358169853687286376953125,-80.1263466292306247851229272782802581787109375,-26.6701254310739415132047724910080432891845703125,55.9801019318216503961593843996524810791015625,3.347880489516882107636774890124797821044921875,44.389172032837933556947973556816577911376953125,82.616657002472010162819060496985912322998046875,-64.683980834376058055568137206137180328369140625,51.921140171514025496435351669788360595703125,73.516037476729621857884922064840793609619140625,-86.4803003021332443722712923772633075714111328125,95.080416272469250316135003231465816497802734375,-83.3552049317911354364696308039128780364990234375,9.1219824823755715215156669728457927703857421875,-0.973540452284311186303966678678989410400390625,-85.6318857387005181180938961915671825408935546875,15.170751060518199437865405343472957611083984375,-50.3097628711813769086802494712173938751220703125,-10.23285622730185195905505679547786712646484375,-71.111178930021054611643194220960140228271484375,9.6346934415723097799855167977511882781982421875,63.7318033387249442967004142701625823974609375,-18.2714316232795255245946464128792285919189453125,-80.4315317239906022450668388046324253082275390625,-37.5164036988433480246385443024337291717529296875,34.61104159672839841732638888061046600341796875,-15.4820398571733761627911007963120937347412109375,93.102816858424631618618150241672992706298828125,-30.02716147343363672916893847286701202392578125,83.27585680715355920256115496158599853515625,-33.6283455916013025444044615142047405242919921875,-1195877833.6826751232147216796875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
1,0,64.3116550187688744699698872864246368408203125,90.728476821192060697285342030227184295654296875,57.73186437574389628935023210942745208740234375,-53.074739829706714999701944179832935333251953125,-52.867213965269939990321290679275989532470703125,-76.873073519089331284703803248703479766845703125,14.25519577623828126888838596642017364501953125,36.930448316904204375532572157680988311767578125,-30.851161229285565923419198952615261077880859375,86.26667073580125588705413974821567535400390625,27.5368511001922655623275204561650753021240234375,-67.247535630359806191336247138679027557373046875,12.8940702536088309670958551578223705291748046875,64.586321604052869815859594382345676422119140625,-8.859523300881988916444242931902408599853515625,-9.82390820032350120527553372085094451904296875,-97.241126743369846963105374015867710113525390625,88.1282998138370885499170981347560882568359375,35.837885677663507522083818912506103515625,21.72612689596240898026735521852970123291015625,-77.3186437574388918392287450842559337615966796875,76.909695730460526874594506807625293731689453125,98.00408948026978350753779523074626922607421875,-21.4392529068880293152687954716384410858154296875,-18.619342631305897839411045424640178680419921875,6.41193884090699839362059719860553741455078125,-2.1698660237434097552977618761360645294189453125,-29.5144505142368842598443734459578990936279296875,18.24701681569871425381279550492763519287109375,54.826502273628960892892791889607906341552734375,-2.14545121616259848451591096818447113037109375,63.133640552995387906776159070432186126708984375,-35.4106265449995447625042288564145565032958984375,-94.20148319956052773704868741333484649658203125,67.717520676290178016643039882183074951171875,72.923978392895293154651881195604801177978515625,-86.3277077547532627477266942150890827178955078125,-13.5959959715567464400010067038238048553466796875,-0.1434369945371827270719222724437713623046875,57.298501541184720053934142924845218658447265625,-89.89226966154973297307151369750499725341796875,87.1272927030244090929045341908931732177734375,42.14911343729971804350498132407665252685546875,-45.24369029816583775982508086599409580230712890625,-95.3672902615436299811335629783570766448974609375,-34.592730491042829044090467505156993865966796875,-48.5580004272591310154894017614424228668212890625,48.1429486983855667858733795583248138427734375,-22.2388378551591614495919202454388141632080078125,23.7952818384350024416562519036233425140380859375,-145496515.9749536216259002685546875,
1,1500,50.32807397686696049277088604867458343505859375,-41.2152470473342162904373253695666790008544921875,68.480483413190114561075461097061634063720703125,-21.4941862239448227001048508100211620330810546875,76.293221839045401111434330232441425323486328125,21.81157872249519869001233018934726715087890625,-21.75054170354320604019449092447757720947265625,65.59953611865597622454515658318996429443359375,-1.85247352519303376539028249680995941162109375,29.69145786919767715517082251608371734619140625,17.94793542283395026970538310706615447998046875,-60.40528580584123830021781031973659992218017578125,88.842432935575430974495247937738895416259765625,12.3508407849360679620076552964746952056884765625,53.019806512649921614865888841450214385986328125,36.747337260048226426079054363071918487548828125,-69.83550523392437980874092318117618560791015625,-88.3114108706930807102253311313688755035400390625,99.71922971282083381083793938159942626953125,-7.058931241798148903399123810231685638427734375,97.082430494094666073578991927206516265869140625,42.56416516617326806226628832519054412841796875,-93.92071291238136154788662679493427276611328125,-60.13061922055727137603753362782299518585205078125,-91.4670247505111859709359123371541500091552734375,85.088656270027769323860411532223224639892578125,49.62004455702384575488395057618618011474609375,56.0228278450880452510318718850612640380859375,21.62236396374402147557702846825122833251953125,15.2989288003173982133375830017030239105224609375,46.989349040192877282606787048280239105224609375,58.641315958128615193345467559993267059326171875,64.2628254036072803501156158745288848876953125,-40.14709921567430939148835022933781147003173828125,99.243140964995262720549362711608409881591796875,-63.3899960325937712468657991848886013031005859375,-20.096438489944148386712186038494110107421875,-33.188879055146941254861303605139255523681640625,-30.771813104647975478656007908284664154052734375,-91.5097506637775808258083998225629329681396484375,24.4544816431165372705436311662197113037109375,-73.3512375255592559142314712516963481903076171875,43.5224463637196095078252255916595458984375,-79.345072786645090445745154283940792083740234375,-67.101046784875023831773432902991771697998046875,-36.32007812738425656107210670597851276397705078125,-8.4994048890652180716642760671675205230712890625,52.5009918515579556697048246860504150390625,-49.7726371044038131685738335363566875457763671875,95.129245887630844435989274643361568450927734375,-52223714.84488372504711151123046875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
2,0,-55.9801019318216503961593843996524810791015625,-41.2884914700766074702187324874103069305419921875,-74.871059297463915527259814552962779998779296875,-85.80278939176611174843856133520603179931640625,-67.973876155888547145877964794635772705078125,-24.0333262123477879868005402386188507080078125,-18.10052797021393189424998126924037933349609375,74.46821497238073561675264500081539154052734375,77.75200659199805386379011906683444976806640625,35.6669820245979281025938689708709716796875,-12.302011169774459631298668682575225830078125,35.82567827387310899212025105953216552734375,-85.98590044862208969789207912981510162353515625,-96.0997344889675559898023493587970733642578125,-65.6666768395031539284900645725429058074951171875,66.881313516647850292429211549460887908935546875,-22.3792229987487445441729505546391010284423828125,79.4244209112827093122177757322788238525390625,-38.58455153050325492358751944266259670257568359375,59.697256385998088035194086842238903045654296875,-74.3888668477431593828441691584885120391845703125,6.46687215796379177845665253698825836181640625,60.338145084994039279990829527378082275390625,14.914395580919830308630480431020259857177734375,-90.6918546098208508965399232693016529083251953125,73.332926419873643908431404270231723785400390625,31.9193090609454657169408164918422698974609375,-72.3990600299081421553637483157217502593994140625,-0.991851557969908981249318458139896392822265625,-85.198522904141356093532522208988666534423828125,-74.4193853572191557077530887909233570098876953125,-71.6299935911130063459495431743562221527099609375,-2.13934751426739921953412704169750213623046875,68.010498367259742735768668353557586669921875,-22.4280526139103386640272219665348529815673828125,57.78069399090549040920450352132320404052734375,78.875087740714747042147791944444179534912109375,97.27774895474107097470550797879695892333984375,1.6449476607562445451549137942492961883544921875,88.1832331308938819347531534731388092041015625,-48.88149662770469916495130746625363826751708984375,32.1878719443342333761393092572689056396484375,28.3486434522537820157594978809356689453125,-90.856654560991245261902804486453533172607421875,-13.5654774620807501150920870713889598846435546875,21.451460310678413634377648122608661651611328125,-51.32908108767967547692023799754679203033447265625,-4.7578356273079549509930075146257877349853515625,37.45536667989136958567542023956775665283203125,-25.83391827143162799984565936028957366943359375,-230718.0267899653990752995014190673828125,
2,1500,-39.5428327280495608420096687041223049163818359375,85.63798944059573159393039532005786895751953125,-17.368083742789991674726479686796665191650390625,20.0476088747825684777126298286020755767822265625,-32.902005066072575800717459060251712799072265625,40.787987914670253530857735313475131988525390625,66.997283852656636327083106152713298797607421875,-0.912503433332318536486127413809299468994140625,62.52937406537063225187011994421482086181640625,-98.803674428540915641860920004546642303466796875,61.91900387585070575369172729551792144775390625,25.49211096530046916086575947701930999755859375,-18.826868495742672848791698925197124481201171875,65.48966948454238945487304590642452239990234375,34.934537797173987883070367388427257537841796875,-21.76885280922880383513984270393848419189453125,-53.82549516281625301417079754173755645751953125,66.808069093905459112647804431617259979248046875,-58.76949369792779265253557241521775722503662109375,53.489791558580265018463251180946826934814453125,71.306497390667431091060279868543148040771484375,45.402386547441011543924105353653430938720703125,-10.5624561296426264789261040277779102325439453125,-42.832728049562064143174211494624614715576171875,-70.738853114413899447754374705255031585693359375,-79.229102450636304411091259680688381195068359375,71.7032380138554117365856654942035675048828125,-90.16693624683369989725179038941860198974609375,-59.25778984954374806193300173617899417877197265625,-36.91213721121859947515986277721822261810302734375,81.71330912198249052380560897290706634521484375,30.16144291512802055876818485558032989501953125,-63.90270699179051661076300661079585552215576171875,73.308511612292846848504268564283847808837890625,-36.014893032624286206555552780628204345703125,6.704916531876591534455656073987483978271484375,-68.3767204809717128455304191447794437408447265625,86.407055879390867403344600461423397064208984375,54.417554246650610139113268814980983734130859375,-34.3791009247108405588733148761093616485595703125,-19.803460798974583667586557567119598388671875,30.70467238380075514214695431292057037353515625,-81.072420422986539279008866287767887115478515625,95.361186559648416505297063849866390228271484375,-74.767296365245528022569487802684307098388671875,-45.92120120853297748908516950905323028564453125,90.545365764336082747831824235618114471435546875,-38.871425519577627483158721588551998138427734375,61.60161137730034397463896311819553375244140625,-37.6384777367473333242742228321731090545654296875,-1301797.75253507657907903194427490234375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,F(x)
3,0,82.842493972594382967145065777003765106201171875,-41.2213507492294155554191092960536479949951171875,31.8460646382030745371594093739986419677734375,-25.81560716574603020490030758082866668701171875,-72.942289498580890949597232975065708160400390625,39.6893215735343574124271981418132781982421875,-46.916104617450486102825379930436611175537109375,82.14667195654163833751226775348186492919921875,14.24298837244788273892481811344623565673828125,-20.059816278572952796821482479572296142578125,-18.655964842677093429301748983561992645263671875,-14.804528946806243538958369754254817962646484375,7.4251533555101332240155898034572601318359375,-1.91961424604022568018990568816661834716796875,-74.06537064729758412795490585267543792724609375,-92.3520615253151078150040120817720890045166015625,-85.96758934293649190294672735035419464111328125,62.08990752891628517318167723715305328369140625,48.0758079775383748710737563669681549072265625,25.66301461836604858035570941865444183349609375,60.411389507736430459772236645221710205078125,60.399182103946031929808668792247772216796875,41.257972960600596934455097652971744537353515625,-41.78289132358775503917058813385665416717529296875,12.1677297280800900125541375018656253814697265625,-8.804589983825195531608187593519687652587890625,49.107333597827079074704670347273349761962890625,-80.0775170140690306652686558663845062255859375,24.2530594805749615261447615921497344970703125,-35.4899746696371352072674199007451534271240234375,94.09772026734214023235836066305637359619140625,-27.6589251380962508619631989859044551849365234375,12.9612109744560228818954783491790294647216796875,56.828516495254376650336780585348606109619140625,82.873012482070379292053985409438610076904296875,-29.6914578691976629443161073140799999237060546875,59.379863887447726256141322664916515350341796875,-74.5475630970183402723705512471497058868408203125,6.21051667836542264922172762453556060791015625,0.973540452284311186303966678678989410400390625,-72.1243934446241610203287564218044281005859375,85.473189489425323017712798900902271270751953125,-1.120029297769093545866780914366245269775390625,22.3731192968535452791911666281521320343017578125,89.53215124973297633914626203477382659912109375,-8.5055085909604173366460599936544895172119140625,-55.73595385601367269146066973917186260223388671875,-30.991546372875149018000229261815547943115234375,-65.6361583300271576035811449401080608367919921875,-71.8375194555497955661849118769168853759765625,-90369629.96219320595264434814453125,
