Repeat,FitnessEvaluateCountReachTarget
0,388
Repeat,FitnessEvaluateCountReachTarget
1,569
Repeat,FitnessEvaluateCountReachTarget
2,659
Repeat,FitnessEvaluateCountReachTarget
3,449
Repeat,FitnessEvaluateCountReachTarget
4,478
Repeat,FitnessEvaluateCountReachTarget
5,719
Repeat,FitnessEvaluateCountReachTarget
6,688
Repeat,FitnessEvaluateCountReachTarget
7,627
Repeat,FitnessEvaluateCountReachTarget
8,449
Repeat,FitnessEvaluateCountReachTarget
9,508
Repeat,FitnessEvaluateCountReachTarget
10,539
Repeat,FitnessEvaluateCountReachTarget
11,539
Repeat,FitnessEvaluateCountReachTarget
12,569
Repeat,FitnessEvaluateCountReachTarget
13,778
Repeat,FitnessEvaluateCountReachTarget
14,599
Repeat,FitnessEvaluateCountReachTarget
15,569
Repeat,FitnessEvaluateCountReachTarget
16,569
Repeat,FitnessEvaluateCountReachTarget
17,659
Repeat,FitnessEvaluateCountReachTarget
18,599
Repeat,FitnessEvaluateCountReachTarget
19,629
Repeat,FitnessEvaluateCountReachTarget
20,689
Repeat,FitnessEvaluateCountReachTarget
21,719
Repeat,FitnessEvaluateCountReachTarget
22,599
Repeat,FitnessEvaluateCountReachTarget
23,623
Repeat,FitnessEvaluateCountReachTarget
24,599
Repeat,FitnessEvaluateCountReachTarget
25,479
Repeat,FitnessEvaluateCountReachTarget
26,808
Repeat,FitnessEvaluateCountReachTarget
27,717
Repeat,FitnessEvaluateCountReachTarget
28,629
Repeat,FitnessEvaluateCountReachTarget
29,539
Repeat,FitnessEvaluateCountReachTarget
30,419
Repeat,FitnessEvaluateCountReachTarget
31,449
Repeat,FitnessEvaluateCountReachTarget
32,657
Repeat,FitnessEvaluateCountReachTarget
33,568
Repeat,FitnessEvaluateCountReachTarget
34,659
Repeat,FitnessEvaluateCountReachTarget
35,538
Repeat,FitnessEvaluateCountReachTarget
36,449
Repeat,FitnessEvaluateCountReachTarget
37,748
Repeat,FitnessEvaluateCountReachTarget
38,568
Repeat,FitnessEvaluateCountReachTarget
39,717
Repeat,FitnessEvaluateCountReachTarget
40,508
Repeat,FitnessEvaluateCountReachTarget
41,719
Repeat,FitnessEvaluateCountReachTarget
42,569
Repeat,FitnessEvaluateCountReachTarget
43,539
Repeat,FitnessEvaluateCountReachTarget
44,746
Repeat,FitnessEvaluateCountReachTarget
45,749
Repeat,FitnessEvaluateCountReachTarget
46,689
Repeat,FitnessEvaluateCountReachTarget
47,568
Repeat,FitnessEvaluateCountReachTarget
48,628
Repeat,FitnessEvaluateCountReachTarget
49,536
Repeat,FitnessEvaluateCountReachTarget
50,659
Repeat,FitnessEvaluateCountReachTarget
51,659
Repeat,FitnessEvaluateCountReachTarget
52,629
Repeat,FitnessEvaluateCountReachTarget
53,564
Repeat,FitnessEvaluateCountReachTarget
54,569
Repeat,FitnessEvaluateCountReachTarget
55,419
Repeat,FitnessEvaluateCountReachTarget
56,509
Repeat,FitnessEvaluateCountReachTarget
57,509
Repeat,FitnessEvaluateCountReachTarget
58,688
Repeat,FitnessEvaluateCountReachTarget
59,569
Repeat,FitnessEvaluateCountReachTarget
60,599
Repeat,FitnessEvaluateCountReachTarget
61,778
Repeat,FitnessEvaluateCountReachTarget
62,359
Repeat,FitnessEvaluateCountReachTarget
63,717
Repeat,FitnessEvaluateCountReachTarget
64,598
Repeat,FitnessEvaluateCountReachTarget
65,629
Repeat,FitnessEvaluateCountReachTarget
66,509
Repeat,FitnessEvaluateCountReachTarget
67,719
Repeat,FitnessEvaluateCountReachTarget
68,628
Repeat,FitnessEvaluateCountReachTarget
69,477
Repeat,FitnessEvaluateCountReachTarget
70,569
Repeat,FitnessEvaluateCountReachTarget
71,568
Repeat,FitnessEvaluateCountReachTarget
72,419
Repeat,FitnessEvaluateCountReachTarget
73,538
Repeat,FitnessEvaluateCountReachTarget
74,569
Repeat,FitnessEvaluateCountReachTarget
75,419
Repeat,FitnessEvaluateCountReachTarget
76,569
Repeat,FitnessEvaluateCountReachTarget
77,628
Repeat,FitnessEvaluateCountReachTarget
78,419
Repeat,FitnessEvaluateCountReachTarget
79,539
Repeat,FitnessEvaluateCountReachTarget
80,629
Repeat,FitnessEvaluateCountReachTarget
81,449
Repeat,FitnessEvaluateCountReachTarget
82,569
Repeat,FitnessEvaluateCountReachTarget
83,748
Repeat,FitnessEvaluateCountReachTarget
84,538
Repeat,FitnessEvaluateCountReachTarget
85,508
Repeat,FitnessEvaluateCountReachTarget
86,446
Repeat,FitnessEvaluateCountReachTarget
87,449
Repeat,FitnessEvaluateCountReachTarget
88,566
Repeat,FitnessEvaluateCountReachTarget
89,599
Repeat,FitnessEvaluateCountReachTarget
90,479
Repeat,FitnessEvaluateCountReachTarget
91,419
Repeat,FitnessEvaluateCountReachTarget
92,569
Repeat,FitnessEvaluateCountReachTarget
93,569
Repeat,FitnessEvaluateCountReachTarget
94,599
Repeat,FitnessEvaluateCountReachTarget
95,597
Repeat,FitnessEvaluateCountReachTarget
96,719
Repeat,FitnessEvaluateCountReachTarget
97,599
Repeat,FitnessEvaluateCountReachTarget
98,539
Repeat,FitnessEvaluateCountReachTarget
99,567
