Repeat,Generation,X1,F(x)
0,0,001111011010010011101111111101000110110111111111100001111101010110111011100010011011001000001110100000011111110101111100,73,
0,10,001111111010011110110110111110101111111111111111110011111101010110101011111110111111101100101110110011111101111101011110,89,
0,20,001111111010011111110111111111111111111101111111101111111111101111111011111000110111101110100111110011111111111111011110,98,
0,30,111111011110111111110111111111111111111101111111101111111111101111111011111111011111111100111110111010111111111111111111,107,
0,40,111111101111111111110111111100111111111111111111101111111111111111101011111111011111111100111111111111111111111111111111,110,
0,50,111111111110111111111111111100111111111111111111111111111111111111101111111111111011111101111111111111111111111111111111,114,
0,60,111111111111111111111111111110111111111111111111111111111111111111101111110111111111111110111111111111111111111111111111,116,
0,70,111111111110111111111111111111111111111111111111111111111111110110101111111111111111111111111111111111111111111111111111,116,
0,80,111111111111111111111111111111111111011111111111111111111111111111101111111111111111111111111111111111111111111111111111,118,
0,90,111111111111111111111111111111111101011111111111111111111111111111111111111111111111111111111111111111111111111111111111,118,
0,100,111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111,119,
0,110,111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111,119,
0,120,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,130,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,140,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,150,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,160,111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,119,
0,170,111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,119,
0,180,111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,119,
0,190,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,200,111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111,118,
0,210,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,220,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,230,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,240,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,250,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,260,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,270,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,280,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,290,111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111,119,
0,300,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,310,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,320,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,330,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,340,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,350,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,360,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,370,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,380,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,390,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,400,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,410,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,420,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,430,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,440,111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111,119,
0,450,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,460,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,470,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,480,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,490,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
0,500,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,120,
Repeat,Generation,X1,F(x)
1,0,000111011110110110111001101011101001100100010111011111101100001000110000111111110010101000100001111111001010001111101000,68,
1,10,110111101001011111111101111111011111011111111111000111101011110001001111001110111011011011111101111110101110101110110000,89,
1,20,111111111001111111011101111111111111011110101101000111101011111001101111101110111011011111111111111110011110111110110000,95,
1,30,111111111111111111111101111111111111011111101101000111111011111001111111101110111111111111111111111111011111111110110000,105,
1,40,111111111111111111111101111111111111111111101111000111111111111001111111111111111111111111111111111111111111111110110000,111,
1,50,111111111111111111111101111111111111111111111111010111111111111011111111111111111111111111111111111111111111111110110000,114,
1,60,111111111111111111111111111111111111111111111111110111111111111110111111111111111111111111111111111111111111111110110000,116,
1,70,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111110110000,117,
1,80,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111110110000,117,
1,90,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111110110000,117,
1,100,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111110110000,117,
1,110,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110000,118,
1,120,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110000,118,
1,130,111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111110110000,117,
1,140,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110000,118,
1,150,111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111110110000,117,
1,160,111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111110110000,117,
1,170,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
1,180,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
1,190,110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,117,
1,200,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
1,210,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
1,220,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
1,230,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
1,240,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110000,118,
1,250,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,260,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,270,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,280,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,290,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,300,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,310,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,320,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,330,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,340,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,350,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,360,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,370,111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111110100000,117,
1,380,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,390,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,400,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,410,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,420,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,430,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,440,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,450,111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,117,
1,460,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,470,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110100000,118,
1,480,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110000,118,
1,490,111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111110110000,117,
1,500,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111000,118,
Repeat,Generation,X1,F(x)
2,0,111001111111000100010010010111111101110011011000101110100101110011111011011101111100111111010010110010100111101011100011,73,
2,10,100011111110111010111011111111011101101110111111001011111110111100110011100111110001011011111100111100000011111111100111,84,
2,20,101011011111111110111011111111111101101110111111101011111111111100110001110111110111011011110100110100000111111011100111,93,
2,30,101011101111111111111111111111111101101111111111111111111110111101111010110111110111011011111101110100000111111011100111,101,
2,40,111011101111111111111111111111111101101111111111011111111111111101011111111111110111011111111101110100000111111011110111,106,
2,50,111011101111111111111111111111111101111111111111111111111111111101011111011111111111011111111101110100000111111111111111,110,
2,60,111111101111111111111111111111111101111111111111111111111111111101111111111111111111011111111101110100000111111111111111,113,
2,70,111111111111111111111111111111111111111111111111111111111111111101111111111111111111011111111101110110000111111101111111,114,
2,80,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011110100000111111111111111,117,
2,90,111111111111111111111111111111111111111111111111111111111111111110111111111111111111110111111111110100000111111111111111,116,
2,100,111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111110110000111111111111111,117,
