Repeat,FitnessEvaluateCountReachTarget
0,1079
Repeat,FitnessEvaluateCountReachTarget
1,1379
Repeat,FitnessEvaluateCountReachTarget
2,1199
Repeat,FitnessEvaluateCountReachTarget
3,988
Repeat,FitnessEvaluateCountReachTarget
4,1049
Repeat,FitnessEvaluateCountReachTarget
5,1377
Repeat,FitnessEvaluateCountReachTarget
6,1469
Repeat,FitnessEvaluateCountReachTarget
7,1259
Repeat,FitnessEvaluateCountReachTarget
8,809
Repeat,FitnessEvaluateCountReachTarget
9,1319
Repeat,FitnessEvaluateCountReachTarget
10,1349
Repeat,FitnessEvaluateCountReachTarget
11,1139
Repeat,FitnessEvaluateCountReachTarget
12,2669
Repeat,FitnessEvaluateCountReachTarget
13,1079
Repeat,FitnessEvaluateCountReachTarget
14,1109
Repeat,FitnessEvaluateCountReachTarget
15,1439
Repeat,FitnessEvaluateCountReachTarget
16,839
Repeat,FitnessEvaluateCountReachTarget
17,2158
Repeat,FitnessEvaluateCountReachTarget
18,1589
Repeat,FitnessEvaluateCountReachTarget
19,1199
Repeat,FitnessEvaluateCountReachTarget
20,1109
Repeat,FitnessEvaluateCountReachTarget
21,1529
Repeat,FitnessEvaluateCountReachTarget
22,1049
Repeat,FitnessEvaluateCountReachTarget
23,1348
Repeat,FitnessEvaluateCountReachTarget
24,1979
Repeat,FitnessEvaluateCountReachTarget
25,1109
Repeat,FitnessEvaluateCountReachTarget
26,2459
Repeat,FitnessEvaluateCountReachTarget
27,1859
Repeat,FitnessEvaluateCountReachTarget
28,1049
Repeat,FitnessEvaluateCountReachTarget
29,1349
Repeat,FitnessEvaluateCountReachTarget
30,1439
Repeat,FitnessEvaluateCountReachTarget
31,1289
Repeat,FitnessEvaluateCountReachTarget
32,839
Repeat,FitnessEvaluateCountReachTarget
33,1168
Repeat,FitnessEvaluateCountReachTarget
34,1469
Repeat,FitnessEvaluateCountReachTarget
35,2399
Repeat,FitnessEvaluateCountReachTarget
36,928
Repeat,FitnessEvaluateCountReachTarget
37,1199
Repeat,FitnessEvaluateCountReachTarget
38,1019
Repeat,FitnessEvaluateCountReachTarget
39,2099
Repeat,FitnessEvaluateCountReachTarget
40,1319
Repeat,FitnessEvaluateCountReachTarget
41,809
Repeat,FitnessEvaluateCountReachTarget
42,2189
Repeat,FitnessEvaluateCountReachTarget
43,1289
Repeat,FitnessEvaluateCountReachTarget
44,1259
Repeat,FitnessEvaluateCountReachTarget
45,1829
Repeat,FitnessEvaluateCountReachTarget
46,1199
Repeat,FitnessEvaluateCountReachTarget
47,749
Repeat,FitnessEvaluateCountReachTarget
48,1229
Repeat,FitnessEvaluateCountReachTarget
49,1379
Repeat,FitnessEvaluateCountReachTarget
50,779
Repeat,FitnessEvaluateCountReachTarget
51,779
Repeat,FitnessEvaluateCountReachTarget
52,2248
Repeat,FitnessEvaluateCountReachTarget
53,929
Repeat,FitnessEvaluateCountReachTarget
54,1169
Repeat,FitnessEvaluateCountReachTarget
55,2159
Repeat,FitnessEvaluateCountReachTarget
56,1859
Repeat,FitnessEvaluateCountReachTarget
57,2009
Repeat,FitnessEvaluateCountReachTarget
58,1559
Repeat,FitnessEvaluateCountReachTarget
59,1049
Repeat,FitnessEvaluateCountReachTarget
60,1079
Repeat,FitnessEvaluateCountReachTarget
61,929
Repeat,FitnessEvaluateCountReachTarget
62,1049
Repeat,FitnessEvaluateCountReachTarget
63,3779
Repeat,FitnessEvaluateCountReachTarget
64,958
Repeat,FitnessEvaluateCountReachTarget
65,1529
Repeat,FitnessEvaluateCountReachTarget
66,1169
Repeat,FitnessEvaluateCountReachTarget
67,959
Repeat,FitnessEvaluateCountReachTarget
68,929
Repeat,FitnessEvaluateCountReachTarget
69,1079
Repeat,FitnessEvaluateCountReachTarget
70,839
Repeat,FitnessEvaluateCountReachTarget
71,1199
Repeat,FitnessEvaluateCountReachTarget
72,1079
Repeat,FitnessEvaluateCountReachTarget
73,1769
Repeat,FitnessEvaluateCountReachTarget
74,1319
Repeat,FitnessEvaluateCountReachTarget
75,1349
Repeat,FitnessEvaluateCountReachTarget
76,3089
Repeat,FitnessEvaluateCountReachTarget
77,1199
Repeat,FitnessEvaluateCountReachTarget
78,959
Repeat,FitnessEvaluateCountReachTarget
79,1289
Repeat,FitnessEvaluateCountReachTarget
80,1259
Repeat,FitnessEvaluateCountReachTarget
81,1349
Repeat,FitnessEvaluateCountReachTarget
82,869
Repeat,FitnessEvaluateCountReachTarget
83,1319
Repeat,FitnessEvaluateCountReachTarget
84,1226
Repeat,FitnessEvaluateCountReachTarget
85,1169
Repeat,FitnessEvaluateCountReachTarget
86,2129
Repeat,FitnessEvaluateCountReachTarget
87,2339
Repeat,FitnessEvaluateCountReachTarget
88,1679
Repeat,FitnessEvaluateCountReachTarget
89,1199
Repeat,FitnessEvaluateCountReachTarget
90,1198
Repeat,FitnessEvaluateCountReachTarget
91,1529
Repeat,FitnessEvaluateCountReachTarget
92,1979
Repeat,FitnessEvaluateCountReachTarget
93,1229
Repeat,FitnessEvaluateCountReachTarget
94,928
Repeat,FitnessEvaluateCountReachTarget
95,2639
Repeat,FitnessEvaluateCountReachTarget
96,1138
Repeat,FitnessEvaluateCountReachTarget
97,1649
Repeat,FitnessEvaluateCountReachTarget
98,1139
Repeat,FitnessEvaluateCountReachTarget
99,929
