Repeat,Generation,X1,F(x)
0,0,000000101110110110111111000111111010010001000111101000001001111011000110010111101011001011100011000111100111000100000110,80,
0,10,011011101110110110111111000111111110101000101011101000011001111011000110110111101011001111101111000111100111000111110101,90,
0,20,111011101110111110111101000111111111111000111011111000011000111011000111100111101111001111101111000111100111111111110101,98,
0,30,111011101111111111111101000111101111111000111111111000011000111011000111100111111111000111101111000111100111111111111101,103,
0,40,111011101111111111111101000111111111111000111111111000111000111011000111100111111111000111111111000111100111111111111101,106,
0,50,111011101111111111111111000111111111111000111111111000111100111011000111000111111111000111111111000111100111111111111111,108,
0,60,111011111111111111111111000111111111111000111111111000111100111111000111000111111111000111111111000111000111111111111111,110,
0,70,111011111111111111111111000111111111111000111111111000111100111111000110000111111111000111111111000111000111111111111111,110,
0,80,111011111111111111111111000111111111111000111111111000111110111111000110000111111111101111111111000111001111111111111111,110,
0,90,111011111111111111111111000111111111111000111111111000111110111111000110000111111111101111111111000111001111111111111111,110,
0,100,111111111111111111111111000111111111111000111111111000111110111111000110000111111111101111111111000111001111111111111111,111,
0,110,111111111111111111111111000111111111111000111111111000111110111111000110000111111111101111111111000111001111111111111111,111,
0,120,111111111111111111111111000111111111111000111111111000111110111111000110000111111111111111111111000111001111111111111111,112,
0,130,111111111111111111111111000111111111111000111111111000111110111111000110000111111111111111111111000111001111111111111111,112,
0,140,111111111111111111111111000111111111111000111111111000111111111111000110000111111111111111111111000111001111111111111111,112,
0,150,111111111111111111111111000111111111111000111111111000111111111111000100000111111111111111111111000111001111111111111111,112,
0,160,111111111111111111111111000111111111111000111111111000111111111111000110000111111111111111111111000111000111111111111111,112,
0,170,111111111111111111111111000111111111111000111111111001111111111111000110000111101111111111111111000111001111111111111111,111,
0,180,111111111111111111111111000111111111111000111111111001111111111111000110000111111111111111111111000111001111111111111111,112,
0,190,111111111111111111111111000111111111111000111111111001111111111111000110000111111111111111111111000111000111111111111111,112,
0,200,111111111111111111111111000111111111111000111111111011111111111111000110000111111111111111111111000111000111111111111111,113,
0,210,111111111111111111111111000111111111111000111111111011111111111111000110000111111111111111111111000111000111111111111111,113,
0,220,111111111111111111111111000011111111111000111111111111111111111111000110000111111111111111111111000110000111111111111111,113,
0,230,111111111111111111111111000011111111111000111111111111111111111111000110000111111111111111111111000110000111111111111111,113,
0,240,111111111111111111111111000011111111111000111111111111111111111111000110000111111111111111111111000111000111111111111111,113,
0,250,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000111111111111111,114,
0,260,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000111111111111111,114,
0,270,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000111000111111111111101,113,
0,280,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111110111111000110000111111111111111,113,
0,290,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000110111111111111,113,
0,300,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000101111111111111,113,
0,310,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000111111111111111,114,
0,320,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000111111111111111,114,
0,330,111111110111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000111111111111111,113,
0,340,111111111111111111111111000111111111111000111111111111111111111111000111000111111111111111111111000111000111110111111111,113,
0,350,111111111111111111111111000111111111111000111111111111111111111111000111001111111111111111111111000110000111111111111111,114,
0,360,111111111111111111111111000111111111111000111111111111111111111111000111100111111111111111111111000110000111111111111111,114,
0,370,111111111111111111111111000111111111111000111111111111111111111111000111100111111111111111111111000100000111111111111111,114,
0,380,111111111111111111111111000111111111111000111111111111111111111111000111100111111111111111111111000110000111111111111111,114,
0,390,111111111111111111111111000111111111111000111111111111111111111111000111100111111111111111111111000110000111111111111111,114,
0,400,111111111111111111111111000111111111111000111111111111111111111111000111100111111111111111111111000110000111111111111111,114,
0,410,111111111111111111111111000111111111111000111111111111111111111111000111100111111111111111111111000110000111111111111111,114,
0,420,111111111111111111111111000111111111111000111111111111111111111111000111110111111111111111111111000110000111111111111111,114,
0,430,111111111111111111111111000111111111111000111111111111111111111111000111000111111111111111111111000110000111111111111111,114,
0,440,111111111111111111111111000111111111111000111111111111111111111111000111000111111111111111111111000110000111111111111111,114,
0,450,111111111111111111111111000111111111111000111111111111111111111111000111000111111111111111111111000110000111111111111111,114,
0,460,111111111111111111111111000111111111111000111111111111111111111111000111000111111111111111111111110111001111111111111111,114,
0,470,111111111111111111111111000110111111111000111111111111111111111111000111000111111111111111111111000111000111111111111111,113,
0,480,111111111111111111111111000111111111111000111111111111111111111111000110000111111111111111111111000110000111111111111111,114,
0,490,111111111111111111111111000111111111111000111111111111111111111111000110000111111111111111111111000110000111111111111111,114,
0,500,111111111111111111111111000111111111111000111111111111111111111111000110000111111111111111111111000110000111111111111111,114,
Repeat,Generation,X1,F(x)
1,0,111111000000110111011001111111111000100010110010101110111100001110111110101011110101001110110011101010000111011010001110,79,
1,10,000111110101011111001001111111111111000111001111101110111000011000111110111011110011111110111000111110110111111011101111,95,
1,20,000111110101011111111101111111111111000111001111101111111010011000111111111011111111111110111000111111110111110011111111,102,
1,30,000111110000111111111101111111111111000111001111100111111000011000111111111111111111111110111000111111110111111111111111,106,
1,40,000111111000111111111101111111111111000111001111111111111000011000111111111111111111111110111000111111111111111111111111,110,
1,50,000111111000111111111101111111111111000111001111111111111101111000111111111111111111111111111000111111111111111111111111,112,
1,60,000111111000111111111111111111111111000111001111111111111101111000111111111111111111111111111000111111111111111111111111,113,
1,70,000111111000111111111111111111111111000111000111111111111111111000111111111111111111111111111000111111111111111111111111,114,
1,80,000111111000111111111111111111111111000111001111111111111111111000111111111111111111111111111000111111111111111111111111,114,
1,90,000111111000111111111111111111111111000111001111111111111111111000111111111111111111111111111000111111111111111111111111,114,
1,100,000111111000111111111111111111111111000111001111111111111111111000111111111111111111111111111000111111111111111111111111,114,
1,110,000111111000111111111111111111111111000111000111111111111111111000111111111111111111111111111000111111111111111111111111,114,
1,120,000111111000111111111111111111111111000111100111111111111111111000111111111111111111111111111000111111111111111111111111,114,
1,130,000111111000111111111111111111111111000111001111111111111111111000111111111111111111111111111000111111111111111111111111,114,
