Repeat,Generation,X1,F(x)
0,0,010001000000101001101101001010110010000001001100001100100110,38,
0,10,000000000000000000000000100011000100000000000000000000001000,56,
0,20,000000000000000000000000000000000000000000000000000000000000,60,
0,30,000000000000000000000000000000000000000000000000000000000000,60,
0,40,000000000000000000000000000000000000000000000000000000000000,60,
0,50,000000000000000000000000000000000000000000000000000000000000,60,
0,60,000000000000000000000000000000000000000000000000000000000000,60,
0,70,000000000000000000000000000000000000000000000000000000000000,60,
0,80,000000000000000000000000000000000000000000000000000000000000,60,
0,90,000000000000000000000000000000000000000000000000000000000000,60,
0,100,000000000000000000000000000000000000000000000000000000000000,60,
0,110,000000000000000000000000000000000000000000000000000000000000,60,
0,120,000000000000000000000000000000000000000000000000000000000000,60,
0,130,000000000000000000000000000000000000000000000000000000000000,60,
0,140,000000000000000000000000000000000000000000000000000000000000,60,
0,150,000000000000000000000000000000000000000000000000000000000000,60,
0,160,000000000000000000000000000000000000000000000000000000000000,60,
0,170,000000000000000000000000000000000000000000000000000000000000,60,
0,180,000000000000000000000000000000000000000000000000000000000000,60,
0,190,000000000000000000000000000000000000000000000000000000000000,60,
0,200,000000000000000000000000000000000000000000000000000000000000,60,
0,210,000000000000000000000000000000000000000000000000000000000000,60,
0,220,000000000000000000000000000000000000000000000000000000000000,60,
0,230,000000000000000000000000000000000000000000000000000000000000,60,
0,240,000000000000000000000000000000000000000000000000000000000000,60,
0,250,000000000000000000000000000000000000000000000000000000000000,60,
0,260,000000000000000000000000000000000000000000000000000000000000,60,
0,270,000000000000000000000000000000000000000000000000000000000000,60,
0,280,000000000000000000000000000000000000000000000000000000000000,60,
0,290,000000000000000000000000000000000000000000000000000000000000,60,
0,300,000000000000000000000000000000000000000000000000000000000000,60,
0,310,000000000000000000000000000000000000000000000000000000000000,60,
0,320,000000000000000000000000000000000000000000000000000000000000,60,
0,330,000000000000000000000000000000000000000000000000000000000000,60,
0,340,000000000000000000000000000000000000000000000000000000000000,60,
0,350,000000000000000000000000000000000000000000000000000000000000,60,
0,360,000000000000000000000000000000000000000000000000000000000000,60,
0,370,000000000000000000000000000000000000000000000000000000000000,60,
0,380,000000000000000000000000000000000000000000000000000000000000,60,
0,390,000000000000000000000000000000000000000000000000000000000000,60,
0,400,000000000000000000000000000000000000000000000000000000000000,60,
0,410,000000000000000000000000000000000000000000000000000000000000,60,
0,420,000000000000000000000000000000000000000000000000000000000000,60,
0,430,000000000000000000000000000000000000000000000000000000000000,60,
0,440,000000000000000000000000000000000000000000000000000000000000,60,
0,450,000000000000000000000000000000000000000000000000000000000000,60,
0,460,000000000000000000000000000000000000000000000000000000000000,60,
0,470,000000000000000000000000000000000000000000000000000000000000,60,
0,480,000000000000000000000000000000000000000000000000000000000000,60,
0,490,000000000000000000000000000000000000000000000000000000000000,60,
0,500,000000000000000000000000000000000000000000000000000000000000,60,
Repeat,Generation,X1,F(x)
1,0,011000000001000101000000001010110000010001011001111100110011,38,
1,10,000010000100000000100000000100000000000000001000000001000000,54,
1,20,000000000000000001000000000000000000000000000000000000000000,59,
1,30,000000000000000000000000000000000000000000000000000000000000,60,
1,40,000000000000000000000000000000000000000000000000000000000000,60,
1,50,000000000000000000000000000000000000000000000000000000000000,60,
1,60,000000000000000000000000000000000000000000000000000000000000,60,
1,70,000000000000000000000000000000000000000000000000000000000000,60,
1,80,000000000000000000000000000000000000000000000000000000000000,60,
1,90,000000000000000000000000000000000000000000000000000000000000,60,
1,100,000000000000000000000000000000000000000000000000000000000000,60,
1,110,000000000000000000000000000000000000000000000000000000000000,60,
1,120,000000000000000000000000000000000000000000000000000000000000,60,
1,130,000000000000000000000000000000000000000000000000000000000000,60,
1,140,000000000000000000000000000000000000000000000000000000000000,60,
1,150,000000000000000000000000000000000000000000000000000000000000,60,
1,160,000000000000000000000000000000000000000000000000000000000000,60,
1,170,000000000000000000000000000000000000000000000000000000000000,60,
1,180,000000000000000000000000000000000000000000000000000000000000,60,
1,190,000000000000000000000000000000000000000000000000000000000000,60,
1,200,000000000000000000000000000000000000000000000000000000000000,60,
1,210,000000000000000000000000000000000000000000000000000000000000,60,
1,220,000000000000000000000000000000000000000000000000000000000000,60,
1,230,000000000000000000000000000000000000000000000000000000000000,60,
1,240,000000000000000000000000000000000000000000000000000000000000,60,
1,250,000000000000000000000000000000000000000000000000000000000000,60,
1,260,000000000000000000000000000000000000000000000000000000000000,60,
1,270,000000000000000000000000000000000000000000000000000000000000,60,
1,280,000000000000000000000000000000000000000000000000000000000000,60,
1,290,000000000000000000000000000000000000000000000000000000000000,60,
1,300,000000000000000000000000000000000000000000000000000000000000,60,
1,310,000000000000000000000000000000000000000000000000000000000000,60,
1,320,000000000000000000000000000000000000000000000000000000000000,60,
1,330,000000000000000000000000000000000000000000000000000000000000,60,
1,340,000000000000000000000000000000000000000000000000000000000000,60,
1,350,000000000000000000000000000000000000000000000000000000000000,60,
1,360,000000000000000000000000000000000000000000000000000000000000,60,
1,370,000000000000000000000000000000000000000000000000000000000000,60,
1,380,000000000000000000000000000000000000000000000000000000000000,60,
1,390,000000000000000000000000000000000000000000000000000000000000,60,
1,400,000000000000000000000000000000000000000000000000000000000000,60,
1,410,000000000000000000000000000000000000000000000000000000000000,60,
1,420,000000000000000000000000000000000000000000000000000000000000,60,
1,430,000000000000000000000000000000000000000000000000000000000000,60,
1,440,000000000000000000000000000000000000000000000000000000000000,60,
1,450,000000000000000000000000000000000000000000000000000000000000,60,
1,460,000000000000000000000000000000000000000000000000000000000000,60,
1,470,000000000000000000000000000000000000000000000000000000000000,60,
1,480,000000000000000000000000000000000000000000000000000000000000,60,
1,490,000000000000000000000000000000000000000000000000000000000000,60,
1,500,000000000000000000000000000000000000000000000000000000000000,60,
Repeat,Generation,X1,F(x)
2,0,000001000010010101000000010001010100101111110100100101001011,37,
2,10,000000000001001000000000010000000000000000101000010100100000,52,
2,20,000000000000000000000000000000000000000000000000000000000000,60,
2,30,000000000000000000000000000000000000000000000000000000000000,60,
2,40,000000000000000000000000000000000000000000000000000000000000,60,
2,50,000000000000000000000000000000000000000000000000000000000000,60,
2,60,000000000000000000000000000000000000000000000000000000000000,60,
2,70,000000000000000000000000000000000000000000000000000000000000,60,
2,80,000000000000000000000000000000000000000000000000000000000000,60,
2,90,000000000000000000000000000000000000000000000000000000000000,60,
2,100,000000000000000000000000000000000000000000000000000000000000,60,
2,110,000000000000000000000000000000000000000000000000000000000000,60,
2,120,000000000000000000000000000000000000000000000000000000000000,60,
2,130,000000000000000000000000000000000000000000000000000000000000,60,
2,140,000000000000000000000000000000000000000000000000000000000000,60,
2,150,000000000000000000000000000000000000000000000000000000000000,60,
2,160,000000000000000000000000000000000000000000000000000000000000,60,
2,170,000000000000000000000000000000000000000000000000000000000000,60,
2,180,000000000000000000000000000000000000000000000000000000000000,60,
2,190,000000000000000000000000000000000000000000000000000000000000,60,
2,200,000000000000000000000000000000000000000000000000000000000000,60,
2,210,000000000000000000000000000000000000000000000000000000000000,60,
2,220,000000000000000000000000000000000000000000000000000000000000,60,
2,230,000000000000000000000000000000000000000000000000000000000000,60,
2,240,000000000000000000000000000000000000000000000000000000000000,60,
2,250,000000000000000000000000000000000000000000000000000000000000,60,
2,260,000000000000000000000000000000000000000000000000000000000000,60,
2,270,000000000000000000000000000000000000000000000000000000000000,60,
2,280,000000000000000000000000000000000000000000000000000000000000,60,
2,290,000000000000000000000000000000000000000000000000000000000000,60,
2,300,000000000000000000000000000000000000000000000000000000000000,60,
2,310,000000000000000000000000000000000000000000000000000000000000,60,
2,320,000000000000000000000000000000000000000000000000000000000000,60,
2,330,000000000000000000000000000000000000000000000000000000000000,60,
2,340,000000000000000000000000000000000000000000000000000000000000,60,
2,350,000000000000000000000000000000000000000000000000000000000000,60,
2,360,000000000000000000000000000000000000000000000000000000000000,60,
2,370,000000000000000000000000000000000000000000000000000000000000,60,
2,380,000000000000000000000000000000000000000000000000000000000000,60,
2,390,000000000000000000000000000000000000000000000000000000000000,60,
2,400,000000000000000000000000000000000000000000000000000000000000,60,
2,410,000000000000000000000000000000000000000000000000000000000000,60,
2,420,000000000000000000000000000000000000000000000000000000000000,60,
2,430,000000000000000000000000000000000000000000000000000000000000,60,
2,440,000000000000000000000000000000000000000000000000000000000000,60,
2,450,000000000000000000000000000000000000000000000000000000000000,60,
2,460,000000000000000000000000000000000000000000000000000000000000,60,
2,470,000000000000000000000000000000000000000000000000000000000000,60,
2,480,000000000000000000000000000000000000000000000000000000000000,60,
2,490,000000000000000000000000000000000000000000000000000000000000,60,
2,500,000000000000000000000000000000000000000000000000000000000000,60,
Repeat,Generation,X1,F(x)
3,0,100111010010000011001110101000101101001110010000010101100001,35,
3,10,000000000000000100101000001000001001000000101100000001000000,50,
3,20,000000000000000000000000000000000000000000000000000000000000,60,
3,30,000000000000000000000000000000000000000000000000000000000000,60,
3,40,000000000000000000000000000000000000000000000000000000000000,60,
3,50,000000000000000000000000000000000000000000000000000000000000,60,
3,60,000000000000000000000000000000000000000000000000000000000000,60,
3,70,000000000000000000000000000000000000000000000000000000000000,60,
3,80,000000000000000000000000000000000000000000000000000000000000,60,
3,90,000000000000000000000000000000000000000000000000000000000000,60,
3,100,000000000000000000000000000000000000000000000000000000000000,60,
3,110,000000000000000000000000000000000000000000000000000000000000,60,
3,120,000000000000000000000000000000000000000000000000000000000000,60,
3,130,000000000000000000000000000000000000000000000000000000000000,60,
3,140,000000000000000000000000000000000000000000000000000000000000,60,
3,150,000000000000000000000000000000000000000000000000000000000000,60,
