Repeat,FitnessEvaluateCountReachTarget
0,719
Repeat,FitnessEvaluateCountReachTarget
1,959
Repeat,FitnessEvaluateCountReachTarget
2,718
Repeat,FitnessEvaluateCountReachTarget
3,719
Repeat,FitnessEvaluateCountReachTarget
4,794
Repeat,FitnessEvaluateCountReachTarget
5,796
Repeat,FitnessEvaluateCountReachTarget
6,80080
Repeat,FitnessEvaluateCountReachTarget
7,795
Repeat,FitnessEvaluateCountReachTarget
8,639
Repeat,FitnessEvaluateCountReachTarget
9,719
Repeat,FitnessEvaluateCountReachTarget
10,713
Repeat,FitnessEvaluateCountReachTarget
11,639
Repeat,FitnessEvaluateCountReachTarget
12,80080
Repeat,FitnessEvaluateCountReachTarget
13,1036
Repeat,FitnessEvaluateCountReachTarget
14,639
Repeat,FitnessEvaluateCountReachTarget
15,639
Repeat,FitnessEvaluateCountReachTarget
16,639
Repeat,FitnessEvaluateCountReachTarget
17,558
Repeat,FitnessEvaluateCountReachTarget
18,637
Repeat,FitnessEvaluateCountReachTarget
19,719
Repeat,FitnessEvaluateCountReachTarget
20,718
Repeat,FitnessEvaluateCountReachTarget
21,796
Repeat,FitnessEvaluateCountReachTarget
22,715
Repeat,FitnessEvaluateCountReachTarget
23,718
Repeat,FitnessEvaluateCountReachTarget
24,798
Repeat,FitnessEvaluateCountReachTarget
25,639
Repeat,FitnessEvaluateCountReachTarget
26,794
Repeat,FitnessEvaluateCountReachTarget
27,877
Repeat,FitnessEvaluateCountReachTarget
28,638
Repeat,FitnessEvaluateCountReachTarget
29,639
Repeat,FitnessEvaluateCountReachTarget
30,719
Repeat,FitnessEvaluateCountReachTarget
31,717
Repeat,FitnessEvaluateCountReachTarget
32,639
Repeat,FitnessEvaluateCountReachTarget
33,80080
Repeat,FitnessEvaluateCountReachTarget
34,639
Repeat,FitnessEvaluateCountReachTarget
35,799
Repeat,FitnessEvaluateCountReachTarget
36,639
Repeat,FitnessEvaluateCountReachTarget
37,718
Repeat,FitnessEvaluateCountReachTarget
38,638
Repeat,FitnessEvaluateCountReachTarget
39,955
Repeat,FitnessEvaluateCountReachTarget
40,796
Repeat,FitnessEvaluateCountReachTarget
41,635
Repeat,FitnessEvaluateCountReachTarget
42,878
Repeat,FitnessEvaluateCountReachTarget
43,719
Repeat,FitnessEvaluateCountReachTarget
44,639
Repeat,FitnessEvaluateCountReachTarget
45,80080
Repeat,FitnessEvaluateCountReachTarget
46,638
Repeat,FitnessEvaluateCountReachTarget
47,719
Repeat,FitnessEvaluateCountReachTarget
48,559
Repeat,FitnessEvaluateCountReachTarget
49,879
Repeat,FitnessEvaluateCountReachTarget
50,799
Repeat,FitnessEvaluateCountReachTarget
51,795
Repeat,FitnessEvaluateCountReachTarget
52,639
Repeat,FitnessEvaluateCountReachTarget
53,639
Repeat,FitnessEvaluateCountReachTarget
54,80080
Repeat,FitnessEvaluateCountReachTarget
55,719
Repeat,FitnessEvaluateCountReachTarget
56,639
Repeat,FitnessEvaluateCountReachTarget
57,718
Repeat,FitnessEvaluateCountReachTarget
58,639
Repeat,FitnessEvaluateCountReachTarget
59,717
Repeat,FitnessEvaluateCountReachTarget
60,719
Repeat,FitnessEvaluateCountReachTarget
61,1037
Repeat,FitnessEvaluateCountReachTarget
62,799
Repeat,FitnessEvaluateCountReachTarget
63,719
Repeat,FitnessEvaluateCountReachTarget
64,638
Repeat,FitnessEvaluateCountReachTarget
65,799
Repeat,FitnessEvaluateCountReachTarget
66,637
Repeat,FitnessEvaluateCountReachTarget
67,878
Repeat,FitnessEvaluateCountReachTarget
68,799
Repeat,FitnessEvaluateCountReachTarget
69,479
Repeat,FitnessEvaluateCountReachTarget
70,878
Repeat,FitnessEvaluateCountReachTarget
71,719
Repeat,FitnessEvaluateCountReachTarget
72,638
Repeat,FitnessEvaluateCountReachTarget
73,875
Repeat,FitnessEvaluateCountReachTarget
74,719
Repeat,FitnessEvaluateCountReachTarget
75,559
Repeat,FitnessEvaluateCountReachTarget
76,799
Repeat,FitnessEvaluateCountReachTarget
77,799
Repeat,FitnessEvaluateCountReachTarget
78,718
Repeat,FitnessEvaluateCountReachTarget
79,558
Repeat,FitnessEvaluateCountReachTarget
80,638
Repeat,FitnessEvaluateCountReachTarget
81,958
Repeat,FitnessEvaluateCountReachTarget
82,718
Repeat,FitnessEvaluateCountReachTarget
83,718
Repeat,FitnessEvaluateCountReachTarget
84,718
Repeat,FitnessEvaluateCountReachTarget
85,479
Repeat,FitnessEvaluateCountReachTarget
86,637
Repeat,FitnessEvaluateCountReachTarget
87,638
Repeat,FitnessEvaluateCountReachTarget
88,639
Repeat,FitnessEvaluateCountReachTarget
89,877
Repeat,FitnessEvaluateCountReachTarget
90,879
Repeat,FitnessEvaluateCountReachTarget
91,719
Repeat,FitnessEvaluateCountReachTarget
92,713
Repeat,FitnessEvaluateCountReachTarget
93,639
Repeat,FitnessEvaluateCountReachTarget
94,717
Repeat,FitnessEvaluateCountReachTarget
95,639
Repeat,FitnessEvaluateCountReachTarget
96,799
Repeat,FitnessEvaluateCountReachTarget
97,639
Repeat,FitnessEvaluateCountReachTarget
98,719
Repeat,FitnessEvaluateCountReachTarget
99,798
