Repeat,FitnessEvaluateCountReachTarget
0,2189
Repeat,FitnessEvaluateCountReachTarget
1,2309
Repeat,FitnessEvaluateCountReachTarget
2,1799
Repeat,FitnessEvaluateCountReachTarget
3,2969
Repeat,FitnessEvaluateCountReachTarget
4,2789
Repeat,FitnessEvaluateCountReachTarget
5,3269
Repeat,FitnessEvaluateCountReachTarget
6,1769
Repeat,FitnessEvaluateCountReachTarget
7,1829
Repeat,FitnessEvaluateCountReachTarget
8,3059
Repeat,FitnessEvaluateCountReachTarget
9,3749
Repeat,FitnessEvaluateCountReachTarget
10,1679
Repeat,FitnessEvaluateCountReachTarget
11,1649
Repeat,FitnessEvaluateCountReachTarget
12,2549
Repeat,FitnessEvaluateCountReachTarget
13,1919
Repeat,FitnessEvaluateCountReachTarget
14,4949
Repeat,FitnessEvaluateCountReachTarget
15,2129
Repeat,FitnessEvaluateCountReachTarget
16,2999
Repeat,FitnessEvaluateCountReachTarget
17,1859
Repeat,FitnessEvaluateCountReachTarget
18,1648
Repeat,FitnessEvaluateCountReachTarget
19,1529
Repeat,FitnessEvaluateCountReachTarget
20,1469
Repeat,FitnessEvaluateCountReachTarget
21,1738
Repeat,FitnessEvaluateCountReachTarget
22,3689
Repeat,FitnessEvaluateCountReachTarget
23,1859
Repeat,FitnessEvaluateCountReachTarget
24,2729
Repeat,FitnessEvaluateCountReachTarget
25,2129
Repeat,FitnessEvaluateCountReachTarget
26,1469
Repeat,FitnessEvaluateCountReachTarget
27,1739
Repeat,FitnessEvaluateCountReachTarget
28,1618
Repeat,FitnessEvaluateCountReachTarget
29,1319
Repeat,FitnessEvaluateCountReachTarget
30,1709
Repeat,FitnessEvaluateCountReachTarget
31,1859
Repeat,FitnessEvaluateCountReachTarget
32,2039
Repeat,FitnessEvaluateCountReachTarget
33,1978
Repeat,FitnessEvaluateCountReachTarget
34,4889
Repeat,FitnessEvaluateCountReachTarget
35,2969
Repeat,FitnessEvaluateCountReachTarget
36,1769
Repeat,FitnessEvaluateCountReachTarget
37,1679
Repeat,FitnessEvaluateCountReachTarget
38,2429
Repeat,FitnessEvaluateCountReachTarget
39,1559
Repeat,FitnessEvaluateCountReachTarget
40,2549
Repeat,FitnessEvaluateCountReachTarget
41,2309
Repeat,FitnessEvaluateCountReachTarget
42,2459
Repeat,FitnessEvaluateCountReachTarget
43,2069
Repeat,FitnessEvaluateCountReachTarget
44,1799
Repeat,FitnessEvaluateCountReachTarget
45,1559
Repeat,FitnessEvaluateCountReachTarget
46,2547
Repeat,FitnessEvaluateCountReachTarget
47,2189
Repeat,FitnessEvaluateCountReachTarget
48,3508
Repeat,FitnessEvaluateCountReachTarget
49,2129
Repeat,FitnessEvaluateCountReachTarget
50,2218
Repeat,FitnessEvaluateCountReachTarget
51,3689
Repeat,FitnessEvaluateCountReachTarget
52,2279
Repeat,FitnessEvaluateCountReachTarget
53,1559
Repeat,FitnessEvaluateCountReachTarget
54,5549
Repeat,FitnessEvaluateCountReachTarget
55,1589
Repeat,FitnessEvaluateCountReachTarget
56,1889
Repeat,FitnessEvaluateCountReachTarget
57,2159
Repeat,FitnessEvaluateCountReachTarget
58,3449
Repeat,FitnessEvaluateCountReachTarget
59,2849
Repeat,FitnessEvaluateCountReachTarget
60,1619
Repeat,FitnessEvaluateCountReachTarget
61,2639
Repeat,FitnessEvaluateCountReachTarget
62,2429
Repeat,FitnessEvaluateCountReachTarget
63,2578
Repeat,FitnessEvaluateCountReachTarget
64,1738
Repeat,FitnessEvaluateCountReachTarget
65,1859
Repeat,FitnessEvaluateCountReachTarget
66,1619
Repeat,FitnessEvaluateCountReachTarget
67,2879
Repeat,FitnessEvaluateCountReachTarget
68,5999
Repeat,FitnessEvaluateCountReachTarget
69,2699
Repeat,FitnessEvaluateCountReachTarget
70,5038
Repeat,FitnessEvaluateCountReachTarget
71,2039
Repeat,FitnessEvaluateCountReachTarget
72,3389
Repeat,FitnessEvaluateCountReachTarget
73,2038
Repeat,FitnessEvaluateCountReachTarget
74,1948
Repeat,FitnessEvaluateCountReachTarget
75,1829
Repeat,FitnessEvaluateCountReachTarget
76,2879
Repeat,FitnessEvaluateCountReachTarget
77,4529
Repeat,FitnessEvaluateCountReachTarget
78,2489
Repeat,FitnessEvaluateCountReachTarget
79,1438
Repeat,FitnessEvaluateCountReachTarget
80,2609
Repeat,FitnessEvaluateCountReachTarget
81,1739
Repeat,FitnessEvaluateCountReachTarget
82,2129
Repeat,FitnessEvaluateCountReachTarget
83,2039
Repeat,FitnessEvaluateCountReachTarget
84,1469
Repeat,FitnessEvaluateCountReachTarget
85,4499
Repeat,FitnessEvaluateCountReachTarget
86,3179
Repeat,FitnessEvaluateCountReachTarget
87,1499
Repeat,FitnessEvaluateCountReachTarget
88,1439
Repeat,FitnessEvaluateCountReachTarget
89,1469
Repeat,FitnessEvaluateCountReachTarget
90,1949
Repeat,FitnessEvaluateCountReachTarget
91,2489
Repeat,FitnessEvaluateCountReachTarget
92,1739
Repeat,FitnessEvaluateCountReachTarget
93,1349
Repeat,FitnessEvaluateCountReachTarget
94,2489
Repeat,FitnessEvaluateCountReachTarget
95,2519
Repeat,FitnessEvaluateCountReachTarget
96,2849
Repeat,FitnessEvaluateCountReachTarget
97,1979
Repeat,FitnessEvaluateCountReachTarget
98,2279
Repeat,FitnessEvaluateCountReachTarget
99,2129
