Repeat,FitnessEvaluateCountReachTarget
0,329
Repeat,FitnessEvaluateCountReachTarget
1,419
Repeat,FitnessEvaluateCountReachTarget
2,329
Repeat,FitnessEvaluateCountReachTarget
3,449
Repeat,FitnessEvaluateCountReachTarget
4,507
Repeat,FitnessEvaluateCountReachTarget
5,299
Repeat,FitnessEvaluateCountReachTarget
6,269
Repeat,FitnessEvaluateCountReachTarget
7,417
Repeat,FitnessEvaluateCountReachTarget
8,268
Repeat,FitnessEvaluateCountReachTarget
9,238
Repeat,FitnessEvaluateCountReachTarget
10,357
Repeat,FitnessEvaluateCountReachTarget
11,299
Repeat,FitnessEvaluateCountReachTarget
12,329
Repeat,FitnessEvaluateCountReachTarget
13,329
Repeat,FitnessEvaluateCountReachTarget
14,328
Repeat,FitnessEvaluateCountReachTarget
15,329
Repeat,FitnessEvaluateCountReachTarget
16,299
Repeat,FitnessEvaluateCountReachTarget
17,328
Repeat,FitnessEvaluateCountReachTarget
18,448
Repeat,FitnessEvaluateCountReachTarget
19,267
Repeat,FitnessEvaluateCountReachTarget
20,299
Repeat,FitnessEvaluateCountReachTarget
21,445
Repeat,FitnessEvaluateCountReachTarget
22,359
Repeat,FitnessEvaluateCountReachTarget
23,419
Repeat,FitnessEvaluateCountReachTarget
24,323
Repeat,FitnessEvaluateCountReachTarget
25,269
Repeat,FitnessEvaluateCountReachTarget
26,359
Repeat,FitnessEvaluateCountReachTarget
27,328
Repeat,FitnessEvaluateCountReachTarget
28,268
Repeat,FitnessEvaluateCountReachTarget
29,449
Repeat,FitnessEvaluateCountReachTarget
30,328
Repeat,FitnessEvaluateCountReachTarget
31,449
Repeat,FitnessEvaluateCountReachTarget
32,359
Repeat,FitnessEvaluateCountReachTarget
33,269
Repeat,FitnessEvaluateCountReachTarget
34,298
Repeat,FitnessEvaluateCountReachTarget
35,209
Repeat,FitnessEvaluateCountReachTarget
36,357
Repeat,FitnessEvaluateCountReachTarget
37,358
Repeat,FitnessEvaluateCountReachTarget
38,239
Repeat,FitnessEvaluateCountReachTarget
39,359
Repeat,FitnessEvaluateCountReachTarget
40,359
Repeat,FitnessEvaluateCountReachTarget
41,358
Repeat,FitnessEvaluateCountReachTarget
42,237
Repeat,FitnessEvaluateCountReachTarget
43,179
Repeat,FitnessEvaluateCountReachTarget
44,269
Repeat,FitnessEvaluateCountReachTarget
45,388
Repeat,FitnessEvaluateCountReachTarget
46,359
Repeat,FitnessEvaluateCountReachTarget
47,269
Repeat,FitnessEvaluateCountReachTarget
48,239
Repeat,FitnessEvaluateCountReachTarget
49,268
Repeat,FitnessEvaluateCountReachTarget
50,178
Repeat,FitnessEvaluateCountReachTarget
51,418
Repeat,FitnessEvaluateCountReachTarget
52,209
Repeat,FitnessEvaluateCountReachTarget
53,269
Repeat,FitnessEvaluateCountReachTarget
54,327
Repeat,FitnessEvaluateCountReachTarget
55,359
Repeat,FitnessEvaluateCountReachTarget
56,509
Repeat,FitnessEvaluateCountReachTarget
57,447
Repeat,FitnessEvaluateCountReachTarget
58,239
Repeat,FitnessEvaluateCountReachTarget
59,329
Repeat,FitnessEvaluateCountReachTarget
60,119
Repeat,FitnessEvaluateCountReachTarget
61,447
Repeat,FitnessEvaluateCountReachTarget
62,299
Repeat,FitnessEvaluateCountReachTarget
63,447
Repeat,FitnessEvaluateCountReachTarget
64,388
Repeat,FitnessEvaluateCountReachTarget
65,389
Repeat,FitnessEvaluateCountReachTarget
66,267
Repeat,FitnessEvaluateCountReachTarget
67,568
Repeat,FitnessEvaluateCountReachTarget
68,329
Repeat,FitnessEvaluateCountReachTarget
69,417
Repeat,FitnessEvaluateCountReachTarget
70,389
Repeat,FitnessEvaluateCountReachTarget
71,449
Repeat,FitnessEvaluateCountReachTarget
72,269
Repeat,FitnessEvaluateCountReachTarget
73,417
Repeat,FitnessEvaluateCountReachTarget
74,389
Repeat,FitnessEvaluateCountReachTarget
75,388
Repeat,FitnessEvaluateCountReachTarget
76,419
Repeat,FitnessEvaluateCountReachTarget
77,449
Repeat,FitnessEvaluateCountReachTarget
78,269
Repeat,FitnessEvaluateCountReachTarget
79,239
Repeat,FitnessEvaluateCountReachTarget
80,358
Repeat,FitnessEvaluateCountReachTarget
81,238
Repeat,FitnessEvaluateCountReachTarget
82,298
Repeat,FitnessEvaluateCountReachTarget
83,359
Repeat,FitnessEvaluateCountReachTarget
84,417
Repeat,FitnessEvaluateCountReachTarget
85,328
Repeat,FitnessEvaluateCountReachTarget
86,209
Repeat,FitnessEvaluateCountReachTarget
87,269
Repeat,FitnessEvaluateCountReachTarget
88,329
Repeat,FitnessEvaluateCountReachTarget
89,387
Repeat,FitnessEvaluateCountReachTarget
90,298
Repeat,FitnessEvaluateCountReachTarget
91,358
Repeat,FitnessEvaluateCountReachTarget
92,239
Repeat,FitnessEvaluateCountReachTarget
93,328
Repeat,FitnessEvaluateCountReachTarget
94,239
Repeat,FitnessEvaluateCountReachTarget
95,299
Repeat,FitnessEvaluateCountReachTarget
96,237
Repeat,FitnessEvaluateCountReachTarget
97,447
Repeat,FitnessEvaluateCountReachTarget
98,419
Repeat,FitnessEvaluateCountReachTarget
99,327
