Repeat,FitnessEvaluateCountReachTarget
0,80080
Repeat,FitnessEvaluateCountReachTarget
1,877
Repeat,FitnessEvaluateCountReachTarget
2,959
Repeat,FitnessEvaluateCountReachTarget
3,1679
Repeat,FitnessEvaluateCountReachTarget
4,1118
Repeat,FitnessEvaluateCountReachTarget
5,799
Repeat,FitnessEvaluateCountReachTarget
6,1039
Repeat,FitnessEvaluateCountReachTarget
7,1359
Repeat,FitnessEvaluateCountReachTarget
8,1194
Repeat,FitnessEvaluateCountReachTarget
9,1038
Repeat,FitnessEvaluateCountReachTarget
10,799
Repeat,FitnessEvaluateCountReachTarget
11,959
Repeat,FitnessEvaluateCountReachTarget
12,879
Repeat,FitnessEvaluateCountReachTarget
13,1038
Repeat,FitnessEvaluateCountReachTarget
14,80080
Repeat,FitnessEvaluateCountReachTarget
15,1038
Repeat,FitnessEvaluateCountReachTarget
16,1279
Repeat,FitnessEvaluateCountReachTarget
17,959
Repeat,FitnessEvaluateCountReachTarget
18,879
Repeat,FitnessEvaluateCountReachTarget
19,956
Repeat,FitnessEvaluateCountReachTarget
20,879
Repeat,FitnessEvaluateCountReachTarget
21,877
Repeat,FitnessEvaluateCountReachTarget
22,719
Repeat,FitnessEvaluateCountReachTarget
23,80080
Repeat,FitnessEvaluateCountReachTarget
24,879
Repeat,FitnessEvaluateCountReachTarget
25,1599
Repeat,FitnessEvaluateCountReachTarget
26,1439
Repeat,FitnessEvaluateCountReachTarget
27,796
Repeat,FitnessEvaluateCountReachTarget
28,1119
Repeat,FitnessEvaluateCountReachTarget
29,799
Repeat,FitnessEvaluateCountReachTarget
30,878
Repeat,FitnessEvaluateCountReachTarget
31,1195
Repeat,FitnessEvaluateCountReachTarget
32,1119
Repeat,FitnessEvaluateCountReachTarget
33,879
Repeat,FitnessEvaluateCountReachTarget
34,80080
Repeat,FitnessEvaluateCountReachTarget
35,1038
Repeat,FitnessEvaluateCountReachTarget
36,1359
Repeat,FitnessEvaluateCountReachTarget
37,797
Repeat,FitnessEvaluateCountReachTarget
38,80080
Repeat,FitnessEvaluateCountReachTarget
39,958
Repeat,FitnessEvaluateCountReachTarget
40,1039
Repeat,FitnessEvaluateCountReachTarget
41,878
Repeat,FitnessEvaluateCountReachTarget
42,80080
Repeat,FitnessEvaluateCountReachTarget
43,959
Repeat,FitnessEvaluateCountReachTarget
44,1119
Repeat,FitnessEvaluateCountReachTarget
45,878
Repeat,FitnessEvaluateCountReachTarget
46,1198
Repeat,FitnessEvaluateCountReachTarget
47,80080
Repeat,FitnessEvaluateCountReachTarget
48,80080
Repeat,FitnessEvaluateCountReachTarget
49,719
Repeat,FitnessEvaluateCountReachTarget
50,719
Repeat,FitnessEvaluateCountReachTarget
51,80080
Repeat,FitnessEvaluateCountReachTarget
52,879
Repeat,FitnessEvaluateCountReachTarget
53,958
Repeat,FitnessEvaluateCountReachTarget
54,959
Repeat,FitnessEvaluateCountReachTarget
55,879
Repeat,FitnessEvaluateCountReachTarget
56,876
Repeat,FitnessEvaluateCountReachTarget
57,719
Repeat,FitnessEvaluateCountReachTarget
58,80080
Repeat,FitnessEvaluateCountReachTarget
59,80080
Repeat,FitnessEvaluateCountReachTarget
60,1039
Repeat,FitnessEvaluateCountReachTarget
61,879
Repeat,FitnessEvaluateCountReachTarget
62,879
Repeat,FitnessEvaluateCountReachTarget
63,799
Repeat,FitnessEvaluateCountReachTarget
64,1119
Repeat,FitnessEvaluateCountReachTarget
65,80080
Repeat,FitnessEvaluateCountReachTarget
66,959
Repeat,FitnessEvaluateCountReachTarget
67,80080
Repeat,FitnessEvaluateCountReachTarget
68,80080
Repeat,FitnessEvaluateCountReachTarget
69,879
Repeat,FitnessEvaluateCountReachTarget
70,1039
Repeat,FitnessEvaluateCountReachTarget
71,878
Repeat,FitnessEvaluateCountReachTarget
72,80080
Repeat,FitnessEvaluateCountReachTarget
73,80080
Repeat,FitnessEvaluateCountReachTarget
74,1039
Repeat,FitnessEvaluateCountReachTarget
75,1199
Repeat,FitnessEvaluateCountReachTarget
76,957
Repeat,FitnessEvaluateCountReachTarget
77,959
Repeat,FitnessEvaluateCountReachTarget
78,7278
Repeat,FitnessEvaluateCountReachTarget
79,1039
Repeat,FitnessEvaluateCountReachTarget
80,1119
Repeat,FitnessEvaluateCountReachTarget
81,957
Repeat,FitnessEvaluateCountReachTarget
82,80080
Repeat,FitnessEvaluateCountReachTarget
83,798
Repeat,FitnessEvaluateCountReachTarget
84,1119
Repeat,FitnessEvaluateCountReachTarget
85,956
Repeat,FitnessEvaluateCountReachTarget
86,80080
Repeat,FitnessEvaluateCountReachTarget
87,80080
Repeat,FitnessEvaluateCountReachTarget
88,877
Repeat,FitnessEvaluateCountReachTarget
89,1038
Repeat,FitnessEvaluateCountReachTarget
90,80080
Repeat,FitnessEvaluateCountReachTarget
91,798
Repeat,FitnessEvaluateCountReachTarget
92,1119
Repeat,FitnessEvaluateCountReachTarget
93,715
Repeat,FitnessEvaluateCountReachTarget
94,879
Repeat,FitnessEvaluateCountReachTarget
95,80080
Repeat,FitnessEvaluateCountReachTarget
96,956
Repeat,FitnessEvaluateCountReachTarget
97,1119
Repeat,FitnessEvaluateCountReachTarget
98,958
Repeat,FitnessEvaluateCountReachTarget
99,797
