Repeat,Generation,X1,F(x)
0,0,110000000110111011111110110111,22,
0,10,111000000011111011111111110111,25,
0,20,111000000111111111111111111111,27,
0,30,111000111111111111111111111111,29,
0,40,111000111111111111111111111111,29,
0,50,111000111111111111111111111111,29,
0,60,111000111111111111111111111111,29,
0,70,111000111111111111111111111111,29,
0,80,111000111111111111111111111111,29,
0,90,111000111111111111111111111111,29,
0,100,111000111111111111111111111111,29,
0,110,111000111111111111111111111111,29,
0,120,111000111111111111111111111111,29,
0,130,111000111111111111111111111111,29,
0,140,111000111111111111111111111111,29,
0,150,111000111111111111111111111111,29,
0,160,111000111111111111111111111111,29,
0,170,111000111111111111111111111111,29,
0,180,111000111111111111111111111111,29,
0,190,111000111111111111111111111111,29,
0,200,111000111111111111111111111111,29,
0,210,111000111111111111111111111111,29,
0,220,111000111111111111111111111111,29,
0,230,111000111111111111111111111111,29,
0,240,111000111111111111111111111111,29,
0,250,111000111111111111111111111111,29,
0,260,111000111111111111111111111111,29,
0,270,111000111111111111111111111111,29,
0,280,111000111111111111111111111111,29,
0,290,111000111111111111111111111111,29,
0,300,111000111111111111111111111111,29,
0,310,111000111111111111111111111111,29,
0,320,111000111111111111111111111111,29,
0,330,111000111111111111111111111111,29,
0,340,111000111111111111111111111111,29,
0,350,111000111111111111111111111111,29,
0,360,111000111111111111111111111111,29,
0,370,111000111111111111111111111111,29,
0,380,111000111111111111111111111111,29,
0,390,111000111111111111111111111111,29,
0,400,111000111111111111111111111111,29,
0,410,111000111111111111111111111111,29,
0,420,111000111111111111111111111111,29,
0,430,111000111111111111111111111111,29,
0,440,111000111111111111111111111111,29,
0,450,111000111111111111111111111111,29,
0,460,111000111111111111111111111111,29,
0,470,111000111111111111111111111111,29,
0,480,111000111111111111111111111111,29,
0,490,111000111111111111111111111111,29,
0,500,111000111111111111111111111111,29,
Repeat,Generation,X1,F(x)
1,0,011111010111010111100111111101,22,
1,10,111111111111110111111110100000,27,
1,20,111111111111111111111110100000,28,
1,30,111111111111111111111110100000,28,
1,40,111111111111111111111110100000,28,
1,50,111111111111111111111110100000,28,
1,60,111111111111111111111110100000,28,
1,70,111111111111111111111110100000,28,
1,80,111111111111111111111110100000,28,
1,90,111111111111111111111110110000,28,
1,100,111111111111111111111110100000,28,
1,110,111111111111111111111110100000,28,
1,120,111111111111111111111110100000,28,
1,130,111111111111111111111110100000,28,
1,140,111111111111111111111110100000,28,
1,150,111111111111111111111110110000,28,
1,160,111111111111111111111110100000,28,
1,170,111111111111111111111110100000,28,
1,180,111111111111111111111110110000,28,
1,190,111111111111111111111110100000,28,
1,200,111111111111111111111111111000,29,
1,210,111111111111111111111111111000,29,
1,220,111111111111111111111111111000,29,
1,230,111111111111111111111111111000,29,
1,240,111111111111111111111111111000,29,
1,250,111111111111111111111111111000,29,
1,260,111111111111111111111111111000,29,
1,270,111111111111111111111111111000,29,
1,280,111111111111111111111111111000,29,
1,290,111111111111111111111111111000,29,
1,300,111111111111111111111111111000,29,
1,310,111111111111111111111111111000,29,
1,320,111111111111111111111111111000,29,
1,330,111111111111111111111111111000,29,
1,340,111111111111111111111111111000,29,
1,350,111111111111111111111111111000,29,
1,360,111111111111111111111111111000,29,
1,370,111111111111111111111111111000,29,
1,380,111111111111111111111111111000,29,
1,390,111111111111111111111111111000,29,
1,400,111111111111111111111111111000,29,
1,410,111111111111111111111111111000,29,
1,420,111111111111111111111111111000,29,
1,430,111111111111111111111111111000,29,
1,440,111111111111111111111111111000,29,
1,450,111111111111111111111111111000,29,
1,460,111111111111111111111111111000,29,
1,470,111111111111111111111111111000,29,
1,480,111111111111111111111111111000,29,
1,490,111111111111111111111111111000,29,
1,500,111111111111111111111111111000,29,
Repeat,Generation,X1,F(x)
2,0,011000101111000110111010101001,21,
2,10,111000111111000111111111111111,28,
2,20,111000111111000111111111111111,28,
2,30,111000111111000111111111111111,28,
2,40,111000111111000111111111111111,28,
2,50,111000111111000111111111111111,28,
2,60,111000111111000111111111111111,28,
2,70,111000111111000111111111111111,28,
2,80,111000111111000111111111111111,28,
2,90,111000111111000111111111111111,28,
2,100,111000111111000111111111111111,28,
2,110,111000111111000111111111111111,28,
2,120,111000111111000111111111111111,28,
2,130,111000111111000111111111111111,28,
2,140,111000111111000111111111111111,28,
2,150,111000111111000111111111111111,28,
2,160,111000111111000111111111111111,28,
2,170,111000111111000111111111111111,28,
2,180,111000111111000111111111111111,28,
2,190,111000111111000111111111111111,28,
2,200,111000111111000111111111111111,28,
2,210,111000111111000111111111111111,28,
2,220,111000111111000111111111111111,28,
2,230,111000111111000111111111111111,28,
2,240,111000111111000111111111111111,28,
2,250,111000111111000111111111111111,28,
2,260,111000111111000111111111111111,28,
2,270,111000111111000111111111111111,28,
2,280,111000111111000111111111111111,28,
2,290,111000111111000111111111111111,28,
2,300,111000111111000111111111111111,28,
2,310,111000111111000111111111111111,28,
2,320,111000111111000111111111111111,28,
2,330,111000111111000111111111111111,28,
2,340,111000111111000111111111111111,28,
2,350,111000111111000111111111111111,28,
2,360,111000111111000111111111111111,28,
2,370,111000111111000111111111111111,28,
2,380,111000111111000111111111111111,28,
2,390,111000111111000111111111111111,28,
2,400,111000111111000111111111111111,28,
2,410,111000111111000111111111111111,28,
2,420,111000111111000111111111111111,28,
2,430,111000111111000111111111111111,28,
2,440,111000111111000111111111111111,28,
2,450,111000111111000111111111111111,28,
2,460,111000111111000111111111111111,28,
2,470,111000111111000111111111111111,28,
2,480,111000111111000111111111111111,28,
2,490,111000111111000111111111111111,28,
2,500,111000111111000111111111111111,28,
Repeat,Generation,X1,F(x)
3,0,101001011111110110110111010111,21,
3,10,111111111111111111111111000111,29,
3,20,111111111111111111111111000111,29,
3,30,111111111111111111111111000111,29,
3,40,111111111111111111111111000111,29,
3,50,111111111111111111111111000111,29,
3,60,111111111111111111111111000111,29,
3,70,111111111111111111111111000111,29,
3,80,111111111111111111111111000111,29,
3,90,111111111111111111111111000111,29,
3,100,111111111111111111111111000111,29,
3,110,111111111111111111111111000111,29,
3,120,111111111111111111111111000111,29,
3,130,111111111111111111111111000111,29,
3,140,111111111111111111111111000111,29,
3,150,111111111111111111111111000111,29,
3,160,111111111111111111111111000111,29,
3,170,111111111111111111111111000111,29,
3,180,111111111111111111111111000111,29,
3,190,111111111111111111111111000111,29,
3,200,111111111111111111111111000111,29,
3,210,111111111111111111111111000111,29,
3,220,111111111111111111111111000111,29,
3,230,111111111111111111111111000111,29,
3,240,111111111111111111111111000111,29,
3,250,111111111111111111111111000111,29,
3,260,111111111111111111111111000111,29,
3,270,111111111111111111111111000111,29,
3,280,111111111111111111111111000111,29,
3,290,111111111111111111111111000111,29,
3,300,111111111111111111111111000111,29,
3,310,111111111111111111111111000111,29,
3,320,111111111111111111111111000111,29,
3,330,111111111111111111111111000111,29,
3,340,111111111111111111111111000111,29,
3,350,111111111111111111111111000111,29,
3,360,111111111111111111111111000111,29,
3,370,111111111111111111111111000111,29,
3,380,111111111111111111111111000111,29,
3,390,111111111111111111111111000111,29,
3,400,111111111111111111111111000111,29,
3,410,111111111111111111111111000111,29,
3,420,111111111111111111111111000111,29,
3,430,111111111111111111111111000111,29,
3,440,111111111111111111111111000111,29,
3,450,111111111111111111111111000111,29,
3,460,111111111111111111111111000111,29,
3,470,111111111111111111111111000111,29,
3,480,111111111111111111111111000111,29,
3,490,111111111111111111111111000111,29,
3,500,111111111111111111111111000111,29,
Repeat,Generation,X1,F(x)
4,0,111100101011111100111000111101,21,
4,10,111000111111111111111000111001,27,
4,20,111000111111111111111000111001,27,
4,30,111000111111111111111000111000,27,
4,40,111000111111111111111000111000,27,
4,50,111000111111111111111000110000,27,
4,60,111000111111111111111000100000,27,
4,70,111000111111111111111000100000,27,
4,80,111000111111111111111000100000,27,
4,90,111000111111111111111000100000,27,
4,100,111000111111111111111000100000,27,
4,110,111000111111111111111000100000,27,
4,120,111000111111111111111000100000,27,
4,130,111000111111111111111000100000,27,
4,140,111000111111111111111000100000,27,
4,150,111000111111111111111000100000,27,
4,160,111000111111111111111000110000,27,
4,170,111000111111111111111000100000,27,
4,180,111000111111111111111000100000,27,
4,190,111000111111111111111000100000,27,
4,200,111000111111111111111000100000,27,
4,210,111000111111111111111000100000,27,
4,220,111000111111111111111000100000,27,
4,230,111000111111111111111000100000,27,
4,240,111000111111111111111000110000,27,
4,250,111000111111111111111000110000,27,
4,260,111000111111111111111000110000,27,
4,270,111000111111111111111000110000,27,
4,280,111000111111111111111000110000,27,
4,290,111000111111111111111000110000,27,
4,300,111000111111111111111000100000,27,
4,310,111000111111111111111000100000,27,
4,320,111000111111111111111000100000,27,
4,330,111000111111111111111000100000,27,
4,340,111000111111111111111000100000,27,
4,350,111000111111111111111000100000,27,
4,360,111000111111111111111000110000,27,
4,370,111000111111111111111000100000,27,
4,380,111000111111111111111000100000,27,
4,390,111000111111111111111000100000,27,
4,400,111000111111111111111000100000,27,
4,410,111000111111111111111000100000,27,
4,420,111000111111111111111000100000,27,
4,430,111000111111111111111000100000,27,
4,440,111000111111111111111000110000,27,
4,450,111000111111111111111000100000,27,
4,460,111000111111111111111000110000,27,
4,470,111000111111111111111000110000,27,
4,480,111000111111111111111000110000,27,
4,490,111000111111111111111000110000,27,
4,500,111000111111111111111000110000,27,
Repeat,Generation,X1,F(x)
5,0,111101111101001110110111110111,23,
5,10,111111111111101111111111111111,29,
5,20,111111111111111111111111111111,30,
5,30,111111111111111111111111111111,30,
5,40,111111111111111111111111111111,30,
5,50,111111111111111111111111111111,30,
5,60,111111111111111111111111111111,30,
5,70,111111111111111111111111111111,30,
5,80,111111111111111111111111111111,30,
5,90,111111111111111111111111111111,30,
5,100,111111111111111111111111111111,30,
5,110,111111111111111111111111111111,30,
5,120,111111111111111111111111111111,30,
5,130,111111111111111111111111111111,30,
5,140,111111111111111111111111111111,30,
5,150,111111111111111111111111111111,30,
5,160,111111111111111111111111111111,30,
5,170,111111111111111111111111111111,30,
5,180,111111111111111111111111111111,30,
5,190,111111111111111111111111111111,30,
5,200,111111111111111111111111111111,30,
5,210,111111111111111111111111111111,30,
5,220,111111111111111111111111111111,30,
5,230,111111111111111111111111111111,30,
5,240,111111111111111111111111111111,30,
5,250,111111111111111111111111111111,30,
5,260,111111111111111111111111111111,30,
5,270,111111111111111111111111111111,30,
5,280,111111111111111111111111111111,30,
5,290,111111111111111111111111111111,30,
5,300,111111111111111111111111111111,30,
5,310,111111111111111111111111111111,30,
5,320,111111111111111111111111111111,30,
5,330,111111111111111111111111111111,30,
5,340,111111111111111111111111111111,30,
5,350,111111111111111111111111111111,30,
5,360,111111111111111111111111111111,30,
5,370,111111111111111111111111111111,30,
5,380,111111111111111111111111111111,30,
5,390,111111111111111111111111111111,30,
5,400,111111111111111111111111111111,30,
5,410,111111111111111111111111111111,30,
5,420,111111111111111111111111111111,30,
5,430,111111111111111111111111111111,30,
5,440,111111111111111111111111111111,30,
5,450,111111111111111111111111111111,30,
5,460,111111111111111111111111111111,30,
5,470,111111111111111111111111111111,30,
5,480,111111111111111111111111111111,30,
5,490,111111111111111111111111111111,30,
5,500,111111111111111111111111111111,30,
Repeat,Generation,X1,F(x)
6,0,101111000100000101101010111110,22,
6,10,101111111000111111000000111111,25,
6,20,111111111111111111000000111111,27,
6,30,111111111111111111000000111110,27,
6,40,111111111111111111000000111111,27,
6,50,111111111111111011000000111111,27,
6,60,111111111111111111000000111111,27,
6,70,111111111111111011000000111111,27,
6,80,111111111111111011000000111111,27,
6,90,111111111111111011000000111111,27,
6,100,111111111111111011000000111111,27,
6,110,111111111111111011000000111111,27,
6,120,111111111111111111000000111111,27,
6,130,111111111111111111000111111111,29,
6,140,111111111111111111000111111111,29,
6,150,111111111111111111000111111111,29,
6,160,111111111111111111000111111111,29,
6,170,111111111111111111000111111111,29,
