Repeat,FitnessEvaluateCountReachTarget
0,328
Repeat,FitnessEvaluateCountReachTarget
1,359
Repeat,FitnessEvaluateCountReachTarget
2,237
Repeat,FitnessEvaluateCountReachTarget
3,359
Repeat,FitnessEvaluateCountReachTarget
4,209
Repeat,FitnessEvaluateCountReachTarget
5,359
Repeat,FitnessEvaluateCountReachTarget
6,325
Repeat,FitnessEvaluateCountReachTarget
7,388
Repeat,FitnessEvaluateCountReachTarget
8,329
Repeat,FitnessEvaluateCountReachTarget
9,419
Repeat,FitnessEvaluateCountReachTarget
10,328
Repeat,FitnessEvaluateCountReachTarget
11,329
Repeat,FitnessEvaluateCountReachTarget
12,357
Repeat,FitnessEvaluateCountReachTarget
13,387
Repeat,FitnessEvaluateCountReachTarget
14,448
Repeat,FitnessEvaluateCountReachTarget
15,268
Repeat,FitnessEvaluateCountReachTarget
16,299
Repeat,FitnessEvaluateCountReachTarget
17,418
Repeat,FitnessEvaluateCountReachTarget
18,239
Repeat,FitnessEvaluateCountReachTarget
19,417
Repeat,FitnessEvaluateCountReachTarget
20,359
Repeat,FitnessEvaluateCountReachTarget
21,359
Repeat,FitnessEvaluateCountReachTarget
22,239
Repeat,FitnessEvaluateCountReachTarget
23,209
Repeat,FitnessEvaluateCountReachTarget
24,355
Repeat,FitnessEvaluateCountReachTarget
25,208
Repeat,FitnessEvaluateCountReachTarget
26,358
Repeat,FitnessEvaluateCountReachTarget
27,298
Repeat,FitnessEvaluateCountReachTarget
28,329
Repeat,FitnessEvaluateCountReachTarget
29,299
Repeat,FitnessEvaluateCountReachTarget
30,478
Repeat,FitnessEvaluateCountReachTarget
31,327
Repeat,FitnessEvaluateCountReachTarget
32,268
Repeat,FitnessEvaluateCountReachTarget
33,269
Repeat,FitnessEvaluateCountReachTarget
34,299
Repeat,FitnessEvaluateCountReachTarget
35,359
Repeat,FitnessEvaluateCountReachTarget
36,389
Repeat,FitnessEvaluateCountReachTarget
37,235
Repeat,FitnessEvaluateCountReachTarget
38,298
Repeat,FitnessEvaluateCountReachTarget
39,419
Repeat,FitnessEvaluateCountReachTarget
40,387
Repeat,FitnessEvaluateCountReachTarget
41,268
Repeat,FitnessEvaluateCountReachTarget
42,359
Repeat,FitnessEvaluateCountReachTarget
43,294
Repeat,FitnessEvaluateCountReachTarget
44,327
Repeat,FitnessEvaluateCountReachTarget
45,237
Repeat,FitnessEvaluateCountReachTarget
46,298
Repeat,FitnessEvaluateCountReachTarget
47,419
Repeat,FitnessEvaluateCountReachTarget
48,298
Repeat,FitnessEvaluateCountReachTarget
49,236
Repeat,FitnessEvaluateCountReachTarget
50,208
Repeat,FitnessEvaluateCountReachTarget
51,268
Repeat,FitnessEvaluateCountReachTarget
52,329
Repeat,FitnessEvaluateCountReachTarget
53,358
Repeat,FitnessEvaluateCountReachTarget
54,269
Repeat,FitnessEvaluateCountReachTarget
55,268
Repeat,FitnessEvaluateCountReachTarget
56,417
Repeat,FitnessEvaluateCountReachTarget
57,449
Repeat,FitnessEvaluateCountReachTarget
58,239
Repeat,FitnessEvaluateCountReachTarget
59,389
Repeat,FitnessEvaluateCountReachTarget
60,359
Repeat,FitnessEvaluateCountReachTarget
61,359
Repeat,FitnessEvaluateCountReachTarget
62,327
Repeat,FitnessEvaluateCountReachTarget
63,386
Repeat,FitnessEvaluateCountReachTarget
64,208
Repeat,FitnessEvaluateCountReachTarget
65,327
Repeat,FitnessEvaluateCountReachTarget
66,299
Repeat,FitnessEvaluateCountReachTarget
67,327
Repeat,FitnessEvaluateCountReachTarget
68,269
Repeat,FitnessEvaluateCountReachTarget
69,299
Repeat,FitnessEvaluateCountReachTarget
70,357
Repeat,FitnessEvaluateCountReachTarget
71,387
Repeat,FitnessEvaluateCountReachTarget
72,419
Repeat,FitnessEvaluateCountReachTarget
73,329
Repeat,FitnessEvaluateCountReachTarget
74,268
Repeat,FitnessEvaluateCountReachTarget
75,239
Repeat,FitnessEvaluateCountReachTarget
76,148
Repeat,FitnessEvaluateCountReachTarget
77,269
Repeat,FitnessEvaluateCountReachTarget
78,447
Repeat,FitnessEvaluateCountReachTarget
79,298
Repeat,FitnessEvaluateCountReachTarget
80,239
Repeat,FitnessEvaluateCountReachTarget
81,418
Repeat,FitnessEvaluateCountReachTarget
82,449
Repeat,FitnessEvaluateCountReachTarget
83,298
Repeat,FitnessEvaluateCountReachTarget
84,239
Repeat,FitnessEvaluateCountReachTarget
85,297
Repeat,FitnessEvaluateCountReachTarget
86,179
Repeat,FitnessEvaluateCountReachTarget
87,119
Repeat,FitnessEvaluateCountReachTarget
88,359
Repeat,FitnessEvaluateCountReachTarget
89,418
Repeat,FitnessEvaluateCountReachTarget
90,149
Repeat,FitnessEvaluateCountReachTarget
91,299
Repeat,FitnessEvaluateCountReachTarget
92,297
Repeat,FitnessEvaluateCountReachTarget
93,298
Repeat,FitnessEvaluateCountReachTarget
94,359
Repeat,FitnessEvaluateCountReachTarget
95,329
Repeat,FitnessEvaluateCountReachTarget
96,269
Repeat,FitnessEvaluateCountReachTarget
97,327
Repeat,FitnessEvaluateCountReachTarget
98,298
Repeat,FitnessEvaluateCountReachTarget
99,359
