Repeat,FitnessEvaluateCountReachTarget
0,15030
Repeat,FitnessEvaluateCountReachTarget
1,15030
Repeat,FitnessEvaluateCountReachTarget
2,1169
Repeat,FitnessEvaluateCountReachTarget
3,1406
Repeat,FitnessEvaluateCountReachTarget
4,1679
Repeat,FitnessEvaluateCountReachTarget
5,1109
Repeat,FitnessEvaluateCountReachTarget
6,929
Repeat,FitnessEvaluateCountReachTarget
7,929
Repeat,FitnessEvaluateCountReachTarget
8,1019
Repeat,FitnessEvaluateCountReachTarget
9,2819
Repeat,FitnessEvaluateCountReachTarget
10,1019
Repeat,FitnessEvaluateCountReachTarget
11,1019
Repeat,FitnessEvaluateCountReachTarget
12,1199
Repeat,FitnessEvaluateCountReachTarget
13,6239
Repeat,FitnessEvaluateCountReachTarget
14,899
Repeat,FitnessEvaluateCountReachTarget
15,1139
Repeat,FitnessEvaluateCountReachTarget
16,2999
Repeat,FitnessEvaluateCountReachTarget
17,1948
Repeat,FitnessEvaluateCountReachTarget
18,1107
Repeat,FitnessEvaluateCountReachTarget
19,9779
Repeat,FitnessEvaluateCountReachTarget
20,1229
Repeat,FitnessEvaluateCountReachTarget
21,3509
Repeat,FitnessEvaluateCountReachTarget
22,1349
Repeat,FitnessEvaluateCountReachTarget
23,749
Repeat,FitnessEvaluateCountReachTarget
24,899
Repeat,FitnessEvaluateCountReachTarget
25,11189
Repeat,FitnessEvaluateCountReachTarget
26,3869
Repeat,FitnessEvaluateCountReachTarget
27,1589
Repeat,FitnessEvaluateCountReachTarget
28,1439
Repeat,FitnessEvaluateCountReachTarget
29,1169
Repeat,FitnessEvaluateCountReachTarget
30,1139
Repeat,FitnessEvaluateCountReachTarget
31,1049
Repeat,FitnessEvaluateCountReachTarget
32,1348
Repeat,FitnessEvaluateCountReachTarget
33,1109
Repeat,FitnessEvaluateCountReachTarget
34,14849
Repeat,FitnessEvaluateCountReachTarget
35,989
Repeat,FitnessEvaluateCountReachTarget
36,1559
Repeat,FitnessEvaluateCountReachTarget
37,15030
Repeat,FitnessEvaluateCountReachTarget
38,779
Repeat,FitnessEvaluateCountReachTarget
39,1558
Repeat,FitnessEvaluateCountReachTarget
40,1019
Repeat,FitnessEvaluateCountReachTarget
41,1078
Repeat,FitnessEvaluateCountReachTarget
42,1169
Repeat,FitnessEvaluateCountReachTarget
43,929
Repeat,FitnessEvaluateCountReachTarget
44,958
Repeat,FitnessEvaluateCountReachTarget
45,3359
Repeat,FitnessEvaluateCountReachTarget
46,1948
Repeat,FitnessEvaluateCountReachTarget
47,929
Repeat,FitnessEvaluateCountReachTarget
48,959
Repeat,FitnessEvaluateCountReachTarget
49,1439
Repeat,FitnessEvaluateCountReachTarget
50,869
Repeat,FitnessEvaluateCountReachTarget
51,1049
Repeat,FitnessEvaluateCountReachTarget
52,869
Repeat,FitnessEvaluateCountReachTarget
53,899
Repeat,FitnessEvaluateCountReachTarget
54,989
Repeat,FitnessEvaluateCountReachTarget
55,1139
Repeat,FitnessEvaluateCountReachTarget
56,3839
Repeat,FitnessEvaluateCountReachTarget
57,1379
Repeat,FitnessEvaluateCountReachTarget
58,4139
Repeat,FitnessEvaluateCountReachTarget
59,1559
Repeat,FitnessEvaluateCountReachTarget
60,1199
Repeat,FitnessEvaluateCountReachTarget
61,1439
Repeat,FitnessEvaluateCountReachTarget
62,839
Repeat,FitnessEvaluateCountReachTarget
63,2789
Repeat,FitnessEvaluateCountReachTarget
64,1379
Repeat,FitnessEvaluateCountReachTarget
65,899
Repeat,FitnessEvaluateCountReachTarget
66,1138
Repeat,FitnessEvaluateCountReachTarget
67,2669
Repeat,FitnessEvaluateCountReachTarget
68,989
Repeat,FitnessEvaluateCountReachTarget
69,2639
Repeat,FitnessEvaluateCountReachTarget
70,1229
Repeat,FitnessEvaluateCountReachTarget
71,1079
Repeat,FitnessEvaluateCountReachTarget
72,1047
Repeat,FitnessEvaluateCountReachTarget
73,1318
Repeat,FitnessEvaluateCountReachTarget
74,1049
Repeat,FitnessEvaluateCountReachTarget
75,1199
Repeat,FitnessEvaluateCountReachTarget
76,1169
Repeat,FitnessEvaluateCountReachTarget
77,1049
Repeat,FitnessEvaluateCountReachTarget
78,1049
Repeat,FitnessEvaluateCountReachTarget
79,1019
Repeat,FitnessEvaluateCountReachTarget
80,1019
Repeat,FitnessEvaluateCountReachTarget
81,4049
Repeat,FitnessEvaluateCountReachTarget
82,869
Repeat,FitnessEvaluateCountReachTarget
83,1049
Repeat,FitnessEvaluateCountReachTarget
84,1498
Repeat,FitnessEvaluateCountReachTarget
85,1079
Repeat,FitnessEvaluateCountReachTarget
86,15030
Repeat,FitnessEvaluateCountReachTarget
87,958
Repeat,FitnessEvaluateCountReachTarget
88,899
Repeat,FitnessEvaluateCountReachTarget
89,1019
Repeat,FitnessEvaluateCountReachTarget
90,15030
Repeat,FitnessEvaluateCountReachTarget
91,1019
Repeat,FitnessEvaluateCountReachTarget
92,1109
Repeat,FitnessEvaluateCountReachTarget
93,1379
Repeat,FitnessEvaluateCountReachTarget
94,1049
Repeat,FitnessEvaluateCountReachTarget
95,1769
Repeat,FitnessEvaluateCountReachTarget
96,1229
Repeat,FitnessEvaluateCountReachTarget
97,989
Repeat,FitnessEvaluateCountReachTarget
98,928
Repeat,FitnessEvaluateCountReachTarget
99,5309
