Repeat,FitnessEvaluateCountReachTarget
0,989
Repeat,FitnessEvaluateCountReachTarget
1,1019
Repeat,FitnessEvaluateCountReachTarget
2,839
Repeat,FitnessEvaluateCountReachTarget
3,1259
Repeat,FitnessEvaluateCountReachTarget
4,1499
Repeat,FitnessEvaluateCountReachTarget
5,1348
Repeat,FitnessEvaluateCountReachTarget
6,1319
Repeat,FitnessEvaluateCountReachTarget
7,1319
Repeat,FitnessEvaluateCountReachTarget
8,1259
Repeat,FitnessEvaluateCountReachTarget
9,959
Repeat,FitnessEvaluateCountReachTarget
10,1379
Repeat,FitnessEvaluateCountReachTarget
11,1019
Repeat,FitnessEvaluateCountReachTarget
12,1169
Repeat,FitnessEvaluateCountReachTarget
13,1019
Repeat,FitnessEvaluateCountReachTarget
14,1439
Repeat,FitnessEvaluateCountReachTarget
15,1049
Repeat,FitnessEvaluateCountReachTarget
16,1079
Repeat,FitnessEvaluateCountReachTarget
17,1048
Repeat,FitnessEvaluateCountReachTarget
18,839
Repeat,FitnessEvaluateCountReachTarget
19,1378
Repeat,FitnessEvaluateCountReachTarget
20,989
Repeat,FitnessEvaluateCountReachTarget
21,1139
Repeat,FitnessEvaluateCountReachTarget
22,1259
Repeat,FitnessEvaluateCountReachTarget
23,1199
Repeat,FitnessEvaluateCountReachTarget
24,1138
Repeat,FitnessEvaluateCountReachTarget
25,1079
Repeat,FitnessEvaluateCountReachTarget
26,1049
Repeat,FitnessEvaluateCountReachTarget
27,1289
Repeat,FitnessEvaluateCountReachTarget
28,1259
Repeat,FitnessEvaluateCountReachTarget
29,1169
Repeat,FitnessEvaluateCountReachTarget
30,929
Repeat,FitnessEvaluateCountReachTarget
31,1289
Repeat,FitnessEvaluateCountReachTarget
32,989
Repeat,FitnessEvaluateCountReachTarget
33,1319
Repeat,FitnessEvaluateCountReachTarget
34,1019
Repeat,FitnessEvaluateCountReachTarget
35,1078
Repeat,FitnessEvaluateCountReachTarget
36,1229
Repeat,FitnessEvaluateCountReachTarget
37,1108
Repeat,FitnessEvaluateCountReachTarget
38,869
Repeat,FitnessEvaluateCountReachTarget
39,1079
Repeat,FitnessEvaluateCountReachTarget
40,1019
Repeat,FitnessEvaluateCountReachTarget
41,1139
Repeat,FitnessEvaluateCountReachTarget
42,1019
Repeat,FitnessEvaluateCountReachTarget
43,1259
Repeat,FitnessEvaluateCountReachTarget
44,1349
Repeat,FitnessEvaluateCountReachTarget
45,1169
Repeat,FitnessEvaluateCountReachTarget
46,1379
Repeat,FitnessEvaluateCountReachTarget
47,1319
Repeat,FitnessEvaluateCountReachTarget
48,749
Repeat,FitnessEvaluateCountReachTarget
49,1138
Repeat,FitnessEvaluateCountReachTarget
50,1019
Repeat,FitnessEvaluateCountReachTarget
51,1079
Repeat,FitnessEvaluateCountReachTarget
52,1109
Repeat,FitnessEvaluateCountReachTarget
53,1139
Repeat,FitnessEvaluateCountReachTarget
54,899
Repeat,FitnessEvaluateCountReachTarget
55,1139
Repeat,FitnessEvaluateCountReachTarget
56,1049
Repeat,FitnessEvaluateCountReachTarget
57,989
Repeat,FitnessEvaluateCountReachTarget
58,1228
Repeat,FitnessEvaluateCountReachTarget
59,1139
Repeat,FitnessEvaluateCountReachTarget
60,1199
Repeat,FitnessEvaluateCountReachTarget
61,1439
Repeat,FitnessEvaluateCountReachTarget
62,1048
Repeat,FitnessEvaluateCountReachTarget
63,1079
Repeat,FitnessEvaluateCountReachTarget
64,1019
Repeat,FitnessEvaluateCountReachTarget
65,1139
Repeat,FitnessEvaluateCountReachTarget
66,1109
Repeat,FitnessEvaluateCountReachTarget
67,1379
Repeat,FitnessEvaluateCountReachTarget
68,1439
Repeat,FitnessEvaluateCountReachTarget
69,1169
Repeat,FitnessEvaluateCountReachTarget
70,1199
Repeat,FitnessEvaluateCountReachTarget
71,929
Repeat,FitnessEvaluateCountReachTarget
72,1079
Repeat,FitnessEvaluateCountReachTarget
73,1168
Repeat,FitnessEvaluateCountReachTarget
74,1348
Repeat,FitnessEvaluateCountReachTarget
75,1258
Repeat,FitnessEvaluateCountReachTarget
76,989
Repeat,FitnessEvaluateCountReachTarget
77,1379
Repeat,FitnessEvaluateCountReachTarget
78,869
Repeat,FitnessEvaluateCountReachTarget
79,1049
Repeat,FitnessEvaluateCountReachTarget
80,869
Repeat,FitnessEvaluateCountReachTarget
81,1109
Repeat,FitnessEvaluateCountReachTarget
82,1198
Repeat,FitnessEvaluateCountReachTarget
83,1049
Repeat,FitnessEvaluateCountReachTarget
84,929
Repeat,FitnessEvaluateCountReachTarget
85,1199
Repeat,FitnessEvaluateCountReachTarget
86,1139
Repeat,FitnessEvaluateCountReachTarget
87,1319
Repeat,FitnessEvaluateCountReachTarget
88,1438
Repeat,FitnessEvaluateCountReachTarget
89,1108
Repeat,FitnessEvaluateCountReachTarget
90,898
Repeat,FitnessEvaluateCountReachTarget
91,1019
Repeat,FitnessEvaluateCountReachTarget
92,1229
Repeat,FitnessEvaluateCountReachTarget
93,1229
Repeat,FitnessEvaluateCountReachTarget
94,1049
Repeat,FitnessEvaluateCountReachTarget
95,809
Repeat,FitnessEvaluateCountReachTarget
96,1048
Repeat,FitnessEvaluateCountReachTarget
97,657
Repeat,FitnessEvaluateCountReachTarget
98,1349
Repeat,FitnessEvaluateCountReachTarget
99,1199
