Repeat,Generation,X1,F(x)
0,0,111110111110111011101101010011010001101011111101111111011100,40,
0,10,111000110000111111111111100111111011000101000111000111111111,50,
0,20,111000111000111111111111000111111111000111000111000111111111,54,
0,30,111000111000111111111111000111111111000111000111000111111111,54,
0,40,111000111000111111111111000111111111000111000111000111111111,54,
0,50,111000111000111111111111000111111111000110000111000111111111,54,
0,60,111000111000111111111111000111111111000110000111000111111111,54,
0,70,111000111000111111111111000111111111000110000111000111111111,54,
0,80,111000111000111111111111000111111111000110000111000111111111,54,
0,90,111000111000111111111111000111111111000110000111000111111111,54,
0,100,111000111000111111111111000111111111000110000111000111111111,54,
0,110,111000111000111111111111000111111111000110000111000111111111,54,
0,120,111000111000111111111111000111111111000110000111000111111111,54,
0,130,111000111000111111111111000111111111000110000111000111111111,54,
0,140,111000111000111111111111000111111111000110000111000111111111,54,
0,150,111000111000111111111111000111111111000110000111000111111111,54,
0,160,111000111000111111111111000111111111000110000111000111111111,54,
0,170,111000111000111111111111000111111111000110000111000111111111,54,
0,180,111000111000111111111111000111111111000100000111000111111111,54,
0,190,111000111000111111111111000111111111000100000111000111111111,54,
0,200,111000111000111111111111000111111111000100000111000111111111,54,
0,210,111000111000111111111111000111111111000100000111000111111111,54,
0,220,111000111000111111111111000111111111000100000111000111111111,54,
0,230,111000111000111111111111000111111111000100000111000111111111,54,
0,240,111000111000111111111111000111111111000100000111000111111111,54,
0,250,111000111000111111111111000111111111000100000111000111111111,54,
0,260,111000111000111111111111000111111111000100000111000111111111,54,
0,270,111000111000111111111111000111111111000100000111000111111111,54,
0,280,111000111000111111111111000111111111000100000111000111111111,54,
0,290,111000111000111111111111000111111111000100000111000111111111,54,
0,300,111000111000111111111111000111111111000100000111000111111111,54,
0,310,111000111000111111111111000111111111000100000111000111111111,54,
0,320,111000111000111111111111000111111111000100000111000111111111,54,
0,330,111000111000111111111111000111111111000100000111000111111111,54,
0,340,111000111000111111111111000111111111000110000111000111111111,54,
0,350,111000111000111111111111000111111111000110000111000111111111,54,
0,360,111000111000111111111111000111111111000110000111000111111111,54,
0,370,111000111000111111111111000111111111000111000111000111111111,54,
0,380,111000111000111111111111000111111111000110000111000111111111,54,
0,390,111000111000111111111111000111111111000100000111000111111111,54,
0,400,111000111000111111111111000111111111000100000111000111111111,54,
0,410,111000111000111111111111000111111111000110000111000111111111,54,
0,420,111000111000111111111111000111111111000110000111000111111111,54,
0,430,111000111000111111111111000111111111000100000111000111111111,54,
0,440,111000111000111111111111000111111111000100000111000111111111,54,
0,450,111000111000111111111111000111111111000100000111000111111111,54,
0,460,111000111000111111111111000111111111000100000111000111111111,54,
0,470,111000111000111111111111000111111111000100000111000111111111,54,
0,480,111000111000111111111111000111111111000100000111000111111111,54,
0,490,111000111000111111111111000111111111000110000111000111111111,54,
0,500,111000111000111111111111000111111111000111001111000111111111,54,
