Repeat,Generation,X1,F(x)
0,0,110001101010000011101000110011001110000000011000100101011111001110000111010001111101110011100110001111110111111011111101,77,
0,10,111111011111011110100110000100111111111000101011000111010000101111110100100111011111111111000110011101000111101000011101,90,
0,20,111111011111011111000111000101111111111000101111000111111000111111010100100111010111111111000111011101000111101000111001,97,
0,30,111111011111011111000111000101111111111100101111000111111000111111010100000111111111111111000111011101000111101000111001,100,
0,40,111111111111011111000111000101111111111000101111000111111000111111010100000111111111111111000111111101001111111000111001,104,
0,50,111111111111011111000111000111111111111101101111000111111000111111110110000111111111111111000111111111101111111000111001,107,
0,60,111111111111111111000111000111111111111111101111000111111000111111111110000111111111111111000111111111101111111000111001,109,
0,70,111111111111111111000111000111111111111111111111000111111000111111110110000111111111111111011111011111111111111000111001,110,
0,80,111111111111111111000111000111111111111111111111000111111000111111110110000111111111111111000111111111101111111000111001,110,
0,90,111111111111111111000111000111111111111111111111000111111000111111110110000111111111111111000111111111111111111000111001,111,
0,100,111111111111111111000111000111111111111111111111000111111000111111110110000111111111111111000111111111111111111000111001,111,
0,110,111111111111111111000111000111111111111111111111000111111000111111110110000111111111111111000111111111111111111000111001,111,
0,120,111111111111111111000111000111111111111111111111000011111000111111110110000111111111111111000111111111111111111000111001,110,
0,130,111111111111111111000111000111111111111111111111000111111000111111000110000111111111111111000111111111111111111000111001,111,
0,140,111111111111111111000111000111111111111111111111000111111000111111000110000111111111111111000111111111111111111000111000,111,
0,150,111111111111111111000111000111111111111111111111000111111000111111000110000111111111111111000111111111111111111000111000,111,
0,160,111111111111111111000111000111111111111111111111101111111000111111000110000111111111111111000111111111111111111000110000,111,
0,170,111111111111111111000111101111111111111111111111101111111000111111000111000111111111111111000111111111111111111000110000,111,
0,180,111111111111111111000111000111111111111111111111101111111000111111000111000111111111111111000111111111111111111000110000,111,
0,190,111111111111111111000111000111111111111111111111101111111000111111000111000111111111111111000111111111111111111000111001,111,
0,200,111111111111111111000111101111111111111111111111101111111000111111000110000111111111111111000111111111111111111000110000,111,
0,210,111111111111111111000111111111111111111111111111101111111000111111000110000111111111111111000111111111111111111000110000,112,
0,220,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111001,113,
0,230,111111111111111111100111111111111111111111111111111111111000111111000100000111111111111111000111111111111111111000110000,112,
0,240,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000110000,113,
0,250,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,260,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,270,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,280,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,290,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,300,111111111111111111000111111111111111111111111111111111111000111111000111000111111111111111000111111111111111111000111000,113,
0,310,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,320,111111111111111111000111111111111111111111111111111111111000111111000110000111111111111111000111111111111111111000111000,113,
0,330,111111111111111111000111111111111111111111111111111111111000111111000100000111111111111111000111111111111111111000111000,113,
0,340,111111111111111111000111111111111111111111111111111111111000111111110100000111111111111111000111111111111111111000111000,113,
0,350,111111111111111111000111111111111111111111111111111111111000111111110100000111111111111111000111111111111111111000111000,113,
0,360,111111111111111111000111111111111111111111111111111111111000111111110100000111111111111111000111111111111111111000111000,113,
0,370,111111111111111111000111111111111111111111111111111111111000111111110110000111111111111111000111111111111111111000111100,113,
0,380,111111111111111111000111111111111111111111111111111111111000111111110110000111111111111111000111111111111111111000111100,113,
0,390,111111111111111111000111111111111111101111111111111111111000111111110110000111111111111111000111111111111111111000111100,112,
0,400,111111111111111111000111111111111111111111111111111111111000111111111110000111111111111111000111111111111111111000111110,113,
0,410,111111111111111111000111111111111111111111111111111111111000111111110110000111111111111111000111111111111111111000111110,113,
0,420,111111111111111111101111111111111111111111111111111111111000101111110110000111111111111111000111111111111111111000111110,112,
0,430,111111111111111111000111111111111111111111111111111111111000111111110110000111111111111111000111111111111111111001111111,113,
0,440,111111111111111111000111111111111111111111111111111111111000111111110110000111111111111111000111111111111111111111111111,115,
0,450,111111111111111111000111111111111111111111111111111111111000111111110110000111111111111111000111111111111111111111111111,115,
0,460,111111111111111111000111111111111111111111111111111111111000111111111111000111111111111111000111111111111111111111111111,116,
0,470,111111111111111111000111111111111111111111111111111111111000111111111111000111111111111111000111111111111111111111111111,116,
0,480,111111111111111111000111111111111111111111111111111111111000111111111111000111111111111111000111111111111111111111111111,116,
