Repeat,FitnessEvaluateCountReachTarget
0,1039
Repeat,FitnessEvaluateCountReachTarget
1,718
Repeat,FitnessEvaluateCountReachTarget
2,879
Repeat,FitnessEvaluateCountReachTarget
3,798
Repeat,FitnessEvaluateCountReachTarget
4,719
Repeat,FitnessEvaluateCountReachTarget
5,1198
Repeat,FitnessEvaluateCountReachTarget
6,80080
Repeat,FitnessEvaluateCountReachTarget
7,719
Repeat,FitnessEvaluateCountReachTarget
8,876
Repeat,FitnessEvaluateCountReachTarget
9,80080
Repeat,FitnessEvaluateCountReachTarget
10,639
Repeat,FitnessEvaluateCountReachTarget
11,1118
Repeat,FitnessEvaluateCountReachTarget
12,879
Repeat,FitnessEvaluateCountReachTarget
13,879
Repeat,FitnessEvaluateCountReachTarget
14,878
Repeat,FitnessEvaluateCountReachTarget
15,878
Repeat,FitnessEvaluateCountReachTarget
16,1039
Repeat,FitnessEvaluateCountReachTarget
17,878
Repeat,FitnessEvaluateCountReachTarget
18,1197
Repeat,FitnessEvaluateCountReachTarget
19,959
Repeat,FitnessEvaluateCountReachTarget
20,80080
Repeat,FitnessEvaluateCountReachTarget
21,1038
Repeat,FitnessEvaluateCountReachTarget
22,1039
Repeat,FitnessEvaluateCountReachTarget
23,1196
Repeat,FitnessEvaluateCountReachTarget
24,799
Repeat,FitnessEvaluateCountReachTarget
25,719
Repeat,FitnessEvaluateCountReachTarget
26,80080
Repeat,FitnessEvaluateCountReachTarget
27,799
Repeat,FitnessEvaluateCountReachTarget
28,1278
Repeat,FitnessEvaluateCountReachTarget
29,799
Repeat,FitnessEvaluateCountReachTarget
30,879
Repeat,FitnessEvaluateCountReachTarget
31,80080
Repeat,FitnessEvaluateCountReachTarget
32,953
Repeat,FitnessEvaluateCountReachTarget
33,80080
Repeat,FitnessEvaluateCountReachTarget
34,1119
Repeat,FitnessEvaluateCountReachTarget
35,559
Repeat,FitnessEvaluateCountReachTarget
36,639
Repeat,FitnessEvaluateCountReachTarget
37,80080
Repeat,FitnessEvaluateCountReachTarget
38,958
Repeat,FitnessEvaluateCountReachTarget
39,80080
Repeat,FitnessEvaluateCountReachTarget
40,959
Repeat,FitnessEvaluateCountReachTarget
41,879
Repeat,FitnessEvaluateCountReachTarget
42,80080
Repeat,FitnessEvaluateCountReachTarget
43,959
Repeat,FitnessEvaluateCountReachTarget
44,958
Repeat,FitnessEvaluateCountReachTarget
45,958
Repeat,FitnessEvaluateCountReachTarget
46,957
Repeat,FitnessEvaluateCountReachTarget
47,719
Repeat,FitnessEvaluateCountReachTarget
48,1034
Repeat,FitnessEvaluateCountReachTarget
49,879
Repeat,FitnessEvaluateCountReachTarget
50,1038
Repeat,FitnessEvaluateCountReachTarget
51,877
Repeat,FitnessEvaluateCountReachTarget
52,80080
Repeat,FitnessEvaluateCountReachTarget
53,719
Repeat,FitnessEvaluateCountReachTarget
54,958
Repeat,FitnessEvaluateCountReachTarget
55,879
Repeat,FitnessEvaluateCountReachTarget
56,1119
Repeat,FitnessEvaluateCountReachTarget
57,80080
Repeat,FitnessEvaluateCountReachTarget
58,879
Repeat,FitnessEvaluateCountReachTarget
59,879
Repeat,FitnessEvaluateCountReachTarget
60,956
Repeat,FitnessEvaluateCountReachTarget
61,1119
Repeat,FitnessEvaluateCountReachTarget
62,719
Repeat,FitnessEvaluateCountReachTarget
63,718
Repeat,FitnessEvaluateCountReachTarget
64,80080
Repeat,FitnessEvaluateCountReachTarget
65,1039
Repeat,FitnessEvaluateCountReachTarget
66,80080
Repeat,FitnessEvaluateCountReachTarget
67,639
Repeat,FitnessEvaluateCountReachTarget
68,1039
Repeat,FitnessEvaluateCountReachTarget
69,796
Repeat,FitnessEvaluateCountReachTarget
70,799
Repeat,FitnessEvaluateCountReachTarget
71,1116
Repeat,FitnessEvaluateCountReachTarget
72,80080
Repeat,FitnessEvaluateCountReachTarget
73,959
Repeat,FitnessEvaluateCountReachTarget
74,639
Repeat,FitnessEvaluateCountReachTarget
75,80080
Repeat,FitnessEvaluateCountReachTarget
76,879
Repeat,FitnessEvaluateCountReachTarget
77,958
Repeat,FitnessEvaluateCountReachTarget
78,559
Repeat,FitnessEvaluateCountReachTarget
79,798
Repeat,FitnessEvaluateCountReachTarget
80,959
Repeat,FitnessEvaluateCountReachTarget
81,799
Repeat,FitnessEvaluateCountReachTarget
82,957
Repeat,FitnessEvaluateCountReachTarget
83,878
Repeat,FitnessEvaluateCountReachTarget
84,959
Repeat,FitnessEvaluateCountReachTarget
85,1039
Repeat,FitnessEvaluateCountReachTarget
86,1119
Repeat,FitnessEvaluateCountReachTarget
87,80080
Repeat,FitnessEvaluateCountReachTarget
88,957
Repeat,FitnessEvaluateCountReachTarget
89,719
Repeat,FitnessEvaluateCountReachTarget
90,879
Repeat,FitnessEvaluateCountReachTarget
91,718
Repeat,FitnessEvaluateCountReachTarget
92,1119
Repeat,FitnessEvaluateCountReachTarget
93,1359
Repeat,FitnessEvaluateCountReachTarget
94,878
Repeat,FitnessEvaluateCountReachTarget
95,1199
Repeat,FitnessEvaluateCountReachTarget
96,718
Repeat,FitnessEvaluateCountReachTarget
97,80080
Repeat,FitnessEvaluateCountReachTarget
98,80080
Repeat,FitnessEvaluateCountReachTarget
99,959
