Repeat,FitnessEvaluateCountReachTarget
0,14909
Repeat,FitnessEvaluateCountReachTarget
1,538
Repeat,FitnessEvaluateCountReachTarget
2,15030
Repeat,FitnessEvaluateCountReachTarget
3,6569
Repeat,FitnessEvaluateCountReachTarget
4,7829
Repeat,FitnessEvaluateCountReachTarget
5,599
Repeat,FitnessEvaluateCountReachTarget
6,418
Repeat,FitnessEvaluateCountReachTarget
7,15030
Repeat,FitnessEvaluateCountReachTarget
8,15030
Repeat,FitnessEvaluateCountReachTarget
9,15030
Repeat,FitnessEvaluateCountReachTarget
10,449
Repeat,FitnessEvaluateCountReachTarget
11,8189
Repeat,FitnessEvaluateCountReachTarget
12,359
Repeat,FitnessEvaluateCountReachTarget
13,15030
Repeat,FitnessEvaluateCountReachTarget
14,15030
Repeat,FitnessEvaluateCountReachTarget
15,15030
Repeat,FitnessEvaluateCountReachTarget
16,15030
Repeat,FitnessEvaluateCountReachTarget
17,1589
Repeat,FitnessEvaluateCountReachTarget
18,15030
Repeat,FitnessEvaluateCountReachTarget
19,15030
Repeat,FitnessEvaluateCountReachTarget
20,569
Repeat,FitnessEvaluateCountReachTarget
21,15030
Repeat,FitnessEvaluateCountReachTarget
22,15030
Repeat,FitnessEvaluateCountReachTarget
23,539
Repeat,FitnessEvaluateCountReachTarget
24,14369
Repeat,FitnessEvaluateCountReachTarget
25,329
Repeat,FitnessEvaluateCountReachTarget
26,539
Repeat,FitnessEvaluateCountReachTarget
27,15030
Repeat,FitnessEvaluateCountReachTarget
28,15030
Repeat,FitnessEvaluateCountReachTarget
29,15030
Repeat,FitnessEvaluateCountReachTarget
30,417
Repeat,FitnessEvaluateCountReachTarget
31,15030
Repeat,FitnessEvaluateCountReachTarget
32,15030
Repeat,FitnessEvaluateCountReachTarget
33,15030
Repeat,FitnessEvaluateCountReachTarget
34,389
Repeat,FitnessEvaluateCountReachTarget
35,15030
Repeat,FitnessEvaluateCountReachTarget
36,15030
Repeat,FitnessEvaluateCountReachTarget
37,839
Repeat,FitnessEvaluateCountReachTarget
38,15030
Repeat,FitnessEvaluateCountReachTarget
39,239
Repeat,FitnessEvaluateCountReachTarget
40,15030
Repeat,FitnessEvaluateCountReachTarget
41,15030
Repeat,FitnessEvaluateCountReachTarget
42,15030
Repeat,FitnessEvaluateCountReachTarget
43,15030
Repeat,FitnessEvaluateCountReachTarget
44,1049
Repeat,FitnessEvaluateCountReachTarget
45,15030
Repeat,FitnessEvaluateCountReachTarget
46,15030
Repeat,FitnessEvaluateCountReachTarget
47,599
Repeat,FitnessEvaluateCountReachTarget
48,12149
Repeat,FitnessEvaluateCountReachTarget
49,15030
Repeat,FitnessEvaluateCountReachTarget
50,15030
Repeat,FitnessEvaluateCountReachTarget
51,989
Repeat,FitnessEvaluateCountReachTarget
52,779
Repeat,FitnessEvaluateCountReachTarget
53,15030
Repeat,FitnessEvaluateCountReachTarget
54,15030
Repeat,FitnessEvaluateCountReachTarget
55,419
Repeat,FitnessEvaluateCountReachTarget
56,479
Repeat,FitnessEvaluateCountReachTarget
57,15030
Repeat,FitnessEvaluateCountReachTarget
58,15030
Repeat,FitnessEvaluateCountReachTarget
59,779
Repeat,FitnessEvaluateCountReachTarget
60,15030
Repeat,FitnessEvaluateCountReachTarget
61,3719
Repeat,FitnessEvaluateCountReachTarget
62,478
Repeat,FitnessEvaluateCountReachTarget
63,15030
Repeat,FitnessEvaluateCountReachTarget
64,478
Repeat,FitnessEvaluateCountReachTarget
65,15030
Repeat,FitnessEvaluateCountReachTarget
66,15030
Repeat,FitnessEvaluateCountReachTarget
67,6209
Repeat,FitnessEvaluateCountReachTarget
68,2699
Repeat,FitnessEvaluateCountReachTarget
69,479
Repeat,FitnessEvaluateCountReachTarget
70,15030
Repeat,FitnessEvaluateCountReachTarget
71,839
Repeat,FitnessEvaluateCountReachTarget
72,15030
Repeat,FitnessEvaluateCountReachTarget
73,718
Repeat,FitnessEvaluateCountReachTarget
74,15030
Repeat,FitnessEvaluateCountReachTarget
75,539
Repeat,FitnessEvaluateCountReachTarget
76,15030
Repeat,FitnessEvaluateCountReachTarget
77,15030
Repeat,FitnessEvaluateCountReachTarget
78,449
Repeat,FitnessEvaluateCountReachTarget
79,15030
Repeat,FitnessEvaluateCountReachTarget
80,419
Repeat,FitnessEvaluateCountReachTarget
81,15030
Repeat,FitnessEvaluateCountReachTarget
82,539
Repeat,FitnessEvaluateCountReachTarget
83,7289
Repeat,FitnessEvaluateCountReachTarget
84,15030
Repeat,FitnessEvaluateCountReachTarget
85,15030
Repeat,FitnessEvaluateCountReachTarget
86,7889
Repeat,FitnessEvaluateCountReachTarget
87,1228
Repeat,FitnessEvaluateCountReachTarget
88,15030
Repeat,FitnessEvaluateCountReachTarget
89,15030
Repeat,FitnessEvaluateCountReachTarget
90,389
Repeat,FitnessEvaluateCountReachTarget
91,4348
Repeat,FitnessEvaluateCountReachTarget
92,629
Repeat,FitnessEvaluateCountReachTarget
93,2279
Repeat,FitnessEvaluateCountReachTarget
94,389
Repeat,FitnessEvaluateCountReachTarget
95,508
Repeat,FitnessEvaluateCountReachTarget
96,478
Repeat,FitnessEvaluateCountReachTarget
97,7468
Repeat,FitnessEvaluateCountReachTarget
98,329
Repeat,FitnessEvaluateCountReachTarget
99,15030
