Repeat,FitnessEvaluateCountReachTarget
0,419
Repeat,FitnessEvaluateCountReachTarget
1,299
Repeat,FitnessEvaluateCountReachTarget
2,418
Repeat,FitnessEvaluateCountReachTarget
3,299
Repeat,FitnessEvaluateCountReachTarget
4,266
Repeat,FitnessEvaluateCountReachTarget
5,719
Repeat,FitnessEvaluateCountReachTarget
6,569
Repeat,FitnessEvaluateCountReachTarget
7,209
Repeat,FitnessEvaluateCountReachTarget
8,299
Repeat,FitnessEvaluateCountReachTarget
9,389
Repeat,FitnessEvaluateCountReachTarget
10,2909
Repeat,FitnessEvaluateCountReachTarget
11,299
Repeat,FitnessEvaluateCountReachTarget
12,359
Repeat,FitnessEvaluateCountReachTarget
13,328
Repeat,FitnessEvaluateCountReachTarget
14,1019
Repeat,FitnessEvaluateCountReachTarget
15,449
Repeat,FitnessEvaluateCountReachTarget
16,328
Repeat,FitnessEvaluateCountReachTarget
17,329
Repeat,FitnessEvaluateCountReachTarget
18,359
Repeat,FitnessEvaluateCountReachTarget
19,449
Repeat,FitnessEvaluateCountReachTarget
20,269
Repeat,FitnessEvaluateCountReachTarget
21,446
Repeat,FitnessEvaluateCountReachTarget
22,358
Repeat,FitnessEvaluateCountReachTarget
23,718
Repeat,FitnessEvaluateCountReachTarget
24,419
Repeat,FitnessEvaluateCountReachTarget
25,389
Repeat,FitnessEvaluateCountReachTarget
26,359
Repeat,FitnessEvaluateCountReachTarget
27,689
Repeat,FitnessEvaluateCountReachTarget
28,389
Repeat,FitnessEvaluateCountReachTarget
29,388
Repeat,FitnessEvaluateCountReachTarget
30,629
Repeat,FitnessEvaluateCountReachTarget
31,598
Repeat,FitnessEvaluateCountReachTarget
32,599
Repeat,FitnessEvaluateCountReachTarget
33,569
Repeat,FitnessEvaluateCountReachTarget
34,419
Repeat,FitnessEvaluateCountReachTarget
35,299
Repeat,FitnessEvaluateCountReachTarget
36,298
Repeat,FitnessEvaluateCountReachTarget
37,13109
Repeat,FitnessEvaluateCountReachTarget
38,449
Repeat,FitnessEvaluateCountReachTarget
39,389
Repeat,FitnessEvaluateCountReachTarget
40,209
Repeat,FitnessEvaluateCountReachTarget
41,388
Repeat,FitnessEvaluateCountReachTarget
42,299
Repeat,FitnessEvaluateCountReachTarget
43,358
Repeat,FitnessEvaluateCountReachTarget
44,509
Repeat,FitnessEvaluateCountReachTarget
45,989
Repeat,FitnessEvaluateCountReachTarget
46,389
Repeat,FitnessEvaluateCountReachTarget
47,299
Repeat,FitnessEvaluateCountReachTarget
48,419
Repeat,FitnessEvaluateCountReachTarget
49,5459
Repeat,FitnessEvaluateCountReachTarget
50,449
Repeat,FitnessEvaluateCountReachTarget
51,479
Repeat,FitnessEvaluateCountReachTarget
52,569
Repeat,FitnessEvaluateCountReachTarget
53,299
Repeat,FitnessEvaluateCountReachTarget
54,359
Repeat,FitnessEvaluateCountReachTarget
55,268
Repeat,FitnessEvaluateCountReachTarget
56,298
Repeat,FitnessEvaluateCountReachTarget
57,749
Repeat,FitnessEvaluateCountReachTarget
58,659
Repeat,FitnessEvaluateCountReachTarget
59,329
Repeat,FitnessEvaluateCountReachTarget
60,357
Repeat,FitnessEvaluateCountReachTarget
61,299
Repeat,FitnessEvaluateCountReachTarget
62,359
Repeat,FitnessEvaluateCountReachTarget
63,267
Repeat,FitnessEvaluateCountReachTarget
64,298
Repeat,FitnessEvaluateCountReachTarget
65,208
Repeat,FitnessEvaluateCountReachTarget
66,299
Repeat,FitnessEvaluateCountReachTarget
67,569
Repeat,FitnessEvaluateCountReachTarget
68,389
Repeat,FitnessEvaluateCountReachTarget
69,209
Repeat,FitnessEvaluateCountReachTarget
70,539
Repeat,FitnessEvaluateCountReachTarget
71,389
Repeat,FitnessEvaluateCountReachTarget
72,418
Repeat,FitnessEvaluateCountReachTarget
73,688
Repeat,FitnessEvaluateCountReachTarget
74,659
Repeat,FitnessEvaluateCountReachTarget
75,449
Repeat,FitnessEvaluateCountReachTarget
76,389
Repeat,FitnessEvaluateCountReachTarget
77,15030
Repeat,FitnessEvaluateCountReachTarget
78,389
Repeat,FitnessEvaluateCountReachTarget
79,479
Repeat,FitnessEvaluateCountReachTarget
80,418
Repeat,FitnessEvaluateCountReachTarget
81,299
Repeat,FitnessEvaluateCountReachTarget
82,479
Repeat,FitnessEvaluateCountReachTarget
83,569
Repeat,FitnessEvaluateCountReachTarget
84,13289
Repeat,FitnessEvaluateCountReachTarget
85,358
Repeat,FitnessEvaluateCountReachTarget
86,509
Repeat,FitnessEvaluateCountReachTarget
87,569
Repeat,FitnessEvaluateCountReachTarget
88,357
Repeat,FitnessEvaluateCountReachTarget
89,599
Repeat,FitnessEvaluateCountReachTarget
90,357
Repeat,FitnessEvaluateCountReachTarget
91,449
Repeat,FitnessEvaluateCountReachTarget
92,478
Repeat,FitnessEvaluateCountReachTarget
93,269
Repeat,FitnessEvaluateCountReachTarget
94,389
Repeat,FitnessEvaluateCountReachTarget
95,299
Repeat,FitnessEvaluateCountReachTarget
96,359
Repeat,FitnessEvaluateCountReachTarget
97,239
Repeat,FitnessEvaluateCountReachTarget
98,658
Repeat,FitnessEvaluateCountReachTarget
99,358
