Repeat,Generation,X1,F(x)
0,0,000110001100011110110101010100000000000011100000010010010000,41,
0,10,100000100000000100110000100010011000000010001000010010000000,48,
0,20,000000000000000000010000100010000000000000001000000000000000,56,
0,30,000000000000000000000000000010000000000000001000000000000000,58,
0,40,000000000000000000000000000010000000000000000000000000000000,59,
0,50,000000000000000000000000000000000000000000000000000000000000,60,
0,60,000000000000000000000000000000000000000000000000000000000000,60,
0,70,000000000000000000000000000000000000000000000000000000000000,60,
0,80,000000000000000000000000000000000000000000000000000000000000,60,
0,90,000000000000000000000000000000000000000000000000000000000000,60,
0,100,000000000000000000000000000000000000000000000000000000000000,60,
0,110,000000000000000000000000000000000000000000000000000000000000,60,
0,120,000000000000000000000000000000000000000000000000000000000000,60,
0,130,000000000000000000000000000000000000000000000000000000000000,60,
0,140,000000000000000000000000000000000000000000000000000000000000,60,
0,150,000000000000000000000000000000000000000000000000000000000000,60,
0,160,000000000000000000000000000000000000000000000000000000000000,60,
0,170,000000000000000000000000000000000000000000000000000000000000,60,
0,180,000000000000000000000000000000000000000000000000000000000000,60,
0,190,000000000000000000000000000000000000000000000000000000000000,60,
0,200,000000000000000000000000000000000000000000000000000000000000,60,
0,210,000000000000000000000000000000000000000000000000000000000000,60,
0,220,000000000000000000000000000000000000000000000000000000000000,60,
0,230,000000000000000000000000000000000000000000000000000000000000,60,
0,240,000000000000000000000000000000000000000000000000000000000000,60,
0,250,000000000000000000000000000000000000000000000000000000000000,60,
0,260,000000000000000000000000000000000000000000000000000000000000,60,
0,270,000000000000000000000000000000000000000000000000000000000000,60,
0,280,000000000000000000000000000000000000000000000000000000000000,60,
0,290,000000000000000000000000000000000000000000000000000000000000,60,
0,300,000000000000000000000000000000000000000000000000000000000000,60,
0,310,000000000000000000000000000000000000000000000000000000000000,60,
0,320,000000000000000000000000000000000000000000000000000000000000,60,
0,330,000000000000000000000000000000000000000000000000000000000000,60,
0,340,000000000000000000000000000000000000000000000000000000000000,60,
0,350,000000000000000000000000000000000000000000000000000000000000,60,
0,360,000000000000000000000000000000000000000000000000000000000000,60,
0,370,000000000000000000000000000000000000000000000000000000000000,60,
0,380,000000000000000000000000000000000000000000000000000000000000,60,
0,390,000000000000000000000000000000000000000000000000000000000000,60,
0,400,000000000000000000000000000000000000000000000000000000000000,60,
0,410,000000000000000000000000000000000000000000000000000000000000,60,
0,420,000000000000000000000000000000000000000000000000000000000000,60,
0,430,000000000000000000000000000000000000000000000000000000000000,60,
0,440,000000000000000000000000000000000000000000000000000000000000,60,
0,450,000000000000000000000000000000000000000000000000000000000000,60,
0,460,000000000000000000000000000000000000000000000000000000000000,60,
0,470,000000000000000000000000000000000000000000000000000000000000,60,
0,480,000000000000000000000000000000000000000000000000000000000000,60,
0,490,000000000000000000000000000000000000000000000000000000000000,60,
0,500,000000000000000000000000000000000000000000000000000000000000,60,
Repeat,Generation,X1,F(x)
1,0,111001000000001001011000111101000100000100010000100100010011,39,
1,10,000000000000000000000000000000000010001000001000000000010000,56,
1,20,000000000000000000000000000000000000001000000000000000000000,59,
1,30,000000000000000000000000000000000000000000000000000000000000,60,
1,40,000000000000000000000000000000000000000000000000000000000000,60,
1,50,000000000000000000000000000000000000000000000000000000000000,60,
1,60,000000000000000000000000000000000000000000000000000000000000,60,
1,70,000000000000000000000000000000000000000000000000000000000000,60,
1,80,000000000000000000000000000000000000000000000000000000000000,60,
1,90,000000000000000000000000000000000000000000000000000000000000,60,
1,100,000000000000000000000000000000000000000000000000000000000000,60,
1,110,000000000000000000000000000000000000000000000000000000000000,60,
