Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,-2.008880886257515374637705463101156055927276611328125,6.71086764122440371238553780131042003631591796875,-1.8042542802209542429636712768115103244781494140625,4.3441572313608194377820836962200701236724853515625,4.854579302346873959095319150947034358978271484375,6.72276985992004227910001645796000957489013671875,0.41047395245216211634442515787668526172637939453125,-0.5435346537675105338394132559187710285186767578125,-4.23001800592059051808746517053805291652679443359375,-4.75280007324442266281039337627589702606201171875,-181.15893010699431897592148743569850921630859375,
0,10,-0.33158360545670984009802850778214633464813232421875,1.04129154332102391578018796280957758426666259765625,1.47618030335398398023016852675937116146087646484375,2.87652211066011442852641266654245555400848388671875,4.72960600604266545587961445562541484832763671875,-1.115756706442457169004001116263680160045623779296875,0.25803399761955603253227309323847293853759765625,-4.71205786309396668087856596685014665126800537109375,0.96758934293649101476830765022896230220794677734375,-0.6877346110415967217477373196743428707122802734375,-59.03221095869083256957310368306934833526611328125,
0,20,-0.33158360545670984009802850778214633464813232421875,1.04129154332102391578018796280957758426666259765625,1.47618030335398398023016852675937116146087646484375,2.87652211066011442852641266654245555400848388671875,4.72960600604266545587961445562541484832763671875,-1.115756706442457169004001116263680160045623779296875,0.25803399761955603253227309323847293853759765625,-4.71205786309396668087856596685014665126800537109375,0.96758934293649101476830765022896230220794677734375,-0.6877346110415967217477373196743428707122802734375,-59.03221095869083256957310368306934833526611328125,
0,30,-0.33204138309884978497166230226866900920867919921875,1.04815820795312308888469488010741770267486572265625,-4.14899136326181849909744414617307484149932861328125,-1.28467665639210171235617963247932493686676025390625,1.04083376567888397090655416832305490970611572265625,3.155308694723348850175170809961855411529541015625,0.25711844233527614278500550426542758941650390625,1.03030487990966523881297689513303339481353759765625,-2.78389843440046380607100218185223639011383056640625,0.4974517044587543068701052106916904449462890625,-41.53238953322100002196748391725122928619384765625,
0,40,-0.33204138309884978497166230226866900920867919921875,0.6892605365153965379931833012960851192474365234375,-0.39933469649342345775266949203796684741973876953125,-2.923978392895290934205831945291720330715179443359375,1.09302041688283946285764614003710448741912841796875,3.155308694723348850175170809961855411529541015625,0.25894955290383681045796038233675062656402587890625,0.91311380352183579844904670608229935169219970703125,-2.78572954496902358556553735979832708835601806640625,0.4969939268166143619964714162051677703857421875,-30.341243198489987520360955386422574520111083984375,
0,50,-0.33433027130954950933983127470128238201141357421875,-1.1803033539841916166324153891764581203460693359375,-0.51057466353343361475936035276390612125396728515625,-2.397076326792199285620199589175172150135040283203125,0.894802697836237115325275226496160030364990234375,3.156224250007628739922438398934900760650634765625,0.22965178380687945036697783507406711578369140625,1.03076265755180518368661068961955606937408447265625,-2.78984954374828308942824151017703115940093994140625,0.48509170812097490710357305943034589290618896484375,-27.597443502619132260633705300278961658477783203125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,0.7872249519333482936644941219128668308258056640625,-3.428907132175664340678622465929947793483734130859375,3.04864650410473814190481789410114288330078125,2.81289101840266031473447583266533911228179931640625,0.64119388409070143808321518008597195148468017578125,-2.91024506363109214390760826063342392444610595703125,-0.1901303140354624332530875108204782009124755859375,-0.52705465865047163021017695427872240543365478515625,-4.89516891994994995940260196221061050891876220703125,4.5423749504074226734928743098862469196319580078125,-105.406045228871761310074361972510814666748046875,
1,10,1.3177892391735586130607771337963640689849853515625,2.627948850978118144894324359484016895294189453125,-2.862178411206396599908430289360694587230682373046875,1.1896114993743704957296358770690858364105224609375,-1.24485000152592562017161981202661991119384765625,-4.21720023194067206162571892491541802883148193359375,2.3230689413129059772700202302075922489166259765625,-1.899472029786064997125549780321307480335235595703125,-0.5375835444196912504821739275939762592315673828125,3.25876644184697994433008716441690921783447265625,-57.4978285491129810225174878723919391632080078125,
1,20,1.3113803521835993848299040109850466251373291015625,2.6622821741386157867736983462236821651458740234375,-4.15082247383037827859197932411916553974151611328125,1.1708426160466327559106503031216561794281005859375,-0.89693899349955774624731930089183151721954345703125,-2.942747276223029562203237219364382326602935791015625,2.16238898892178088573245986481197178363800048828125,-1.896725363933225327883747013402171432971954345703125,-0.79485457930234648671330432989634573459625244140625,3.1044953764458131928449802217073738574981689453125,-55.50622669435916378688489203341305255889892578125,
