Repeat,Generation,X1,X2,F(x)
0,0,-6.92251350444044266652099395287223160266876220703125,7.17154454176458244774039485491812229156494140625,35.87665952871524410738857113756239414215087890625,
0,10,-6.9426557206946011291393006104044616222381591796875,4.9125644703512687527791058528237044811248779296875,140.300895958086272230502800084650516510009765625,
0,20,-7.09341715750602741508146209525875747203826904296875,4.863734855189672856567995040677487850189208984375,186.438420087814421322036650963127613067626953125,
0,30,-7.09097567674794770908874852466396987438201904296875,4.855800042725913812091675936244428157806396484375,186.595652154455592608428560197353363037109375,
0,40,-7.09097567674794770908874852466396987438201904296875,4.858241523483993518084389506839215755462646484375,186.6074275677614195956266485154628753662109375,
0,50,-7.09036530655842778259057013201527297496795654296875,4.858241523483993518084389506839215755462646484375,186.62677864185110365724540315568447113037109375,
Repeat,Generation,X1,X2,F(x)
1,0,-7.875911740470595390206653974018990993499755859375,5.361796929837947089936278644017875194549560546875,106.722640368105288644073880277574062347412109375,
1,10,-7.7019562364574110091552938683889806270599365234375,5.5235450300607329410240708966739475727081298828125,183.0168390279762888894765637814998626708984375,
1,20,-7.7074495681630903476388994022272527217864990234375,5.4838709677419359422856359742581844329833984375,186.726928401554687297903001308441162109375,
1,30,-7.7074495681630903476388994022272527217864990234375,5.4838709677419359422856359742581844329833984375,186.726928401554687297903001308441162109375,
1,40,-7.7074495681630903476388994022272527217864990234375,5.4838709677419359422856359742581844329833984375,186.726928401554687297903001308441162109375,
1,50,-7.7074495681630903476388994022272527217864990234375,5.4838709677419359422856359742581844329833984375,186.726928401554687297903001308441162109375,
Repeat,Generation,X1,X2,F(x)
2,0,-0.7028412732322149025776525377295911312103271484375,-0.382396923734244609249799395911395549774169921875,50.7229814096357785047075594775378704071044921875,
2,10,4.9040192876979897818046083557419478893280029296875,-7.2045045319986567022851886576972901821136474609375,150.819865960128453252764302305877208709716796875,
2,20,-7.6909695730460523321880828007124364376068115234375,-7.09830011902218682706688923644833266735076904296875,185.544054088649545519729144871234893798828125,
2,30,-7.6946317941831718911771531566046178340911865234375,-7.0787682729575482909467609715647995471954345703125,186.2435524138198843502323143184185028076171875,
2,40,-7.6946317941831718911771531566046178340911865234375,-7.08243049409466873811425102758221328258514404296875,186.290458538812828237496432848274707794189453125,
2,50,-7.71416364024781042729728142148815095424652099609375,-7.08426160466322851760878620552830398082733154296875,186.650037024711451749681145884096622467041015625,
Repeat,Generation,X1,X2,F(x)
