Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,1.6761272602426178224277464323677122592926025390625,-2.26390478370336456492850629729218780994415283203125,-4.29915312428473317396537822787649929523468017578125,-4.904554818036164220984574058093130588531494140625,5.5999084458686212428801809437572956085205078125,1.6669718471046000018986887880600988864898681640625,1.135271229114213298316826694644987583160400390625,1.5749599450675209055816594627685844898223876953125,-2.388189517051956922699673668830655515193939208984375,0.17692835889219526990245867636986076831817626953125,-106.0180192680212485356605611741542816162109375,
0,10,6.4238956282902250904953689314424991607666015625,-1.326619363698787079641761010861955583095550537109375,3.3602655069810030141752577037550508975982666015625,0.6397344930189969858247422962449491024017333984375,-2.78210116731517498323000836535356938838958740234375,1.69741359578851014333622515550814568996429443359375,-2.451590753032730329863397855660878121852874755859375,-0.4373998626688031521325683570466935634613037109375,-1.13595788509956552303492571809329092502593994140625,1.81483176928358869162138944375328719615936279296875,-76.134586419479092000983655452728271484375,
0,20,-1.19432364385442912890766820055432617664337158203125,-1.27168688487067971237820529495365917682647705078125,2.79079880979629280091103282757103443145751953125,-3.112611581597619636596618875046260654926300048828125,-2.840695811398489478705187138984911143779754638671875,2.15312428473334893652690880117006599903106689453125,1.0375371938658730641691363416612148284912109375,-3.24765392538338293348942897864617407321929931640625,0.82833600366216497690174946910701692104339599609375,2.28725108720531000727760329027660191059112548828125,-54.81575460567005819711994263343513011932373046875,
0,30,0.79835202563515661466908568399958312511444091796875,-1.337376974135958018763403742923401296138763427734375,-3.667429617761501337014351520338095724582672119140625,-3.111924925612268300056939551723189651966094970703125,-1.4632639047837034951271562022157013416290283203125,2.15312428473334893652690880117006599903106689453125,0.09933623254749424091869514086283743381500244140625,-0.4341954680704969149473981815390288829803466796875,0.7084000915541306397926746285520493984222412109375,1.82581826504921007625625861692242324352264404296875,-38.797279124713668352342210710048675537109375,
0,40,-1.08285648889906127578797168098390102386474609375,-1.27145799954222926686497885384596884250640869140625,3.018081940947585195544888847507536411285400390625,-3.074616617074845681401029651169665157794952392578125,-1.377660791943236429091257377876900136470794677734375,2.17074845502403324104534476646222174167633056640625,0.12863355458915126661167960264720022678375244140625,-0.4303044174868393412225486827082931995391845703125,0.7118333714808873224910712451674044132232666015625,-0.049210345616845785343684838153421878814697265625,-33.44222130093243805504243937321007251739501953125,
0,50,-1.083543144884412612327651004306972026824951171875,-1.27145799954222926686497885384596884250640869140625,3.01785305561913475003166240639984607696533203125,-3.091783016708629094893012734246440231800079345703125,-1.612497138933394413840005654492415487766265869140625,2.05630579079880959625370451249182224273681640625,0.12863355458915126661167960264720022678375244140625,-0.4312199588006411232754544471390545368194580078125,0.7065690089265270756868630996905267238616943359375,-0.049210345616845785343684838153421878814697265625,-29.107899862509352573169962852261960506439208984375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,3.2645914396887167896466053207404911518096923828125,4.74227512016479835210702731274068355560302734375,4.64705882352941301860482781194150447845458984375,0.6168459601739524345020981854759156703948974609375,-4.118333714808880330338070052675902843475341796875,7.005493247882810692317434586584568023681640625,-4.5502403295948727901532038231380283832550048828125,-2.474250400549324435672815525322221219539642333984375,2.33394369420920089197579727624543011188507080078125,-2.21721217669947368023031231132335960865020751953125,-161.074500387695053404968348331749439239501953125,
1,10,3.749141680018311717503820545971393585205078125,4.3101396200503554467786671011708676815032958984375,1.1126115815976191925074090249836444854736328125,-4.26390478370336456492850629729218780994415283203125,1.196154726482031804835060029290616512298583984375,-2.369649805447470836128331939107738435268402099609375,1.051041428244449349449496367014944553375244140625,5.4250400549324790944183405372314155101776123046875,-3.652094300755321487628179966122843325138092041015625,-0.81139848935683200892299282713793218135833740234375,-103.6391274583200043934994027949869632720947265625,
1,20,5.3996337834744796424502055742777884006500244140625,3.845044632639048387545699370093643665313720703125,0.93636987869077525914462967193685472011566162109375,-1.4531929503318838925451927934773266315460205078125,2.5088120851453421522592179826460778713226318359375,-1.30556191348134564833571857889182865619659423828125,2.773632410162509387419049744494259357452392578125,-1.29549095902952604575375517015345394611358642578125,-4.5749599450675209055816594627685844898223876953125,1.984664682993820150613828445784747600555419921875,-93.277510021229090853012166917324066162109375,
