Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,-8.5882352941176467453487930470146238803863525390625,3.333333333333332149095440399833023548126220703125,1.529411764705880472092758282087743282318115234375,-6.70588235294117662732560347649268805980682373046875,-2.70588235294117662732560347649268805980682373046875,1.450980392156861142893831129185855388641357421875,1.9215686274509806708010728470981121063232421875,7.41176470588235503100804635323584079742431640625,-2.6274509803921564099482566234655678272247314453125,-3.098039215686274161498658941127359867095947265625,-134423.4816758586675859987735748291015625,
0,10,-7.88235294117647100620160927064716815948486328125,-4.19607843137254832299731788225471973419189453125,4.03921568627450966459946357645094394683837890625,2.941176470588235503100804635323584079742431640625,2.862745098039216173901877482421696186065673828125,1.294117647058822484495976823382079601287841796875,0.5098039215686274161498658941127359867095947265625,-1.058823529411764496899195364676415920257568359375,1.215686274509803155297049670480191707611083984375,0.5882352941176467453487930470146238803863525390625,-9647.47512232082590344361960887908935546875,
0,20,-8.5098039215686274161498658941127359867095947265625,-0.4313725490196080869509387412108480930328369140625,3.098039215686274161498658941127359867095947265625,2.7843137254901950683461109292693436145782470703125,-2.15686274509803954657627400592900812625885009765625,1.215686274509803155297049670480191707611083984375,0.27450980392156765219624503515660762786865234375,-0.823529411764706509302413905970752239227294921875,0.6666666666666660745477201999165117740631103515625,1.7647058823529420124032185412943363189697265625,-2741.9861507440791683620773255825042724609375,
0,30,0.8235294117647047329455745057202875614166259765625,-1.6862745098039209068474519881419837474822998046875,0.27450980392156765219624503515660762786865234375,0.11764705882352899379839072935283184051513671875,0.980392156862745167700268211774528026580810546875,0.9019607843137240621445016586221754550933837890625,0.19607843137254832299731788225471973419189453125,-0.03921568627450966459946357645094394683837890625,0.6666666666666660745477201999165117740631103515625,1.843137254901961341602145694196224212646484375,-464.79526048080509781357250176370143890380859375,
0,40,3.411764705882351478294367552734911441802978515625,-1.6862745098039209068474519881419837474822998046875,0.27450980392156765219624503515660762786865234375,0.11764705882352899379839072935283184051513671875,0.3529411764705887577520115883089601993560791015625,0.7450980392156854037466473528183996677398681640625,0.3529411764705887577520115883089601993560791015625,-0.1960784313725500993541572825051844120025634765625,1.058823529411764496899195364676415920257568359375,0.5882352941176467453487930470146238803863525390625,-87.250243266977491884972550906240940093994140625,
0,50,3.333333333333332149095440399833023548126220703125,-1.372549019607841813694903976283967494964599609375,0.19607843137254832299731788225471973419189453125,0.4313725490196080869509387412108480930328369140625,0.5882352941176467453487930470146238803863525390625,0.6666666666666660745477201999165117740631103515625,0.4313725490196080869509387412108480930328369140625,-0.2745098039215694285530844354070723056793212890625,1.058823529411764496899195364676415920257568359375,0.5882352941176467453487930470146238803863525390625,-72.718397723881338379214867018163204193115234375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,2.941176470588235503100804635323584079742431640625,-4.58823529411764763352721274713985621929168701171875,4.6666666666666660745477201999165117740631103515625,2.3921568627450984223514751647599041461944580078125,-1.4509803921568629192506705294363200664520263671875,-5.9215686274509806708010728470981121063232421875,-0.11764705882352899379839072935283184051513671875,-4.901960784313725838501341058872640132904052734375,0.27450980392156765219624503515660762786865234375,-0.823529411764706509302413905970752239227294921875,-60024.659495113315642811357975006103515625,
1,10,2,2.7058823529411757391471837763674557209014892578125,-1.4509803921568629192506705294363200664520263671875,-2.86274509803921528572345778229646384716033935546875,-1.6862745098039209068474519881419837474822998046875,-0.5882352941176467453487930470146238803863525390625,-1.4509803921568629192506705294363200664520263671875,1.843137254901961341602145694196224212646484375,1.137254901960783826098122517578303813934326171875,1.137254901960783826098122517578303813934326171875,-2731.30884374314837259589694440364837646484375,
1,20,2,0.19607843137254832299731788225471973419189453125,-1.4509803921568629192506705294363200664520263671875,-3.098039215686274161498658941127359867095947265625,-1.843137254901961341602145694196224212646484375,-0.4313725490196080869509387412108480930328369140625,-1.4509803921568629192506705294363200664520263671875,1.294117647058822484495976823382079601287841796875,0.8235294117647047329455745057202875614166259765625,1.137254901960783826098122517578303813934326171875,-2646.9458833521712222136557102203369140625,
1,30,2.3137254901960790931525480118580162525177001953125,2.7058823529411757391471837763674557209014892578125,-1.372549019607841813694903976283967494964599609375,-1.137254901960783826098122517578303813934326171875,-1.843137254901961341602145694196224212646484375,-0.4313725490196080869509387412108480930328369140625,-1.372549019607841813694903976283967494964599609375,1.372549019607841813694903976283967494964599609375,2.0784313725490193291989271529018878936767578125,1.215686274509803155297049670480191707611083984375,-1533.678994164399455257807858288288116455078125,
1,40,2,0.7450980392156854037466473528183996677398681640625,-1.372549019607841813694903976283967494964599609375,-0.980392156862745167700268211774528026580810546875,-1.294117647058822484495976823382079601287841796875,-0.4313725490196080869509387412108480930328369140625,-0.2745098039215694285530844354070723056793212890625,1.215686274509803155297049670480191707611083984375,0.5098039215686274161498658941127359867095947265625,1.215686274509803155297049670480191707611083984375,-333.8527894440970840150839649140834808349609375,
1,50,2,0.7450980392156854037466473528183996677398681640625,-1.372549019607841813694903976283967494964599609375,-0.4313725490196080869509387412108480930328369140625,-1.5294117647058822484495976823382079601287841796875,-1.058823529411764496899195364676415920257568359375,-0.11764705882352899379839072935283184051513671875,0.11764705882352899379839072935283184051513671875,0.5098039215686274161498658941127359867095947265625,0.5882352941176467453487930470146238803863525390625,-268.278682185495881640235893428325653076171875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
2,0,1.058823529411764496899195364676415920257568359375,-5.84313725490196045342372599407099187374114990234375,0.11764705882352899379839072935283184051513671875,2,-4.3529411764705887577520115883089601993560791015625,2.4705882352941177515504023176617920398712158203125,6.31372549019607731679570861160755157470703125,-5.4509803921568629192506705294363200664520263671875,-2.5490196078431370807493294705636799335479736328125,1.7647058823529420124032185412943363189697265625,-85658.122327038014191202819347381591796875,
