Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,-3.5137254901960783826098122517578303813934326171875,1.867294117647059437103962409310042858123779296875,1.98776470588235287806355700013227760791778564453125,-2.469647058823529306437194463796913623809814453125,-2.871215686274509959474698916892521083354949951171875,-1.144470588235293906365086513687856495380401611328125,0.22086274509803960341969286673702299594879150390625,-1.5058823529411764496899195364676415920257568359375,1.22478431372549056987963922438211739063262939453125,-0.06023529411764716456900714547373354434967041015625,-39.25729862668205072395721799694001674652099609375,
0,10,0.94368627450980380189093921217136085033416748046875,0.90352941176470569217826778185553848743438720703125,0.622431372549019812367987469770014286041259765625,-1.184627450980392016077757944003678858280181884765625,-0.90352941176470569217826778185553848743438720703125,-0.7429019607843141415060017607174813747406005859375,0.5822745098039217026553160394541919231414794921875,-1.3452549019607840108392338152043521404266357421875,1.94760784313725476835088556981645524501800537109375,-2.309019607843136867586508742533624172210693359375,-16.1394431311034196596665424294769763946533203125,
0,20,0.301176470588234934666616027243435382843017578125,0.94368627450980380189093921217136085033416748046875,0.98384313725490191160361064248718321323394775390625,-0.5822745098039217026553160394541919231414794921875,-0.18070588235294149370702143642120063304901123046875,-0.70274509803921514361491063027642667293548583984375,0.6625882352941179220806589000858366489410400390625,-0.86337254901960758246559635153971612453460693359375,-0.3413333333333330443792874575592577457427978515625,-0.06023529411764716456900714547373354434967041015625,-4.119319326412917092739007784985005855560302734375,
0,30,0.22086274509803960341969286673702299594879150390625,0.90352941176470569217826778185553848743438720703125,0.622431372549019812367987469770014286041259765625,-0.6625882352941179220806589000858366489410400390625,-0.26101960784313771313236429705284535884857177734375,-0.18070588235294149370702143642120063304901123046875,0.301176470588234934666616027243435382843017578125,-0.22086274509803871524127316661179065704345703125,-0.4216470588235292638046303181909024715423583984375,-0.06023529411764716456900714547373354434967041015625,-2.11327773625528703149711873265914618968963623046875,
0,40,0.301176470588234934666616027243435382843017578125,0.26101960784313771313236429705284535884857177734375,0.54211764705882359294264460913836956024169921875,-0.02007843137254905485633571515791118144989013671875,-0.18070588235294149370702143642120063304901123046875,-0.3413333333333330443792874575592577457427978515625,0.461803921568627373517301748506724834442138671875,-0.22086274509803871524127316661179065704345703125,-0.3413333333333330443792874575592577457427978515625,-0.06023529411764716456900714547373354434967041015625,-0.9844761983852359232827211599214933812618255615234375,
0,50,0.26101960784313771313236429705284535884857177734375,0.26101960784313771313236429705284535884857177734375,0.22086274509803960341969286673702299594879150390625,-0.02007843137254905485633571515791118144989013671875,-0.18070588235294149370702143642120063304901123046875,-0.3413333333333330443792874575592577457427978515625,0.461803921568627373517301748506724834442138671875,-0.22086274509803871524127316661179065704345703125,-0.3413333333333330443792874575592577457427978515625,-0.06023529411764716456900714547373354434967041015625,-0.716788976547481748724521821714006364345550537109375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,-1.02400000000000002131628207280300557613372802734375,-0.54211764705882359294264460913836956024169921875,3.03184313725490195423617478809319436550140380859375,2.5901176470588236355752087547443807125091552734375,-0.70274509803921514361491063027642667293548583984375,-4.07592156862745103040879257605411112308502197265625,-1.264941176470588235503100804635323584079742431640625,0.70274509803921514361491063027642667293548583984375,-1.02400000000000002131628207280300557613372802734375,2.67043137254901896682213191525079309940338134765625,-44.62394365244136196224644663743674755096435546875,
1,10,1.14447058823529435045429636375047266483306884765625,-0.02007843137254905485633571515791118144989013671875,-1.94760784313725476835088556981645524501800537109375,0.4216470588235292638046303181909024715423583984375,0.26101960784313771313236429705284535884857177734375,-0.70274509803921514361491063027642667293548583984375,-1.546039215686274559402590966783463954925537109375,-1.94760784313725476835088556981645524501800537109375,0.4216470588235292638046303181909024715423583984375,-1.3452549019607840108392338152043521404266357421875,-14.0140710926566693927952655940316617488861083984375,
1,20,1.26494117647058867959231065469793975353240966796875,-0.301176470588234934666616027243435382843017578125,0.02007843137254905485633571515791118144989013671875,0.4216470588235292638046303181909024715423583984375,0.22086274509803960341969286673702299594879150390625,-0.06023529411764716456900714547373354434967041015625,-0.6625882352941179220806589000858366489410400390625,-0.02007843137254905485633571515791118144989013671875,0.26101960784313771313236429705284535884857177734375,-0.10039215686274527428167857578955590724945068359375,-2.439017608612073839680078890523873269557952880859375,
