Repeat,Generation,X1,X2,F(x)
0,0,5.298390173189897467409537057392299175262451171875,4.984359502555886223262859857641160488128662109375,92.5615363236228319010479026474058628082275390625,
0,10,5.4415197985809111713706442969851195812225341796875,4.867780575265125975192859186790883541107177734375,182.73000666136834979624836705625057220458984375,
0,20,5.4842450598916610005062466370873153209686279296875,4.861676966506447428173487423919141292572021484375,186.696120667621727307050605304539203643798828125,
0,30,5.4839398794537270731552780489437282085418701171875,4.858014801251240299961864366196095943450927734375,186.7283481794447652646340429782867431640625,
0,40,5.4836346990157931458043094608001410961151123046875,4.858014801251240299961864366196095943450927734375,186.729592970058916989728459157049655914306640625,
0,50,5.4836346990157931458043094608001410961151123046875,4.858014801251240299961864366196095943450927734375,186.729592970058916989728459157049655914306640625,
Repeat,Generation,X1,X2,F(x)
1,0,-0.10788128480964331856739590875804424285888671875,5.273365377279315424630112829618155956268310546875,56.9919426058943798807376879267394542694091796875,
1,10,4.857404440375372445259927189908921718597412109375,-7.100175478751811652955439058132469654083251953125,186.114840127307928696609451435506343841552734375,
1,20,4.858014801251240299961864366196095943450927734375,-7.090409704737925977724444237537682056427001953125,186.62550200452818671692511998116970062255859375,
1,30,4.858014801251240299961864366196095943450927734375,-7.090409704737925977724444237537682056427001953125,186.62550200452818671692511998116970062255859375,
1,40,4.858014801251240299961864366196095943450927734375,-7.090104524299992050373475649394094944000244140625,186.634618550653641477765631861984729766845703125,
1,50,4.858014801251240299961864366196095943450927734375,-7.080338750286106375142480828799307346343994140625,186.7087418011100226067355833947658538818359375,
Repeat,Generation,X1,X2,F(x)
2,0,5.6423285267414353683079752954654395580291748046875,-7.91348134584573159600040526129305362701416015625,74.9321265616121507946445490233600139617919921875,
2,10,-0.7640192263675888995066998177208006381988525390625,-7.6891737239642932166816535755060613155364990234375,182.9982125489419786390499211847782135009765625,
2,20,-0.7811093308918888311609407537616789340972900390625,-7.6903944457160289260855279280804097652435302734375,185.1696575099962274180143140256404876708984375,
2,30,-0.7811093308918888311609407537616789340972900390625,-7.70809491111619760062012574053369462490081787109375,185.918127365833839803599403239786624908447265625,
2,40,-0.810406652933547633210764615796506404876708984375,-7.70809491111619760062012574053369462490081787109375,186.505746687499339486748795025050640106201171875,
2,50,-0.802777141985199449436549912206828594207763671875,-7.70809491111619760062012574053369462490081787109375,186.717462749270083577357581816613674163818359375,
Repeat,Generation,X1,X2,F(x)
3,0,-0.869306477454795611947702127508819103240966796875,7.178606851300830982154366211034357547760009765625,46.22294847244453563916977145709097385406494140625,
3,10,-0.865644312199588483736079069785773754119873046875,-6.4995803768978408498924181913025677204132080078125,116.5385503425412707656505517661571502685546875,
3,20,-0.861066605630579573471550247631967067718505859375,-1.4244296940566112397164033609442412853240966796875,178.57614942289404780240147374570369720458984375,
3,30,-0.792401007095445919503617915324866771697998046875,-1.4244296940566112397164033609442412853240966796875,186.591331911681010069514741189777851104736328125,
3,40,-0.797589074540322684470083913765847682952880859375,-1.4241245136186773123654347728006541728973388671875,186.712072058767404314494342543184757232666015625,
3,50,-0.800335698481728030628801207058131694793701171875,-1.4244296940566112397164033609442412853240966796875,186.72977021241189277134253643453121185302734375,
Repeat,Generation,X1,X2,F(x)
4,0,6.1199359121080334489306551404297351837158203125,-0.856488899061570663207021425478160381317138671875,117.111954014688564029711415059864521026611328125,
4,10,-1.382619974059661416276867385022342205047607421875,-0.797894254978256611821052501909434795379638671875,182.471137432824122015517787076532840728759765625,
4,20,-1.392385748073547091507862205617129802703857421875,-0.800335698481728030628801207058131694793701171875,184.214009142998065726715140044689178466796875,
4,30,-1.4265659571221487311731834779493510723114013671875,-0.800335698481728030628801207058131694793701171875,186.726094139702098573252442292869091033935546875,
4,40,-1.4265659571221487311731834779493510723114013671875,-0.800335698481728030628801207058131694793701171875,186.726094139702098573252442292869091033935546875,
4,50,-1.4259555962462808764712463016621768474578857421875,-0.800335698481728030628801207058131694793701171875,186.7293140907380575299612246453762054443359375,
Repeat,Generation,X1,X2,F(x)
5,0,-1.9124132143129628502720152027904987335205078125,-7.6937514305333021269461823976598680019378662109375,65.7130519318334762601807597093284130096435546875,
5,10,-7.095902952620736670041878824122250080108642578125,-7.70351720454718869035559691837988793849945068359375,186.3372373435259987672907300293445587158203125,
5,20,-7.085221637293049212757978239096701145172119140625,-7.70870527199206545532206291682086884975433349609375,186.724048702079386430341401137411594390869140625,
5,30,-7.083695735103379576003135298378765583038330078125,-7.70962081330586723737496868125163018703460693359375,186.72684934334216677598305977880954742431640625,
5,40,-7.083390554665445648652166710235178470611572265625,-7.70931563286793331002400009310804307460784912109375,186.72854034770460884828935377299785614013671875,
5,50,-7.083390554665445648652166710235178470611572265625,-7.70931563286793331002400009310804307460784912109375,186.72854034770460884828935377299785614013671875,
Repeat,Generation,X1,X2,F(x)
6,0,4.739909971770810415137020754627883434295654296875,-0.5418478675516897880015676491893827915191650390625,54.93880162067654993052201461978256702423095703125,
6,10,-7.73220416571297786134664420387707650661468505859375,5.5007248035400930774585503968410193920135498046875,184.71442668389573782405932433903217315673828125,
6,20,-7.70901045242999938267303150496445596218109130859375,5.4811932555123217269965607556514441967010498046875,186.723606317691604772335267625749111175537109375,
6,30,-7.70809491111619760062012574053369462490081787109375,5.4830243381399252911023722845129668712615966796875,186.73074055774696944354218430817127227783203125,
6,40,-7.70840009155413152797109432867728173732757568359375,5.4830243381399252911023722845129668712615966796875,186.730834787508939598410506732761859893798828125,
6,50,-7.70840009155413152797109432867728173732757568359375,5.4830243381399252911023722845129668712615966796875,186.730834787508939598410506732761859893798828125,
Repeat,Generation,X1,X2,F(x)
7,0,4.965133134966048800151838804595172405242919921875,-0.7066453040360105575246052467264235019683837890625,143.8505666620586680437554605305194854736328125,
7,10,4.853437094682231389697335544042289257049560546875,-0.7573052567330424977853908785618841648101806640625,182.636355061354862527878140099346637725830078125,
7,20,4.866254673075456338438016246072947978973388671875,-0.800335698481728030628801207058131694793701171875,186.5739152178670110515668056905269622802734375,
