Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,-6.79349891766754421240648298407904803752899169921875,-4.52292118093998141148404101841151714324951171875,-2.16214396808346265288491849787533283233642578125,4.43344534245166954633532441221177577972412109375,4.9619949131649914164654546766541898250579833984375,-0.2702387539367752111729714670218527317047119140625,3.499623149051242165796793415211141109466552734375,1.883567830520579633457600721158087253570556640625,0.1019891794077096847104257903993129730224609375,-5.67066033735653807212884203181602060794830322265625,-67906.67874222775571979582309722900390625,
0,10,7.06078819862119644312770105898380279541015625,-4.03890514141854506391382528818212449550628662109375,1.631418683480337250557568040676414966583251953125,3.6619923295597534007583817583508789539337158203125,-0.14639138945992868912071571685373783111572265625,0.4119797261459705595143532264046370983123779296875,0.46460296736671580219990573823451995849609375,-0.6230676478294352449438520125113427639007568359375,3.59944944586592185942208743654191493988037109375,1.4642967124153631885974391479976475238800048828125,-10554.172163537497908691875636577606201171875,
0,20,6.43578819847567729084403254091739654541015625,-3.97771739726367368206183527945540845394134521484375,1.6755332638685427326663557323627173900604248046875,-1.338007522592789655391243286430835723876953125,-0.30264138949630847719163284637033939361572265625,1.03861050471630989022742141969501972198486328125,-0.47823760902468137601317721419036388397216796875,-0.6230676478294352449438520125113427639007568359375,1.10189085153441368447602144442498683929443359375,1.4646018881966842428710151580162346363067626953125,-1839.35625909438249436789192259311676025390625,
0,30,6.43578819847567729084403254091739654541015625,-1.53890515946292083526714122854173183441162109375,0.7380332263973610196217123302631080150604248046875,-1.3380070755579520636047163861803710460662841796875,-0.1460170722906521945105851045809686183929443359375,0.41361050457079073794375290162861347198486328125,-0.4782346474188923224346581264398992061614990234375,-0.6227625465539201599085572524927556514739990234375,1.0994661345843841360192527645267546176910400390625,1.4646018881966842428710151580162346363067626953125,-296.9180169040992041118443012237548828125,
0,40,6.43578804946406535236747004091739654541015625,-1.53890515946292083526714122854173183441162109375,0.7380332263973610196217123302631080150604248046875,-1.3380070755579520636047163861803710460662841796875,-0.146012303919068386903745704330503940582275390625,0.56986050460717052601467003114521503448486328125,-0.4782346474188923224346581264398992061614990234375,-0.6230676478294352449438520125113427639007568359375,0.78939085146165410833418718539178371429443359375,1.4644519825150386083123521530069410800933837890625,-268.31512058171455237243208102881908416748046875,
0,50,7.060778661878028827914022258482873439788818359375,-1.54043101974307461432545096613466739654541015625,0.7380332636502640042408529552631080150604248046875,-0.7903546818509585847323251073248684406280517578125,-0.14578340345662610388899338431656360626220703125,0.56986054186007351063381065614521503448486328125,-0.4782346474188923224346581264398992061614990234375,-0.622752935304948351813436602242290973663330078125,0.80892266025974635113016120158135890960693359375,0.5271042721641965300705123809166252613067626953125,-123.38971658564975086846970953047275543212890625,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,7.75112120847942520640572183765470981597900390625,-2.8038119042301108407855281257070600986480712890625,-0.601637812937060090234808740206062793731689453125,-5.78819034988716918377349429647438228130340576171875,-7.7711085224922538117198200779967010021209716796875,-1.6207481295850012514847549027763307094573974609375,4.772053424914378894072797265835106372833251953125,4.5104286620650508865537631209008395671844482421875,2.274090021912495984679480898194015026092529296875,1.000618569320209871875704266130924224853515625,-125807.813604288137867115437984466552734375,
1,10,5.023758386965784694666581344790756702423095703125,-4.60595953152653780904302038834430277347564697265625,-0.601639344962695332696966943331062793731689453125,-2.92100834029750178189033249509520828723907470703125,0.1607157546469739628491879557259380817413330078125,-1.642044762066110052955991704948246479034423828125,3.851426768547721479762913077138364315032958984375,3.9766815337298151433742532390169799327850341796875,2.016187010336711438185375300236046314239501953125,0.0707880896680972426793232443742454051971435546875,-17586.2121684912053751759231090545654296875,
1,20,5.0237628666273703714750809012912213802337646484375,-2.7305694186898339381741607212461531162261962890625,-0.601027461374417981687656720168888568878173828125,-4.09257816944564201122602753457613289356231689453125,0.1607157546469739628491879557259380817413330078125,-1.329544761993350476814157445915043354034423828125,2.6010262297003112763604804058559238910675048828125,3.1823036617558226879509675200097262859344482421875,2.427898615698307338561789947561919689178466796875,1.000656716292876780016740667633712291717529296875,-9760.181230404339657980017364025115966796875,
1,30,5.023801013600035503259277902543544769287109375,-2.73056465031825101874574102112092077732086181640625,-0.6009893144017528499034597189165651798248291015625,-2.841963049220378678683118778280913829803466796875,0.159380610603694350402292911894619464874267578125,-1.368607262002445423831886728294193744659423828125,2.6010262297003112763604804058559238910675048828125,2.7266815706916798234260568278841674327850341796875,2.016186935830905468947094050236046314239501953125,0.375656711490744754655679571442306041717529296875,-4540.2855695051921429694630205631256103515625,
1,40,5.0237628666273703714750809012912213802337646484375,-2.7317901218151181552684647613205015659332275390625,-0.601027461374417981687656720168888568878173828125,-2.832807775780747050475838477723300457000732421875,0.1610209397415207632775491219945251941680908203125,-1.329544603668512792182809789665043354034423828125,0.1010262291182346672258063335902988910675048828125,2.726672033948513984569217427633702754974365234375,0.76619654678884074883171706460416316986083984375,0.375656716147357627733072149567306041717529296875,-3248.6178481210854442906565964221954345703125,
1,50,7.52345769142812770269301836378872394561767578125,-2.7305694186898339381741607212461531162261962890625,-0.601637812937060090234808740206062793731689453125,-2.5301878416282566064410275430418550968170166015625,0.2391459304464849111582225305028259754180908203125,-1.368607252689219677677101572044193744659423828125,0.1010262291182346672258063335902988910675048828125,0.2266815701096032142913827556185424327850341796875,0.727153986396071871922686113975942134857177734375,1.000046364730234671469588647596538066864013671875,-1051.03871215907929581589996814727783203125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
2,0,-1.7505708084792299672471926896832883358001708984375,9.230246036134250431359760113991796970367431640625,0.0587063911507623714669534820131957530975341796875,-4.80877471035550652089796130894683301448822021484375,2.2764697699519960139014074229635298252105712890625,-2.5884360290571191143271789769642055034637451171875,3.58096240404550059110988513566553592681884765625,1.803697061679255142507827258668839931488037109375,-1.3890138527818525204793331795372068881988525390625,-0.0481543806493647252864320762455463409423828125,-75664.9077727831318043172359466552734375,
2,10,-6.775894825527419840227594249881803989410400390625,-0.5918805093019923191377529292367398738861083984375,3.8087063920238772851689645904116332530975341796875,-3.55877471006446821633062427281402051448822021484375,2.258889957391399860853198333643376827239990234375,1.6904838643247455109985821763984858989715576171875,-0.1028383500182155074753609369508922100067138671875,2.9994555267038425228065534611232578754425048828125,-3.1312168094169390286651832866482436656951904296875,-1.7054500411510122859226612490601837635040283203125,-11596.0062338689385796897113323211669921875,
2,20,-7.439346974119391830981840030290186405181884765625,-0.59164242134234967807060456834733486175537109375,1.3477687331260579384206721442751586437225341796875,3.4268324387787902907120951567776501178741455078125,2.276475711790023837011176510713994503021240234375,1.6904836687470048417480938951484858989715576171875,-0.1028383500182155074753609369508922100067138671875,2.9994839925783427503347411402501165866851806640625,1.2437831729752435450109260273166000843048095703125,-1.7054500411510122859226612490601837635040283203125,-5378.01320366000800277106463909149169921875,
2,30,-6.7759329352471819873926506261341273784637451171875,-0.16439632749287369506419054232537746429443359375,1.3486616107049993473765425733290612697601318359375,3.3877699387696953436943658743984997272491455078125,2.276475711790023837011176510713994503021240234375,1.6904838643247455109985821763984858989715576171875,-0.2590883500545952955462780664674937725067138671875,2.8224441811494642706747981719672679901123046875,1.243759857314582717435769154690206050872802734375,0.2177549549885444690744407125748693943023681640625,-4506.762412618978487444110214710235595703125,
2,40,-6.1899954351107577821267113904468715190887451171875,-0.16195492124230526087558246217668056488037109375,1.3483564535501297854125368758104741573333740234375,3.3877699387696953436943658743984997272491455078125,2.276170834031926659690725500695407390594482421875,1.6898735127621034024514301563613116741180419921875,-0.2590883500545952955462780664674937725067138671875,0.4994555214651530405944868107326328754425048828125,1.243759857314582717435769154690206050872802734375,0.2958808118235030093501336523331701755523681640625,-2447.6504810307642401312477886676788330078125,
2,50,-6.5024954351835173582685456494800746440887451171875,-0.16439662551609757201731554232537746429443359375,1.3486613126817754704234175733290612697601318359375,0.8877700126934247037979730521328747272491455078125,2.2761660656603428520838861004449427127838134765625,1.6888816914728099760623081238009035587310791015625,-0.259398294207500157426693476736545562744140625,0.4994556704767649790710493107326328754425048828125,1.164752033344644388535016332753002643585205078125,-1.688982469888632209631396108306944370269775390625,-976.9488194528197482213727198541164398193359375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
3,0,-8.0749146356421785952761638327501714229583740234375,0.0456189806679301312897223397158086299896240234375,3.3338987998044817828713348717428743839263916015625,4.4969291320296296277092551463283598423004150390625,0.8993671766713635662426895578391849994659423828125,-0.6844876871175333832297837943769991397857666015625,-1.4498968728468515365648272563703358173370361328125,1.4432392063185677244518956285901367664337158203125,-2.1829480519944208793958750902675092220306396484375,1.7275311685464185273986004176549613475799560546875,-8912.362489041237495257519185543060302734375,
3,10,-8.0749152316886263491824138327501714229583740234375,0.0453138048866090770161463296972215175628662109375,3.3338988044610946559487274498678743839263916015625,-2.8081648826618135217358940280973911285400390625,2.5278554792813618945501730195246636867523193359375,-0.6844876871175333832297837943769991397857666015625,-1.7623968729196111127066615154035389423370361328125,1.4432392575413093283032139879651367664337158203125,1.2510408720120409498122171498835086822509765625,1.7275290823838513887267254176549613475799560546875,-4400.5550736571631205151788890361785888671875,
