Repeat,Generation,X1,X2,F(x)
0,0,6,-0.6666666666666660745477201999165117740631103515625,86.9981419599370013884254149161279201507568359375,
0,10,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
0,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
0,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
0,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
0,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
1,0,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
1,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
1,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
1,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
1,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
1,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
2,0,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
2,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
2,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
2,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
2,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
2,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
3,0,-7.3333333333333339254522798000834882259368896484375,6,37.0193419113335977499446016736328601837158203125,
3,10,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
3,20,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
3,30,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
3,40,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
3,50,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
4,0,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
4,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
4,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
4,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
4,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
4,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
5,0,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
5,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
5,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
5,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
5,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
5,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
6,0,6,-2,46.12928436751796112957890727557241916656494140625,
6,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
6,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
6,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
6,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
6,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
7,0,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
7,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
7,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
7,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
7,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
7,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
8,0,-0.6666666666666660745477201999165117740631103515625,6,86.9981419599370013884254149161279201507568359375,
8,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
8,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
8,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
8,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
8,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
9,0,-0.6666666666666660745477201999165117740631103515625,6,86.9981419599370013884254149161279201507568359375,
9,10,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
9,20,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
9,30,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
9,40,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
9,50,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
10,0,4.6666666666666660745477201999165117740631103515625,-7.3333333333333339254522798000834882259368896484375,38.5635361559462097602590802125632762908935546875,
10,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
10,20,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
10,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
10,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
10,50,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
Repeat,Generation,X1,X2,F(x)
11,0,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
11,10,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
11,20,-0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
11,30,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
11,40,4.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,90.627110579322334160679019987583160400390625,
