Repeat,Generation,X1,X2,F(x)
0,0,5.294117647058822484495976823382079601287841796875,4.980392156862745167700268211774528026580810546875,91.439000507276006146639701910316944122314453125,
0,10,5.4509803921568629192506705294363200664520263671875,-7.5686274509803919130490612587891519069671630859375,139.80213815673204180711763910949230194091796875,
0,20,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
0,30,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
0,40,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
0,50,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
Repeat,Generation,X1,X2,F(x)
1,0,5.5294117647058822484495976823382079601287841796875,-7.88235294117647100620160927064716815948486328125,121.40327349852077531977556645870208740234375,
1,10,5.4509803921568629192506705294363200664520263671875,4.901960784313725838501341058872640132904052734375,180.003189468325302868834114633500576019287109375,
1,20,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
1,30,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
1,40,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
1,50,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
Repeat,Generation,X1,X2,F(x)
2,0,-7.098039215686274161498658941127359867095947265625,-1.372549019607841813694903976283967494964599609375,179.777345531005920520328800193965435028076171875,
2,10,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
2,20,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
2,30,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
2,40,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
2,50,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
