Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,0.05882352941176538507761506480164825916290283203125,3.705882352941177515504023176617920398712158203125,9.941176470588235503100804635323584079742431640625,-3.70588235294117662732560347649268805980682373046875,-1.058823529411764496899195364676415920257568359375,-3.058823529411764496899195364676415920257568359375,4.823529411764706509302413905970752239227294921875,-4.941176470588235503100804635323584079742431640625,2,-0.6470588235294112422479884116910398006439208984375,-221.8373223500678932396112941205501556396484375,
0,10,0.4705882352941177515504023176617920398712158203125,-0.4705882352941177515504023176617920398712158203125,-1.4705882352941177515504023176617920398712158203125,0.88235294117647011802318957052193582057952880859375,-0.941176470588235503100804635323584079742431640625,3.176470588235293490697586094029247760772705078125,-1.058823529411764496899195364676415920257568359375,1.35294117647058786957359188818372786045074462890625,3.4117647058823532546512069529853761196136474609375,-4.5882352941176467453487930470146238803863525390625,-50.53048110654805213926010765135288238525390625,
0,20,-1.882352941176470562112399420584551990032196044921875,1.35294117647058786957359188818372786045074462890625,-1.4705882352941177515504023176617920398712158203125,0.2941176470588242608528162236325442790985107421875,-0.88235294117647011802318957052193582057952880859375,1.5882352941176467453487930470146238803863525390625,1.29411764705882337267439652350731194019317626953125,-2.5294117647058822484495976823382079601287841796875,1.29411764705882337267439652350731194019317626953125,-0.41176470588235236647278725286014378070831298828125,-21.1113252954346677370267570950090885162353515625,
0,30,-1.882352941176470562112399420584551990032196044921875,1.35294117647058786957359188818372786045074462890625,-1.4705882352941177515504023176617920398712158203125,0.2941176470588242608528162236325442790985107421875,-0.88235294117647011802318957052193582057952880859375,1.5882352941176467453487930470146238803863525390625,1.29411764705882337267439652350731194019317626953125,-2.5294117647058822484495976823382079601287841796875,1.29411764705882337267439652350731194019317626953125,-0.41176470588235236647278725286014378070831298828125,-21.1113252954346677370267570950090885162353515625,
0,40,-1.5294117647058822484495976823382079601287841796875,1.11764705882352899379839072935283184051513671875,-1.411764705882352810561997102922759950160980224609375,0.23529411764705887577520115883089601993560791015625,-0.941176470588235503100804635323584079742431640625,1.5882352941176467453487930470146238803863525390625,1.4705882352941177515504023176617920398712158203125,-2.470588235294117307461192467599175870418548583984375,1.11764705882352899379839072935283184051513671875,-0.41176470588235236647278725286014378070831298828125,-19.324086157972235611168798641301691532135009765625,
0,50,-1.588235294117647189438002897077240049839019775390625,1.11764705882352899379839072935283184051513671875,-1.4705882352941177515504023176617920398712158203125,0.4117647058823532546512069529853761196136474609375,-0.88235294117647011802318957052193582057952880859375,1.5882352941176467453487930470146238803863525390625,1.23529411764705887577520115883089601993560791015625,-2.470588235294117307461192467599175870418548583984375,1.176470588235293490697586094029247760772705078125,-0.35294117647058786957359188818372786045074462890625,-18.90208450569317477629738277755677700042724609375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,-4.23529411764705887577520115883089601993560791015625,-3.17647058823529437887600579415448009967803955078125,-2.117647058823529437887600579415448009967803955078125,0.5294117647058822484495976823382079601287841796875,0.5882352941176467453487930470146238803863525390625,-1.941176470588235503100804635323584079742431640625,-0.70588235294117662732560347649268805980682373046875,3.88235294117647100620160927064716815948486328125,-1.647058823529411686337198261753655970096588134765625,1.29411764705882337267439652350731194019317626953125,-57.00513643275343156346934847533702850341796875,
1,10,-3.352941176470588313662801738246344029903411865234375,-2.117647058823529437887600579415448009967803955078125,-1.76470588235294112422479884116910398006439208984375,0.05882352941176538507761506480164825916290283203125,0.5882352941176467453487930470146238803863525390625,-1.76470588235294112422479884116910398006439208984375,-0.941176470588235503100804635323584079742431640625,3.823529411764706509302413905970752239227294921875,-1.70588235294117662732560347649268805980682373046875,1.29411764705882337267439652350731194019317626953125,-42.988446019563951949749025516211986541748046875,
1,20,-2.5882352941176467453487930470146238803863525390625,0.88235294117647011802318957052193582057952880859375,-2.411764705882352810561997102922759950160980224609375,0.05882352941176538507761506480164825916290283203125,0,-1.411764705882352810561997102922759950160980224609375,-0.35294117647058786957359188818372786045074462890625,2.6470588235294112422479884116910398006439208984375,-1.647058823529411686337198261753655970096588134765625,1.11764705882352899379839072935283184051513671875,-26.911103943918288194936394575051963329315185546875,
