Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,0.27450980392156765219624503515660762786865234375,-7.5686274509803919130490612587891519069671630859375,-4.82352941176470562112399420584551990032196044921875,-3.254901960784312819896513246931135654449462890625,-2.78431372549019595652453062939457595348358154296875,0.7450980392156854037466473528183996677398681640625,1.294117647058822484495976823382079601287841796875,0.19607843137254832299731788225471973419189453125,-0.901960784313725838501341058872640132904052734375,2.941176470588235503100804635323584079742431640625,-42856.0147793095748056657612323760986328125,
0,10,-6.5490196078431370807493294705636799335479736328125,-3.64705882352941213042640811181627213954925537109375,-0.7450980392156854037466473528183996677398681640625,-0.03921568627450966459946357645094394683837890625,-3.64705882352941213042640811181627213954925537109375,1.215686274509803155297049670480191707611083984375,1.68627450980392268320429138839244842529296875,1.450980392156861142893831129185855388641357421875,-0.901960784313725838501341058872640132904052734375,1.058823529411764496899195364676415920257568359375,-6425.563167894049911410547792911529541015625,
0,20,-6.5490196078431370807493294705636799335479736328125,-2.78431372549019595652453062939457595348358154296875,-0.7450980392156854037466473528183996677398681640625,-0.4313725490196080869509387412108480930328369140625,-2.5490196078431370807493294705636799335479736328125,1.843137254901961341602145694196224212646484375,1.372549019607841813694903976283967494964599609375,0.3529411764705887577520115883089601993560791015625,-0.5882352941176467453487930470146238803863525390625,0.03921568627450966459946357645094394683837890625,-2545.91041433950022110366262495517730712890625,
0,30,-6.5490196078431370807493294705636799335479736328125,-0.4313725490196080869509387412108480930328369140625,1.6078431372549033540053642354905605316162109375,-0.11764705882352899379839072935283184051513671875,-2.5490196078431370807493294705636799335479736328125,0.8235294117647047329455745057202875614166259765625,1.294117647058822484495976823382079601287841796875,1.058823529411764496899195364676415920257568359375,-0.5098039215686274161498658941127359867095947265625,1.058823529411764496899195364676415920257568359375,-1338.34455487723107580677606165409088134765625,
0,40,3.176470588235293490697586094029247760772705078125,-0.11764705882352899379839072935283184051513671875,1.6078431372549033540053642354905605316162109375,-0.11764705882352899379839072935283184051513671875,-2.5490196078431370807493294705636799335479736328125,0.7450980392156854037466473528183996677398681640625,1.215686274509803155297049670480191707611083984375,0.4313725490196080869509387412108480930328369140625,-0.5098039215686274161498658941127359867095947265625,0.4313725490196080869509387412108480930328369140625,-1106.24684188984201682615093886852264404296875,
0,50,2.5490196078431370807493294705636799335479736328125,-0.4313725490196080869509387412108480930328369140625,0.4313725490196080869509387412108480930328369140625,-1.372549019607841813694903976283967494964599609375,-0.11764705882352899379839072935283184051513671875,0.8235294117647047329455745057202875614166259765625,1.215686274509803155297049670480191707611083984375,0.7450980392156854037466473528183996677398681640625,-0.5098039215686274161498658941127359867095947265625,0.3529411764705887577520115883089601993560791015625,-119.31164572937262846608064137399196624755859375,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,-8.980392156862745167700268211774528026580810546875,1.058823529411764496899195364676415920257568359375,2.2352941176470597639536208589561283588409423828125,-6.31372549019607820497412831173278391361236572265625,-0.980392156862745167700268211774528026580810546875,4.823529411764706509302413905970752239227294921875,5.6078431372549015776485248352400958538055419921875,0.8235294117647047329455745057202875614166259765625,-2.86274509803921528572345778229646384716033935546875,-0.03921568627450966459946357645094394683837890625,-64509.0524324406505911611020565032958984375,
1,10,1.058823529411764496899195364676415920257568359375,-1.7647058823529420124032185412943363189697265625,-3.88235294117647011802318957052193582057952880859375,1.215686274509803155297049670480191707611083984375,2.3921568627450984223514751647599041461944580078125,-3.80392156862745078882426241762004792690277099609375,-0.901960784313725838501341058872640132904052734375,-0.6666666666666660745477201999165117740631103515625,-1.6862745098039209068474519881419837474822998046875,1.294117647058822484495976823382079601287841796875,-8896.0745711768176988698542118072509765625,
1,20,1.215686274509803155297049670480191707611083984375,-1.843137254901961341602145694196224212646484375,-2.23529411764705887577520115883089601993560791015625,-2.07843137254902021737734685302712023258209228515625,1.450980392156861142893831129185855388641357421875,-2.5490196078431370807493294705636799335479736328125,-1.215686274509803155297049670480191707611083984375,-0.03921568627450966459946357645094394683837890625,-1.6862745098039209068474519881419837474822998046875,1.294117647058822484495976823382079601287841796875,-2725.69707847556810520472936332225799560546875,
1,30,3.411764705882351478294367552734911441802978515625,-2.4705882352941177515504023176617920398712158203125,-1.4509803921568629192506705294363200664520263671875,-0.4313725490196080869509387412108480930328369140625,1.68627450980392268320429138839244842529296875,-0.03921568627450966459946357645094394683837890625,-1.5294117647058822484495976823382079601287841796875,-0.11764705882352899379839072935283184051513671875,-1.6862745098039209068474519881419837474822998046875,0.4313725490196080869509387412108480930328369140625,-1032.7343393049222868285141885280609130859375,
1,40,0.5882352941176467453487930470146238803863525390625,-2,-0.2745098039215694285530844354070723056793212890625,-0.4313725490196080869509387412108480930328369140625,-0.1960784313725500993541572825051844120025634765625,-1.294117647058822484495976823382079601287841796875,-0.2745098039215694285530844354070723056793212890625,-0.11764705882352899379839072935283184051513671875,-0.3529411764705887577520115883089601993560791015625,0.8235294117647047329455745057202875614166259765625,-248.077663472230625529846292920410633087158203125,
