Repeat,Generation,X1,X2,F(x)
0,0,-0.7450980392156854037466473528183996677398681640625,-0.3529411764705887577520115883089601993560791015625,73.0001474373744940749020315706729888916015625,
0,10,-0.7450980392156854037466473528183996677398681640625,4.823529411764706509302413905970752239227294921875,177.449166170960353383634355850517749786376953125,
0,20,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
0,30,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
0,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
0,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
1,0,-0.901960784313725838501341058872640132904052734375,5.058823529411764496899195364676415920257568359375,84.663275174398989975088625214993953704833984375,
1,10,-0.823529411764706509302413905970752239227294921875,5.058823529411764496899195364676415920257568359375,95.70615665581595976618700660765171051025390625,
1,20,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
1,30,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
1,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
1,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
2,0,4.823529411764706509302413905970752239227294921875,4.1960784313725500993541572825051844120025634765625,69.6355948227488852353417314589023590087890625,
2,10,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
2,20,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
2,30,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
2,40,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
2,50,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
3,0,6.0784313725490193291989271529018878936767578125,-8.27450980392156765219624503515660762786865234375,52.236854403897183374283486045897006988525390625,
3,10,5.5294117647058822484495976823382079601287841796875,-1.4509803921568629192506705294363200664520263671875,180.49535161107445446759811602532863616943359375,
